Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.008264462809917356,"The excessive deposition of misfolded proteins such as amyloid-β (Aβ) protein is an aging
event underlying several neurodegenerative diseases. Mounting evidence shows that the
spreading of neuropathological burden has a strong association to the white matter tracts
in the brain which can be measured using diﬀusion-weighted imaging and tractography
technologies. Most of the previous studies analyze the dynamic progression of amyloid us-
ing cross-sectional data which is not robust to the heterogeneous Aβ dynamics across the
population. In this regard, we propose a graph neural network-based learning framework
to capture the disease-related dynamics by tracking the spreading of amyloid across brain
networks from the subject-speciﬁc longitudinal PET images. To learn from limited (2 – 3
timestamps) and noisy longitudinal data, we restrict the space of amyloid propagation pat-
terns to a latent heat diﬀusion model which is constrained by the anatomical connectivity
of the brain. Our experiments show that restricting the dynamics to be a heat diﬀusion
mechanism helps to train a robust deep neural network for predicting future time points
and classifying Alzheimer’s disease brain.
Keywords: Heat Diﬀusion, Florbetapir PET, Structural Brain Network, Alzheimer’s Dis-
ease, Graph Neural Network, Graph Embedding, Graph u-net, Amyloid Progression Pat-
tern, Amyloid-β Pathology."
INTRODUCTION,0.01652892561983471,1. Introduction
INTRODUCTION,0.024793388429752067,"Accumulation of amyloid-β (Aβ) peptide into extracellular plaques is known to be a central
event in Alzheimer’s disease brain (Lue et al., 1999; Palop and Mucke, 2010; Jack et al.,
2013b; Fan et al., 2018; Canter et al., 2017). An increasing number of studies (Seeley et al.,
2009; Jonkman et al., 2020) suggest that amyloid deposition expands into areas that receive
neuronal projections from other brain regions already exhibiting Aβ, spreading between
interconnected neurons through large-scale networks. Advancement in Aβ-PET imaging
enables us to quantify the spatial distribution of amyloid in the brains of living humans,
allowing for the study of disease progression before symptoms manifest (Villemagne et al.,
2018). Raj et al. (2012) proposes a network diﬀusion model to characterize this progression
pattern as a diﬀusive mechanism mediated by the brain’s connectivity network which ﬁnds
characteristic sub-modules in Alzheimer’s (AD) brain. However, their approach doesn’t
consider misfolded protein (MP) burdens such as amyloid or tau. In this regard, Vogel"
INTRODUCTION,0.03305785123966942,Diffusion u-net
INTRODUCTION,0.04132231404958678,"et al. (2020) proposes an epidemic spreading model based on anatomical connectivity of the
brain to explain the observed MP burdens in healthy and diseased (AD) brains. Both of
these approaches show the importance of the large-scale brain network in modeling disease
progression based on MP such as Aβ. However, these approaches use cross-sectional data
which is not suﬃcient to uncover the true dynamics of amyloid because of the subject-wise
heterogeneity across the population. Although the authors of the epidemic spreading model
reconstruct the MP burdens in a subject-speciﬁc manner, they have to tune their model for
each individual during test time which might lead to overﬁtting and potentially distort the
true dynamics.
We propose Diﬀusion u-net: a graph u-net (Gao and Ji, 2019) based architecture that
uses longitudinal data to learn the disease dynamics in a subject-wise manner. However,
the complex mechanics of Aβ through brain networks is diﬃcult to learn from a dataset
that is noisy and has limited timestamps per subject (< 3 on average). We tackle this
problem by constraining our model to learn a latent heat diﬀusion process that explains the
neurodegenerative progression by the intercellular transfer of Aβ. We assume the observed
longitudinal amyloid distributions are future instances of the heat diﬀusion mechanism
constrained by the structural brain network. This way our model learns in a subset of
possible disease processes which makes it possible to infer patterns from limited temporal
data.
Moreover, while previous approaches assume a predeﬁned set of epicenter brain
regions (For example, Vogel et al. (2020) ﬁt their model using the left and right entorhinal
cortex as the epicenters) from where Aβ spreads to other brain areas, we show our model can
ﬁnd these epicenters from higher-order dynamics of Aβ deposition. Extensive experimental
results show that our model is quite eﬀective in learning a robust embedding from only a few
time point data and outperforms more complex models in terms of future Aβ prediction,
Alzheimer’s classiﬁcation, and disease epicenter estimation."
INTRODUCTION,0.049586776859504134,"Figure 1: (a) Our proposed model Diﬀusion u-net consists of two neural networks —
graph u-net and β-net to estimate future Aβ depositions using Equation 4, (b)
Cluster u-net learns group speciﬁc dynamics using an addition classiﬁer to clas-
sify sex (Male/Female) based on ρs,0, and, (c) Adaptive u-net learns separate
group speciﬁc representation ρM
s,0 and ρF
s,0 using a multi-task learning paradigm."
INTRODUCTION,0.05785123966942149,Diffusion u-net
IMPLEMENTATION/METHODS,0.06611570247933884,2. Method and Materials
IMPLEMENTATION/METHODS,0.0743801652892562,2.1. Dataset
