Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0005530973451327434,"In this paper, we study the generalization risk of ridge and ridgeless linear regres-
sion. We assume that the data features follow a multivariate normal distribution
and that the spectrum of the covariance matrix consists of a given set of eigenval-
ues of proportionally growing multiplicity. We characterize the limiting bias and
variance when the dimension and the number of training samples tend to inﬁnity
proportionally. Exact formulae for the bias and variance are derived using the ran-
dom matrix theory and convex Gaussian min-max theorem. Based on these formu-
lae, we study the sample-wise multiple descent phenomenon of the generalization
risk curve, i.e., with more data, the generalization risk can be non-monotone, and
speciﬁcally, can increase and then decrease multiple times with more training data
samples. We prove that sample-wise multiple descent occurs when the spectrum
of the covariance matrix is highly ill-conditioned. We also present numerical re-
sults to conﬁrm the values of the bias and variance predicted by our theory and
illustrate the multiple descent of the generalization risk curve. Moreover, we the-
oretically show that the ridge estimator with optimal regularization can result in a
monotone generalization risk curve and thereby eliminate multiple descent under
some assumptions."
INTRODUCTION,0.0011061946902654867,"1
INTRODUCTION"
INTRODUCTION,0.00165929203539823,"The double/multiple descent phenomenon attracted recent research attention due to (Belkin et al.,
2019). This line of work focuses on the parameter-wise double/multiple descent phenomenon of
the risk curve (Bartlett et al., 2020; Tsigler & Bartlett, 2020; Belkin et al., 2019; 2020; Chen et al.,
2020a; Liang et al., 2020; Advani et al., 2020; B¨os & Opper, 1998; Krogh & Hertz, 1992; Le Cun
et al., 1991; Mei & Montanari, 2019; Opper et al., 1990; Vallet et al., 1989; Watkin et al., 1993). The
classical learning theory shows that when the number of parameters (which reﬂects the model com-
plexity) increases, the test error (generalization risk) ﬁrst decreases due to more ﬁtting power, and
then increases due to overﬁtting. The generalization risk attains a peak at the interpolation threshold
(the number of parameters equals the number of data points so that the model interpolates the data).
This results in a U-shaped risk curve if we plot the test error versus the number of parameters. The
double descent risk curve posits that the risk will decrease (again) if one further increases the model
complexity beyond the interpolation threshold (Belkin et al., 2019). Thus there is a second descent
in addition to the ﬁrst one in the U-shaped stage of the curve. Belkin et al. (2019) presented empiri-
cal results and showed the existence of such double descent behavior in the random Fourier features
model, the fully connected neural network, and the random forest model. Prior to (Belkin et al.,
2019), earlier studies of the shape and features of the risk curve in a number of contexts include
(Vallet et al., 1989; Opper et al., 1990; Le Cun et al., 1991; Krogh & Hertz, 1992; B¨os & Opper,
1998; Watkin et al., 1993; Advani et al., 2020). Loog et al. (2020) presented a prehistory of the
double descent phenomenon. Belkin et al. (2020) proved the double descent curve in the Gaussian
model and the Fourier series model. Mei & Montanari (2019) theoretically established the double
descent curve of the random features regression. Bartlett et al. (2020); Tsigler & Bartlett (2020)
characterized the conditions for ridgeless and ridge linear regression problems, respectively, under
which the minimum-norm interpolants achieve near-optimal generalization risk. Liang et al. (2020)
showed that the test error of the minimum-norm interpolator of data in reproducing kernel Hilbert
space is upper bounded by a multiple descent curve as the model complexity increases. They also
presented a numerical result supporting that the test error itself exhibits a multiple descent curve."
INTRODUCTION,0.0022123893805309734,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.0027654867256637168,"Chen et al. (2020a) proved that the multiple descent curve does exist for the minimum-norm inter-
polator in linear regression and that the curve can be even designed."
INTRODUCTION,0.00331858407079646,"Following the parameter-wise double descent, research interest extended to epoch-wise and sample-
wise double descent (Nakkiran et al., 2020; Chen et al., 2020b; Min et al., 2021; Nakkiran et al.,
2021). Nakkiran et al. (2020) observed from their numerical result that the generalization risk ex-
periences a double descent as one keeps the model size ﬁxed and increases the training time. They
called this observation epoch-wise double descent. Nakkiran et al. (2020) also noted sample-wise
non-monotonicity, which means that more data can hurt generalization. Nakkiran et al. (2021)
proved that for isotropic features, optimally regularized ridge regression yields a monotonic gener-
alization risk curve with more samples. Nakkiran et al. (2021) also showed that if the features are
formed by projecting high-dimensional isotropic data to a random low-dimensional space (say, d-
dimensional), the optimally regularized ridge regression has a monotonic generalization risk curve
with increasing d (the model size). Sample-wise non-monotonicity and double descent was also
observed in (Chen et al., 2020b; Min et al., 2021) in adversarially trained models. C ompared to
(Wu & Xu, 2020; ichi Amari et al., 2021; Dobriban & Wager, 2018; Richards et al., 2021), in what
follows, we highlight our contributions and the differences from them. First, our major contribu-
tion is providing a rigorous proof for the existence of sample-wise (test error vs. the number of
training samples) double and multiple descent in linear regression. However, (Richards et al., 2021)
only mentioned parameter-wise double descent (test error vs. model capacity) in their related work.
(ichi Amari et al., 2021) only mentioned epoch-wise (test error vs. training time) double descent
in Appendix A.2. Neither (Richards et al., 2021) nor (ichi Amari et al., 2021) mentioned multiple
descent. Second, we made and theoretically proved the observation that an ill-conditioned covari-
ance matrix is a sufﬁcient condition for the existence of sample-wise multiple descent. To the best
of our knowledge, our work is the ﬁrst paper that pointed this out. Third, we solved the Stieltjes
transform explicitly and derived explicit formulae for the risk and variance in our setup. In addition,
we also provided rigorous treatment to the ridgeless setting and also obtained explicit formulae for
it. Fourth, there is another difference between our paper and the papers that the reviewer mentioned.
(Wu & Xu, 2020; ichi Amari et al., 2021; Dobriban & Wager, 2018; Richards et al., 2021) assumed
a prior on the true linear model and takes expectation over the prior. In our paper, we do not assume
a prior on the true linear model and our risk does not take the expectation over a random true linear
model."
INTRODUCTION,0.0038716814159292035,"In the setting of generally anisotropic features, this paper gives an asymptotic characterization of the
generalization risk curve with more samples. The asymptotic regime is an approximation for large
n, d and can also shed light on practical machine learning problems. We ﬁrst introduce our problem
setup."
PROBLEM SETUP,0.004424778761061947,"1.1
PROBLEM SETUP"
PROBLEM SETUP,0.00497787610619469,"Data Distribution
Let Σ ∈Rd×d be a positive semi-deﬁnite matrix which is termed the covari-
ance matrix, and let θ∗∈Rd. The eigenvalues of Σ are λ1, . . . , λm with multiplicity d1, . . . , dm,
respectively. We have d = Pm
i=1 di. Assume that λ1, . . . , λm are ﬁxed, distinct, all positive, and
do not depend on d (i.e., for all d, the eigenvalue of Σ are always λ1, . . . , λm). We assume the
following data distribution D for (x, y) ∈Rd × R:"
