Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.004366812227074236,"Real world tournaments are almost always intransitive. Recent works have noted
that parametric models which assume d dimensional node representations can
effectively model intransitive tournaments (Rajkumar & Agarwal (2016)). How-
ever, nothing is known about the structure of the class of tournaments that arise
out of any ﬁxed d dimensional representations. In this work, we develop a novel
theory for understanding parametric tournament representations. Our ﬁrst contri-
bution is to structurally characterize the class of tournaments that arise out of d
dimensional representations. We do this by showing that these tournament classes
have forbidden conﬁgurations which must necessarily be union of ﬂip classes, a
novel way to partition the set of all tournaments. We further characterize rank 2
tournaments completely by showing that the associated forbidden ﬂip class con-
tains just 2 tournaments. Speciﬁcally, we show that the rank 2 tournaments are
equivalent to locally-transitive tournaments. This insight allows us to show that
the minimum feedback arc set problem on this tournament class can be solved
using the standard Quicksort procedure. For a general rank d tournament class,
we show that the ﬂip class associated with a coned-doubly regular tournament of
size O(
√"
ABSTRACT,0.008733624454148471,"d) must be a forbidden conﬁguration. To answer a dual question, using
a celebrated result of Forster & Simon (2006), we show a lower bound of Ω(√n)
on the minimum dimension needed to represent all tournaments on n nodes. For
any given tournament, we show a novel upper bound on the smallest representation
dimension that depends on the least size of the number of unique nodes in any
feedback arc set of the ﬂip class associated with a tournament. We show how our
results also shed light on upper bound of sign-rank of matrices."
INTRODUCTION,0.013100436681222707,"1
INTRODUCTION"
INTRODUCTION,0.017467248908296942,"In this work, we lay the the foundations for a theory of tournament representations. A tournament is a
complete directed graph and arises naturally in several applications including ranking from pairwise
preferences, sports modeling, social choice, etc. We say that a tournament T on n nodes can be
represented in d dimensions if there exists a skew symmetric matrix M ∈Rn×n of rank d such
that a directed edge from i to j is present in T if and only if Mij > 0. Real world tournaments
are almost always intransitive (Tversky (1969); Klimenko (2015)) and it is not known what type of
tournaments can be represented in how many dimensions. This is important to understand because of
the following reason: As a modeler of preference relations using tournaments, it is often more natural
to have structural domain knowledge such as ‘The tournaments under consideration do not have
long cycles’ as opposed to algebraic domain knowledge such as ‘The rank of the skew symmetric
matrix associated with the tournaments of interest is at most k’. However, algorithms that learn
rankings from pairwise comparison data typically need as input the algebraic quantity - the rank
of the skew symmetric matrices associated with tournaments or equivalently the dimension where
they are represented (Rajkumar & Agarwal (2016)). To bridge the gap between the structural and
the algebraic world, we ask and answer two fundamental questions regarding the representations of
tournaments."
INTRODUCTION,0.021834061135371178,1) What structurally characterizes the class of tournaments that can be represented in d dimensions?
INTRODUCTION,0.026200873362445413,"2) Given a tournament T on n nodes, what is the minimum dimension d needed to represent it?."
INTRODUCTION,0.03056768558951965,Published as a conference paper at ICLR 2022 …
INTRODUCTION,0.034934497816593885,"FLIP CLASS 1
FLIP CLASS 2
FLIP CLASS k"
INTRODUCTION,0.039301310043668124,Locally Transitive
INTRODUCTION,0.043668122270742356,"Transitive
R- cone"
INTRODUCTION,0.048034934497816595,"Forbidden
2d-Representable `"
INTRODUCTION,0.05240174672489083,"FLIP CLASS 1
FLIP CLASS 2"
INTRODUCTION,0.056768558951965066,"Forbidden
Representable"
INTRODUCTION,0.0611353711790393,"Figure 1: (Left) Partitions of the set of all tournaments on n nodes using ﬂip classes. Every shaded
region is a ﬂip class partition and every circle indicates a tournament. The ﬂip class that contains
the transitive tournament (Flip class 1) is precisely the set of all locally transitive tournaments. This
is also the set of all tournaments that can be represented in 2 dimensions (Section 5). Every ﬂip
class contains a canonical representative termed the R-cone (Section 4), indicated using the larger
circle inside each ﬂip class. The tournaments that cannot be represented using d dimensions appear
as union of Forbidden Flip classes (Flip class k in Figure) (Section 4). (Right) Explicit ﬂip class
partition of the 4 possible non-isomorphic tournaments on 4 nodes. Tournaments in ﬂip class 1 can
be represented using 2 dimensions whereas tournaments in ﬂip class 2 cannot (see Section 5).
."
INTRODUCTION,0.06550218340611354,"We answer the ﬁrst question by investigating the intricate structure of the rank d tournament class
via the notion of forbidden conﬁgurations. Speciﬁcally, we show that the set of forbidden conﬁg-
uration for the rank d tournament class must necessarily be a union of ﬂip classes, a novel way to
partition the set of all tournaments into equivalence classes. We explicitly characterize the forbidden
conﬁgurations for the rank 2 tournament class and exhibit a forbidden conﬁguration for the general
rank d tournament class. Speciﬁcally, we show that the rank 2 tournaments are equivalent to locally
transitive tournaments, a previously studied class of tournaments (Cohen et al. (2004)). Our results
throw light on the connections between transitive and locally transitive tournaments and also lets us
develop a classic Quicksort based algorithm to solve that the minimum feedback arc set problem
on rank 2 tournaments with O(n2) time complexity. Our results for the general rank d tournament
class have connections to the classic long standing Hadamard conjecture and we discuss this as well.
Figure 1 gives a glimpse of some of the main results."
INTRODUCTION,0.06986899563318777,"We answer the second question by proving lower and upper bounds on the smallest dimension needed
to represent a tournament on n nodes. We exhibit a lower bound of Ω(√n) using a variation of the
celebrated dimension complexity result of Forster & Simon (2006) for sign matrices. To show upper
bounds, we introduce a novel parameter associated to a tournament called the Flip Feedback Node
set of a Tournament. This quantity depends on the least number of unique nodes in any feedback
arc set of an associated tournament class for the tournament of interest and upper bounds linearly
the representation dimension of any tournament. We show how our results can be used to provide
upper bounds on the classic notion of sign-rank of a matrix. Previously known upper bounds for sign
rank depended on the VC dimension of the associated binary function class (Alon et al. (2016)). Our
upper bounds on the other hand have a graph theoretic ﬂavour."
INTRODUCTION,0.07423580786026202,"Organization of the Paper: We discuss brieﬂy in Section 2 the foundational works this paper builds
upon. We introduce necessary preliminaries in Section 3. The answer to the ﬁrst question about
the structural characterization of d dimensional tournament classes span Sections 4, 5 and 6. We
devote Section 7 to answer the second question about the number of dimensions needed to represent
a tournament. Section 8.1 explores connections of our results to upper bounds on the sign rank of a
sign matrix. Finally, we conclude in Section 10. All proofs are defered to the Appendix."
RELATED WORK,0.07860262008733625,"2
RELATED WORK"
RELATED WORK,0.08296943231441048,"The work in this paper builds on several pieces of work across different domains. We summarize
below the most important related works under different categories:"
RELATED WORK,0.08733624454148471,Published as a conference paper at ICLR 2022
