Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.002386634844868735,"Despite extensive research on adversarial training strategies to improve robustness,
the decisions of even the most robust deep learning models can still be quite
sensitive to imperceptible perturbations, creating serious risks when deploying
them for high-stakes real-world applications. While detecting such cases may be
critical, evaluating a model’s vulnerability at a per-instance level using adversarial
attacks is computationally too intensive and unsuitable for real-time deployment
scenarios. The input space margin is the exact score to detect non-robust samples
and is intractable for deep neural networks. This paper introduces the concept of
margin consistency – a property that links the input space margins and the logit
margins in robust models – for efficient detection of vulnerable samples. First,
we establish that margin consistency is a necessary and sufficient condition to
use a model’s logit margin as a score for identifying non-robust samples. Next,
through comprehensive empirical analysis of various robustly trained models
on CIFAR10 and CIFAR100 datasets, we show that they indicate high margin
consistency with a strong correlation between their input space margins and the
logit margins. Then, we show that we can effectively and confidently use the logit
margin to detect brittle decisions with such models. Finally, we address cases
where the model is not sufficiently margin-consistent by learning a pseudo-margin
from the feature representation. Our findings highlight the potential of leveraging
deep representations to assess adversarial vulnerability in deployment scenarios
efficiently."
INTRODUCTION,0.00477326968973747,"1
Introduction"
INTRODUCTION,0.007159904534606206,"Deep neural networks are known to be vulnerable to adversarial perturbations, visually insignificant
changes in the input resulting in the so-called adversarial examples that alter the model’s prediction
(Biggio et al., 2013; Goodfellow et al., 2015). They constitute actual threats in real-world scenarios
(Evtimov et al., 2017; Gnanasambandam et al., 2021), jeopardizing their deployment in sensitive
and safety-critical systems such as autonomous driving, aeronautics, and health care. Research in
the field has been intense and produced various adversarial training strategies to defend against
the vulnerability to adversarial perturbations with bounded ℓp norm (e.g., p = 2, p = ∞) through"
INTRODUCTION,0.00954653937947494,"augmentation, regularization, and detection (Xu et al., 2017; Madry et al., 2018; Zhang et al., 2019;
Carmon et al., 2019; Wang et al., 2020; Wu et al., 2020; Rice et al., 2020), to cite a few. The empirical
robustness (adversarial accuracy) of these adversarially trained models is still far behind their high
performance in terms of accuracy. It is typically estimated by assessing the vulnerability of samples of
a given test set using adversarial attacks (Carlini & Wagner, 2016; Madry et al., 2018) or an ensemble
of attacks such as the standard AutoAttack (Croce & Hein, 2020b). The objective of that evaluation is
to determine if, for a given normal sample, an adversarial instance exists within a given ϵ-ball around
it. Yet, this robustness evaluation over a specific test set provides a global property of the model but
not a local property specific to a single instance (Seshia et al., 2018; Dreossi et al., 2019). Beyond that
specific test set, obtaining this information for each new sample would typically involve rerunning
adversarial attacks or performing a formal robustness verification, which in certain contexts may be
computationally prohibitive in terms of resources and time. Indeed, the computational cost makes it
prohibitive to estimate robust accuracy at scale on large test sets and/or large models, for example,
when using AutoAttack in standard mode. Moreover, in high-stakes deployment scenarios, knowing
the vulnerability of single instances in real-time (i.e., their susceptibility to adversarial attacks) would
be valuable, for example, to reduce risk, prioritize resources, or monitor operations. Therefore, there
is a need for efficient and scalable ways to determine the vulnerability of a model’s decision on a
given sample."
INTRODUCTION,0.011933174224343675,"The input space margin (i.e., the distance of the sample to the model’s decision boundary in the input
space), or input margin in short, can be used as a score to determine whether the sample is non-robust
and, as such, likely to be vulnerable to adversarial attacks. Computing the exact input margin is
intractable for deep neural networks (Katz et al., 2017; Elsayed et al., 2018; Jordan & Dimakis, 2020).
These input margins may not be meaningful for fragile models with zero adversarial accuracies as
all samples are vulnerable (close to the decision boundary). However, for robustly trained models,
where only certain instances are vulnerable, the input margin is very useful for identifying the critical
samples. Previous research studies have explored input margins of deep neural networks during
training, focusing on their temporal evolution (Mickisch et al., 2020; Xu et al., 2023), and their
exploitation in improving adversarial robustness through instance-reweighting with approximations
(Zhang et al., 2020; Liu et al., 2021) and margin maximization (Elsayed et al., 2018; Ding et al., 2020;
Xu et al., 2023). However, to the best of our knowledge, no previous research studies the relationship
between the input space margin and the logit margin of robustly trained deep classifiers in the context
of vulnerability detection."
INTRODUCTION,0.014319809069212411,"In this paper, we investigate how the deep representation of robust models can provide information
about the vulnerability of any single sample to adversarial attacks. We specifically address whether
the logit margin as an approximation of the distance to the decision boundary in the feature space
of the deep neural network (penultimate layer) can reliably serve as a proxy of the input margin
for vulnerability detection. When this holds, we will refer to the model as being margin-consistent.
The margin consistency property implies that the model can directly identify instances where its
robustness may be compromised simply from a simple forward pass using the logit margin. Fig. 1
illustrates this idea of margin consistency. The following contributions are presented in the paper:"
INTRODUCTION,0.016706443914081145,"• We introduce the notion of margin consistency1, a property to characterize robust models that
allow the use of their logit margin as a proxy estimation for the input space margin in the context
of non-robust sample detection. We prove that margin consistency is a necessary and sufficient
condition to reliably use the logit margin for detecting non-robust samples.
• Through an extensive empirical investigation of pre-trained models on CIFAR10 and CIFAR100
with various adversarial training strategies, mainly taken from RobustBench (Croce et al., 2021),
we provide evidence that almost all the investigated models display high margin consistency, i.e.,
there is a strong correlation between the input margin and the logit margin.
• We confirm experimentally that models with high margin consistency perform well in detecting
samples vulnerable to adversarial attacks based on their logit margin. In contrast, models with
weaker margin consistency exhibit poorer performance.
• For models where margin consistency does not hold, exhibiting a weak correlation between the
input margins and the logit margins, we simulate margin consistency by learning to map the
model’s feature representation to a pseudo-margin with a better correlation through a simple
learning scheme."
INTRODUCTION,0.01909307875894988,1Code available at: https://github.com/ngnawejonas/margin-consistency
INTRODUCTION,0.021479713603818614,"ball
Model's Decision Boundary
Robust area with radius"
