Section,Section Appearance Order,Paragraph
SOUTHEAST UNIVERSITY,0.0,"1Southeast University
2MoE Key Lab of Artificial Intelligence, Shanghai Jiao Tong University
3Shanghai AI Laboratory
4Harbin Institute of Technology
5COWAROBOT Co. Ltd.
{yuyi,dafp}@seu.edu.cn, 21b905003@stu.hit.edu.cn
{yangxue-2019-sjtu,sjtu_zy,lizaozhouke,yanjunchi}@sjtu.edu.cn
PyTorch Code:
https://github.com/open-mmlab/mmrotate"
ABSTRACT,0.003663003663003663,Abstract
ABSTRACT,0.007326007326007326,"With the rapidly increasing demand for oriented object detection, e.g. in au-
tonomous driving and remote sensing, the recently proposed paradigm involving
weakly-supervised detector H2RBox for learning rotated box (RBox) from the
more readily-available horizontal box (HBox) has shown promise. This paper
presents H2RBox-v2, to further bridge the gap between HBox-supervised and
RBox-supervised oriented object detection. Specifically, we propose to leverage
the reflection symmetry via flip and rotate consistencies, using a weakly-supervised
network branch similar to H2RBox, together with a novel self-supervised branch
that learns orientations from the symmetry inherent in visual objects. The detector
is further stabilized and enhanced by practical techniques to cope with periph-
eral issues e.g. angular periodicity. To our best knowledge, H2RBox-v2 is the
first symmetry-aware self-supervised paradigm for oriented object detection. In
particular, our method shows less susceptibility to low-quality annotation and insuf-
ficient training data compared to H2RBox. Specifically, H2RBox-v2 achieves very
close performance to a rotation annotation trained counterpart – Rotated FCOS:
1) DOTA-v1.0/1.5/2.0: 72.31%/64.76%/50.33% vs. 72.44%/64.53%/51.77%; 2)
HRSC: 89.66% vs. 88.99%; 3) FAIR1M: 42.27% vs. 41.25%."
INTRODUCTION,0.01098901098901099,"1
Introduction"
INTRODUCTION,0.014652014652014652,"Object detection has been studied extensively, with early research focusing mainly on horizontal
detection [1, 2]. When fine-grained bounding boxes are required, oriented object detection [3] is
considered more preferable, especially in complex scenes such as aerial images [4–8], scene text
[9–13], retail scenes [14], and industrial inspection [15, 16]."
INTRODUCTION,0.018315018315018316,"With oriented object detection being featured, some horizontal-labeled datasets have been re-
annotated, such as DIOR [17] to DIOR-R [18] for aerial image (192K instances) and SKU110K [19]
to SKU110K-R [14] for retail scene (1,733K instances). Although re-annotation enables the training
of oriented detectors, two facts cannot be ignored: 1) Horizontal boxes (HBoxes) are more readily
available in existing datasets; 2) Rotated box (RBox) or Mask annotation are more expensive."
INTRODUCTION,0.02197802197802198,"∗Equal contribution.
†Corresponding author. The work was partly supported by National Natural Science Foundation of China
(62306069, 62222607), Shanghai Municipal Science and Technology Major Project (2021SHZDZX0102),
Special Project on Basic Research of Frontier Leading Technology of Jiangsu Province of China (BK20192004C),
and China Postdoctoral Science Foundation (2023M740602). Yi Yu is also supported by Jiangsu Funding
Program for Excellent Postdoctoral Talent (2023ZB616)."
INTRODUCTION,0.02564102564102564,"BoxInst-RBox
BoxLevelSet-RBox
H2RBox
H2RBox"
INTRODUCTION,0.029304029304029304,"SAM-RBox
SAM-RBox
SAM-RBox
SAM-RBox"
INTRODUCTION,0.03296703296703297,"H2RBox-v2
H2RBox-v2
H2RBox-v2
H2RBox-v2"
INTRODUCTION,0.03663003663003663,"Figure 1: Visual comparisons of HBox-supervised oriented detectors, including BoxInst-RBox (2021)
[21], BoxLevelSet-RBox (2022) [22], H2RBox (2023) [20] in the first row, SAM-RBox (2023) [23]
in the second row, and H2RBox-v2 (our work) in the third row."
INTRODUCTION,0.040293040293040296,"Such a situation raises an interesting question: Can we achieve oriented object detection directly
under the weak supervision of HBox annotation? Yang et al. [20] explored this new task setting and
proposed the first general solution called HBox-to-RBox (H2RBox) in 2023."
INTRODUCTION,0.04395604395604396,"H2RBox gives an effective paradigm and outperforms potential alternatives, including HBox-Mask-
RBox (generating RBoxes from segmentation mask) powered by BoxInst [21] and BoxLevelSet [22],
the state-of-the-art HBox-supervised instance segmentation methods. Yet it is not impeccable at
least in two folds: 1) H2RBox learns the angle from the geometry of circumscribed boxes, requiring
high annotation quality and a large number of training data containing the same object in various
orientations. 2) H2RBox requires quite restrictive working conditions. For example, it is incompatible
with rotation augmentation and is sensitive to black borders on images."
INTRODUCTION,0.047619047619047616,"If the above requirements are not met, H2RBox may perform far below expectations. As a result,
H2RBox does not support some small datasets (e.g. HRSC [5]) and some augmentation methods (e.g.
random rotation), leading to bottlenecks in its application scenarios and performance."
INTRODUCTION,0.05128205128205128,"By rethinking HBox-supervised oriented object detection with a powerful yet unexplored theory,
symmetry-aware self-supervision, we present H2RBox-v2, a new version of H2RBox that exploits
the symmetry of objects and solves the above issues."
INTRODUCTION,0.054945054945054944,"Motivation: Symmetry is a natural and popular property in vision [24]. For example, in the DOTA
dataset [4], many categories (planes, courts, vehicles, ships, etc.) show significant reflection symmetry.
For RBox annotation, symmetry is also an important consideration—Humans can intuitively take the
direction of the symmetrical axis as the orientation, even without annotation guidance. Is there a way
to use symmetry as a supervising tool in deep neural networks for oriented object detection? Will this
technique lead to better performance? These are the questions for which this paper is intended."
INTRODUCTION,0.05860805860805861,"What is new in H2RBox-v2? 1) A new self-supervised branch leaning angle from symmetry.
H2RBox-v2 directly learns angles from the image through the symmetry of objects. That means it
is capable of learning the angles correctly even if the HBox annotations are inaccurate in size (not"
INTRODUCTION,0.06227106227106227,Table 1: Comparison between H2RBox [20] (denoted as “v1”) and H2RBox-v2 (ours).
INTRODUCTION,0.06593406593406594,"Arch.1
SS View
Transform"
INTRODUCTION,0.0695970695970696,"Angle Acquisition
Principle"
INTRODUCTION,0.07326007326007326,"Aug. Applicability MS
RR"
INTRODUCTION,0.07692307692307693,Dataset Applicability2
INTRODUCTION,0.08058608058608059,"DOTA
HRSC
FAIR1M
Gap3"
INTRODUCTION,0.08424908424908426,"v1
WS+SS
Rotate
Geometric Constraints
Rotate Consistency
✓
×
✓
×
✓
-3.41%"
INTRODUCTION,0.08791208791208792,"v2
WS+SS
Flip
Rotate"
INTRODUCTION,0.09157509157509157,"Symmetry-aware
Learning
✓
✓
✓
✓
✓
+0.07%"
INTRODUCTION,0.09523809523809523,"1 WS: Weakly-supervised, SS: Self-supervised. 2 Based on whether the training converges on the dataset.
3 Performance gap of AP50 compared to RBox-supervision (i.e. FCOS) average on datasets with “✓”."
INTRODUCTION,0.0989010989010989,"precisely the circumscribed rectangle, see Table 9) or when the training data is relatively insufficient
(see Table 10). 2) A newly designed CircumIoU loss in the weakly-supervised branch. With this
amendment, H2RBox-v2 is now compatible with random rotation augmentation. 3) As a result,
H2RBox-v2 gives a higher performance (as is displayed in Fig. 1 and Table 1), further bridging the
gap between HBox-supervised and RBox-supervised oriented object detection."
