Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.006024096385542169,"Sensory neuroprostheses are emerging as a promising technology to restore lost
sensory function or augment human capabilities. However, sensations elicited
by current devices often appear artificial and distorted. Although current models
can predict the neural or perceptual response to an electrical stimulus, an optimal
stimulation strategy solves the inverse problem: what is the required stimulus to
produce a desired response? Here, we frame this as an end-to-end optimization
problem, where a deep neural network stimulus encoder is trained to invert a known
and fixed forward model that approximates the underlying biological system. As a
proof of concept, we demonstrate the effectiveness of this hybrid neural autoencoder
(HNA) in visual neuroprostheses. We find that HNA produces high-fidelity patient-
specific stimuli representing handwritten digits and segmented images of everyday
objects, and significantly outperforms conventional encoding strategies across all
simulated patients. Overall this is an important step towards the long-standing
challenge of restoring high-quality vision to people living with incurable blindness
and may prove a promising solution for a variety of neuroprosthetic technologies."
INTRODUCTION,0.012048192771084338,"1
Introduction"
INTRODUCTION,0.018072289156626505,"Sensory neuroprostheses are emerging as a promising technology to restore lost sensory function or
augment human capacities [1, 2]. In such devices, diminished sensory modalities (e.g., hearing [3],
vision [4, 5], cutaneous touch [6]) are re-enacted through streams of artificial input to the nervous
system. For example, visual neuroprostheses electrically stimulate neurons in the early visual system
to elicit neuronal responses that the brain interprets as visual percepts. Such devices have the potential
to restore a rudimentary form of vision to millions of people living with incurable blindness."
INTRODUCTION,0.024096385542168676,"However, all of these technologies face the challenge of interfacing with a highly nonlinear system of
biological neurons whose role in perception is not fully understood. Due to the limited resolution of
electrical stimulation, prostheses often create neural response patterns foreign to the brain. Conse-
quently, sensations elicited by current sensory neuroprostheses often appear artificial and distorted
[7, 8]. A major outstanding challenge is thus to identify a stimulus encoding that leads to perceptually
intelligible sensations. Often there exists a forward model, f (Fig. 1A), constrained by empirical
data, that can predict a neuronal or (ideally) perceptual response to the applied stimulus (see [9] for a
recent review). To find the stimulus that will elicit a desired response, one essentially needs to find"
INTRODUCTION,0.030120481927710843,"Figure 1: A) Sensory neuroprosthesis. A forward model (f) is used to approximate the neuronal or,
ideally, perceptual response to electrical stimuli. B) Hybrid neural autoencoder (HNA). A deep neural
encoder (f −1) is trained to predict the patterns of electrical stimulation that elicit responses closest
to the target. C) Visual neuroprostheses are one prominent application of HNA, where an encoder
can be trained to predict the electrical stimulation needed to elicit a desired visual percept. D) The
trained encoder is deployed on a vision processing unit (VPU), predicting stimuli in real-time that are
decoded by the patient’s visual cortex."
INTRODUCTION,0.03614457831325301,"the inverse of the forward model, f −1. However, realistic forward models are rarely analytically
invertible, making this a challenging open problem for neuroprostheses."
INTRODUCTION,0.04216867469879518,"Here we propose to approach this as an end-to-end optimization problem, where a deep neural
network (DNN) (encoder) is trained to invert a known, fixed forward model (decoder, Fig. 1B).
The encoder is trained to predict the patterns of electrical stimulation patterns that elicit perception
(e.g., vision, audition) or neural responses (e.g., firing rates) closest to the target. This hybrid neural
autoencoder (HNA) could in theory be used to optimize stimuli for any open-loop neuroprosthesis
with a known forward model that approximates the underlying biological system."
INTRODUCTION,0.04819277108433735,"In order to optimize end-to-end, the forward model must be differentiable and computationally
efficient. When this is not the case, an alternative approach is to train a surrogate neural network,
ˆf, to approximate the forward model [10–13]. However, even well-trained surrogates may result in
errors when included in our end-to-end framework, due to the encoders’ ability to learn to exploit the
surrogate model. We therefore also evaluate whether a surrogate approach to HNA is suitable."
INTRODUCTION,0.05421686746987952,"To this end, we make the following contributions:"
