Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.000980392156862745,"Recent work (Nguyen et al., 2021) has uncovered a striking phenomenon in large-
capacity neural networks: they contain blocks of contiguous hidden layers with
highly similar representations. This block structure has two seemingly contra-
dictory properties: on the one hand, its constituent layers have highly similar
dominant ﬁrst principal components (PCs), but on the other hand, their represen-
tations, and their common ﬁrst PC, are highly dissimilar across different random
seeds. Our work seeks to reconcile these discrepant properties by investigating
the origin of the block structure in relation to the data and training methods. By
analyzing properties of the dominant PCs, we ﬁnd that the block structure arises
from dominant datapoints — a small group of examples that share similar im-
age statistics (e.g. background color). However, the set of dominant datapoints,
and the precise shared image statistic, can vary across random seeds. Thus, the
block structure reﬂects meaningful dataset statistics, but is simultaneously unique
to each model. Through studying hidden layer activations and creating synthetic
datapoints, we demonstrate that these simple image statistics dominate the repre-
sentational geometry of the layers inside the block structure. We also explore how
the phenomenon evolves through training, ﬁnding that the block structure takes
shape early in training, but the underlying representations and the corresponding
dominant datapoints continue to change substantially. Finally, we study the inter-
play between the block structure and different training mechanisms, introducing
a targeted intervention to eliminate the block structure, as well as examining the
effects of pretraining and Shake-Shake regularization."
INTRODUCTION,0.00196078431372549,"1
INTRODUCTION"
INTRODUCTION,0.0029411764705882353,"Many modern successes of deep neural networks have used simple rules to systematically increase
model capacity, often through scaling architecture depth and width (Tan & Le, 2019). These large
capacity models typically also maintain strong performance even in tasks with small amounts of
training data. This has led to their widespread use across different many applications, including
data-scarce, high-stakes settings such as medical imaging (Wang et al., 2016; Liu et al., 2017)."
INTRODUCTION,0.00392156862745098,"However, recent work has shown that the representational structures of these large capacity models
exhibit distinctive properties that are not present in shallower/narrower networks. Speciﬁcally, when
using linear centered kernel alignment (CKA) (Kornblith et al., 2019) to measure similarity between
hidden representations of neural network layers, Nguyen et al. (2021) ﬁnd that a large set of con-
tiguous layers that share highly similar representations. This is visible as a clear block structure in
the heatmap of pairwise linear CKA similarities between layers (see Figure 1a). This block structure
phenomenon is robust, appearing both in models trained on natural image datasets and in models
trained on medical imaging datasets (Figure 1b)."
INTRODUCTION,0.004901960784313725,"The emergence of the block structure as model capacity increases does not merely indicate a change
in relationships among layer representations; it is also associated with changes in the properties of
individual representations. As shown in Figure 2a, layer representation inside the block structure
have dominant ﬁrst principal components (PCs) that explain the majority of variance in activations,
whereas the ﬁrst PCs of representations of layers outside the block structure, or in networks without
block structure, explain far less variance. But counterintuitively, although layer representations and"
INTRODUCTION,0.0058823529411764705,Under review as a conference paper at ICLR 2022 (a)
INTRODUCTION,0.006862745098039216,25 50 75 25 50 75 Layer
INTRODUCTION,0.00784313725490196,ResNet-26 1×
INTRODUCTION,0.008823529411764706,50 100 150
INTRODUCTION,0.00980392156862745,ResNet-44 1×
INTRODUCTION,0.010784313725490196,"150
300"
INTRODUCTION,0.011764705882352941,ResNet-110 1×
INTRODUCTION,0.012745098039215686,"250
500"
INTRODUCTION,0.013725490196078431,ResNet-164 1×
INTRODUCTION,0.014705882352941176,"50
100
Layer 50 100 Layer"
INTRODUCTION,0.01568627450980392,ResNet-38 1×
INTRODUCTION,0.016666666666666666,"50
100
Layer"
INTRODUCTION,0.01764705882352941,ResNet-38 2×
INTRODUCTION,0.018627450980392157,"50
100
Layer"
INTRODUCTION,0.0196078431372549,ResNet-38 8×
INTRODUCTION,0.020588235294117647,"50
100
Layer"
INTRODUCTION,0.021568627450980392,Deeper Wider
INTRODUCTION,0.022549019607843137,ResNet-38 10×
INTRODUCTION,0.023529411764705882,"0
1
Similarity (b)"
INTRODUCTION,0.024509803921568627,25 50 75 25 50 75 Layer
INTRODUCTION,0.025490196078431372,"CIFAR-100
ResNet-26 1×"
INTRODUCTION,0.026470588235294117,"300
600"
INTRODUCTION,0.027450980392156862,ResNet-218 1×
INTRODUCTION,0.028431372549019607,25 50 75
INTRODUCTION,0.029411764705882353,ResNet-26 10×
INTRODUCTION,0.030392156862745098,"25
50
Layer 25 50 Layer"
INTRODUCTION,0.03137254901960784,"Patch Camelyon
ResNet-20 1×"
INTRODUCTION,0.03235294117647059,"125
250
Layer"
INTRODUCTION,0.03333333333333333,ResNet-80 1×
INTRODUCTION,0.03431372549019608,"25
50
Layer"
INTRODUCTION,0.03529411764705882,ResNet-20 10×
INTRODUCTION,0.03627450980392157,"Figure 1: (a): Block structure arises in wide and deep networks. Heatmaps show similarity between layer
representations, measured with linear CKA, for models of varying widths and depths trained on CIFAR-10.
As models become wider or deeper, “blocks” of consecutive layers share similar representations. (b): Block
structure arises on many datasets. Models trained on CIFAR-100 and the medical histopathology dataset
Patch Camelyon show similar behavior to those in panel (a). (a)"
INTRODUCTION,0.03725490196078431,"10
20
30
Layer 0 1"
INTRODUCTION,0.03823529411764706,Frac. Var. Exp.
INTRODUCTION,0.0392156862745098,"10
20
30 10 20 30 Layer"
INTRODUCTION,0.04019607843137255,ResNet-38 (2×)
INTRODUCTION,0.041176470588235294,"10
20
30
Layer 0"
INTRODUCTION,0.04215686274509804,"1
10
20
30 10 20 30"
INTRODUCTION,0.043137254901960784,"ResNet-38 (10×)
(b)"
INTRODUCTION,0.04411764705882353,25 50 75 25 50 75 Layer
INTRODUCTION,0.045098039215686274,"ResNet-32 1×
Seed 0"
INTRODUCTION,0.04607843137254902,25 50 75
INTRODUCTION,0.047058823529411764,Seed 1
INTRODUCTION,0.04803921568627451,25 50 75
INTRODUCTION,0.049019607843137254,Seed 0 vs. 1
INTRODUCTION,0.05,"250
500
Layer 250 500 Layer"
INTRODUCTION,0.050980392156862744,"ResNet-164 1×
Seed 0"
INTRODUCTION,0.05196078431372549,"250
500
Layer"
INTRODUCTION,0.052941176470588235,Seed 1
INTRODUCTION,0.05392156862745098,"250
500
Layer"
INTRODUCTION,0.054901960784313725,Seed 0 vs. 1
