Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0016891891891891893,"Designing deep networks robust to adversarial examples remains an open problem.
Likewise, recent zeroth-order hard-label attacks on image classiﬁcation models
have shown comparable performance to their ﬁrst-order, gradient-level alternatives.
It was recently shown in the gradient-level setting that regular adversarial examples
leave the data manifold, while their on-manifold counterparts are in fact generaliza-
tion errors. In this paper, we argue that query efﬁciency in the zeroth-order setting
is connected to an adversary’s traversal through the data manifold. To explain this
behavior, we propose an information-theoretic argument based on a noisy manifold
distance oracle, which leaks manifold information through the adversary’s gradient
estimate. Through numerical experiments of manifold-gradient mutual information,
we show this behavior acts as a function of the effective problem dimensional-
ity. On high-dimensional real-world datasets and multiple zeroth-order attacks
using dimension reduction, we observe the same behavior to produce samples
closer to the data manifold. This can result in up to 4x decrease in the manifold
distance measure, regardless of the model robustness. Our results suggest that
taking the manifold-gradient mutual information into account can thus inform
better robust model design in the future, and avoid leakage of the sensitive data
manifold information."
INTRODUCTION,0.0033783783783783786,"1
INTRODUCTION"
INTRODUCTION,0.005067567567567568,"Adversarial examples against deep learning models were originally investigated as blind spots in
classiﬁcation (Szegedy et al., 2013; Goodfellow et al., 2014). Formal methods for discovering these
blind spots emerged, which we denote as gradient-level attacks, and became the ﬁrst techniques to
reach widespread attention within the deep learning community (Papernot et al., 2016; Moosavi-
Dezfooli et al., 2015; Carlini & Wagner, 2016; 2017; Chen et al., 2018). In order to compute the
necessary gradient information, such techniques required access to the model parameters and a
sizeable query budget. These shortcomings were addressed by the creation of score-level attacks,
which only require the conﬁdence values output by the deep learning models (Fredrikson et al.,
2015; Tram`er et al., 2016; Chen et al., 2017; Ilyas et al., 2018). However, these attacks still rely on
models to divulge information that would be impractical to receive in real-world systems. By contrast,
hard-label attacks make no assumptions about receiving side information, and only the predicted
class is observable, thus providing the weakest, yet most realistic adversarial threat model. These
methods, which originated from a random-walk on the decision boundary (Brendel et al., 2017), have
been carefully reﬁned to offer convergence guarantees (Cheng et al., 2019), query efﬁciency (Chen
et al., 2019; Cheng et al., 2020), and capability in the physical world Feng et al. (2020)."
INTRODUCTION,0.006756756756756757,"Despite the steady improvements of hard-label attacks, open questions persist about their behavior,
and adversarial machine learning (AML) attacks at large. Adversarial examples were originally
assumed to lie in rare pockets of the input space (Goodfellow et al., 2014), but this conventional
wisdom was later challenged by the boundary tilting assumption (Tanay & Grifﬁn, 2016; Gilmer
et al., 2018), which adopts a “data-geometric” view of the input space living on a lower-dimensional
manifold. This is supported by Stutz et al. (2019), who suggest that regular adversarial examples
leave the data manifold, while on-manifold adversarial examples are generalization errors. From a
data-geometric perspective, an adversarial example’s distance to the manifold primarily describes"
INTRODUCTION,0.008445945945945946,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.010135135135135136,"the amount of semantic features preserved during the attack process. This makes it advantageous to
produce on-manifold adversarial examples, since the adversary can exploit the inherent generalization
error of the model while producing samples that are semantically similar for humans. However, the
true data manifold is either difﬁcult or impossible to describe, and relying solely on approximations
of the manifold can lead to the creation of crude adversarial examples (Stutz et al., 2019)."
INTRODUCTION,0.011824324324324325,"In this paper, we adopt the boundary-tilting assumption and demonstrate an unexpected beneﬁt of
query-efﬁcient zeroth-order attacks, i.e., attacks enabled by the use of dimensionality reduction
techniques. These attacks are more likely to discover on-manifold examples, which we theoretically
demonstrate is the result of manifold-gradient mutual information. Our results suggest that this
quantity can increase as a function of the data dimensionality. This information leakage leads to
adversarial examples that are on-manifold generalization errors. With this knowledge, we empirically
demonstrate how to improve hard-label attacks in a generic yet principled way, and potentially
re-think their interaction with model robustness and public-facing systems in the near future."
INTRODUCTION,0.013513513513513514,"For clarity, we provide a block diagram of our claims and experiments in the Appendix (Section A.3).
Our speciﬁc contributions are as follows:"
INTRODUCTION,0.015202702702702704,"• Introduction of manifold distance oracle. To create on-manifold examples, the adversary must
(implicitly) leverage manifold information during the attack phase. We thus propose an information-
theoretic formulation of the noisy manifold distance (NMD) oracle, which can explain how zeroth-
order attacks craft on-manifold examples. We theoretically demonstrate on a Gaussian data model
that manifold-gradient mutual information can increase as a function of data dimensionality. We
empirically show this is true even on large-scale image datasets such as CIFAR-10 and ImageNet.
This ﬁnding relates to known behavior in the gradient-level setting, where semantic manifold priors
(e.g., shapes and textures) can be leaked from robust models (Engstrom et al., 2019)."
INTRODUCTION,0.016891891891891893,"• Reveal new insights of manifold feedback during query-efﬁcient zeroth-order search. In
practice, the data manifold is difﬁcult to characterize. We propose the use of three proxies for
manifold distance, which all show consistent results in terms of an adversary’s ability to search
near the manifold. This methodology allows us to empirically demonstrate the connection between
dimension reduction, model robustness, and manifold feedback from the model, beyond the known
convergence rates tied to dimensionality (Nesterov & Spokoiny, 2017). Our ﬁndings inform how to
search closer to the manifold (Table 1), reduce gradient deviation (Table 2), and improve query
efﬁciency (Figure 2) in a simple and generic way for hard-label attacks."
INTRODUCTION,0.018581081081081082,"• Attack-agnostic method for super-pixel grouping. We show that spatial dimension reduction of
a decision-based gradient estimate acts as an attack- and knowledge-agnostic method for searching
over super-pixels of an image. More importantly, this helps an attacker exploit a model’s reaction
to salient input changes, leading to samples closer to the manifold compared to the attack on full
dimension. As a result, we demonstrate up to 200% and 340% success rate improvement for
state-of-the-art hard-label attacks HSJA (Chen et al., 2019) and Sign-OPT attack (Cheng et al.,
2020), respectively."
RELATED WORK,0.02027027027027027,"2
RELATED WORK"
