Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0017793594306049821,"Finding the values of model parameters from data is an essential task in science.
1"
ABSTRACT,0.0035587188612099642,"While iterative optimization algorithms like BFGS can find solutions to inverse
2"
ABSTRACT,0.005338078291814947,"problems with machine precision for simple problems, their reliance on local in-
3"
ABSTRACT,0.0071174377224199285,"formation limits their effectiveness for complex problems involving local minima,
4"
ABSTRACT,0.008896797153024912,"chaos, or zero-gradient regions. This study explores the potential for overcoming
5"
ABSTRACT,0.010676156583629894,"these limitations by jointly optimizing multiple examples. To achieve this, we
6"
ABSTRACT,0.012455516014234875,"employ neural networks to reparameterize the solution space and leverage the
7"
ABSTRACT,0.014234875444839857,"training procedure as an alternative to classical optimization. This approach is as
8"
ABSTRACT,0.01601423487544484,"versatile as traditional optimizers and does not require additional information about
9"
ABSTRACT,0.017793594306049824,"the inverse problems, meaning it can be added to existing general-purpose opti-
10"
ABSTRACT,0.019572953736654804,"mization libraries. We evaluate the effectiveness of this approach by comparing it
11"
ABSTRACT,0.021352313167259787,"to traditional optimization on various inverse problems involving complex physical
12"
ABSTRACT,0.023131672597864767,"systems, such as the incompressible Navier-Stokes equations. Our findings reveal
13"
ABSTRACT,0.02491103202846975,"significant improvements in the accuracy of the obtained solutions.
14"
INTRODUCTION,0.026690391459074734,"1
Introduction
15"
INTRODUCTION,0.028469750889679714,"Estimating model parameters by solving inverse problems [Tar05] is a central task in scientific
16"
INTRODUCTION,0.030249110320284697,"research, from detecting gravitational waves [GH18] to controlling plasma flows [MLA+19] to
17"
INTRODUCTION,0.03202846975088968,"searching for neutrinoless double-beta decay [AAA+13, AAA+18]. Iterative optimization algorithms,
18"
INTRODUCTION,0.033807829181494664,"such as limited-memory BFGS [LN89] or Gauss-Newton [GM78], are often employed for solving
19"
INTRODUCTION,0.03558718861209965,"unconstrained parameter estimation problems [PTVF07]. These algorithms offer advantages such
20"
INTRODUCTION,0.037366548042704624,"as ease of use, broad applicability, quick convergence, and high accuracy, typically limited only
21"
INTRODUCTION,0.03914590747330961,"by noise in the observations and floating point precision. However, they face several fundamental
22"
INTRODUCTION,0.04092526690391459,"problems that are rooted in the fact that these algorithms rely on local information, i.e., objective
23"
INTRODUCTION,0.042704626334519574,"values L(xk) and derivatives close to the current solution estimate xk, such as the gradient ∂L/∂x|xk
24"
INTRODUCTION,0.04448398576512456,"and the Hessian matrix ∂2L/∂x2|xk. Acquiring non-local information can be done in low-dimensional
25"
INTRODUCTION,0.046263345195729534,"solution spaces, but the curse of dimensionality prevents this approach for high-dimensional problems.
26"
INTRODUCTION,0.04804270462633452,"These limitations lead to poor performance or failure in various problem settings:
27"
INTRODUCTION,0.0498220640569395,"• Local optima attract the optimizer in the absence of a counter-acting force. Although using a
28"
INTRODUCTION,0.051601423487544484,"large step size or adding momentum to the optimizer can help to traverse small local minima,
29"
INTRODUCTION,0.05338078291814947,"local optimizers are fundamentally unable to avoid this issue.
30"
INTRODUCTION,0.05516014234875445,"• Flat regions can cause optimizers to become trapped along one or multiple directions.
31"
INTRODUCTION,0.05693950177935943,"Higher-order solvers can overcome this issue when the Hessian only vanishes proportionally
32"
INTRODUCTION,0.05871886120996441,"with the gradient, but all local optimizers struggle in zero-gradient regions.
33"
INTRODUCTION,0.060498220640569395,"• Chaotic regions, characterized by rapidly changing gradients, are extremely hard to optimize.
34"
INTRODUCTION,0.06227758007117438,"Iterative optimizers typically decrease their step size to compensate, which prevents the
35"
INTRODUCTION,0.06405693950177936,"optimization from progressing on larger scales.
36"
INTRODUCTION,0.06583629893238434,"In many practical cases, a set of observations is available, comprising many individual parameter
37"
INTRODUCTION,0.06761565836298933,"estimation problems, e.g., when repeating experiments multiple times or collecting data over a time
38"
INTRODUCTION,0.0693950177935943,"frame [CCC+19, DJO+18, GH18, AAA+13, MAL13] and, even in the absence of many recorded
39"
INTRODUCTION,0.0711743772241993,"samples, synthetic data can be generated to supplement the data set. Given such a set of inverse
40"
INTRODUCTION,0.07295373665480427,"problems, we pose the question: Can we find better solutions xi to general inverse problems by
41"
INTRODUCTION,0.07473309608540925,"optimizing them jointly instead of individually, without requiring additional information about the
42"
INTRODUCTION,0.07651245551601424,"problems?
43"
INTRODUCTION,0.07829181494661921,"To answer this question, we employ neural networks to formulate a joint optimization problem.
44"
INTRODUCTION,0.0800711743772242,"Neural networks as general function approximators are a natural and straightforward way to enable
45"
INTRODUCTION,0.08185053380782918,"joint optimization of multiple a priori independent examples. They have been extensively used in
46"
INTRODUCTION,0.08362989323843416,"the field of machine learning [GBCB16], and a large number of network architectures have been
47"
INTRODUCTION,0.08540925266903915,"developed, from multilayer perceptrons (MLPs) [Hay94] to convolutional networks (CNNs) [KSH12]
48"
INTRODUCTION,0.08718861209964412,"to transformers [VSP+17]. Overparameterized neural network architectures typically smoothly
49"
INTRODUCTION,0.08896797153024912,"interpolate the training data [BHM18, BPL21], allowing them to generalize, i.e., make predictions
50"
INTRODUCTION,0.09074733096085409,"about data the network was not trained on.
51"
INTRODUCTION,0.09252669039145907,"It has recently been shown that this generalization capability or inductive bias benefits the optimization
52"
INTRODUCTION,0.09430604982206406,"of individual problems with grid-like solution spaces by implicitly adding a prior to the optimization
53"
INTRODUCTION,0.09608540925266904,"based on the network architecture [UVL18, HSDG19]. However, these effects have yet to be
54"
