Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.003676470588235294,"It has been observed that the generalization performance of neural networks corre-
lates with the sharpness of their loss landscape. Dinh et al. (2017) [8] have observed
that existing formulations of sharpness measures fail to be invariant with respect to
scaling and reparametrization. While some scale-invariant measures have recently
been proposed, reparametrization-invariant measures are still lacking. Moreover,
they often do not provide any theoretical insights into generalization performance
nor lead to practical use to improve the performance. Based on an information
geometric analysis of the neural network parameter space, in this paper we propose
a reparametrization-invariant sharpness measure that captures the change in loss
with respect to changes in the probability distribution modeled by neural networks,
rather than with respect to changes in the parameter values. We reveal some the-
oretical connections of our measure to generalization performance. In particular,
experiments confirm that using our measure as a regularizer in neural network
training significantly improves performance."
INTRODUCTION,0.007352941176470588,"1
Introduction"
INTRODUCTION,0.011029411764705883,"From recent discoveries in deep learning, it has been conjectured that the generalization performance
of neural networks correlates with the sharpness of their loss landscape. In particular, lower general-
ization performance of large-batch training of stochastic gradient descent (SGD) has been attributed
to its convergence to sharper minima [22, 49], and several optimization methods have shown better
generalization performance by actively finding solutions with lower sharpness [7, 19, 4, 43, 12, 24].
Minimum description length (MDL)-based arguments [16, 17] and the generalization upper bound of
the PAC-Bayes theory for neural networks [10] also suggest that the flatter the loss landscape, the
better the generalization performance. Furthermore, in [21, 32], measures based on the sharpness
concept show better performance in predicting the generalization performance of models among
various generalization measures considered in the past including the margin [5] and norm [34, 33]."
INTRODUCTION,0.014705882352941176,"Various measures for sharpness and flatness have been proposed in the literature. Hochreiter &
Schmidhuber (1997) [17] propose the concept of ‘flat minima,’ in which the flatness of a minimum
is interpreted as the volume of the connected region in the parameter space over which the loss has
approximately similar values. Similarly, the sharpness has often been measured by the maximum loss
value (inside a Euclidean ball) near the minimum [22] or by the spectral norm of the Hessian at the
minimum [49]."
INTRODUCTION,0.01838235294117647,"The above definitions of sharpness have some notable critical flaws. Dinh et al. (2017) [8] point out
that certain parameter scalings (e.g., for neural networks with ReLU activation functions [31]) and
reparametrizations may have no effect on the model output or overall generalization performance,
and yet lead to wildly different values of sharpness.1 Other sharpness measures have been proposed
to address the lack of scale-invariance [26, 46, 40, 39], but these measures fail to be invariant with
respect to reparametrizations; Section 5 of [8] offers several nonlinear reparametrization examples.
The connections between sharpness and generalization performance also remain elusive."
INTRODUCTION,0.022058823529411766,"In this paper we address the lack of scale- and reparametrization-invariance of existing sharpness
measures, as well as the problem that they often do not explain the generalization performance of deep
learning networks nor lead to practical use to improve the performance. Our approach rests on the
observation and insight that sharpness should be measured taking into proper account the geometry
of the underlying parameter space. For this purpose we draw upon tools from information geometry,
paying attention to the fact that in most classification problems, probabilistic classification models
are parametrized in terms of neural networks. In information geometry, the Fisher information matrix
(FIM) serves as a natural Riemannian metric for the parameter space [3] and allows for measuring
the change in probability density with respect to changes in the parameter values."
INTRODUCTION,0.025735294117647058,"The eigenspectra of the FIM of a neural network are observed to have a small number of positive
outliers (the number is usually equated with the number of classes) and a bulk consisting of small
eigenvalues [41, 37, 36, 48, 14]. This observation indicates that the number of principal varying
components of the probability densities modeled by neural networks is significantly lower compared
to the number of parameters. Therefore, identically weighting every possible parameter change
direction in the parameter space – that is, applying Euclidean geometry – can be problematic, since it
places too much weight on parameter change directions that are meaningless with respect to changes
in the probabilistic model, or equivalently, not enough weight is placed along meaningful directions."
INTRODUCTION,0.029411764705882353,"We argue that one should consider these implications and use the change in probabilistic models as a
‘ruler’ when defining a sharpness measure of neural network loss landscapes that does not depend on
how the model is parametrized."
INTRODUCTION,0.03308823529411765,"Building on the above geometric analysis of the neural network parameter space, in this paper we
propose a new sharpness measure based on information geometry. This measure is by definition
reparametrization-invariant. Additionally, we show that this sharpness measure simultaneously satis-
fies the scale-invariance for neural networks with ReLU activation functions, since it is invariant for
parameter transforms that do not change the model output. Hence our measure is free from all the
reparametrization- and scale-variance issues of previous sharpness measures raised by [8]."
INTRODUCTION,0.03676470588235294,"As a second contribution of this paper, we also show that our geometric sharpness measure sheds
an important insight on generalization performance. As detailed in Section 3, when the FIM is
replaced with the Hessian in our measure, the measure is in a form similar to Takeuchi’s information
criterion (TIC), which quantifies the asymptotic bias of the log-likelihood value (usually the negative
loss) evaluated at the maximum likelihood estimates hence corresponding to the expectation of the
generalization gap [44]. TIC for neural networks has empirically shown a strong correlation with
the generalization gap [45]. One can apply the same argument to our measure since the Hessian can
be approximated by the FIM under mild conditions for deep neural networks [28]. In addition, we
show that our measure can be linked to generalization in another geometrical way. The measure
is associated with a margin defined in an information geometric sense, enabling the interpretation
that a smaller sharpness measure indicates larger margins. We also demonstrate experimentally that
using our measure as a regularizer to train neural networks can significantly improve generalization
performance."
INTRODUCTION,0.04044117647058824,Our contributions can be summarized as follows:
INTRODUCTION,0.04411764705882353,"• We provide an information geometric analysis of the neural network parameter space by
investigating the eigensubspace of the Fisher information matrix (FIM) of neural networks.
• We propose a reparametrization- and scale-invariant sharpness measure based on information
geometry that is free from the problems of existing sharpness measures posed by [8], and
discuss the relation between the measure and generalization performance."
INTRODUCTION,0.04779411764705882,"1In this paper, unlike other works where parameter scalings are often referred to as (linear) reparametrizations,
following [8], it is called a reparametrization to represent a model on a different parameter space obtained by
applying a (nonlinear) bijection to the original parameters."
INTRODUCTION,0.051470588235294115,"• We use the proposed measure as a regularizer when training neural networks, and demon-
strate improved generalization performance."
