Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0015432098765432098,"We focus on the setting of contextual batched bandit (CBB), where a batch of re-
wards is observed from the environment in each episode. But these rewards are
partial-information feedbacks where the rewards of the non-executed actions are
unobserved. Existing approaches for CBB usually ignore the potential rewards of
the non-executed actions, resulting in feedback information being underutilized.
In this paper, we propose an efﬁcient reward imputation approach using sketch-
ing in CBB, which completes the unobserved rewards with the imputed rewards
approximating the full-information feedbacks. Speciﬁcally, we formulate the re-
ward imputation as a problem of imputation regularized ridge regression, which
captures the feedback mechanisms of both the non-executed and executed actions.
To reduce the time complexity of reward imputation on a large batch of data, we
use randomized sketching for solving the regression problem of imputation. We
prove that the proposed reward imputation approach obtains a relative-error bound
for sketching approximation, achieves an instantaneous regret with a controllable
bias and a smaller variance than that without reward imputation, and enjoys a
sublinear regret bound against the optimal policy. Moreover, we present two ex-
tensions of our approach, including the rate-scheduled version and the version for
nonlinear rewards, which makes our approach more feasible. Experimental results
demonstrated that our approach can outperform the state-of-the-art baselines on a
synthetic dataset, the Criteo dataset, and a dataset from a commercial app."
INTRODUCTION,0.0030864197530864196,"1
INTRODUCTION"
INTRODUCTION,0.004629629629629629,"Contextual bandits have been widely used in real-world sequential decision-making problems (Li
et al., 2010; Lan & Baraniuk, 2016; Yom-Tov et al., 2017; Yang et al., 2021), where the agen-
t updates the decision-making policy fully online (i.e., at each step) according to the context and
corresponding reward feedback so as to maximize the cumulative reward. In this paper, we con-
sider a more complex setting—contextual batched bandits (CBB), where the decision process is
partitioned into N episodes, the agent interacts with the environment for B steps in one episode,
collects the reward feedbacks and contexts at the end of the episode, and then updates the policy
using the collected data for the next episode. CBB is more practical in some real-world applications,
since updating the policy once receiving the reward feedback is rather unrealistic due to its high
computational cost and decision instability."
INTRODUCTION,0.006172839506172839,"In bandit settings, it is inevitable that the environment only reveals the rewards of the executed
actions to the agent as the feedbacks, while hiding the rewards of non-executed actions. We refer to
this category of limited feedback as the partial-information feedback (also called “bandit feedback”).
Existing batched bandit approaches in the CBB setting discard the information contained in the
potential rewards of the non-executed actions, address the problem of partial-information feedback
using an exploitation-exploration tradeoff on the context space and reward space (Han et al., 2020;
Zhang et al., 2020).But in the CBB setting, the agent usually estimates and maintains reward models
for the action-selection policy, and the potential rewards of the non-executed actions have been
somehow captured by the policy. This additional reward structure information is estimated and
available in each episode, however, are not utilized by existing batched bandit approaches."
INTRODUCTION,0.007716049382716049,"In contextual bandit settings where the policy is updated fully online, several bias-correction ap-
proaches have been introduced to address the partial-information feedback. Dimakopoulou et al."
INTRODUCTION,0.009259259259259259,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.010802469135802469,"(2019) presented linear contextual bandits integrating the balancing approach from causal inference,
which reweight the contexts and rewards by the inverse propensity scores. Chou et al. (2015) de-
signed pseudo-reward algorithms for contextual bandits, which use a direct method to estimate the
unobserved rewards for the upper conﬁdence bound (UCB) strategy. Kim & Paik (2019) focused
on the feedback bias-correction for LASSO bandit with high-dimensional contexts, and applied
the doubly-robust approach to the reward modiﬁcation using average contexts. Although these ap-
proaches have been demonstrated to be effective in contextual bandit settings, little efforts have been
spent to address the under-utilization of partial-information feedback in the CBB setting."
INTRODUCTION,0.012345679012345678,"Theoretical and experimental analyses in Section 2 indicate that better performance of CBB is
achievable if the rewards of the non-executed actions can be received. Motivated by these observa-
tions, we propose a novel reward imputation approach for the non-executed actions, which mimics
the reward generation mechanisms of environments. We conclude our contributions as follows.
• To fully utilize feedback information in CBB, we formulate the reward imputation as a problem of
imputation regularized ridge regression, where the policy can be updated efﬁciently using sketching.
• We prove that our reward imputation approach obtains a relative-error bound for sketching ap-
proximation, achieves an instantaneous regret with a controllable bias and a smaller variance than
that without reward imputation, has a lower bound of the sketch size independently of the overall
number of steps, enjoys a sublinear regret bound against the optimal policy, and reduces the time
complexity from O(Bd2) to O(cd2) for each action in one episode, where B denotes the batch size,
c the sketch size, and d the dimensionality of inputs, satisfying d < c < B.
• We present two practical variants of our reward imputation approach, including the rate-scheduled
version in which the imputation rate is set without tuning, and the version for nonlinear rewards.
• We carried out extensive experiments on the synthetic data, public benchmark, and the data col-
lected from a real commercial product to demonstrate our performance, empirically analyzed the
inﬂuence of different parameters, and veriﬁed the correctness of the theoretical results."
INTRODUCTION,0.013888888888888888,"Related Work. Recently, batched bandit has become an active research topic in statistics and learn-
ing theory including 2-armed bandit (Perchet et al., 2016), multi-armed bandit (Gao et al., 2019;
Zhang et al., 2020; Wang & Cheng, 2020), and contextual bandit (Han et al., 2020; Ren & Zhou,
2020; Gu et al., 2021). Han et al. (2020) deﬁned linear contextual bandits, and designed UCB-type
algorithms for both stochastic and adversarial contexts, where true rewards of different actions have
the same parameters. Zhang et al. (2020) provided methods for inference on data collected in batch-
es using bandits, and introduced a batched least squares estimator for both multi-arm and contextual
bandits. Recently, Esfandiari et al. (2021) proved reﬁned regret upper bounds of batched bandits in
stochastic and adversarial settings. There are several recent works that consider similar settings to
CBB, e.g., episodic Markov decision process (Jin et al., 2018), LASSO bandits (Wang & Cheng,
2020). Sketching is another related technology that compresses a large matrix to a much smaller
one by multiplying a (usually) random matrix with certain properties (Woodruff, 2014), which has
been used in online convex optimization (Calandriello et al., 2017; Zhang & Liao, 2019)."
