Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.005319148936170213,"What is a useful skill hierarchy for an autonomous agent? We propose an answer
based on a graphical representation of how the interaction between an agent and its
environment may unfold. Our approach uses modularity maximisation as a central
organising principle to expose the structure of the interaction graph at multiple
levels of abstraction. The result is a collection of skills that operate at varying
time scales, organised into a hierarchy, where skills that operate over longer time
scales are composed of skills that operate over shorter time scales. The entire
skill hierarchy is generated automatically, with no human intervention, including
the skills themselves (their behaviour, when they can be called, and when they
terminate) as well as the hierarchical dependency structure between them. In a wide
range of environments, this approach generates skill hierarchies that are intuitively
appealing and that considerably improve the learning performance of the agent."
INTRODUCTION,0.010638297872340425,"1
Introduction"
INTRODUCTION,0.015957446808510637,"One of the most important open problems in artificial intelligence is how to make it possible for
autonomous agents to develop useful action hierarchies on their own, without any input from humans,
including system designers and domain specialists. Before addressing this algorithmic question, it
is useful to first consider a conceptual one: What constitutes a useful action hierarchy? Here we
focus on this conceptual question with the aim of providing a useful foundation for algorithmic
development."
INTRODUCTION,0.02127659574468085,"Our primary contribution is a characterisation of a useful action hierarchy. In defining this action
hierarchy, we use no information other than a graphical representation of how the interaction between
the agent and its environment may unfold. When this information is not known a priori, it would be
discovered naturally by the agent as it operates in its environment. Beyond this interaction graph, no
particular domain knowledge is needed. Hence, our approach is applicable broadly."
INTRODUCTION,0.026595744680851064,"Multiple strands of earlier work have used the interaction graph as a basis for defining collections
of actions. The main novelty in our approach is our use of modularity maximisation as a central
organising principle to expose the structure of the interaction graph at multiple levels of abstraction.
The outcome is an action hierarchy that enables the agent to explore its environment efficiently at
multiple time scales."
INTRODUCTION,0.031914893617021274,"Our approach yields an action hierarchy with four desirable properties. First, it contains actions
that operate at a wide range of time scales. This is necessary to solve complex problems, which
require agents to be able to act, learn, and plan at varying time scales. Secondly, the actions are
naturally organised into a hierarchy, with actions that operate over longer time scales being composed
of actions that operate over shorter time scales. This hierarchical structure offers substantial benefits"
INTRODUCTION,0.03723404255319149,"over unstructured collections of actions. For example, it allows an agent to learn about not only
the action it is currently executing but also all lower-level actions that are called in the process. In
addition, a hierarchical structure allows actions to be updated in a modular fashion. For instance,
any improvements to an action would be immediately reflected in all higher-level actions that call it.
Thirdly, the action hierarchy is fully specified. This includes when each action can be selected for
execution, how exactly it behaves, and when it terminates. It also includes the number of levels in the
hierarchy and the exact dependency structure between the actions. Fourthly, the action hierarchy is
generated automatically, with no human intervention."
INTRODUCTION,0.0425531914893617,"In a diverse set of environments, the proposed approach translates into action hierarchies that are
intuitively appealing. When evaluated within the context of reinforcement learning, they substantially
improve learning performance compared to alternative approaches, with the largest performance
improvement observed in the largest environment tested."
INTRODUCTION,0.047872340425531915,"An important question for future research is how such an action hierarchy may be learned when the
agent has no prior knowledge of the dynamics of the environment. We present an initial exploration
of how this may be achieved, with positive results."
BACKGROUND,0.05319148936170213,"2
Background"
BACKGROUND,0.05851063829787234,"We use the reinforcement learning framework, modelling an agent’s interaction with its environment
as a finite Markov Decision Process (MDP). An MDP is a six-tuple (S, A, P, R, D, γ), where S is
a finite set of states, A is a finite set of actions, P : S × A × S →[0, 1] is a transition function,
R : S ×A×S →R is a reward function, D : S →[0, 1] is an initial state distribution, and γ ∈[0, 1]
is a discount factor. Let A(s) denote the set of actions available in state s ∈S. At decision stage t,
t ≥0, the agent observes state st ∈S and executes action at ∈A(st). Consequently, at decision
stage t + 1, the agent receives reward rt+1 ∈R and observes new state st+1 ∈S. The return at
decision stage t, denoted by Gt, is the discounted sum of future rewards, Gt = P∞
k=0 γkrt+k+1. A
policy π : S × A →[0, 1] specifies the probability of selecting action a ∈A in state s ∈S. The
objective is to learn a policy that maximises the expected return."
BACKGROUND,0.06382978723404255,"The state transition graph of an MDP is a weighted, directed graph whose nodes correspond to the
states of the MDP and whose edges correspond to possible transitions between states. Specifically, an
edge (u, v) exists on the graph if it is possible to transition from state u ∈S to state v ∈S by taking
some action a ∈A(u). In this paper, we use uniform edge weights of 1."
BACKGROUND,0.06914893617021277,"The actions of an MDP take exactly one decision stage to execute. We refer to them as primitive
actions. Using primitive actions, it is possible to define abstract actions, also known as skills, whose
execution can take a variable number of decision stages. Furthermore, primitive and abstract actions
can be combined to form complex action hierarchies. In this work, we represent abstract actions
using the options framework [1, 2]. An option o is a three-tuple (Io, πo, βo), where Io ⊂S is the
initiation set, specifying the set of states in which the option can start execution, πo : S × A →[0, 1]
is the option policy, and βo : S →[0, 1] is the termination condition, specifying the probability
of option termination in a given state. An option policy is ultimately defined in terms of primitive
actions—because primitive actions are the fundamental units of interaction between the agent and its
environment—but this can be done indirectly by allowing options to call other options, making it
possible for agents to act, learn, and plan with hierarchies of primitive and abstract actions."
PROPOSED APPROACH,0.07446808510638298,"3
Proposed Approach"
PROPOSED APPROACH,0.0797872340425532,"To define a skill hierarchy, we use modularity maximisation as a central organising principle, applied
at multiple time scales. Specifically, we represent the possibilities of interaction between the agent
and its environment as a graph and identify partitions of this graph that maximise modularity [3–5]."
PROPOSED APPROACH,0.0851063829787234,"A partition of a graph is a division of its nodes into mutually exclusive groups, called clusters. The
modularity of a partition composed of a set of clusters C = {c1, c2, . . . , ck} is k
X"
PROPOSED APPROACH,0.09042553191489362,"i=1
eii −ρa2
i ,"
PROPOSED APPROACH,0.09574468085106383,"where eii denotes the proportion of total edge weight in the graph that connects two nodes in cluster
ci, and ai denotes the proportion of total edge weight in the graph with at least one end connected
to a node in cluster ci. A resolution parameter ρ > 0 controls the relative importance of eii and ai.
Intra-cluster edges contribute to both eii and ai while inter-cluster edges contribute only to ai. A
partition that maximises modularity will have relatively dense connections within its clusters and
relatively sparse connections between its clusters."
PROPOSED APPROACH,0.10106382978723404,"Finding a partition that maximises modularity for a given graph is NP-complete [6]. Therefore,
when working with large graphs, approximation algorithms are needed. The most widely used
approximation algorithm is the Louvain algorithm [7], which is an agglomerative hierarchical graph
clustering approach. While no formal analysis exists, the runtime of the Louvain algorithm has been
observed empirically to be linear in the number of graph edges [8]. It has been successfully applied
to graphs with millions of nodes and billions of edges [7]."
PROPOSED APPROACH,0.10638297872340426,"An important feature of the Louvain algorithm is that, as a hierarchical graph clustering method,
it exposes the structure of a graph at multiple levels of granularity. Specifically, the output of the
Louvain algorithm is a sequence of partitions of the input graph. This sequence has a useful structure:
multiple clusters found in one partition in the sequence are merged into a single cluster in the next
partition in the sequence. In other words, the output is a hierarchy of clusters, with earlier partitions
containing many smaller clusters that are merged into fewer larger clusters in later partitions. This
hierarchical structure forms the basis of our characterisation of a useful multi-level skill hierarchy."
PROPOSED APPROACH,0.11170212765957446,"The Louvain algorithm starts by placing each node of the graph in its own cluster. Nodes are
then iteratively moved locally, from their current cluster to a neighbouring cluster, until no gain
in modularity is possible. This results in a revised partition corresponding to a local maximum of
modularity with respect to local node movement. The revised partition is used to define an aggregate
graph as follows: each cluster in the partition is represented as a single node in the aggregate
graph, and a directed edge is added to the aggregate graph if there is at least one edge that connects
neighbouring clusters in the corresponding direction. This process is then repeated on the aggregate
graph, and then on the next aggregate graph, and so on, until an iteration is reached with no modularity
gain. Pseudocode for the Louvain algorithm is presented in Section H of the supplementary material."
PROPOSED APPROACH,0.11702127659574468,"Let h denote the number of partitions returned by the Louvain algorithm when applied to the state
transition graph. We use each of the h partitions to define a single layer of skills, resulting in an action
hierarchy with h levels of abstract actions (skills) above primitive actions. Each level of the hierarchy
contains one or more skills for efficiently navigating between neighbouring clusters of the state
transition graph. Specifically, we define an option for navigating from a cluster ci to a neighbouring
cluster cj as follows: the initiation set consists of all states in ci; the option policy efficiently takes
the agent from a given state in ci to a state in cj; the option terminates with probability 1 in states in
cj, with probability 0 otherwise."
PROPOSED APPROACH,0.12234042553191489,"Taking advantage of the natural hierarchical structure of the partitions produced by the Louvain
algorithm, we compose the skills at one level of the hierarchy to define the skills at the next level
up. That is, at each level of the hierarchy, option policies call actions (options or primitive actions)
from the level below, with primitive actions being called directly by option policies from only the
first level of the hierarchy. We call the resulting set of skills the Louvain skill hierarchy."
RELATED WORK,0.1276595744680851,"4
Related Work"
RELATED WORK,0.13297872340425532,"There have been earlier approaches to skill discovery using the state transition graph. The approach
we propose here differs from them in two fundamental ways. First, it is novel in its use of modularity
maximisation as a central organising principle for skill discovery. Secondly, it produces a multi-level
hierarchy, whereas existing graph-based approaches produce hierarchies with only a single level of
skills above primitive actions."
RELATED WORK,0.13829787234042554,"Many existing approaches to skill discovery use the state transition graph to identify useful subgoal
states and define skills that efficiently take the agent to these subgoals. Suggestions for useful subgoals
have often been inspired by the concept of a “bottleneck”. They include states that are on the border
of strongly-connected regions of the state space [9], states that allow transitions between different
regions of the state space [10], and states that lie on the shortest path between many pairs of states [11].
To identify such states, several approaches use graph centrality measures [11–15]. Others use graph"
RELATED WORK,0.14361702127659576,"partitioning algorithms [9, 16–22]. Alternatively, it has been proposed that “landmark” states found
at the centre of strongly-connected regions of the state-space can be used as subgoals [23]."
RELATED WORK,0.14893617021276595,"The proposed approach is most directly related to skill discovery methods that make use of graph
partitioning to identify meaningful regions of the state transition graph and define skills for navigating
between them [16, 24–28]. Three of these methods use the concept of modularity. One such
approach is to generate a series of possible partitions by successively removing the edge with the
highest edge betweenness from a graph, then selecting the partition with the highest modularity [25].
A second approach is to generate a partition using the label propagation algorithm and then to
merge neighbouring clusters until no gain in modularity is possible [28]. In these two approaches,
modularity maximisation is applied after first producing candidate partitions using different criteria.
Consequently, the final partition does not maximise modularity overall. The time complexity of the
label propagation method is near-linear in the number of graph edges, whereas the edge betweenness
method has a time complexity of O(m2n) on a graph with m edges and n nodes. A third approach is
by Xu et al. [27], who use the Louvain algorithm to find a partition that maximises modularity but,
unlike our approach, define skills only for moving between clusters in the highest-level partition,
discarding all lower-level partitions. All three methods produce a single level of skills above primitive
actions."
RELATED WORK,0.15425531914893617,"Several approaches have used the graph Laplacian [29, 30] to identify skills that are specifically useful
for efficiently exploring the state space. It is unclear how to arrange such skills to form multi-level
skill hierarchies. In contrast, the proposed approach produces a set of skills that are naturally arranged
into a multi-level hierarchy."
RELATED WORK,0.1595744680851064,"While existing graph-based methods do not learn multi-level hierarchies, policy-gradient methods
have made some progress towards this goal. Bacon et al. [31] extended policy-gradient theorems [32]
to allow the learning of option policies and termination conditions in a hierarchy with a single level
of skills above primitive actions. Riemer et al. [33] further generalised these theorems to support
multi-level hierarchies. Fox et al. [34] propose an imitation learning method that finds the multi-level
skill hierarchy most likely to generate a given set of example trajectories. Levy et al. [35] propose a
method for learning multi-level hierarchies of goal-directed policies, with each level of the hierarchy
producing a subgoal for the lower levels to navigate towards. However, these methods are not without
their limitations. Unlike the approach proposed here, they all require the number of hierarchy levels
to be pre-defined instead of finding a suitable number automatically. They do not judiciously define
initiation sets, instead making all skills available in all states. They also target different types of
problems than we do, such as imitation-learning or goal-directed problems."
EMPIRICAL ANALYSIS,0.16489361702127658,"5
Empirical Analysis"
EMPIRICAL ANALYSIS,0.1702127659574468,"We analyse the Louvain skill hierarchy in the six environments depicted in Figure 1: Rooms, Grid,
Maze [23], Office, Taxi [36], and Towers of Hanoi. In all environments, the reward is −0.001 for
each action and an additional +1.0 for reaching a goal state. In Rooms, Grid, Maze, and Office, there
are four primitive actions: north, south, east, and west. In Taxi, there are two additional primitive
actions: pick-up-passenger and put-down-passenger. Some decisions in Taxi are irreversible. For
instance, after picking up the passenger, the agent cannot return to a state where the passenger is
still waiting to be picked up. We describe each of these environments fully in Section A of the
supplementary material."
EMPIRICAL ANALYSIS,0.17553191489361702,"When generating partitions of the state transition graph using the Louvain algorithm, we used a
resolution parameter of ρ = 0.05, unless stated otherwise. When converting the output of the Louvain"
EMPIRICAL ANALYSIS,0.18085106382978725,"Rooms
Grid
Maze
Office R Y G B"
EMPIRICAL ANALYSIS,0.18617021276595744,"Taxi
Towers of Hanoi"
EMPIRICAL ANALYSIS,0.19148936170212766,Figure 1: The environments.
EMPIRICAL ANALYSIS,0.19680851063829788,"algorithm into a concrete skill hierarchy, we discarded all levels of the cluster hierarchy where
the mean number of nodes per cluster was less than 4. Our reasoning is that skills that navigate
between such small clusters execute for only a very small number of decision stages (often only one
or two) and are not meaningfully more abstract than primitive actions. For all methods used in our
comparisons, we generated options using the complete state transition graph and learned their policies
offline using macro-Q learning [37]. We trained all hierarchical agents using macro-Q learning and
intra-option learning [38]. Although these algorithms have not previously been applied to multi-level
hierarchies, they both extend naturally to this case. The primitive agent was trained using Q-Learning
[39]. The shaded regions on the learning curves represent the standard error in 40 independent runs.
All experiments are fully described in Section B of the supplementary material."
EMPIRICAL ANALYSIS,0.20212765957446807,"Our analysis is directed by the following questions: What is the Louvain skill hierarchy generated
in each environment? How does this skill hierarchy impact the learning performance of the agent?
How do the results change as the number of states increases? Does arranging skills into a multi-level
hierarchy provide benefits over a flat arrangement of the same skills? What is the impact of varying
the value of the resolution parameter ρ?"
EMPIRICAL ANALYSIS,0.2074468085106383,"Louvain Skill Hierarchy. We first examine the cluster hierarchies generated by applying the Louvain
algorithm to the state transition graphs of various environments. Figure 2 shows the results in Rooms,
Office, Taxi, and Towers of Hanoi. Section D of the supplementary material shows additional results
in Grid and Maze."
EMPIRICAL ANALYSIS,0.2127659574468085,"In Rooms, the hierarchy has four levels. At level three, we see that each room has been placed in its
own cluster. Moving up the hierarchy, at level four, two of these rooms have been joined together into
a single cluster. Moving down the hierarchy, each room has been divided into smaller clusters at level
two, and then into even smaller clusters at level one. The figure illustrates how the corresponding
skill hierarchy would enable efficient navigation between and within rooms."
EMPIRICAL ANALYSIS,0.21808510638297873,"In Office, at the top level, we see six large clusters connected by corridors. As we move lower down
the hierarchy, we see that these large clusters have been divided into increasingly smaller regions. At
level three, there are many rooms that form their own cluster. At level two, most rooms have been
divided into multiple clusters. The figure reveals how the corresponding skill hierarchy would enable
efficient navigation of the environment at multiple time scales."
EMPIRICAL ANALYSIS,0.22340425531914893,"In Taxi, the state transition graph has four disconnected components, each corresponding to one
particular passenger destination: R, G, B, or Y. In Figure 2, we show only one of these components,
the one where the passenger destination is B. The results for the other components are similar. The
Louvain cluster hierarchy has four levels. At the top level, we see four clusters. In three of these
clusters, the passenger is waiting at their starting location (R, G, or Y). In the fourth cluster, the
passenger is either in-taxi or has been delivered to their destination (B). Navigation between these
clusters is unidirectional, with only three possibilities. The three corresponding skills navigate the
taxi to the passenger location and pick up the passenger. Moving one level down the hierarchy, the
clusters produce skills that move the taxi between the left and the right-hand side of the grid, which
are connected by the bottleneck state at the centre of the taxi navigation grid."
EMPIRICAL ANALYSIS,0.22872340425531915,"In Towers of Hanoi, the hierarchy has three levels. At level three, moving between the three clusters
corresponds to moving the largest disk to a different pole. Each of these clusters has been divided
into three smaller clusters at level two and then into three even smaller clusters at level one. A similar
structure exists at levels two and one. The smaller clusters at level two correspond to moving the
second-largest disc between different poles; the smallest clusters at level one correspond to moving
the third-largest disc between different poles."
EMPIRICAL ANALYSIS,0.23404255319148937,"In all of these domains, the Louvain skill hierarchy closely matches human intuition. In addition, it is
clear how skills at one level of the hierarchy can be composed to produce the skills at the next level."
