Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0029850746268656717,"Large language models (LLMs) are increasingly used in applications where LLM
inputs may span many different tasks. Recent work has found that the choice of
LLM is consequential, and different LLMs may be good for different input samples.
Prior approaches have thus explored how engineers might select an LLM to use for
each sample (i.e. routing). While existing routing methods mostly require training
auxiliary models on human-annotated data, our work explores whether it is possible
to perform unsupervised routing. We propose SMOOTHIE, a weak supervision-
inspired routing approach that requires no labeled data. Given a set of outputs
from different LLMs, SMOOTHIE constructs a latent variable graphical model
over embedding representations of observable LLM outputs and unknown “true”
outputs. Using this graphical model, we estimate sample-dependent quality scores
for each LLM, and route each sample to the LLM with the highest corresponding
score. We find that SMOOTHIE’s LLM quality-scores correlate with ground-truth
model quality (correctly identifying the optimal model on 9/14 tasks), and that
SMOOTHIE outperforms baselines for routing by up to 10 points accuracy."
INTRODUCTION,0.005970149253731343,"1
Introduction"
INTRODUCTION,0.008955223880597015,"Large language models (LLMs) are increasingly being deployed in multi-capability regimes where
data inputs may span a diverse range of tasks, each of which requires different capabilities [8]. For
instance, an LLM-powered chatbot may be asked to write code, answer questions about different
domains, summarize documents, perform extraction, and more [3, 8, 14, 30]. One challenge is that
while engineers often have access to numerous pre-trained LLMs (i.e., through Huggingface or
various APIs), they do not know which LLM is optimal for each possible user input [86]. Because
the quality of generations can significantly vary across LLMs, choosing the right LLM for each input
sample is important for ensuring high task performance [41]."
INTRODUCTION,0.011940298507462687,"Recent work has explored various ways to utilize ensembles of pretrained LLMs in multi-capability
settings, by (1) collecting a diverse pool of LLMs and (2) identifying which LLM to route each
sample to [55, 86]. However, the majority of existing approaches require labeled data; engineers
typically either (1) train an auxiliary model using labeled data to rank or predict which LLM each
sample should be routed to [41, 79], or (2) directly use labeled data to determine which LLM is the
best on average [86]. As a result, engineers designing routing protocols face the practical difficulty of
constructing labeled datasets."
INTRODUCTION,0.014925373134328358,"Given a candidate pool of LLMs and an unlabeled test dataset, this paper explores how to best
select LLM outputs for each sample in an entirely unsupervised manner—without labeled data, or
models trained on labeled data. To make progress in addressing this question, we face two technical
challenges:"
INTRODUCTION,0.01791044776119403,"• Unknown LLM quality: The first challenge is estimating the quality of each LLM. Access
to labeled data allows engineers to identify higher performing LLMs by measuring the accu-"
INTRODUCTION,0.020895522388059702,∗Equal contribution.
INTRODUCTION,0.023880597014925373,"Figure 1: For a given input x, SMOOTHIE estimates the quality of every LLM ensemble’s generation, and uses
this quality weight to route x to a single LLM."
INTRODUCTION,0.026865671641791045,"racy/quality of LLM outputs. In this paper, we study the question of how to estimate quality
without labeled validation data."
INTRODUCTION,0.029850746268656716,"• Sample-conditional generator performance: The second challenge is determining how to select
the best LLM for each individual test sample. LLM outputs can vary in quality over different
samples, which could render population-level estimates of LLM quality misleading."
INTRODUCTION,0.03283582089552239,"In this work, we propose SMOOTHIE, a method for routing samples to LLMs in a label-free manner
(Figure 1). Below, we describe how SMOOTHIE addresses the two challenges described above."
INTRODUCTION,0.03582089552238806,"• Quality estimation: Using the LLM outputs for each test sample as “voters,” SMOOTHIE
estimates the quality of each generator using methods from Weak Supervision (WS). Concretely,
SMOOTHIE constructs a latent variable graphical model over observable LLM outputs and an
unknown true output. By modeling the embedding vector difference between each LLM output
and the true output as a multivariate Gaussian, we can derive a closed-form estimator adapted
from [85] for learning LLM quality scores efficiently."
INTRODUCTION,0.03880597014925373,"• Conditioning: We condition these quality estimates to be particular to a given test sample by
only using the nearest neighbors of a test sample in the training data as inputs to the estimator
(i.e., kernel smoothing). We then route each test sample to the LLM with the highest quality score
estimate on that sample. We call the version of SMOOTHIE that produces quality estimates using
all available test data SMOOTHIE-GLOBAL, and we call the version that uses a sample’s nearest
neighbors SMOOTHIE-LOCAL."
INTRODUCTION,0.041791044776119404,We empirically evaluate SMOOTHIE in three stages.
INTRODUCTION,0.04477611940298507,"• LLM selection: First, we assess SMOOTHIE-GLOBAL’s ability to identify—from an ensemble
of mixed quality LLMs—the optimal LLM for a given task overall. On traditional generation
tasks such as summarization, reading comprehension, and data-to-text generation, we find that
SMOOTHIE-GLOBAL’s learned LLM quality-weights correlate with actual LLM performance (ρ =
0.72)), and on the AlpacaEval benchmark, SMOOTHIE-GLOBAL identifies the best-performing
instruction model 70% of the time [50]. The highest quality LLM identified by SMOOTHIE-
GLOBAL—all computed without labeled data—can beat random-selection by up to 15 points
win-rate on AlpacaEval, and by up to 8 points on SQuAD."
INTRODUCTION,0.04776119402985075,"• Routing: Second, we study whether SMOOTHIE-LOCAL’s sample-conditional scoring mechanism
allows it to route samples in mixed-task datasets to higher-performing LLMs (i.e., the multi-
capability regime). We find that SMOOTHIE-LOCAL can improve the quality of produced
generations by up to 7 points accuracy over SMOOTHIE-GLOBAL, and that SMOOTHIE-LOCAL
outperforms baseline unsupervised routing methods by up to 10 points accuracy and supervised
routing methods by up to 5.0 points accuracy."
INTRODUCTION,0.050746268656716415,"• Prompt selection: Finally, we assess whether SMOOTHIE’s quality-estimation mechanism can be
applied to select the optimal prompt template in a candidate pool while using a fixed LLM. We
find that SMOOTHIE-GLOBAL can outperform other prompt selection approaches by up to 18
points, allowing a 410M parameter model to match the performance of 6.9B parameter model."
RELATED WORK,0.05373134328358209,"2
Related Work"
RELATED WORK,0.056716417910447764,"We provide an abbreviated related work, with a full treatment in Appendix C."
RELATED WORK,0.05970149253731343,"Routing Routing has been classically utilized in Mixture-of-Experts models [25, 37, 42, 82], which
involve jointly training a set of models as well as a router. Recently, routing mechanisms have
been used at inference time to decide which pre-trained LLM to use for a given sample [79]. Some
approaches involve training an auxiliary model using labeled training data to either score or rank the
performance of each LLM on each test sample [38, 74]. Others do not involve training a model but
instead use nearest neighbor methods, selecting the LLM that does the best on a test sample’s labeled
neighbors [48, 86]. In contrast, SMOOTHIE does not require any labels."
RELATED WORK,0.0626865671641791,"Ensembling Ensembling is another way of utilizing a pool of LLMs. Existing work has primarily
focused on ensembling outputs for classification tasks [2, 68, 98]. Ensembling generative outputs
typically requires training an auxiliary model [41], combining or switching among outputs when
decoding [36, 83], or averaging in weight space [95]."
RELATED WORK,0.06567164179104477,"Prompt selection In addition to selecting the best LLM for a sample, prior works have studied how to
select the best prompt or in-context examples. While the simplest approach is to use a held-out labeled
dataset [67], there are also retrieval-based approaches to selecting the best in-context examples [90],
as well as approaches based on mutual information [89] and probability-based measures [103],
although the latter two are limited to classification."
RELATED WORK,0.06865671641791045,"Weak supervision SMOOTHIE utilizes statistical techniques inspired by weak supervision, which
programmatically generate labels for an unlabeled dataset by aggregating the predictions of several
weak “voters” via a latent variable graphical model [71, 73]. Weak supervision has mostly been
studied in classification settings [26, 72] but more recently has been extended to tasks such as learning
rankings and manifolds [85, 94]. We derive our estimation procedure from the Gaussian model in [85],
applying it to LLM embeddings and the routing setting."
PRELIMINARIES,0.07164179104477612,"3
Preliminaries"
PROBLEM SETUP,0.07462686567164178,"3.1
Problem setup"
