Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0031446540880503146,"We address the challenge of identifying multiple change points in a group of independent
time series, assuming these change points occur simultaneously in all series and their number is
unknown. The search for the best segmentation can be expressed as a minimization problem
over a given cost function. We focus on dynamic programming algorithms that solve this
problem exactly. When the number of changes is proportional to data length, an inequality-based
pruning rule encoded in the PELT algorithm leads to a linear time complexity. Another type of
pruning, called functional pruning, gives a close-to-linear time complexity whatever the number
of changes, but only for the analysis of univariate time series. We propose a few extensions of
functional pruning for multiple independent time series based on the use of simple geometric
shapes (balls and hyperrectangles). We focus on the Gaussian case, but some of our rules can be
easily extended to the exponential family. In a simulation study we compare the computational
efficiency of different geometric-based pruning rules. We show that for a small number of time
series some of them ran significantly faster than inequality-based approaches in particular when
the underlying number of changes is small compared to the data length."
ABSTRACT,0.006289308176100629,"Keywords: multivariate time series, multiple change point detection, dynamic programming, func-
tional pruning, computational geometry"
OTHER,0.009433962264150943,Contents
OTHER,0.012578616352201259,"Introduction
2"
OTHER,0.015723270440251572,"1
Functional Pruning for Multiple Time Series
3
1.1
Model and Cost
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
3
1.2
Functional Pruning Optimal Partitioning Algorithm . . . . . . . . . . . . . . . . . .
4
1.3
Geometric Formulation of Functional Pruning . . . . . . . . . . . . . . . . . . . . .
6"
OTHER,0.018867924528301886,"2
Geometric Functional Pruning Optimal Partitioning
8
2.1
General Principle of GeomFPOP . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
8"
OTHER,0.0220125786163522,1Corresponding author: liudmila.pishchagina@univ-evry.fr
OTHER,0.025157232704402517,"3
Approximation Operators ⋂̃𝑍and ⧵̃𝑍
10
3.1
S-type Approximation . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
11
3.2
R-type Approximation
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
11"
OTHER,0.02830188679245283,"4
Simulation Study of GeomFPOP
13
4.1
The Number of Change Point Candidates stored over Time . . . . . . . . . . . . . .
14
4.2
Empirical Time Complexity of GeomFPOP . . . . . . . . . . . . . . . . . . . . . . .
15
4.3
Empirical Time Complexity of a Randomized GeomFPOP . . . . . . . . . . . . . . .
15
4.4
Empirical Complexity of the Algorithm as a Function of 𝑝
. . . . . . . . . . . . . .
16
4.5
Run Time as a Function of the Number of Segments . . . . . . . . . . . . . . . . . .
17"
OTHER,0.031446540880503145,"Acknowledgments
18"
