Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.002242152466367713,"Understanding generalization in deep neural networks is an active area of research.
1"
ABSTRACT,0.004484304932735426,"A promising avenue of exploration has been that of margin measurements: the
2"
ABSTRACT,0.006726457399103139,"shortest distance to the decision boundary for a given sample or its representation
3"
ABSTRACT,0.008968609865470852,"internal to the network. While margins have been shown to be correlated with
4"
ABSTRACT,0.011210762331838564,"the generalization ability of a model when measured at its hidden representations
5"
ABSTRACT,0.013452914798206279,"(hidden margins), no such link between large margins and generalization has been
6"
ABSTRACT,0.01569506726457399,"established for input margins. We show that while input margins are not gener-
7"
ABSTRACT,0.017937219730941704,"ally predictive of generalization, they can be if the search space is appropriately
8"
ABSTRACT,0.020179372197309416,"constrained. We develop such a measure based on input margins, which we refer
9"
ABSTRACT,0.02242152466367713,"to as ‘constrained margins’. The predictive power of this new measure is demon-
10"
ABSTRACT,0.02466367713004484,"strated on the ‘Predicting Generalization in Deep Learning’ (PGDL) dataset and
11"
ABSTRACT,0.026905829596412557,"contrasted with hidden representation margins. We find that constrained margins
12"
ABSTRACT,0.02914798206278027,"achieve highly competitive scores and outperform other margin measurements in
13"
ABSTRACT,0.03139013452914798,"general.
14"
INTRODUCTION,0.033632286995515695,"1
Introduction
15"
INTRODUCTION,0.03587443946188341,"Our understanding of the generalization ability of deep neural networks (DNNs) remains incomplete.
16"
INTRODUCTION,0.03811659192825112,"Various bounds on the generalization error for classical machine learning models have been proposed
17"
INTRODUCTION,0.04035874439461883,"based on the complexity of the hypothesis space [1, 2]. However, this approach paints an unfinished
18"
INTRODUCTION,0.042600896860986545,"picture when considering modern DNNs [3]. Generalization in DNNs is an active field of study and
19"
INTRODUCTION,0.04484304932735426,"updated bounds are proposed on an ongoing basis [4, 5, 6, 7].
20"
INTRODUCTION,0.04708520179372197,"A complementary approach to developing theoretical bounds is to develop empirical techniques that
21"
INTRODUCTION,0.04932735426008968,"are able to predict the generalization ability of certain families of DNN models. The ‘Predicting
22"
INTRODUCTION,0.0515695067264574,"Generalization in Deep Learning’ (PGDL) challenge, exemplifies such an approach. The challenge
23"
INTRODUCTION,0.053811659192825115,"was held at NeurIPS 2020 [8] and provides a useful test bed for evaluating complexity measures,
24"
INTRODUCTION,0.05605381165919283,"where a complexity measure is a scalar-valued function that relates a model’s training data and
25"
INTRODUCTION,0.05829596412556054,"parameters to its expected performance on unseen data. Such a predictive complexity measure would
26"
INTRODUCTION,0.06053811659192825,"not only be practically useful but could lead to new insights into how DNNs generalize.
27"
INTRODUCTION,0.06278026905829596,"In this work, we focus on classification margins in deep neural classifiers. It is important to note that
28"
INTRODUCTION,0.06502242152466367,"the term ‘margin’ is, often confusingly, used to refer to 1) output margins [9], 2) input margins [10],
29"
INTRODUCTION,0.06726457399103139,"and 3) hidden margins [11], interchangeably. Here (1) is a measure of the difference in class output
30"
INTRODUCTION,0.06950672645739911,"values, while (2) or (3) is concerned with measuring the distance from a sample to its nearest decision
31"
INTRODUCTION,0.07174887892376682,"boundary in either input or hidden representation space, respectively. In this work, we focus on input
32"
INTRODUCTION,0.07399103139013453,"and hidden margins.
33"
INTRODUCTION,0.07623318385650224,"While margins measured at the hidden representations of deep neural classifiers have been shown to
34"
INTRODUCTION,0.07847533632286996,"be predictive of a model’s generalization, this link has not been established for input space margins.
35"
INTRODUCTION,0.08071748878923767,"We show that, in several circumstances, the classical definition of input margin does not predict
36"
INTRODUCTION,0.08295964125560538,"generalization, but a direction-constrained version of this metric does: a quantity we refer to as
37"
INTRODUCTION,0.08520179372197309,"constrained margins. By measuring margins in directions of ‘high utility’, that is, directions that are
38"
INTRODUCTION,0.08744394618834081,"expected to be more useful to the classification task, we are able to better capture the generalization
39"
INTRODUCTION,0.08968609865470852,"ability of a trained DNN.
40"
INTRODUCTION,0.09192825112107623,"We make several contributions:
41"
INTRODUCTION,0.09417040358744394,"1. Demonstrate the first link between large input margins and generalisation performance, by
42"
INTRODUCTION,0.09641255605381166,"developing a new input margin-based complexity measure that achieves highly competitive
43"
INTRODUCTION,0.09865470852017937,"performance on the PGDL benchmark and outperforms several contemporary complexity
44"
INTRODUCTION,0.10089686098654709,"measures.
45"
SHOW THAT MARGINS DO NOT NECESSARILY NEED TO BE MEASURED AT MULTIPLE HIDDEN LAYERS TO BE,0.1031390134529148,"2. Show that margins do not necessarily need to be measured at multiple hidden layers to be
46"
SHOW THAT MARGINS DO NOT NECESSARILY NEED TO BE MEASURED AT MULTIPLE HIDDEN LAYERS TO BE,0.10538116591928251,"predictive of generalization, as suggested in [11].
47"
SHOW THAT MARGINS DO NOT NECESSARILY NEED TO BE MEASURED AT MULTIPLE HIDDEN LAYERS TO BE,0.10762331838565023,"3. Provide a new perspective on margin analysis and how it applies to DNNs, that of finding
48"
SHOW THAT MARGINS DO NOT NECESSARILY NEED TO BE MEASURED AT MULTIPLE HIDDEN LAYERS TO BE,0.10986547085201794,"high utility directions along which to measure the distance to the boundary instead of
49"
SHOW THAT MARGINS DO NOT NECESSARILY NEED TO BE MEASURED AT MULTIPLE HIDDEN LAYERS TO BE,0.11210762331838565,"focusing on finding the shortest distance.
50"
BACKGROUND,0.11434977578475336,"2
Background
51"
