Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0006042296072507553,"We present a novel adaptive optimization algorithm for large-scale machine learning
problems. Equipped with a low-cost estimate of local curvature and Lipschitz
smoothness, our method dynamically adapts the search direction and step-size.
The search direction contains gradient information preconditioned by a well-scaled
diagonal preconditioning matrix that captures the local curvature information.
Our methodology does not require the tedious task of learning rate tuning, as the
learning rate is updated automatically without adding an extra hyperparameter. We
provide convergence guarantees on a comprehensive collection of optimization
problems, including convex, strongly convex, and nonconvex problems, in both
deterministic and stochastic regimes. We also conduct an extensive empirical
evaluation on standard machine learning problems, justifying our algorithm’s
versatility and demonstrating its strong performance compared to other start-of-the-
art ﬁrst-order and second-order methods."
INTRODUCTION,0.0012084592145015106,"1
INTRODUCTION"
INTRODUCTION,0.0018126888217522659,"This paper presents an algorithm for solving empirical risk minimization problems of the form:
minw∈RdF(w) := 1"
INTRODUCTION,0.002416918429003021,"n
Pn
i=1f(w; xi, yi) = 1"
INTRODUCTION,0.0030211480362537764,"n
Pn
i=1fi(w),
(1)
where w is the model parameter/weight vector, {(xi, yi)}n
i=1 are the training samples, and
fi : Rd →R is the loss function. Usually, the number of training samples, n, and dimension, d, are
large, and the loss function F is potentially nonconvex, making (1) difﬁcult to solve.
In the past decades, signiﬁcant effort has been devoted to developing optimization algorithms for
machine learning. Due to easy implementation and low per-iteration cost, (stochastic) ﬁrst-order
methods (Robbins & Monro, 1951; Duchi et al., 2011; Schmidt et al., 2017; Johnson & Zhang,
2013; Nguyen et al., 2017; 2019; Kingma & Ba, 2014; Jahani et al., 2021a; Recht et al., 2011) have
become prevalent approaches for many machine learning applications. However, these methods have
several drawbacks: (i) they are highly sensitive to the choices of hyperparameters, especially learning
rate; (ii) they suffer from ill-conditioning that often arises in large-scale machine learning; and (iii)
they offer limited opportunities in distributed computing environments since these methods usually
spend more time on “communication” instead of the true “computation.” The main reasons for the
aforementioned issues come from the fact that ﬁrst-order methods only use the gradient information
for their updates.
On the other hand, going beyond ﬁrst-order methods, Newton-type and quasi-Newton methods
(Nocedal & Wright, 2006; Dennis & Mor´e, 1977; Fletcher, 1987) are considered to be a strong
family of optimizers due to their judicious use of the curvature information in order to scale
the gradient. By exploiting the curvature information of the objective function, these methods
mitigate many of the issues inherent in ﬁrst-order methods. In the deterministic regime, it is
known that these methods are relatively insensitive to the choices of the hyperparameters, and
they handle ill-conditioned problems with a fast convergence rate. Clearly, this does not come
for free, and these methods can have memory requirements up to O(d2) with computational"
INTRODUCTION,0.0036253776435045317,Published as a conference paper at ICLR 2022
INTRODUCTION,0.004229607250755287,"complexity up to O(d3) (e.g., with a naive use of the Newton method). There are, of course,
efﬁcient ways to solve the Newton system with signiﬁcantly lower costs (e.g., see Nocedal &
Wright (2006)).
Moreover, quasi-Newton methods require lower memory and computational
complexities than Newton-type methods.
Recently, there has been shifted attention towards
stochastic second-order (Roosta-Khorasani & Mahoney, 2018; Byrd et al., 2011; Martens, 2010;
Jahani et al., 2020a; Xu et al., 2017; Roosta et al., 2018; Yao et al., 2018) and quasi-Newton
methods (Curtis, 2016; Berahas et al., 2016; Mokhtari & Ribeiro, 2015; Jahani et al., 2021b; Bera-
has et al., 2019; Jahani et al., 2020b) in order to approximately capture the local curvature information."
INTRODUCTION,0.004833836858006042,"0
200
400
600
800
1000
Sa m ples 10 0"
INTRODUCTION,0.005438066465256798,Rela tive Error
