Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.002898550724637681,"A common approach for personalized federated learning is ﬁne-tuning the global
machine learning model to each local client. While this addresses some issues
of statistical heterogeneity, we ﬁnd that such personalization methods are often
vulnerable to spurious features, leading to bias and diminished generalization
performance. However, debiasing the personalized models under spurious features
is difﬁcult. To this end, we propose a strategy to mitigate the effect of spurious fea-
tures based on our observation that the global model in the federated learning step
has a low accuracy disparity due to statistical heterogeneity. Then, we estimate and
mitigate the accuracy disparity of personalized models using the global model and
adversarial transferability in the personalization step. We theoretically establish
the connection between the adversarial transferability and the accuracy disparity
between the global and personalized models. Empirical results on MNIST, CelebA,
and Coil20 datasets show that our method reduces the accuracy disparity of the
personalized model on the bias-conﬂicting data samples from 15.12% to 2.15%,
compared to existing personalization approaches, while preserving the beneﬁt of
enhanced average accuracy from ﬁne-tuning."
INTRODUCTION,0.005797101449275362,"1
INTRODUCTION"
INTRODUCTION,0.008695652173913044,"Federated learning (FL) is a leading framework for clients to collaboratively train a shared global
machine learning (ML) model without releasing their local private datasets (McMahan et al., 2017;
Kairouz et al., 2019). The jointly trained global model could be further ﬁne-tuned on each client’s
local dataset to produce personalized models (Fallah et al., 2020; T. Dinh et al., 2020; Li et al., 2021).
While existing theoretical and empirical results highlight how personalized models improve accuracy
on local data, few works consider what features the personalized models learn from the local dataset.
Our motivating hypothesis is that not all local features are beneﬁcial."
INTRODUCTION,0.011594202898550725,"For example, consider a gender prediction task using face images, where the ML model learns to
predict gender based on hair color because females are more likely to have blond hair (Sagawa et al.,
2020). In this case, the hair color is called a spurious feature because it only statistically correlates
with the gender on biased-aligned samples but not necessarily on the overall population. Thus, the
accuracy of a model that relies on spurious features such as hair color is likely to drop signiﬁcantly
on bias-conﬂicting samples where the spurious correlation does not hold, e.g., for blond male images
(Sagawa et al., 2020). This paper calls the accuracy difference of an ML model on the dataset with
spurious features and the dataset without spurious features accuracy disparity. More broadly, the
accuracy disparity caused by spurious features leads to issues in both fairness (McNamara et al.,
2019; Zhao & Gordon, 2019; Agarwal et al., 2019; Chi et al., 2021), i.e., racial bias (Khani & Liang,
2021) and robustness, i.e., accuracy decrease under distribution shift (Zhao et al., 2019; Koh et al.,
2021). Compared to the global model, because of the local ﬁne-tuning, the personalized models are
more vulnerable to spurious features and have a larger accuracy disparity."
INTRODUCTION,0.014492753623188406,"Empirically, we observe that the typical non-i.i.d. data distributions in FL settings reduce the accuracy
disparity of the global model. One potential explanation is that the statistical heterogeneity (Wang"
INTRODUCTION,0.017391304347826087,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.020289855072463767,(a) Spurious Correlation Varies across Users
INTRODUCTION,0.02318840579710145,"(b) Gradient Divergence between
Users"
INTRODUCTION,0.02608695652173913,"Figure 1: The statistical heterogeneity of spurious features leads to diverse gradients. The statistical
heterogeneity leads to a global ML model with a low accuracy disparity in a federated learning
setting because the aggregation step in the central server averages out the gradients resulted from
local spurious features."
INTRODUCTION,0.028985507246376812,"et al., 2021) under spurious features across users is larger than that of non-spurious features. As
a result, the aggregation operation in the central server averages out the diverse shifts under the
spurious features (Figure 1) so that the global model becomes more robust against spurious features
on the benchmark datasets. On the other hand, the local ﬁne-tuning step will result in a personalized
model that entangles spurious features and becomes biased. Hence, it remains a key challenge how to
debias the personalized models."
INTRODUCTION,0.03188405797101449,"Various methods (Wang et al., 2019; Sagawa et al., 2020; Liu et al., 2021) have been developed
to disentangle spurious features from ML models, but few can be easily applied to personalized
models under the federated learning setting. The main reason lies in their reliance on bias-conﬂicting
samples. The bias-conﬂicting samples can be rare. For example, in the CelebA dataset, only around
1.7k samples are bias-conﬂicting out of more than170k samples. If we distribute the CelebA dataset
across users, nearly half do not have any bias-conﬂicting samples. Prior work (Li & Wang, 2019)
has tried using a global proxy dataset for training FL models. However, a global proxy dataset
may not characterize the local samples well. Furthermore, estimating the accuracy disparity of the
personalized model becomes difﬁcult without access to bias-conﬂicting samples."
INTRODUCTION,0.034782608695652174,"To approach this problem, we propose a novel method to reduce the accuracy disparity of personalized
models. Our proposed method does not rely on the bias-conﬂicting samples, e.g., blond male images
in the aforementioned task of gender prediction, which are often rare and may not be available
for every user. Instead, inspired by prior works (Tram`er et al., 2017; Liang et al., 2021) on the
transferability of adversarial examples, we use the global model as a reference and the adversarial
transferability between the global model and the personalized models as a proxy to estimate the
accuracy disparity of the personalized models. The intuition is that if two ML models use disjoint
subsets of features, the adversarial examples that one ML model generates do not transfer to the other
ML model. Based on this intuition, we propose the following hypothesis:"
INTRODUCTION,0.03768115942028986,"If the personalized models entangle spurious features (thus increasing the accuracy
disparity), the adversarial examples generated by the global model (that uses
non-spurious features) do not transfer to the personalized models."
INTRODUCTION,0.04057971014492753,"Empirically, we show that the adversarial transferability between the global and personalized models
strongly correlates with the accuracy disparity between the global and personalized models (Section
4), validating our hypothesis. We further theoretically connect the adversarial transferability to
the accuracy disparity (Section 5). Based on the empirical observations and theoretical results, we
develop a method that enforces adversarial transferability between the global and the personalized
models to reduce the accuracy disparity of personalized models (Section 6). Our contributions are
summarized as follows:"
INTRODUCTION,0.043478260869565216,"• We empirically evaluate the accuracy disparity of the global and personalized models in a fed-
erated learning setting with spurious features, highlighting a risk of existing personalization
methods.
• We design a method to estimate the accuracy disparity of the personalized models, based
on the low accuracy disparity global model and the adversarial transferability between the
global and personalized models."
INTRODUCTION,0.0463768115942029,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.04927536231884058,"• We theoretically connect the adversarial transferability and the accuracy disparity of the
global and personalized models.
• We develop a methods to reduce the accuracy disparity of personalized models by enforcing
the adversarial transferability between the global and personalized models.
Empirically, we conduct extensive experiments to validate the effectiveness of the proposed methods
in mitigating accuracy disparity under the FL setting. Our experiments on MNIST (Deng, 2012),
CelebA (Liu et al., 2015), and Coil20 (Nene et al., 1996) datasets show that the proposed approach
reduces the accuracy disparity of personalized models from 15.12% to 2.15%, which is closer to
that of the global model (−0.63%). Our method also preserves the beneﬁt of the enhanced average
accuracy from ﬁne-tuning, resulting in 3.43% accuracy improvement on the biased test set and 0.85%
accuracy improvement on the biased-conﬂicting test set."
RELATED WORK,0.05217391304347826,"2
RELATED WORK"
RELATED WORK,0.05507246376811594,"Personalized Federated Learning
Fine-tuning is typical for personalization methods. The meta-
learning-based method ﬁrst trains a global model and ﬁne-tunes the global model locally (Fallah
et al., 2020). Other methods using multi-task learning (Li et al., 2021) or Moreau envelopes (T. Dinh
et al., 2020) have an interpretation as ﬁne-tuning the local model along with training the global model.
Fine-tuning is also compatible with clustering-based method (Ghosh et al., 2020)."
RELATED WORK,0.057971014492753624,"Debiasing ML Models
A few prior works (Li & Vasconcelos, 2019; Sagawa et al., 2020) utilize
group labels, which might require human annotation, to debias ML models. For example, the
group distributional robust optimization (DRO) method (Sagawa et al., 2020) aims to optimize
the worst-case error rate of ML models across different (often manually annotated) groups. Some
groups contain bias-conﬂicting samples while others do not. Residual learning-based methods (He
et al., 2019; Nam et al., 2020; Liu et al., 2021) train a biased ML model and up-weight the residual,
which mainly contains bias-conﬂicting samples that the biased ML model mis-predicts. Chi et al.
(2021) aims to mitigate the accuracy disparity in regression problems via learning the appropriate
representations. However, all these methods rely on the explicit access to the bias-conﬂicting samples,
making them difﬁcult to apply on personalized federated learning, where bias-conﬂicting samples
may not be accessible for every client."
PRELIMINARIES,0.06086956521739131,"3
PRELIMINARIES"
PRELIMINARIES,0.06376811594202898,"Deﬁnitions and Notation
A data sample is a vector x = [xr, xs], where xr corresponds to the
robust and non-spurious features and xs are the spurious features. ds is the dimension of spurious
features. Let y be a label, and deﬁne ℓ: Y × Y −→R to be a λ-smooth, twice differentiable loss
function and L(f, D) = E(x,y)∼D[ℓ(f(x), y)] to be the empirical risk. wg and wp are the weights
for the global model fg : X −→Y and personalized model fp : X −→Y, respectively. γ is the ratio
between the gradient norms of the global and personalized models, ∥∇xℓ(fg(x),y)∥"
PRELIMINARIES,0.06666666666666667,"∥∇xℓ(fp(x),y)∥. Let supp(D) be
the support of distribution D. We deﬁne a global data distribution Dg, a biased local data distribution
Db, and assume a bias-conﬂicting local data distribution Dbc. We deﬁne the “pseudo-gradient” as the
difference between the updated local model and the global model from the previous round (sometimes
we will use the term “gradient” when it is clear from context). ⟨· , ·⟩denotes an inner product of two
vectors and · ⌢· denotes a concatenation of two vectors. θ is the angle between ∇xℓ(fg(x), y) and
∇xℓ(fp(x), y). θg is the angle between ∇xℓ(fg(x), y) and ∇xrℓ(fg(x), y) ⌢0, which measures
the entanglement of the global model to spurious features."
PRELIMINARIES,0.06956521739130435,"Training and Personalization Methods
We train the global model using the federated averaging
algorithm (McMahan et al., 2017), which learns a model f : X −→Y that minimizes: L(f, Dg) =
PN
i=1 |Dbi|/|Dg| · Ex,y∼Dbiℓ(f(x), y), where N is the number of clients, Dbi is the biased local
dataset for client i, and Dg = ∪N
i=1Dbi is the global dataset. When the global model fg converges,
fg will be sent to local clients for further ﬁne-tuning by minimizing Ex,y∼Dbiℓ(f(x), y)."
PRELIMINARIES,0.07246376811594203,"Adversarial Examples and Transferability
We can generate an adversarial example xadv given
data sample x with label y by solving:"
PRELIMINARIES,0.07536231884057971,"xadv = arg max
∥x′−x∥≤ϵ
ℓ(f(x′), y),
(1)"
PRELIMINARIES,0.0782608695652174,Under review as a conference paper at ICLR 2022
PRELIMINARIES,0.08115942028985507,"(a) MNIST
(b) CelebA"
PRELIMINARIES,0.08405797101449275,(c) Coil20
PRELIMINARIES,0.08695652173913043,"Figure 2: Datasets with spurious features. The object color spuriously correlates with the label in
MNIST (a) and Coil20 (c) datasets. The hair color spuriously correlates with gender in the CelebA
dataset (b)."
PRELIMINARIES,0.08985507246376812,"(a) MNIST
(b) CelebA
(c) Coil20"
PRELIMINARIES,0.0927536231884058,"Figure 3: The accuracy of ML models on Biased Dataset and Bias-Conﬂicting Dataset under
centralized and federated training settings. In the centralized setting, an ML model is trained by a
single dataset that contains all the samples with a ﬁxed spurious correlation. The global models in the
federated setting achieve smaller accuracy disparities between biased and bias-conﬂicting datasets."
PRELIMINARIES,0.09565217391304348,"where f is the victim ML model, and ϵ is the attack budget. In this example, we consider the L2
attacks, but extensions to general Lp attacks are straightforward. We say an adversarial example to
be transferable if it also fools another ML model (e.g., a personalized model) other than the original
victim model f (e.g., the global model)."
AN EMPIRICAL STUDY WITH SPURIOUS FEATURES,0.09855072463768116,"4
AN EMPIRICAL STUDY WITH SPURIOUS FEATURES"
AN EMPIRICAL STUDY WITH SPURIOUS FEATURES,0.10144927536231885,"To gain some insights into the problem, we ﬁrst perform an empirical study on the accuracy disparity
of the global and personalized models in an FL setting. In this study, the personalization method
is ﬁne-tuning. Our results highlight the risk of existing ﬁne-tuning-based personalization methods
and the difﬁculty of mitigating the risk. We also highlight the correlation between the adversarial
transferability and the accuracy disparity between the global and personalized models. We provide
additional theoretical analysis in Section 5 to support the observed correlation. The spurious features
in the empirical study are as follows."
AN EMPIRICAL STUDY WITH SPURIOUS FEATURES,0.10434782608695652,"Spurious Features
We consider color as the spurious feature for the MNIST, CelebA, and Coil20
datasets. In the MNIST and Coil20 datasets, we manually color the objects according to their labels
to create spurious correlations, as Figure 2 shows. The spurious correlations vary across clients for
the MNIST and Coil20 data (e.g., the red color correlates with label zero on the ﬁrst client and with
label one on the second client) to create additional statistical heterogeneity. In the CelebA dataset,
the hair color attribute correlates with the gender label. We assign disjoint subsets of celebrities to
different users, which naturally increases statistical heterogeneity for the spurious correlation."
STATISTICAL HETEROGENEITY REDUCES ACCURACY DISPARITY,0.1072463768115942,"4.1
STATISTICAL HETEROGENEITY REDUCES ACCURACY DISPARITY"
STATISTICAL HETEROGENEITY REDUCES ACCURACY DISPARITY,0.11014492753623188,"Figure 3 shows the accuracy disparity of ML models on biased and bias-conﬂicting test sets. Com-
pared to the models trained in the centralized setting, where the spurious correlations are ﬁxed, the
accuracy disparity of models trained in the federated setting decreased signiﬁcantly. These empirical
results suggest that the global model in FL is more robust to spurious features if the spurious features
are non-i.i.d. across clients."
STATISTICAL HETEROGENEITY REDUCES ACCURACY DISPARITY,0.11304347826086956,"To explain this observation, consider the relationship between the gradient directions and the learned
features. For the spurious features, its correlation with the label may change across clients. As"
STATISTICAL HETEROGENEITY REDUCES ACCURACY DISPARITY,0.11594202898550725,Under review as a conference paper at ICLR 2022
STATISTICAL HETEROGENEITY REDUCES ACCURACY DISPARITY,0.11884057971014493,"(a) MNIST
(b) CelebA
(c) Coil20"
STATISTICAL HETEROGENEITY REDUCES ACCURACY DISPARITY,0.12173913043478261,"Figure 4: The accuracy of personalized model on Biased Dataset (Acc B) and Bias-Conﬂicting
Dataset (Acc BC) with increasing ﬁne-tuning batches. The personalized models entangle spurious
features and increase accuracy disparities between biased and bias-conﬂicting datasets."
STATISTICAL HETEROGENEITY REDUCES ACCURACY DISPARITY,0.1246376811594203,"(a) MNIST
(b) CelebA
(c) Coil20"
STATISTICAL HETEROGENEITY REDUCES ACCURACY DISPARITY,0.12753623188405797,"Figure 5: The accuracy disparity of personalized models on biased dataset and bias-conﬂicting dataset
(Acc B - Acc BC) and their accuracy on adversarial examples (Acc Adv). As the personalized models
entangle spurious features and increase the accuracy disparity, the accuracy of the personalized models
on adversarial examples increases, which indicates the adversarial transferability between the global
and personalized models decreases."
STATISTICAL HETEROGENEITY REDUCES ACCURACY DISPARITY,0.13043478260869565,"an example, in some users’ local datasets, the blond hair does not correlate with the gender label
because the dataset does not contain any blond female image or the dataset has blond male images, as
visualized in Figure 1a. Therefore, the gradient directions for the spurious features are diverse across
clients, as shown in Figure 1b. The divergence between the gradient directions, as a consequence,
makes learning spurious features difﬁcult. In contrast, the non-spurious features, e.g., shape features,
are more consistent across clients, leading to a more consistent gradient direction."
PERSONALIZATION MAY EXACERBATE ACCURACY DISPARITY,0.13333333333333333,"4.2
PERSONALIZATION MAY EXACERBATE ACCURACY DISPARITY"
PERSONALIZATION MAY EXACERBATE ACCURACY DISPARITY,0.13623188405797101,"Although the global model in the federated setting has a lower accuracy disparity than in the
centralized setting, the advantage could vanish during the personalization step."
PERSONALIZATION MAY EXACERBATE ACCURACY DISPARITY,0.1391304347826087,"The Personalized Model Entangles Spurious Features
As can be observed in Figure 4, the
accuracy ﬁrst increases and decreases on the MNIST bias-conﬂicting test set and slowly decreases on
Coil20. These two observations indicate that the personalized model entangles spurious features and
exacerbates the accuracy disparity in a few batches. Although in principle, one may resort to early
stopping, this is not feasible when the bias-conﬂicting dataset is unavailable or scarce."
ADVERSARIAL TRANSFERABILITY INDICATES ACCURACY DISPARITY,0.14202898550724638,"4.3
ADVERSARIAL TRANSFERABILITY INDICATES ACCURACY DISPARITY"
