Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.017543859649122806,"With the increasing training cost of large language models, model merging is
attracting attention. This report describes our effort in the area during the NeurIPS
2024 LLM Merging Competition. We developed differentiable DARE-TIES, which
optimizes the merging parameters in a differentiable manner. Whereas existing
methods rely on black-box optimization algorithms, our method utilizes gradient
descent and is expected to optimize high-dimensional merging parameters more
efficiently. We conducted experiments to examine the potential of our approach."
INTRODUCTION,0.03508771929824561,"1
Introduction"
INTRODUCTION,0.05263157894736842,"Large language models (LLMs) have significantly advanced the field of natural language processing,
enabling breakthroughs in tasks ranging from machine translation to conversational agents. As these
models have been growing in scale and complexity, techniques for efficiently merging and optimizing
them have become crucial. One such technique gaining attention is evolutionary model merge [1],
which leverages evolutionary algorithms to optimize merging hyperparameters for combining multiple
LLMs into a more powerful model."
INTRODUCTION,0.07017543859649122,"The covariance matrix adaptation evolution strategy (CMA-ES) [2] is a popular evolutionary algorithm
used in this context, which is also known as a well-performed continuous black-box optimization
method. By conducting extensive evaluations—often numbering in the thousands—CMA-ES explores
the parameter space to find well-optimized configurations for model merging. For instance, 1,000
evaluations with CMA-ES yielded the high-quality merged model in [1]. However, this approach has
a drawback: the computational time required for convergence can be high due to the computational
demands of evolutionary processes."
INTRODUCTION,0.08771929824561403,"To address this challenge, we propose a novel method that transforms the design parameters for
optimization into differentiable forms, enabling the use of gradient-based optimization techniques.
By making the parameters differentiable, we can apply efficient gradient descent methods to optimize
the merging process directly. This approach significantly reduces the convergence time compared to
conventional evolutionary algorithms."
INTRODUCTION,0.10526315789473684,"In our experiments, we observed that the proposed method could reduce the computational time
by about ten times compared to the evolutionary model merge method with a typical setting.1
Despite the efficiency of our approach, the performance of the merged models was promising as"
INTRODUCTION,0.12280701754385964,"1While our proposed method can reduce the computational time for optimization compared to evolutionary
algorithm-based merging parameter optimization, the GPU memory usage of our method is large because all the
tensors of the base and source models are loaded."
INTRODUCTION,0.14035087719298245,Model A DARE TIES ×SA 5 ×SA 4 ×SA 3 ×SA 2 ×SA 1
INTRODUCTION,0.15789473684210525,"Base Model
Model B DARE TIES SB×
5 SB×
4 SB×
3 SB×
2 SB×
1"
INTRODUCTION,0.17543859649122806,Task tensors (the delta tensors between the base model and each source model) SX
INTRODUCTION,0.19298245614035087,"i
Scaling factor of model X・tensor i (trainable)"
INTRODUCTION,0.21052631578947367,Figure 1: Overview of our Differentiable DARE-TIES method.
INTRODUCTION,0.22807017543859648,"exemplified by our method achieving a fourth-place in the LLM-Merging competition. We submitted
the model merging code for the competition using the merging configuration parameters obtained by
the proposed method."
IMPLEMENTATION/METHODS,0.24561403508771928,"2
Proposed Method"
IMPLEMENTATION/METHODS,0.2631578947368421,"We introduce a differentiable model merging method based on DARE-TIES, as illustrated in Figure 1.
In settings with a base model and multiple fine-tuned versions of it, which we refer to as source
models, we first extract task tensors [3], representing the delta tensors between the base model and
each source model. These tensors are then sparsified, following a process similar to DARE-TIES: a
portion of each task tensor is randomly dropped with a ratio of p, and tensor values with the minority
signs within each tensor are also removed. Next, each task tensor is scaled by learnable scaling
factors and added to the corresponding tensor in the base model. While DARE-TIES typically applies
scaling at the model or layer level [1], our method applies it at the tensor level for more granular
model merging. We treat the tensors obtained by named_parameters() in PyTorch as the set of
tensors. After merging, we optimize the cross entropy loss with respect to the learnable scaling
factors using gradient-based methods, while keeping all other model parameters fixed."
IMPLEMENTATION/METHODS,0.2807017543859649,"2.1
Fine-Tuning Dataset Preparation"
IMPLEMENTATION/METHODS,0.2982456140350877,"After optimizing the scaling factors, we fine-tuned the merged model on a small custom dataset
containing 921 samples to align its output format. We created this dataset by randomly selecting
three samples for each task in BIG-Bench [4] and FLAN Collection T0 sub-mixture [5]. This process
was intended to reduce instances of generated text that did not match the competition’s output format.
In our experiments, fine-tuning the merged models required only a few minutes."
RESULTS/EXPERIMENTS,0.3157894736842105,"3
Experiment"
RESULTS/EXPERIMENTS,0.3333333333333333,"We compared our merging method, which utilizes optimized scaling factors, against a version that
employs randomly sampled scaling factors from a uniform distribution between 0 and 1."
RESULTS/EXPERIMENTS,0.3508771929824561,"3.1
Experimental Setup"
RESULTS/EXPERIMENTS,0.3684210526315789,"Dataset
We used tinyBenchmarks [6] to optimize merging parameters, which is a small dataset of
600 questions and answers. For the multiple-choice task, we used the correct answer statement as the
answer."
RESULTS/EXPERIMENTS,0.38596491228070173,"Models
We used Llama 3 8B [7] as the base model, and also used suzume-llama-3-8B-multilingual-
orpo-borda-top75 [8], MAmmoTH2-8B-Plus [9] and Llama-3-Refueled [10] as source models. These"
RESULTS/EXPERIMENTS,0.40350877192982454,"Table 1: The final leaderboard score of our methods.
Method
Private final leaderboard score"
RESULTS/EXPERIMENTS,0.42105263157894735,"Ours
0.41
Ours w/o Fine-Tuning
0.40"
RESULTS/EXPERIMENTS,0.43859649122807015,"models show high performance on the Open LLM Leaderboard 2 Average, Math Hard, and Big
Bench Hard, respectively. Llama 3 8B has 291 tensors, so the total number of scaling factors is 873."
RESULTS/EXPERIMENTS,0.45614035087719296,"Evaluation
We evaluated the performance of the merged models on the private final leaderboard of
the LLM Merging Competition on Kaggle. The chat template for llama 3 was applied to the original
questions in the test dataset during the evaluation process. For the multiple choice questions, we gave
the model choices as a system prompt, and then selected the choice that maximized the rougeLsum
f-measure with the model output as the answer."
RESULTS/EXPERIMENTS,0.47368421052631576,"Optimization
We used Adam to optimize the scaling factors. In Adam, we set the learning rate to
0.1, β1 to 0.9 and β2 to 0.999, the batch size to 50, the number of epochs to 50. We set the initial
scaling factors to 1. We cropped the scaling factors between 0 and 1 while optimizing. We set all
density parameters for DARE to 0.5. The chat template is used in the optimization process."
