Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0009699321047526673,"Interpretable and explainable machine learning has seen a recent surge of inter-
est. We posit that safety is a key reason behind the demand for explainability.
To explore this relationship, we propose a mathematical formulation for assess-
ing the safety of supervised learning models based on their maximum deviation
over a certiﬁcation set. We then show that for interpretable models including
decision trees, rule lists, generalized linear and additive models, the maximum
deviation can be computed exactly and efﬁciently. For tree ensembles, which are
not regarded as interpretable, discrete optimization techniques can still provide
informative bounds. For a broader class of piecewise Lipschitz functions, we re-
purpose results from the multi-armed bandit literature to show that interpretability
produces tighter (regret) bounds on the maximum deviation compared with black
box functions. We perform experiments that quantify the dependence of the max-
imum deviation on model smoothness and certiﬁcation set size. The experiments
also illustrate how the solutions that maximize deviation can suggest safety risks."
INTRODUCTION,0.0019398642095053346,"1
INTRODUCTION"
INTRODUCTION,0.002909796314258002,"Interpretable and explainable machine learning (ML) has seen a recent surge of interest because
it is viewed as one of the key pillars in making models trustworthy, with implications on fairness,
reliability, and safety (Varshney, 2019). It is generally accepted that the ultimate measure of ML
explainability is whether a human ﬁnds the explanations useful (Doshi-Velez & Kim, 2017; Dhu-
randhar et al., 2017). However, less attention has been paid to deeper reasons behind the human
desire for explainability. In this paper, we posit an important reason is toward achieving safety
and preventing unexpected harms (Varshney & Alemzadeh, 2017). This reason is implicit in the
dichotomy between directly interpretable models vs. post hoc explanations of black-box models.
Some argue that only directly interpretable models should be used in high-risk applications (Rudin,
2019). The crux of this argument is that post hoc explanations leave a gap between the explana-
tion and the model that is producing the predictions. Thus, unusual data points may appear to be
harmless based on the explanation, but truly cause havoc. This argument however does not explic-
itly address the question: What does safety mean for such models, and how is it intertwined with
interpretability?"
INTRODUCTION,0.0038797284190106693,"Towards answering this question, we propose a mathematical deﬁnition for assessing the safety of
supervised learning (i.e. predictive) models. Viewing these models as functions mapping an input
space to an output space, a key way in which these models can cause harm is through grossly unex-
pected outputs, corresponding to inputs that are poorly represented in training data. Accordingly, we
approach safety assessment for a model by determining its maximum deviation over a certiﬁcation
set from the output of a reference model. The idea of a certiﬁcation set is that it is a large subset of
the input space and is intended to cover all conceivable inputs to the model. The reference model
could be a simple, well-understood model or an existing model that has been “tried and tested.”
These concepts are discussed further in Section 2."
INTRODUCTION,0.004849660523763337,"In Section 4, we discuss the computation of the maximum deviation for different model classes and
show how this is facilitated by interpretability. For model classes regarded as interpretable, including
trees, rule lists, generalized linear and additive models, the maximum deviation can be computed
exactly and efﬁciently by exploiting the model structure. For tree ensembles, which are not regarded
as interpretable, discrete optimization techniques can exploit their composition in terms of trees"
INTRODUCTION,0.005819592628516004,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.006789524733268671,"to provide anytime bounds on the maximum deviation. The case of trees is also generalized in a
different direction by considering a broader class of functions that are piecewise Lipschitz, which we
argue cover many popular interpretable functions. Here we show that the beneﬁt of interpretability
is signiﬁcantly tighter regret bounds on the maximum deviation compared with black box functions,
by appropriately repurposing results from the multi-armed bandit literature in this context. On the
other hand, it is less clear that post hoc explanations, which approximate a model locally (Ribeiro
et al., 2016; Lundberg & Lee, 2017; Dhurandhar et al., 2018) or globally (Buciluˇa et al., 2006;
Hinton et al., 2015), can help with evaluating the maximum deviation and hence safety."
INTRODUCTION,0.007759456838021339,"We conduct experiments to illustrate the deviation maximization methods in Section 4 for decision
trees, linear and additive models, and tree ensembles. The results in Section 5 quantify how the
maximum deviation increases as the size of the certiﬁcation set increases and as the smoothness of
the models decreases. For tree ensembles, we ﬁnd that the obtained upper bounds on the maximum
deviation are informative, showing that the maximum deviation does not increase with the number
of trees in the ensemble. We also study the feature combinations that maximize deviation, which
can shed light on the sources of extreme model outputs and guide further investigation."
INTRODUCTION,0.008729388942774006,"Overall, our discussion suggests that a reason for preferring more interpretable models is that it is
easier to assess them for unexpected and potentially unsafe outputs."
ASSESSING SAFETY THROUGH MAXIMUM DEVIATION,0.009699321047526674,"2
ASSESSING SAFETY THROUGH MAXIMUM DEVIATION"
ASSESSING SAFETY THROUGH MAXIMUM DEVIATION,0.01066925315227934,"We are given a supervised learning model f, which is a function mapping an input feature space X
to an output space Y. We wish to assess the safety of this model by ﬁnding its worst-case deviation
from a given reference model f0 : X 7→Y. To do this, we additionally require 1) a measure of
deviation D : Y × Y 7→R+, where R+ is the set of non-negative reals, and 2) a certiﬁcation set
C ⊆X over which the deviation is maximized. Then the problem to be solved is"
ASSESSING SAFETY THROUGH MAXIMUM DEVIATION,0.011639185257032008,"max
x∈C D(f(x), f0(x)).
(1)"
ASSESSING SAFETY THROUGH MAXIMUM DEVIATION,0.012609117361784675,"The deviation is worst-case because the maximization is over all x ∈C; further implications of this
are discussed in Appendix C."
