Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.001996007984031936,"Data-driven algorithm design is a promising, learning-based approach for be-
yond worst-case analysis of algorithms with tunable parameters. An important
open problem is the design of computationally efficient data-driven algorithms
for combinatorial algorithm families with multiple parameters. As one fixes the
problem instance and varies the parameters, the “dual” loss function typically has
a piecewise-decomposable structure, i.e. is well-behaved except at certain sharp
transition boundaries. Motivated by prior empirical work, we initiate the study of
techniques to develop efficient ERM learning algorithms for data-driven algorithm
design by enumerating the pieces of the sum dual loss functions for a collection
of problem instances. The running time of our approach scales with the actual
number of pieces that appear as opposed to worst case upper bounds on the number
of pieces. Our approach involves two novel ingredients – an output-sensitive algo-
rithm for enumerating polytopes induced by a set of hyperplanes using tools from
computational geometry, and an execution graph which compactly represents all
the states the algorithm could attain for all possible parameter values. We illustrate
our techniques by giving algorithms for pricing problems, linkage-based clustering
and dynamic-programming based sequence alignment."
INTRODUCTION,0.003992015968063872,"1
Introduction"
INTRODUCTION,0.005988023952095809,"The data-driven algorithm design paradigm captures a widely occuring scenario of solving multiple
related problem instances and allows the design and analysis of algorithms that use machine learning
to learn how to solve the instances which come from the same domain [GR16, Bal20]. Typically
there are large (often infinite) parameterized algorithm families to choose from, and data-driven
algorithm design approaches provide techniques to select algorithm parameters that provably perform
well for instances from the same domain. Data-driven algorithms have been proposed and analyzed
for a variety of combinatorial problems, including clustering, computational biology and mechanism
design [BDL20, BDD+21, BPS20]. But most of the prior work has focused on sample efficiency of
learning good algorithms i.e. the number of problem instances needed to learn algorithm parameters
that perform well on a typical problem from the domain. A major open question for this line of
research is to design computationally efficient learning algorithms [GR20, BDS21]."
INTRODUCTION,0.007984031936127744,"The parameterized family may occur naturally in well-known algorithms used in practice, or one
could potentially design new families interpolating known heuristics. For the problem of aligning
pairs of genomic sequences, one typically obtains the best alignment using a dynamic program
with some costs or weights assigned to edits of different kinds, such as insertions, substitutions,
or reduplications [Wat89]. These costs are the natural parameters for the alignment algorithm.
The quality of the alignment can strongly depend on the parameters, and the best parameters vary
depending on the application (e.g. aligning DNAs or RNAs), the pair of species being compared, or"
INTRODUCTION,0.00998003992015968,"∗Carnegie Mellon University, ninamf@cs.cmu.edu.
†Work done by Christopher Seiler while he was at CMU.
‡Corresponding author: dravy@ttic.edu. Work done by Dravyansh Sharma while he was at CMU."
INTRODUCTION,0.011976047904191617,"Problem
Dim.
TS (prior work)
TS (ours)
TERM (m instances)
Linkage-based
d = 2
O(n18 log n) [BDL20]
O(Rn3)
mTS + ˜O(mn2RΣ)
clustering
any d
O(n8d+2 log n) [BDL20]
˜O(R2n3)
mTS + ˜O(mn2R2
Σ)
DP-based sequ-
d = 2
O(R2 + RTDP) [GBN94]
O(RTDP)
mTS + ˜O(mTDPRΣ)
ence alignment
any d
sO(sd)TDP [BDD+21]
˜O(˜R2L+1TDP)
mTS + ˜O(mTDPR2
Σ)
Two-part tariff
ℓ= 1
O(K3) [BPS20]
˜O(R + K)
O(RΣ + mK log mK)
pricing
any L′
KO(L′) [BPS20]
˜O(R2K)
mTS + ˜O(mKR2
Σ)"
INTRODUCTION,0.013972055888223553,"Table 1: Summary of running times of the proposed algorithms. TERM denotes the running time for
computing the pieces in the sum dual class function in terms of TS, the time for enumerating the
pieces on a single problem instance (Theorem 2.3). RΣ (resp. R) denotes the number of pieces in
the sum dual class function for given m problem instances (resp. dual class function for a single
problem instance). n is the size of the clustering instance. s is the length of sequences to be aligned,
L is the maximum number of subproblems in the sequence alignment DP update, ˜R is the maximum
number of pieces in the dual class function over all subproblems, TDP is the time to solve the DP on
a single instance. K is the number of units of the item sold and ℓis the menu length. The ˜O notation
suppresses logarithmic terms and multiplicative terms that only depend on d or L."
INTRODUCTION,0.015968063872255488,"the purpose of the alignment. Similarly, item prices are natural parameters in automated mechanism
design [BSV18, BPS20]. On the other hand, for linkage-based clustering, one usually chooses from
a set of different available heuristics, such as single or complete linkage. Using an interpolation
of these heuristics to design a parameterized family and tune the parameter, one can often obtain
significant improvements in the quality of clustering [BNVW17, BDL20]."
INTRODUCTION,0.017964071856287425,"A common property satisfied by a large number of interesting parameterized algorithm families is
that the loss4 as a function of the real-valued parameters for any fixed problem instance—called the
“dual class function” [BS21]—is a piecewise structured function, i.e. the parameter space can be
partitioned into “pieces” via sharp transition boundaries such that the loss function is well-behaved
(e.g. constant or linear) within each piece [Bal20]. Prior work on data-driven algorithm design has
largely focused on the sample complexity of the empirical risk minimization (ERM) algorithm which
finds the loss-minimizing value of the parameter over a collection of problem instances drawn from
some fixed unknown distribution. The ERM on a collection of problem instances can be implemented
by enumerating the pieces of the sum dual class loss function. We will design algorithms for
computationally efficient enumeration of these pieces, when the transition boundaries are linear,
and our techniques can be used to learn good domain-specific values of these parameters given
access to multiple problem instances from the problem domain. More precisely, we use techniques
from computational geometry to obtain “output-sensitive” algorithms (formalized in Appendix C),
that scale with the output-size RΣ (i.e. number of pieces in the partition) of the piece enumeration
problem for the sum dual class function on a collection of problem instances. Often, on commonly
occurring problem instances, the number of pieces is much smaller than worst case bounds on it
[BDL20, GS96] and our results imply significant gains in running time whenever RΣ is small."
INTRODUCTION,0.01996007984031936,"Our contributions.
We design novel approaches that use tools from computational geometry
and lead to output-sensitive algorithms for learning good parameters by implementing the ERM
(Empirical Risk Minimization) for several distinct data-driven design problems. The resulting learning
algorithms scale polynomially with the number of sum dual class function pieces RΣ in the worst
case (See Table 1) and are efficient for small constant d."
WE PRESENT A NOVEL OUTPUT-SENSITIVE ALGORITHM FOR ENUMERATING THE CELLS INDUCED BY A COLLECTION,0.021956087824351298,"1. We present a novel output-sensitive algorithm for enumerating the cells induced by a collection
of hyperplanes. Our approach applies to any problem where the loss is piecewise linear, with
convex polytopic piece boundaries. We achieve output-polynomial time by removing redundant
constraints in any polytope using Clarkson’s algorithm (from computational geometry) [Cla94]
and performing an implicit search over the graph of neighboring polytopes (formally Definition 2).
Our results are useful in obtaining output-sensitive running times for several distinct data-driven
algorithm design problems. Theorem 2.3 bounds the running time of the implementation of the"
