Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.001834862385321101,"The ability to leverage shared behaviors between tasks is critical for sample-efﬁcient
1"
ABSTRACT,0.003669724770642202,"multi-task reinforcement learning (MTRL). While prior MTRL methods primarily
2"
ABSTRACT,0.005504587155963303,"focus on parameter and data sharing, these methods do not exploit the fact that
3"
ABSTRACT,0.007339449541284404,"learning agents often beneﬁt from sharing behaviors when acquiring skills. Few
4"
ABSTRACT,0.009174311926605505,"behavior-sharing methods exist but are limited to task families requiring only
5"
ABSTRACT,0.011009174311926606,"directly shareable and similar behaviors. Our goal is to extend the efﬁcacy of
6"
ABSTRACT,0.012844036697247707,"behavior-sharing to more general task families that could require a mix of shareable
7"
ABSTRACT,0.014678899082568808,"and conﬂicting behaviors. Our key insight is an agent’s behavior across tasks can be
8"
ABSTRACT,0.01651376146788991,"used for mutually beneﬁcial exploration. To this end, we propose a simple MTRL
9"
ABSTRACT,0.01834862385321101,"framework for identifying shareable behaviors over tasks and incorporating them
10"
ABSTRACT,0.02018348623853211,"to guide exploration. We empirically demonstrate how behavior sharing improves
11"
ABSTRACT,0.022018348623853212,"sample efﬁciency and ﬁnal performance on manipulation and navigation MTRL
12"
ABSTRACT,0.023853211009174313,"tasks with conﬂicting behaviors and is even complementary to parameter sharing.
13"
ABSTRACT,0.025688073394495414,"Result videos are available at https://sites.google.com/view/qmp-mtrl.
14"
INTRODUCTION,0.027522935779816515,"1
Introduction
15"
INTRODUCTION,0.029357798165137616,"Imagine we are simultaneously learning to solve a diverse set of tasks in the kitchen, such as cooking
16"
INTRODUCTION,0.031192660550458717,"an egg, washing dishes, and boiling water (see Figure 1). Several behaviors are similar across these
17"
INTRODUCTION,0.03302752293577982,"tasks: interacting with the same appliances (like the fridge or faucet) and navigating common paths
18"
INTRODUCTION,0.03486238532110092,"across the kitchen (like going to the countertop). While solving a particular task, humans can easily
19"
INTRODUCTION,0.03669724770642202,"recognize the behaviors that can or cannot be shared from other tasks. This enables us to efﬁciently
20"
INTRODUCTION,0.03853211009174312,"solve multiple tasks by mutually beneﬁcial exploration.
21"
INTRODUCTION,0.04036697247706422,"Can we replicate how humans naturally learn multiple skills at once, by noticing and utilizing common
22"
INTRODUCTION,0.04220183486238532,"behaviors between them, and create a framework that can do the same efﬁciently? While typical works
23"
INTRODUCTION,0.044036697247706424,"in multi-task reinforcement learning (MTRL) exploit sharing policy parameters (Vithayathil Varghese
24"
INTRODUCTION,0.045871559633027525,"& Mahmoud, 2020) or relabeled data between tasks (Kaelbling, 1993), behavior-sharing is underex-
25"
INTRODUCTION,0.047706422018348627,"plored and can lead to complementary improvements. Recent works (Teh et al., 2017; Ghosh et al.,
26"
INTRODUCTION,0.04954128440366973,"2018) learn a shared policy distilled (Rusu et al., 2015) from all tasks, and either use it directly or to
27"
INTRODUCTION,0.05137614678899083,"enforce learning of similar behaviors. However, these methods share behavior uniformly across tasks,
28"
INTRODUCTION,0.05321100917431193,"limiting their effectiveness for task families requiring conﬂicting optimal behaviors from the same
29"
INTRODUCTION,0.05504587155963303,"state. In this work, our goal is to extend the efﬁciency gains of behavior sharing to such task families.
30"
INTRODUCTION,0.05688073394495413,"Concretely, we propose the problem of selective behavior sharing for improving exploration in
31"
INTRODUCTION,0.05871559633027523,"MTRL. Our key insight is that an agent’s past or current behaviors across tasks can be helpful
32"
INTRODUCTION,0.060550458715596334,"for exploration during training, despite potential conﬂicts in the ﬁnal policies, as shown in human
33"
INTRODUCTION,0.062385321100917435,"learners (Tomov et al., 2021). For instance, while boiling water in Figure 1, a household robot can
34"
INTRODUCTION,0.06422018348623854,"start by exploring behaviors found rewarding in other tasks, such as going to the countertop and
35"
