Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0010204081632653062,"We study Leaky ResNets, which interpolate between ResNets (˜L = 0) and Fully-
1"
ABSTRACT,0.0020408163265306124,"Connected nets (˜L →∞) depending on an ’effective depth’ hyper-parameter ˜L.
2"
ABSTRACT,0.003061224489795918,"In the infinite depth limit, we study ’representation geodesics’ Ap: continuous
3"
ABSTRACT,0.004081632653061225,"paths in representation space (similar to NeuralODEs) from input p = 0 to output
4"
ABSTRACT,0.00510204081632653,"p = 1 that minimize the parameter norm of the network. We give a Lagrangian
5"
ABSTRACT,0.006122448979591836,"and Hamiltonian reformulation, which highlight the importance of two terms: a
6"
ABSTRACT,0.007142857142857143,"kinetic energy which favors small layer derivatives ∂pAp and a potential energy
7"
ABSTRACT,0.00816326530612245,"that favors low-dimensional representations, as measured by the ’Cost of Identity’.
8"
ABSTRACT,0.009183673469387756,"The balance between these two forces offers an intuitive understanding of feature
9"
ABSTRACT,0.01020408163265306,"learning in ResNets. We leverage this intuition to explain the emergence of a
10"
ABSTRACT,0.011224489795918367,"bottleneck structure, as observed in previous work: for large ˜L the potential energy
11"
ABSTRACT,0.012244897959183673,"dominates and leads to a separation of timescales, where the representation jumps
12"
ABSTRACT,0.013265306122448979,"rapidly from the high dimensional inputs to a low-dimensional representation,
13"
ABSTRACT,0.014285714285714285,"move slowly inside the space of low-dimensional representations, before jumping
14"
ABSTRACT,0.015306122448979591,"back to the potentially high-dimensional outputs. Inspired by this phenomenon, we
15"
ABSTRACT,0.0163265306122449,"train with an adaptive layer step-size to adapt to the separation of timescales.
16"
INTRODUCTION,0.017346938775510204,"1
Introduction
17"
INTRODUCTION,0.018367346938775512,"Feature learning is generally considered to be at the center of the recent successes of deep neural
18"
INTRODUCTION,0.019387755102040816,"networks (DNNs), but it also remains one of the least understood aspects of DNN training.
19"
INTRODUCTION,0.02040816326530612,"There is a rich history of empirical analysis of the features learned by DNNs, for example the
20"
INTRODUCTION,0.02142857142857143,"appearance of local edge detections in CNNs with a striking similarity to the biological visual cortex
21"
INTRODUCTION,0.022448979591836733,"[19], feature arithmetic properties of word embeddings [22], similarities between representations
22"
INTRODUCTION,0.02346938775510204,"at different layers [18, 20], or properties such as Neural Collapse [24] to name a few. While some
23"
INTRODUCTION,0.024489795918367346,"of these phenomenon have been studied theoretically [3, 8, 27], a more general theory of feature
24"
INTRODUCTION,0.025510204081632654,"learning in DNNs is still lacking.
25"
INTRODUCTION,0.026530612244897958,"For shallow networks, there is now strong evidence that the first weight matrix is able to recognize a
26"
INTRODUCTION,0.027551020408163266,"low-dimensional projection of the inputs that determines the output (assuming this structure is present)
27"
INTRODUCTION,0.02857142857142857,"[4, 2, 1]. A similar phenomenon appears in linear networks, where the network is biased towards
28"
INTRODUCTION,0.02959183673469388,"learning low-rank functions and low-dimensional representations in its hidden layers [13, 21, 29].
29"
INTRODUCTION,0.030612244897959183,"But in both cases the learned features are restricted to depend linearly on the inputs, and the feature
30"
INTRODUCTION,0.03163265306122449,"learning happens in the very first weight matrix, whereas it has been observed that features increase
31"
INTRODUCTION,0.0326530612244898,"in complexity throughout the layers [31].
32"
INTRODUCTION,0.0336734693877551,"The linear feature learning ability of shallow networks has inspired a line of work that postulates that
33"
INTRODUCTION,0.03469387755102041,"the weight matrices learn to align themselves with the backward gradients and that by optimizing for
34"
