Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0016313213703099511,"k-means clustering is a well-studied problem due to its wide applicability. Unfor-
tunately, there exist strong theoretical limits on the performance of any algorithm
for the k-means problem on worst-case inputs. To overcome this barrier, we con-
sider a scenario where “advice” is provided to help perform clustering. Specif-
ically, we consider the k-means problem augmented with a predictor that, given
any point, returns its cluster label in an approximately optimal clustering up to
some, possibly adversarial, error. We present an algorithm whose performance
improves along with the accuracy of the predictor, even though na¨ıvely following
the accurate predictor can still lead to a high clustering cost. Thus if the predictor
is sufﬁciently accurate, we can retrieve a close to optimal clustering with nearly
optimal runtime, breaking known computational barriers for algorithms that do
not have access to such advice. We evaluate our algorithms on real datasets and
show signiﬁcant improvements in the quality of clustering."
INTRODUCTION,0.0032626427406199023,"1
INTRODUCTION"
INTRODUCTION,0.004893964110929853,"Clustering is a fundamental task in data analysis that is typically one of the ﬁrst methods used to
understand the structure of large datasets. The most common formulation of clustering is the k-
means problem where given a set P ⊂Rd of n points, the goal is to ﬁnd a set of centers C ⊂Rd of
k points to minimize the objective cost(P, C) = P"
INTRODUCTION,0.0065252854812398045,"p∈P minc∈C ∥p −c∥2
2. (1)"
INTRODUCTION,0.008156606851549755,"Despite decades of work, there exist strong theoretical limitations about the performance of any al-
gorithm for the k-means problem. Finding the optimal set C is NP-hard even for the case of k = 2
(Dasgupta, 2008) and even ﬁnding an approximate solution with objective value that is within a
factor 1.07 of the optimal solution is NP-hard (Cohen-Addad & S., 2019; Lee et al., 2017). Fur-
thermore, the best-known practical polynomial time algorithms can only provably achieve a large
constant factor approximation to the optimal clustering, e.g., the 50-approximation in Song & Ra-
jasekaran (2010), or use techniques such as linear programming that do not scale, e.g., the 6.357-
approximation in Ahmadian et al. (2020)."
INTRODUCTION,0.009787928221859706,"A natural approach to overcome these computational barriers is to leverage the fact that in many
applications, the input is often not arbitrary and contains auxiliary information that can be used to
construct a good clustering, e.g., in many applications, the input can be similar to past instances.
Thus, it is reasonable to create a (possibly erroneous) predictor by using auxiliary information or
through clusterings of similar datasets, which can inform the proper label of an item in our current
dataset. Indeed, inspired by the developments in machine learning, many recent papers have stud-
ied algorithms augmented with predictions (Mitzenmacher & Vassilvitskii, 2020). Such algorithms
utilize a predictor that, when invoked, provides an (imperfect) prediction for future inputs. The
predictions are then used by the algorithm to improve performance (see references in Section 1.3)."
INTRODUCTION,0.011419249592169658,"Hence, we consider the problem of k-means clustering given additional access to a predictor that
outputs advice for which points should be clustered together, by outputting a label for each point.
The goal is to ﬁnd k centers that minimize objective (1) and assign each point to one of these centers."
INTRODUCTION,0.013050570962479609,Published as a conference paper at ICLR 2022
INTRODUCTION,0.01468189233278956,"The question is then whether one can utilize such predictions to boost the accuracy and runtime of
clustering of new datasets. Our results demonstrate the answer in the afﬁrmative."
INTRODUCTION,0.01631321370309951,"Formal learning-augmented problem deﬁnition.
Given a set P ⊆Rd of n points, the goal is to
ﬁnd a set of k points C (called centers) to minimize objective (1). In the learning-augmented setting,
we assume we have access to a predictor Π that provides information about the label of each point
consistent with a (1+α)-approximately optimal clustering C. We say that a predictor has label error
rate λ ≤α if for each label i ∈[k] := {1, . . . , k}, Π errs on at most a λ ≤α fraction of all points
in cluster i in C, and Π errs on at most a λ ≤α fraction of all points given label i by Π. In other
words, Π has at least (1 −λ) precision and recall for each label."
INTRODUCTION,0.01794453507340946,"Our predictor model subsumes both random and adversarial errors by the predictor. For example if
the cluster sizes are somewhat well-balanced, then a special case of our model is when Π(p) outputs
the correct label of point p ∈P with some probability 1 −λ and otherwise outputs a random label
in [k] with probability λ. The example where the predictor outputs an adversarial label instead of a
random label with probability λ also falls under our model. For more detail, see Theorems 2.1 and
3.4. We also adjust our algorithm to have better performance when the errors are random rather than
adversarial in the supplementary material."
MOTIVATION FOR OUR WORK,0.01957585644371941,"1.1
MOTIVATION FOR OUR WORK"
MOTIVATION FOR OUR WORK,0.021207177814029365,We ﬁrst motivate studying k-means clustering under the learning-augmented algorithms framework.
