Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,"Abstract
Equivariant Transformers such as Equiformer have demonstrated the efficacy of ap-
1"
ABSTRACT,0.0017211703958691911,"plying Transformers to the domain of 3D atomistic systems. However, they are still
2"
ABSTRACT,0.0034423407917383822,"limited to small degrees of equivariant representations due to their computational
3"
ABSTRACT,0.0051635111876075735,"complexity. In this paper, we investigate whether these architectures can scale well
4"
ABSTRACT,0.0068846815834767644,"to higher degrees. Starting from Equiformer, we first replace SOp3q convolutions
5"
ABSTRACT,0.008605851979345954,"with eSCN convolutions to efficiently incorporate higher-degree tensors. Then,
6"
ABSTRACT,0.010327022375215147,"to better leverage the power of higher degrees, we propose three architectural
7"
ABSTRACT,0.012048192771084338,"improvements – attention re-normalization, separable S2 activation and separable
8"
ABSTRACT,0.013769363166953529,"layer normalization. Putting this all together, we propose EquiformerV2, which
9"
ABSTRACT,0.01549053356282272,"outperforms previous state-of-the-art methods on the large-scale OC20 dataset by
10"
ABSTRACT,0.01721170395869191,"up to 15% on forces, 5% on energies, offers better speed-accuracy trade-offs, and
11"
ABSTRACT,0.0189328743545611,"2ˆ reduction in DFT calculations needed for computing adsorption energies.
12"
INTRODUCTION,0.020654044750430294,"1
Introduction
13"
INTRODUCTION,0.022375215146299483,"In recent years, machine learning (ML) models have shown promising results in accelerating and
14"
INTRODUCTION,0.024096385542168676,"scaling high-accuracy but compute-intensive quantum mechanical calculations by effectively ac-
15"
INTRODUCTION,0.025817555938037865,"counting for key features of atomic systems, such as the discrete nature of atoms, and Euclidean
16"
INTRODUCTION,0.027538726333907058,"and permutation symmetries [1–10]. By bringing down computational costs from hours or days to
17"
INTRODUCTION,0.029259896729776247,"fractions of seconds, these methods enable new insights in many applications such as molecular
18"
INTRODUCTION,0.03098106712564544,"simulations, material design and drug discovery. A promising class of ML models that have enabled
19"
INTRODUCTION,0.03270223752151463,"this progress is equivariant graph neural networks (GNNs) [5,11–18].
20"
INTRODUCTION,0.03442340791738382,"Equivariant GNNs treat 3D atomistic systems as graphs, and incorporate inductive biases such
21"
INTRODUCTION,0.03614457831325301,"that their internal representations and predictions are equivariant to 3D translations, rotations and
22"
INTRODUCTION,0.0378657487091222,"optionally inversions. Specifically, they build up equivariant features of each node as vector spaces
23"
INTRODUCTION,0.039586919104991396,"of irreducible representations (or irreps) and have interactions or message passing between nodes
24"
INTRODUCTION,0.04130808950086059,"based on equivariant operations such as tensor products. Recent works on equivariant Transformers,
25"
INTRODUCTION,0.043029259896729774,"specifically Equiformer [17], have shown the efficacy of applying Transformers [19, 20], which
26"
INTRODUCTION,0.04475043029259897,"have previously enjoyed widespread success in computer vision [21–23], language [24, 25], and
27"
INTRODUCTION,0.04647160068846816,"graphs [26–29], to this domain of 3D atomistic systems.
28"
INTRODUCTION,0.04819277108433735,"A bottleneck in scaling Equiformer as well as other equivariant GNNs is the computational complexity
29"
INTRODUCTION,0.04991394148020654,"of tensor products, especially when we increase the maximum degree of irreps Lmax. This limits these
30"
INTRODUCTION,0.05163511187607573,"models to use small values of Lmax (e.g., Lmax ď 3), which consequently limits their performance.
31"
INTRODUCTION,0.05335628227194492,"Higher degrees can better capture angular resolution and directional information, which is critical
32"
INTRODUCTION,0.055077452667814115,"to accurate prediction of atomic energies and forces. To this end, eSCN [18] recently proposes
33"
INTRODUCTION,0.05679862306368331,"efficient convolutions to reduce SOp3q tensor products to SOp2q linear operations, bringing down the
34"
INTRODUCTION,0.058519793459552494,"computational cost from OpL6
maxq to OpL3
maxq and enabling scaling to larger values of Lmax (e.g.,
35"
INTRODUCTION,0.060240963855421686,"Lmax up to 8). However, except using efficient convolutions for higher Lmax, eSCN still follows
36"
INTRODUCTION,0.06196213425129088,"SEGNN [15]-like message passing network design, and Equiformer has been shown to improve upon
37"
INTRODUCTION,0.06368330464716007,"SEGNN. Additionally, this ability to use higher Lmax challenges whether the previous design of
38"
INTRODUCTION,0.06540447504302926,"equivariant Transformers can scale well to higher-degree representations.
39"
INTRODUCTION,0.06712564543889846,"Figure 1: Overview of EquiformerV2. We highlight the differences from Equiformer [17] in red. For (b),
(c), and (d), the left figure is the original module in Equiformer, and the right figure is the revised module in
EquiformerV2. Input 3D graphs are embedded with atom and edge-degree embeddings and processed with
Transformer blocks, which consist of equivariant graph attention and feed forward networks. “b” denotes
multiplication, “‘” denotes addition, and ř within a circle denotes summation over all neighbors. “DTP”
denotes depth-wise tensor products used in Equiformer. Gray cells indicate intermediate irreps features."
