Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.006369426751592357,"Recent advances in graph neural networks (GNNs) have enabled a more com-
prehensive representation of molecules and molecular systems, thereby enhanc-
ing the precision of molecular property prediction and molecular simulations.
Nonetheless, as the field has been progressing to bigger and more complex ar-
chitectures, state-of-the-art GNNs have become largely prohibitive for many
large-scale applications. In this paper, we explore the utility of knowledge dis-
tillation (KD) for accelerating molecular GNNs. To this end, we devise KD
strategies that facilitate the distillation of hidden representations in directional
and equivariant GNNs, and evaluate their performance on the regression task of
energy and force prediction. We validate our protocols across different teacher-
student configurations and datasets, and demonstrate that they can consistently
boost the predictive accuracy of student models without any modifications to
their architecture. All in all, we manage to close the gap in predictive accuracy
between teacher and student models by as much as 96.7% and 62.5% for energy
and force prediction respectively, while fully preserving the inference throughput
of the more lightweight models."
INTRODUCTION,0.012738853503184714,"1
Introduction"
INTRODUCTION,0.01910828025477707,"In the last couple of years, the field of molecular simulations has undergone a rapid paradigm shift
with the advent of new, powerful computational tools based on machine learning (ML) [1, 2]. At the
forefront of this transformation have been recent advances in graph neural networks (GNNs), which
have brought about architectures that more effectively capture geometric and structural information
critical for the accurate representation of molecules and molecular systems [3–5]. Consequently,
a multitude of GNNs have been developed, which now offer predictive performance approaching
that of conventional gold-standard methods like density functional theory (DFT) at a fraction of the
computational cost [6–10]. This has, in turn, significantly accelerated the modeling of molecular
properties and the simulation of diverse molecular systems, bolstering new research developments in
many scientific disciplines, including material sciences, drug discovery and catalysis."
INTRODUCTION,0.025477707006369428,"Nonetheless, this progress - largely coinciding with the development of bigger and more complex
models, has naturally come at the expense of increased complexity [8, 10–12]. This has gradually
limited the utility of state-of-the-art GNNs for large-scale molecular simulation applications (e.g.,
molecular dynamics, high-throughput searches), where inference throughput (i.e., how many samples
can be processed for a given time) is critical for making fast continual predictions about the evo-
lution of a system. Hence, addressing the trade-off between accuracy and computational demand"
INTRODUCTION,0.03184713375796178,∗These authors contributed equally to this work. Order was determined by rolling a dice.
INTRODUCTION,0.03821656050955414,Accelerating Molecular Graph Neural Networks via Knowledge Distillation
INTRODUCTION,0.044585987261146494,"remains essential for creating more affordable tools for molecular simulations and expanding the
transformational impact of GNN models in the area."
INTRODUCTION,0.050955414012738856,"Motivated by that, in this work, we investigate the potential of knowledge distillation (KD) in
enhancing the performance and scalability of state-of-the-art GNNs for molecular simulations."
IMPLEMENTATION/METHODS,0.05732484076433121,"2
Methods"
IMPLEMENTATION/METHODS,0.06369426751592357,"Setup. We consider molecular systems at an atomic level, i.e., N atoms represented by their atomic
number z = {z1, ..., zN} ∈ZN and positions X = {x1, . . . , xN} ∈RN×3. Given a system, we
want a model that can predict in a multi-output fashion the energy E ∈R of the system, and the
forces F ∈RN×3 acting on each atom (see Appendix A.1 for more information)."
IMPLEMENTATION/METHODS,0.07006369426751592,"In the context of this prediction task, we train molecular GNNs by enforcing a loss that combines
both the energy and force prediction error as follows:"
IMPLEMENTATION/METHODS,0.07643312101910828,"L0 = αELE( ˆE, E) + αFLF( ˆF , F ),
(1)"
IMPLEMENTATION/METHODS,0.08280254777070063,"where E and F are the ground-truth energy and forces, ˆE and ˆF are the predictions of the model
of interest, and LE and LF are some loss functions weighted by αE, αF ∈R. To perform knowledge
distillation, we augment this training process by defining an auxiliary KD loss term LKD, which is
added to L0 (with a factor λ ∈R) to derive a new training loss function L of the form:"
IMPLEMENTATION/METHODS,0.08917197452229299,"L = L0 + λLKD.
(2)"
IMPLEMENTATION/METHODS,0.09554140127388536,"In this work, we focus on feature-based KD - an extension of vanilla output-based KD, concerned
with the distillation of knowledge across the intermediate layers of models [13]. This allows us to
overcome the limitations of vanilla KD in our context (see Appendices A.2 and A.3) and train more
lightweight student models to mimic features that are easier to assimilate compared to the final output
directly [14]. We perform knowledge distillation of intermediate representations by devising a loss
on selected hidden features Hs ∈Us and Ht ∈Ut in the student and teacher models respectively,
which takes the form:"
IMPLEMENTATION/METHODS,0.10191082802547771,"LKD = Lfeat(Ms(Hs), Mt(Ht)),
(3)"
IMPLEMENTATION/METHODS,0.10828025477707007,"where Ms : Us 7→U and Mt : Ut 7→U are transformations that map the hidden features to a
common feature space U, and Lfeat : U × U 7→R+ is some loss of choice. Possible options for
the transformations Ms, Mt include the identity transformation, linear projections and multilayer
perceptron (MLP) projection heads; whereas for the distillation loss Lfeat, typical functions are mean
squared error (MSE) and mean absolute error (MAE)."
IMPLEMENTATION/METHODS,0.11464968152866242,"Defining feature distillation strategies for molecular GNNs. Unlike standard GNNs that often only
consider scalar node features, molecular GNNs can contain diverse features (scalars, vectors and/or
equivariant higher-order tensors based on spherical harmonics) organized across nodes and edges
within a complex molecular graph. These are continually evolved by model-specific operators to
infer molecular properties, such as energy and forces, in a multi-output prediction fashion. Therefore,
features often represent different physical, geometric and/or topological information relevant to
specific parts of the output. This significantly complicates the design of an effective KD strategy,
especially when models differ architecturally, as one needs to extract and align representations
corresponding to comparable features in both models."
IMPLEMENTATION/METHODS,0.12101910828025478,"Here, we set out to devise KD strategies that are representative and effective across various molecular
GNNs. Hence, we consider GNNs that have diverse architectures and performance profiles, namely
GemNet-OC [15], PaiNN [16], and SchNet [17] (see Appendices E and F). Unlike typical student-
teacher configurations, these models are characterized by distinct types of features, including scalar
node- and edge-features, and equivariant geometrical vectors (see Appendix B for more information).
Here, we leverage these model dissimilarities and devise three distinct KD strategies:"
IMPLEMENTATION/METHODS,0.12738853503184713,"- node-to-node (n2n): As all three models considered in this study contain scalar node features Hnode,
we can distill knowledge in between these directly by defining a loss LKD, such that"
IMPLEMENTATION/METHODS,0.1337579617834395,"LKD = Lfeat(Ms(Hnode,s), Mt(Hnode,t)).
(4)"
IMPLEMENTATION/METHODS,0.14012738853503184,"Note this is a general approach that utilizes node features only, making it applicable to standard
GNNs. Here, we want to force the student to mimic the representations of the teacher for each"
IMPLEMENTATION/METHODS,0.1464968152866242,Accelerating Molecular Graph Neural Networks via Knowledge Distillation
IMPLEMENTATION/METHODS,0.15286624203821655,"node (i.e. atom) independently, so we use a loss that directly penalizes the distance between the
features in the two models, such as MSE (similar to the original formulation of feature-based KD
in Romero et al. [13]). Other recently proposed losses Lfeat for the distillation of node features in
standard GNNs specifically include approaches based on contrastive learning [18–21] and adversarial
training [22]. We do not focus on such methods as much since they are better suited for (node)
classification tasks (e.g. contrasting different classes of nodes), and not for molecule-level predictions."
IMPLEMENTATION/METHODS,0.1592356687898089,"To take advantage of other types of features relevant to molecular GNNs, we further devise two
additional protocols below."
IMPLEMENTATION/METHODS,0.16560509554140126,"- edge-to-node (e2n): The GemNet-OC model heavily relies on its edge features, which are a key
component in the directional message passing defined in the architecture and can be useful as a KD
resource. However, the other models considered here do not have similar edge features to distill to.
To accommodate that, we propose a KD strategy where we transfer information from GemNet-OC’s
edge features Hedge,(i,j) by first aggregating them as follows:"
IMPLEMENTATION/METHODS,0.17197452229299362,"Hedge2node,i =
X"
