Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0010224948875255625,"In this work, we propose Retentive Network (RETNET) as a foundation architecture
1"
ABSTRACT,0.002044989775051125,"for large language models, simultaneously achieving training parallelism, low-cost
2"
ABSTRACT,0.003067484662576687,"inference, and good performance. We theoretically derive the connection between
3"
ABSTRACT,0.00408997955010225,"recurrence and attention. Then we propose the retention mechanism for sequence
4"
ABSTRACT,0.005112474437627812,"modeling, which supports three computation paradigms, i.e., parallel, recurrent,
5"
ABSTRACT,0.006134969325153374,"and chunkwise recurrent. Specifically, the parallel representation allows for training
6"
ABSTRACT,0.007157464212678937,"parallelism. The recurrent representation enables low-cost O(1) inference, which
7"
ABSTRACT,0.0081799591002045,"improves decoding throughput, latency, and GPU memory without sacrificing
8"
ABSTRACT,0.009202453987730062,"performance. The chunkwise recurrent representation facilitates efficient long-
9"
ABSTRACT,0.010224948875255624,"sequence modeling with linear complexity, where each chunk is encoded parallelly
10"
ABSTRACT,0.011247443762781187,"while recurrently summarizing the chunks. Experimental results on language
11"
ABSTRACT,0.012269938650306749,"modeling show that RETNET achieves favorable scaling results, parallel training,
12"
ABSTRACT,0.013292433537832311,"low-cost deployment, and efficient inference.
13"
INTRODUCTION,0.014314928425357873,"1
Introduction
14"
INTRODUCTION,0.015337423312883436,"Transformer [51] has become the de facto architecture for large language models, which was initially
15"
INTRODUCTION,0.016359918200409,"proposed to overcome the sequential training issue of recurrent models [25]. However, training
16"
INTRODUCTION,0.017382413087934562,"parallelism of Transformers is at the cost of inefficient inference, because of the O(N) complexity per
17"
INTRODUCTION,0.018404907975460124,"step and memory-bound key-value cache [42], which renders Transformers unfriendly to deployment.
18"
INTRODUCTION,0.019427402862985686,"The growing sequence length increases GPU memory consumption as well as latency and reduces
19"
INTRODUCTION,0.02044989775051125,"inference speed. Numerous efforts have continued to develop the next-generation architecture, aiming
20"
INTRODUCTION,0.02147239263803681,"at retaining training parallelism and competitive performance as Transformers while having efficient
21"
INTRODUCTION,0.022494887525562373,"O(1) inference. It is challenging to achieve the above goals simultaneously.
22"
INTRODUCTION,0.023517382413087935,"There have been three main strands of research. First, linearized attention [27, 37] approximates
23"
INTRODUCTION,0.024539877300613498,"standard attention scores exp(q · k) with kernels ϕ(q) · ϕ(k), so that autoregressive inference can
24"
INTRODUCTION,0.02556237218813906,"be rewritten in a recurrent form. However, the modeling capability and performance are worse than
25"
INTRODUCTION,0.026584867075664622,"Transformers, which hinders the method’s popularity. The second strand returns to recurrent models
26"
INTRODUCTION,0.027607361963190184,"for efficient inference while sacrificing training parallelism. As a remedy, element-wise operators [36]
27"
INTRODUCTION,0.028629856850715747,"are used for acceleration, however, representation capacity and performance are harmed. The third
28"
INTRODUCTION,0.02965235173824131,"line explores replacing attention with other mechanisms, such as S4 [20], and its variants [11, 38].
29"
INTRODUCTION,0.03067484662576687,"None of the previous work can achieve strong performance and efficient inference at the same time
30"
INTRODUCTION,0.03169734151329243,"compared to Transformers.
31"
INTRODUCTION,0.032719836400818,"In this work, we propose retentive networks (RetNet), achieving low-cost inference, efficient long-
32"
INTRODUCTION,0.03374233128834356,"sequence modeling, Transformer-comparable performance, and parallel model training simultane-
33"
INTRODUCTION,0.034764826175869123,"ously. Specifically, we introduce a multi-scale retention mechanism to substitute multi-head attention,
34"
INTRODUCTION,0.03578732106339468,"which has three computation paradigms, i.e., parallel, recurrent, and chunkwise recurrent repre-
35"
