Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0019646365422396855,"Evaluating the success of a manifold learning method remains a challenging prob-
1"
ABSTRACT,0.003929273084479371,"lem, especially for methods adapted to a specific application domain. The present
2"
ABSTRACT,0.005893909626719057,"work investigates shared geometric structure across different dimensionality reduc-
3"
ABSTRACT,0.007858546168958742,"tion (DR) algorithms within the scope of neuroimaging applications. We examine
4"
ABSTRACT,0.009823182711198428,"reduced-dimension embeddings produced by a representative assay of dimension
5"
ABSTRACT,0.011787819253438114,"reductions for brain data (“brain representations”) through the lens of persistent
6"
ABSTRACT,0.0137524557956778,"homology, making statistical claims about topological differences using a recent
7"
ABSTRACT,0.015717092337917484,"topological boostrap method. We cluster these methods based on their induced
8"
ABSTRACT,0.01768172888015717,"topologies, finding feature type and number — rather than reduction algorithm —
9"
ABSTRACT,0.019646365422396856,"as the main drivers of observed topological differences.
10"
INTRODUCTION,0.021611001964636542,"1
Introduction
11"
INTRODUCTION,0.023575638506876228,"The present work investigates shared geometric structure across different dimensionality reduction
12"
INTRODUCTION,0.025540275049115914,"algorithms within the scope of neuroimaging applications. For most applications, a “dimensionality
13"
INTRODUCTION,0.0275049115913556,"reduction” is any of a large class of methods that make inferences about structures underlying some
14"
INTRODUCTION,0.029469548133595286,"data, typically to represent this data in both a more efficient and more interpretable way. Many
15"
INTRODUCTION,0.03143418467583497,"dimensionality reduction (DR) problems can be equivalently formulated as “manifold learning”
16"
INTRODUCTION,0.03339882121807466,"problems (i.e., estimating the manifold from which a dataset was sampled), and we will use the terms
17"
INTRODUCTION,0.03536345776031434,"synonymously. Efforts to understand theoretical and empirical relationships between DR methods
18"
INTRODUCTION,0.03732809430255403,"remain active1−10.
19"
INTRODUCTION,0.03929273084479371,"The difficulty of relating dimensionality reductions can be compounded within specific application
20"
INTRODUCTION,0.0412573673870334,"domains because methodologies often branch into variably specialized use cases. Nonetheless,
21"
