Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0029411764705882353,"Reinforcement learning algorithms struggle on tasks with complex hierarchical
dependency structures. Humans and other intelligent agents do not waste time
assessing the utility of every high-level action in existence, but instead only con-
sider ones they deem possible in the ﬁrst place. By focusing only on what is
feasible, or “afforded”, at the present moment, an agent can spend more time both
evaluating the utility of and acting on what matters. To this end, we present Hier-
archical Affordance Learning (HAL), a method that learns a model of hierarchical
affordances in order to prune impossible subtasks for more effective learning. Ex-
isting works in hierarchical reinforcement learning provide agents with structural
representations of subtasks but are not affordance-aware, and by grounding our
deﬁnition of hierarchical affordances in the present state, our approach is more
ﬂexible than the multitude of approaches that ground their subtask dependencies
in a symbolic history. While these logic-based methods often require complete
knowledge of the subtask hierarchy, our approach is able to utilize incomplete
and varying symbolic speciﬁcations. Furthermore, we demonstrate that relative
to non-affordance-aware methods, HAL agents are better able to efﬁciently learn
complex tasks, navigate environment stochasticity, and acquire diverse skills in the
absence of extrinsic supervision—all of which are hallmarks of human learning.1"
INTRODUCTION,0.0058823529411764705,"1
INTRODUCTION"
INTRODUCTION,0.008823529411764706,"Reinforcement learning (RL) methods have recently achieved success in a variety of historically
difﬁcult domains (Mnih et al., 2015; Silver et al., 2016; Vinyals et al., 2019), but they continue to
struggle on complex hierarchical tasks. Human-like intelligent agents are able to succeed in such
tasks through an innate understanding of what their environment enables them to do. In other words,
they do not waste time attempting the impossible. Gibson (1977) coins the term “affordances” to
articulate the observation that humans and other animals largely interpret the world around them
in terms of which behaviors the environment affords them. While some previous works apply the
concept of affordances to the RL setting, none of these methods easily translate to environments with
hierarchical tasks. In this work, we introduce Hierarchical Affordance Learning (HAL), a method
that addresses the challenges inherent to learning affordances over high-level subtasks, enabling
more efﬁcient learning in environments with complex subtask dependency structures."
INTRODUCTION,0.011764705882352941,"Many real-world environments have an underlying hierarchical dependency structure (Fig. 1a), and
successful completion of tasks in these environments requires understanding how to complete in-
dividual subtasks and knowing the relationships between them. Consider the task of preparing a
simple pasta dish. Some sets of subtasks, like chopping vegetables or ﬁlling a pot with water, can
be successfully performed in any order. However, there are many cases in which the dependencies
between subtasks must be obeyed. For instance, it is inadvisable chop vegetables after having mixed
them with the sauce, or to boil a pot of water before the pot is ﬁlled with water in the ﬁrst place.
Equipped with structural inductive biases that naturally allow for temporally extended reasoning
over subtasks, hierarchical reinforcement learning (HRL) methods are well-suited for tasks with
complex high-level dependencies."
INTRODUCTION,0.014705882352941176,"∗Correspondence to rscostal@usc.edu
1Code and videos of agent trajectories are available at https://github.com/robbycostales/HAL"
INTRODUCTION,0.01764705882352941,Published as a conference paper at ICLR 2022
INTRODUCTION,0.020588235294117647,(-1     )
INTRODUCTION,0.023529411764705882,"(1     )
(3     )"
INTRODUCTION,0.026470588235294117,(-1     ) Start Goal
INTRODUCTION,0.029411764705882353,"Task Hierarchy
Automata
Affordances ?"
INTRODUCTION,0.03235294117647059,"(a)
(b)
(d)"
INTRODUCTION,0.03529411764705882,Stochasticity (c) +(2) +(1) +1
INTRODUCTION,0.03823529411764706,"Figure 1: Many real world tasks, like making PASTA, can be conceptualized as a hierarchy (a) of subtasks.
Automata-based approaches (b) map a history of subtask completion symbols to a context that indicates
progress in the hierarchy. Approaches that assume symbolic history deterministically deﬁnes progress are
not robust to stochastic changes in context (c) not provided symbolically. Hierarchical affordances (d) enable
us to use incomplete symbolic information in the face of stochasticity by grounding context in the present state."
INTRODUCTION,0.041176470588235294,"Existing HRL methods fall along a spectrum ranging from ﬂexible approaches that discover use-
ful subtasks automatically, to the structured approaches that provide some prior information about
subtasks and their interdependencies. The former set of approaches (e.g. Vezhnevets et al., 2017;
Eysenbach et al., 2018) have seen limited success, as the automatic identiﬁcation of hierarchical ab-
stractions is an open problem in deep learning (Hinton, 2021). But approaches that endow the agent
with more structure, to make complex tasks feasible, do so at the cost of rigid assumptions. Methods
that use ﬁnite automatas (Fig. 1b) to express subtask dependencies (e.g. Icarte et al., 2020) require
the set of symbols, or atomic propositions, provided to the agent to be complete, in that the history
of symbols maps deterministically to the current context (i.e. how much progress has been made;
which subtasks are available). Importantly, these methods and many others (e.g. Andreas et al.,
2017; Sohn et al., 2020) consider subtasks to be dependent merely on the completion of others."
INTRODUCTION,0.04411764705882353,"Unfortunately, these assumptions do not hold in the real world (Fig. 1c). For instance, if one com-
pletes the subtask cook noodles, but they clumsily spill them all over the ﬂoor, are they now
ready for the next subtask, mix noodles and sauce? While the subtask cook noodles is
somehow necessary for this further subtask, it is not sufﬁcient to have completed it in the past. The
only way for automata-based approaches to handle this complexity is to introduce a new symbol that
indicates that the subtask has been undone. This is possible, but extraordinarily restrictive, since,
unless the set of symbols is complete, none of the subtask completion information can be used to
reliably learn and utilize subtask dependencies. Modeling probabilistic transitions allows the sym-
bolic signal to be incomplete, but still requires a complete set of symbols, in addition to predeﬁned
contexts. In order to make use of incomplete symbolic information, our approach instead learns
a representation of context grounded in the present state to determine which subtasks are possible
(Fig. 1d), rather than solely relying on symbols."
INTRODUCTION,0.047058823529411764,"The contributions of this paper are as follows. First we introduce milestones (§4), which serve
the dual purpose of subgoals for training options (Sutton et al., 1999) and as high-level intents
(Kulkarni et al., 2016) for training our affordance model. Milestones are a ﬂexible alternative to
atomic propositions used in automata-based approaches, and they are easier to specify due to less
rigid assumptions. Unlike a dense reward function, the milestone signal does not need to be scaled
or balanced carefully to account for competing extrinsic motives. Next, we introduce hierarchical
affordances, which can be deﬁned over any arbitrary set of milestones, and describe HAL (§6), a
method which learns and utilizes a model of hierarchical affordances to prune impossible subtasks.
Finally, we demonstrate HAL’s superior performance on two complex hierarchical tasks in terms
of learning speed, robustness, generalizability, and ability to explore complex subtask hierarchies
without extrinsic supervision, relative to baselines provided with the same information (§7.3)."
RELATED WORK,0.05,"2
RELATED WORK"
