Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0022935779816513763,"Graph neural networks (GNNs), a type of neural network that can learn from graph-
1"
ABSTRACT,0.0045871559633027525,"structured data and learn the representation of nodes through aggregating neigh-
2"
ABSTRACT,0.006880733944954129,"borhood information, have shown superior performance in various downstream
3"
ABSTRACT,0.009174311926605505,"tasks. However, it is known that the performance of GNNs degrades gradually as
4"
ABSTRACT,0.011467889908256881,"the number of layers increases. In this paper, we evaluate the expressive power of
5"
ABSTRACT,0.013761467889908258,"GNNs from the perspective of subgraph aggregation. We reveal the potential cause
6"
ABSTRACT,0.016055045871559634,"of performance degradation for traditional deep GNNs, i.e., aggregated subgraph
7"
ABSTRACT,0.01834862385321101,"overlap, and we theoretically illustrate the fact that previous residual-based GNNs
8"
ABSTRACT,0.020642201834862386,"exploit the aggregation results of 1 to k hop subgraphs to improve the effectiveness.
9"
ABSTRACT,0.022935779816513763,"Further, we find that the utilization of different subgraphs by previous models is
10"
ABSTRACT,0.02522935779816514,"often inflexible. Based on this, we propose a sampling-based node-level residual
11"
ABSTRACT,0.027522935779816515,"module (SNR) that can achieve a more flexible utilization of different hops of sub-
12"
ABSTRACT,0.02981651376146789,"graph aggregation by introducing node-level parameters sampled from a learnable
13"
ABSTRACT,0.03211009174311927,"distribution. Extensive experiments show that the performance of GNNs with our
14"
ABSTRACT,0.034403669724770644,"proposed SNR module outperform a comprehensive set of baselines.
15"
INTRODUCTION,0.03669724770642202,"1
Introduction
16"
INTRODUCTION,0.0389908256880734,"GNNs have emerged in recent years as the most powerful model for processing graph-structured data
17"
INTRODUCTION,0.04128440366972477,"and have performed very well in various fields, such as social networks [1], recommender systems
18"
INTRODUCTION,0.04357798165137615,"[2], and drug discovery [3]. Through the message-passing mechanism that propagates and aggregates
19"
INTRODUCTION,0.045871559633027525,"representations of neighboring nodes, GNNs provide a general framework for learning information
20"
INTRODUCTION,0.0481651376146789,"on graph structure.
21"
INTRODUCTION,0.05045871559633028,"Despite great success, according to previous studies [4, 5], GNNs show significant performance
22"
INTRODUCTION,0.052752293577981654,"degradation as the number of layers increases, which makes GNNs not able to take full advantage of
23"
INTRODUCTION,0.05504587155963303,"the multi-hop neighbor structure of nodes to obtain better node representations.
24"
INTRODUCTION,0.05733944954128441,"The main reason for this situation is now widely believed to be oversmoothing [4, 6, 5, 7]. However,
25"
INTRODUCTION,0.05963302752293578,"since ResNet [8] uses residual connection to solve a similar problem in computer vision and obtains
26"
INTRODUCTION,0.06192660550458716,"good results, several new works have been inspired to apply the idea of residual connection to GNNs
27"
INTRODUCTION,0.06422018348623854,"to alleviate oversmoothing and thus improve the expressive power. For example, JKNet [5] learns
28"
INTRODUCTION,0.06651376146788991,"node representations by aggregating the outputs of all previous layers at the last layer. DenseGCN [9]
29"
INTRODUCTION,0.06880733944954129,"concatenates the results of the current layer and all previous layers as the node representations of this
30"
INTRODUCTION,0.07110091743119266,"layer. APPNP [7] uses the initial residual connection to retain the initial feature information with
31"
INTRODUCTION,0.07339449541284404,"probability α, and utilizes the feature information aggregated at the current layer with probability
32"
INTRODUCTION,0.07568807339449542,"1 −α.
33"
INTRODUCTION,0.0779816513761468,"In this paper, we evaluate the expressive power of GNNs from the perspective of subgraph aggregation.
34"
INTRODUCTION,0.08027522935779817,"Based on this perspective, we show that the single high-hop subgraph aggregation of message-passing
35"
INTRODUCTION,0.08256880733944955,"GNNs is limited by the fact that high-hop subgraphs are prone to information overlap, which
36"
INTRODUCTION,0.08486238532110092,"makes the node representations obtained from k-hop subgraph aggregation indistinguishable, i.e.,
37"
INTRODUCTION,0.0871559633027523,"oversmoothing occurs.
38"
INTRODUCTION,0.08944954128440367,"Based on this perspective, we conduct a theoretical analysis of previous residual-based models and
39"
INTRODUCTION,0.09174311926605505,"find that previous methods are in fact able to utilize multiple subgraph aggregations to improve the
40"
INTRODUCTION,0.09403669724770643,"expressiveness of the model. However, most methods tend to utilize subgraph information by fixed
41"
INTRODUCTION,0.0963302752293578,"coefficients, which assumes that the information from the subgraph of the same hop are equally
42"
INTRODUCTION,0.09862385321100918,"important for different nodes, which leads to inflexibility in the model’s exploitation of subgraph
43"
INTRODUCTION,0.10091743119266056,"information and thus limits further improvement of the expressive power. Some existing methods try
44"
INTRODUCTION,0.10321100917431193,"to overcome this inflexibility but lead to overfitting by introducing more parameters, which in turn
45"
