Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.00684931506849315,"Federated Learning (FL) is a recently proposed learning paradigm for decentralized
devices to collaboratively train a predictive model without exchanging private data.
Existing FL frameworks, however, assume a one-size-ﬁt-all model architecture to
be collectively trained by local devices, which is determined prior to observing their
data. Even with good engineering acumen, this often falls apart when local tasks are
different and require diverging choices of architecture modelling to learn effectively.
This motivates us to develop a novel personalized neural architecture search (NAS)
algorithm for FL. Our algorithm, FEDPNAS, learns a base architecture that can be
structurally personalized for quick adaptation to each local task. We empirically
show that FEDPNAS signiﬁcantly outperforms other NAS and FL benchmarks on
several real-world datasets."
INTRODUCTION,0.0136986301369863,"1
INTRODUCTION"
INTRODUCTION,0.02054794520547945,"Federated Learning (FL) (McMahan et al., 2017) is a variant of distributed learning where the
objective function can be decomposed into a linear combination of M local objective functions. Each
function depends on its private data hosted by a local client and a set of shared parameters w,"
INTRODUCTION,0.0273972602739726,"argmin
w
L(w)
≡
argmin
w M
X"
INTRODUCTION,0.03424657534246575,"i=1
Li(w | Di) ,
(1)"
INTRODUCTION,0.0410958904109589,"where Di denotes the ith local training dataset comprising input-output tuples (x, y). In a standard
supervised learning task where the predictive model is modeled as a ﬁxed deep neural network ψ
with learnable weights w, let ℓ(x, y) denote the loss incurred by predicting ψ(x; w) when the true
output is y. The expected loss of ψ(x; w) on Di is given as"
INTRODUCTION,0.04794520547945205,"Li(w | Di)
=
E(x,y)∼Di
h
ℓ(x, y; ψ)
i
.
(2)"
INTRODUCTION,0.0547945205479452,"This is not applicable to scenarios where local models are expected to solve different tasks which are
similar in broad sense yet diverge in ﬁner details. For example, consider the task of recognizing the
outcome of a coin ﬂip given images collected by two clients: one capture the coin from above, the
other from below. This setting implies that when the same input image is provided by both clients,
the correct classiﬁcations must be the opposite of one another. However, since existing FL methods
converge on a single model architecture and weight, there can only be one predictive outcome which
cannot satisfy both tasks."
INTRODUCTION,0.06164383561643835,"To relax this constraint, the recent work of Fallah et al. (2020) extends FL by incorporating ideas
from meta learning (Finn et al., 2017) which results in a new framework of personalized FL. The new
framework can accommodate for such task heterogeneity but still requires all client models to agree
on a single architecture beforehand, which is sub-optimal. To address this shortcoming, one naive
idea is to adopt existing ideas in Neural Architecture Search (NAS) via Reinforcement Learning
(Zoph and Le, 2016; Pham et al., 2018) which act as an outer loop to the existing FL routine."
INTRODUCTION,0.0684931506849315,"However, this simple approach does not allow client models to adapt to local tasks on an architecture
level and is often not preferred due to the cost of repeated FL training. This paper proposes a novel
personalized NAS algorithm for federated learning, which generalizes ideas in respective areas of
NAS (Zoph and Le, 2016; Pham et al., 2018) originally developed for single-task scenarios, and"
INTRODUCTION,0.07534246575342465,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.0821917808219178,"FL (Fallah et al., 2020) under a uniﬁed len of federated personalized neural architecture search
(FEDPNAS)."
INTRODUCTION,0.08904109589041095,"In particular, to customize the model architecture for each task in the FL workﬂow, FEDPNAS
ﬁrst represents the model architecture for each task as a sub-network sampled from a large, over-
parameterized network. The sampling distribution is (collaboratively) learned along with the pa-
rameters of the sampled network via a generalization of the recently proposed Discrete Stochastic
NAS (DSNAS) method (Hu et al., 2020). Unlike DSNAS, which lacks the ability to customize
architecture for individual tasks, our generalized FEDPNAS incorporates model personalization on
an architecture level. Our contributions include:"
INTRODUCTION,0.0958904109589041,"1. A novel architecture that factorizes into a base component (shared across tasks) and a personalizable
component, which respectively capture the task-agnostic and task-speciﬁc information (Section 3.2)."
INTRODUCTION,0.10273972602739725,"2. A context-aware sampling distribution conditioned on speciﬁc task instance, which captures task-
speciﬁc information and naturally incorporates personalization into architecture search (Section 3.4)."
INTRODUCTION,0.1095890410958904,"3. An FL algorithm that optimizes for a common architecture, followed by a personalization phase
where each client subsequently adapts only the personalized component to ﬁt its own task via ﬁne-
tuning with local data (Section 3.1). To ensure that the common architecture distribution converges at
a vantage point that is relevant and beneﬁcial to all clients, we generalize the vanilla FL objective in
Eq. equation 1 such that local gradient steps directly optimize for expected improvement resulting
from future ﬁne-tuning (Section 3.3)."
INTRODUCTION,0.11643835616438356,"4. A theoretical perspective on our FL objective (Section 3.5 and thorough empirical analysis showing
signiﬁcant performance gain compared to state-of-the-art FL and NAS methods (Section 4)."
