Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.005714285714285714,"As the size of circuit designs continues to grow rapidly, artificial intelligence
technologies are being extensively used in Electronic Design Automation (EDA)
to assist with circuit design. Placement and routing are the most time-consuming
parts of the physical design process, and how to quickly evaluate the placement
has become a hot research topic. Prior works either transformed circuit designs
into images using hand-crafted methods and then used Convolutional Neural
Networks (CNN) to extract features, which are limited by the quality of the hand-
crafted methods and could not achieve end-to-end training, or treated the circuit
design as a graph structure and used Graph Neural Networks (GNN) to extract
features, which require time-consuming preprocessing. In our work, we propose a
novel perspective for circuit design by treating circuit components as point clouds
and using Transformer-based point cloud perception methods to extract features
from the circuit. This approach enables direct feature extraction from raw data
without any preprocessing, allows for end-to-end training, and results in high
performance. Experimental results show that our method achieves state-of-the-art
performance in congestion prediction tasks on both the CircuitNet and ISPD2015
datasets, as well as in design rule check (DRC) violation prediction tasks on the
CircuitNet dataset. Our method establishes a bridge between the relatively mature
point cloud perception methods and the fast-developing EDA algorithms, enabling
us to leverage more collective intelligence to solve this task. To facilitate the
research of open EDA design, source codes and pre-trained models are released at
https://github.com/hustvl/circuitformer."
INTRODUCTION,0.011428571428571429,"1
Introduction"
INTRODUCTION,0.017142857142857144,"In recent years, the demand for semiconductor chips for various applications has been increasing,
and the need to accelerate the chip design and manufacturing process has become increasingly urgent.
And with the development of semiconductor technology, the scale of very-large-scale integrated
(VLSI) circuits is growing exponentially, challenging the scalability and reliability of the IC design
process. As a result, the industry urgently needs more efficient Electronic Design Automation (EDA)
algorithms and tools to enable the processing of huge exploration spaces in a shorter period of time.
The layout and routing phase are particularly important in the overall EDA flow. As feature size
shrinks, routability becomes a more important constraint on the manufacturability of VLSI designs.
Routing congestion can significantly affect PPA (Performance, Power, Area) metrics, and design rule
violations can directly lead to unmanufactured designs, but there is no way to obtain an accurate
congestion and design rule violations map without conducting placement and routing attempts, which
can lead to longer design cycles and possibly some unpleasant surprises. Therefore, accurate and
rapid evaluation of placement in advance of routing will be very important, and the exploration of
routability becomes one of the key issues in modern placement for VLSI circuits [27]."
INTRODUCTION,0.022857142857142857,"† This work was done when Jialv Zou was interning at Horizon Robotics. ‡ Xinggang Wang (xgwang@
hust.edu.cn) is the corresponding author."
INTRODUCTION,0.02857142857142857,"Before global placement, the circuit design is represented as a netlist consisting of nodes and
nets, where nodes represent specific components and nets represent link relationships between
nodes, containing topological information about the design. After the global placement, we will get
information about the specific location of each node, containing the geometric information. How to
use this information to make a fast and accurate evaluation of the placement is currently divided into
roughly two approaches: (1) using hand-crafted features to rasterize the circuit and thus convert them
into images. Then, using CNN [24, 38] or Generative Adversarial Nets (GAN) [42, 1, 45] to perform
feature extraction on the circuit. (2) converting the circuit design into a graph structure and using
Graph Neural Networks (GNN) [20, 35, 15] to perform feature extraction on the circuit design."
INTRODUCTION,0.03428571428571429,"However, both methods have their advantages and disadvantages. The CNN-based methods use
some hand-crafted features (e.g., RUDY [33], node density, pin density) to rasterize the circuit and
perform feature extraction on it, where the grids are treated as pixels. Then, use classical image
segmentation networks in computer vision (e.g., UNet [32] and FCN [25]) to do the pixel-wise
prediction of labels (e.g., congestion and DRC violation). This method is simple and efficient,
however, the effectiveness of the hand-crafted features limits the network’s performance, and it can
not achieve end-to-end training. The GNN-based methods involves converting the circuit design
into a graph with vertices and edges, where nodes in the circuit are represented as vertices and nets
are represented as edges. GNN networks are then used to extract features from the graph, making it
suitable for downstream tasks. Although they have small parameters and fast inference speeds, it
is worth noting that even though the time consumption of constructing the graph structure has been
proven to be linearly related to the design scale, the design scale of chips is very large. The number
of nodes is typically in the hundreds of thousands, while the number of edges can be in the millions,
so the process of constructing the graph structure can often be very time-consuming. In addition,
these methods also use hand-crafted features when processing geometric information, which also
suffers from the aforementioned problems."
INTRODUCTION,0.04,"To address the above issues, in this paper, we approach the task of feature extraction in circuit design
from a novel perspective by treating circuit components as point clouds and using a Transformer to
solve the task, i.e., CircuitFormer. CircuitFormer avoids the two core pain points of the above two
methods: (1) there is no need to use hand-crafted features, and end-to-end training can be achieved;
(2) there is no need for any preprocessing, which greatly reduces the time of the entire process."
INTRODUCTION,0.045714285714285714,"As shown in Fig. 1, our model is divided into two parts: an encoder and a decoder. The encoder
extracts features from the placement information of the circuit design, while the decoder adapts to
downstream tasks using a conventional backbone and segmentation head, similar to the CNN-based
methods."
INTRODUCTION,0.05142857142857143,"n × 𝑑
𝑤× ℎ× 𝑙
n × 𝑑"
INTRODUCTION,0.05714285714285714,"𝑤
2 × ℎ 2 × 𝑙"
INTRODUCTION,0.06285714285714286,ResNet-18
INTRODUCTION,0.06857142857142857,UNet++
INTRODUCTION,0.07428571428571429,"input
GA
GA"
INTRODUCTION,0.08,"𝑤
4 × ℎ"
INTRODUCTION,0.08571428571428572,"4 × 𝑙
n × 𝑑"
INTRODUCTION,0.09142857142857143,"𝑤
8 × ℎ 8 × 𝑙 GA
GA n × 𝑑 CA
CA"
INTRODUCTION,0.09714285714285714,"CA
CA
CA
CA CA
CA"
INTRODUCTION,0.10285714285714286,"Figure 1: The architecture of CircuitFormer: The left half of the model is the encoder, which is
composed of four grid-based attention (GA) modules with different grid scales. Each GA module
extracts circuit features by performing cross-attention (CA) twice with the latent codes, using
ConvFFN for information exchange across grids in the middle. For more details on the GA module,
please refer to Fig. 2. The right half of the model is the decoder, which is used for pixel-wise
prediction."
INTRODUCTION,0.10857142857142857,"In encoder, in order to model the relationship between nodes, to compensate to some extent the
disadvantage that geometric methods cannot use topological information, and to enable the exchange
of information across the grids, we introduce the attention mechanism. Considering that most
perception tasks for point clouds are focused on 3D point clouds, but circuits can be abstracted as 2D
point clouds without a Z-axis, we propose an improvement to the voxel-based set attention (VSA)"
INTRODUCTION,0.11428571428571428,"module [16], adapting it for use in 2D scenarios to extract 2D node features. In Sec. 3.1 we will
provide a detailed introduction."
INTRODUCTION,0.12,"The decoder consists of a backbone and a segmentation head. We use ResNet-18 [17] as the backbone
to further refine the rasterized features extracted by the encoder. Finally, we attach a UNet++ [46] as
the segmentation head to make pixel-wise predictions."
INTRODUCTION,0.12571428571428572,"Our experiments were based on the publicly available CircuitNet [5] dataset and ISPD2015 [4] dataset.
Whether it is the congestion prediction task or the DRC violation prediction task, the pixel values
of their labels are continuous values between 0 and 1. The label distribution is highly imbalanced,
exhibiting a skewed distribution with a long tail. The imbalance of label distribution can make it
difficult for a model to handle corner cases, leading to overfitting and reducing the accuracy and
robustness of the model. For the regression on imbalanced datasets, we adopted label distribution
smoothing (LDS) [39] to re-weight the loss function and improve the model’s performance."
INTRODUCTION,0.13142857142857142,"In summary, our contributions are:"
INTRODUCTION,0.13714285714285715,"• Our work takes a novel perspective on circuit design by treating circuit components as point
clouds and using a point cloud perception network to extract features for circuit design.
To the best of our knowledge, our work is the first to abstract the task of circuit design
feature extraction as a point cloud perception task. This bridges the gap between the two
fields, allowing us to transfer certain structures and conclusions from mature point cloud
perception methods to the developing EDA domain."
INTRODUCTION,0.14285714285714285,"• Our method surpasses hand-crafted features in terms of feature extraction and enables
end-to-end training, making it superior to CNN-based methods. Additionally, unlike GNN-
based methods, our approach eliminates the need for preprocessing, significantly reducing
processing time."
INTRODUCTION,0.14857142857142858,"• Experiments validated the superior performance of our method on the CircuitNet and
ISPD2015 datasets. In the congestion prediction task, our method surpassed the baseline [24]
by an average of 3.8% and 1.5% on the CircuitNet dataset and ISPD2015 dataset respectively,
based on the average of Pearson, Spearman, and Kendall correlation coefficients, achieving
a new SOTA. For the DRC violation prediction task, we also achieved the best performance
in most of the metrics. Our work has the potential to serve as a universal feature extractor for
chip design, which can adapt to a wider range of downstream tasks by changing the decoder."
RELATED WORK,0.15428571428571428,"2
Related Work"
CNN-BASED METHODS,0.16,"2.1
CNN-based Methods"
