Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0028735632183908046,"Systematicity, i.e., the ability to recombine known parts and rules to form new se-
quences while reasoning over relational data, is critical to machine intelligence. A
model with strong systematicity is able to train on small-scale tasks and generalize
to large-scale tasks. In this paper, we propose R5, a relational reasoning frame-
work based on reinforcement learning that reasons over relational graph data and
explicitly mines underlying compositional logical rules from observations. R5 has
strong systematicity and being robust to noisy data. It consists of a policy value
network equipped with Monte Carlo Tree Search to perform recurrent relational
prediction and a backtrack rewriting mechanism for rule mining. By alternately
applying the two components, R5 progressively learns a set of explicit rules from
data and performs explainable and generalizable relation prediction. We conduct
extensive evaluations on multiple datasets. Experimental results show that R5 out-
performs various embedding-based and rule induction baselines on relation pre-
diction tasks while achieving a high recall rate in discovering ground truth rules."
INTRODUCTION,0.005747126436781609,"1
INTRODUCTION"
INTRODUCTION,0.008620689655172414,"While deep learning has achieved great success in various applications, it was pointed out that
there is a debate over the problem of systematicity in connectionist models (Fodor & Pylyshyn,
1988; Fodor & McLaughlin, 1990; Hadley, 1994; Jansen & Watter, 2012; Dong et al., 2018). To
concretely explain systematicity (Hupkes et al., 2020), let us consider the kinship problem shown
in Figure 1.
By training on the small-scale observed examples of family relationships where
the rule paths are short (in Figure 1a&b, both of the rule paths have the length of 2), our ob-
jective is to extract the underlying rules as general principles and generalize to large-scale tasks
where the rule paths are long (in Figure 1c, the rule path has the length of 3). The rules in the
training examples are a) Mother(X, Y ) ←−Mother(X, Z), Sister(Z, Y ), b) Grandma(X, Y ) ←−
Mother(X, Z), Father(Z, Y ). And the necessary rule in order to conclude the relation between
Mary and Ann is c) Grandma(X, Y ) ←−Mother(X, U), Sister(U, Z), Father(Z, Y ), which does not
explicitly show up in the training examples. Successfully giving prediction in c) shows the ability
of systematicity, i.e., model’s ability to recombine known parts and rules to form new sequences."
INTRODUCTION,0.011494252873563218,"Some attempts on the graph relational data grounded in Graph Neural Networks (Schlichtkrull et al.,
2018; Sinha et al., 2020; Pan et al., 2020) rely on learning embedding vectors of entities and rela-
tions, and have shown some capability of systematicity, However, since the rules are implicitly
encapsulated in the neural networks, these models are lack of interpretability."
INTRODUCTION,0.014367816091954023,"Inductive Logic Programming (ILP) (Muggleton, 1992; Muggleton et al., 1996; Getoor, 2000; Yang
et al., 2017; Evans & Grefenstette, 2018) is a subfield of symbolic rule learning, which naturally
learns symbolic rules and provides interpretable explanations for labels prediction as well as being
able to generalize to other tasks. A traditional ILP system learns a set of rules from a collection of
positive and negative examples, which entails all the positives and none of the negatives. However,"
INTRODUCTION,0.017241379310344827,∗Equal contribution.
INTRODUCTION,0.020114942528735632,Published as a conference paper at ICLR 2022
INTRODUCTION,0.022988505747126436,"Mother(Mary,Peter) <- Mother(Mary,Sue), Sister(Sue,Peter)
Grandma(Mary,Ann) <- Mother(Mary,Peter), Father(Peter,Ann)
Grandma(X,Y) <- Mother(X,Z), Father(Z,Y)
Mother(X,Y) <- Mother(X,Z), Sister(Z,Y) +
➔"
INTRODUCTION,0.02586206896551724,"a. Training graph 1
b. Training graph 2"
INTRODUCTION,0.028735632183908046,c. Inductive relation prediction
INTRODUCTION,0.031609195402298854,Mother
INTRODUCTION,0.034482758620689655,Sister
INTRODUCTION,0.03735632183908046,Brother
INTRODUCTION,0.040229885057471264,Grandma Uncle Child
INTRODUCTION,0.04310344827586207,Mother
INTRODUCTION,0.04597701149425287,Sister
INTRODUCTION,0.04885057471264368,Brother
INTRODUCTION,0.05172413793103448,Grandma Child
INTRODUCTION,0.05459770114942529,"Father
Grandma ?"
INTRODUCTION,0.05747126436781609,Father
INTRODUCTION,0.0603448275862069,Brother
INTRODUCTION,0.06321839080459771,Husband
INTRODUCTION,0.06609195402298851,Grandchild
INTRODUCTION,0.06896551724137931,Mother
INTRODUCTION,0.07183908045977011,Sister
INTRODUCTION,0.07471264367816093,"Mother X Y Z B C A
X D Z B Y A Mary Peter Sue Ann"
INTRODUCTION,0.07758620689655173,"Jack
John Kate"
