Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0037735849056603774,"We study the problem of optimizing biological sequences, e.g., proteins, DNA,
and RNA, to maximize a black-box score function that is only evaluated in an
offline dataset.
We propose a novel solution, bootstrapped training of score-
conditioned generator (BOOTGEN) algorithm. Our algorithm repeats a two-stage
process. In the first stage, our algorithm trains the biological sequence generator
with rank-based weights to enhance the accuracy of sequence generation based
on high scores. The subsequent stage involves bootstrapping, which augments the
training dataset with self-generated data labeled by a proxy score function. Our
key idea is to align the score-based generation with a proxy score function, which
distills the knowledge of the proxy score function to the generator. After train-
ing, we aggregate samples from multiple bootstrapped generators and proxies to
produce a diverse design. Extensive experiments show that our method outper-
forms competitive baselines on biological sequential design tasks. We provide
reproducible source code: https://github.com/kaist-silab/bootgen."
INTRODUCTION,0.007547169811320755,"1
Introduction"
INTRODUCTION,0.011320754716981131,"The automatic design of biological sequences, e.g., DNA, RNA, and proteins, with a specific prop-
erty, e.g., high binding affinity, is a vital task within the field of biotechnology [5, 54, 41, 33]. To
solve this problem, researchers have developed algorithms to optimize a biological sequence to max-
imize a score function [40, 9, 10, 2, 29]. Here, the main challenge is the expensive evaluation of the
score function that requires experiments in a laboratory setting or clinical trials."
INTRODUCTION,0.01509433962264151,"To resolve this issue, recent works have investigated offline model-based optimization [32, 21, 44,
52, 12, 45, MBO]. Given an offline dataset of biological sequences paired with scores, offline MBO
algorithms train a proxy for the score function, e.g., a deep neural network (DNN), and maximize
the proxy function without querying the true score function. Therefore, such offline MBO algo-
rithms bypass the expense of iteratively querying the true score function whenever a new solution
is proposed. However, even optimizing such a proxy function is challenging due to the vast search
space over the biological sequences."
INTRODUCTION,0.018867924528301886,"On the one hand, several works [21, 44, 52, 12] considered applying gradient-based maximization
of the proxy function. However, when the proxy function is parameterized using a DNN, these
methods often generate solutions where the true score is low despite the high proxy score. This is
due to the fragility of DNNs against adversarial optimization of inputs [52, 44, 21]. Furthermore,
the gradient-based methods additionally require reformulating biological sequence optimization as
a continuous optimization, e.g., continuous relaxation [21, 44, 12] or mapping discrete designs to a
continuous latent space [52]."
INTRODUCTION,0.022641509433962263,"On the other hand, one may consider training deep generative models to learn a distribution over
high-scoring designs [32, 29]. They learn to generate solutions from scratch, which amortizes opti-
mization over the design space."
INTRODUCTION,0.026415094339622643,"To be specific, Kumar and Levine [32] suggests learning an inverse map from a score to a solu-
tion with a focus on generating high-scoring solutions. Next, Jain et al. [29] proposed training a
generative flow network [7, GFN] as the generative distribution of high-scoring solutions."
INTRODUCTION,0.03018867924528302,"Contribution
In this paper, we propose a bootstrapped training of score-conditioned generator
(BOOTGEN) for the offline design of biological sequences. Our key idea is to enhance the score-
conditioned generator by suggesting a variation of the classical ensemble strategy of bootstrapping
and aggregating. We train multiple generators using bootstrapped datasets from training and com-
bine them with proxy models to create a reliable and diverse sampling solution."
INTRODUCTION,0.033962264150943396,"In the bootstrapped training, we aim to align a score-conditioned generator with a proxy function
by bootstrapping the training dataset of the generator. To be specific, we repeat multiple stages of
(1) training the conditional generator on the training dataset with a focus on high-scoring sequences
and (2) augmenting the training dataset using sequences that are sampled from the generator and la-
beled using the proxy function. Intuitively, our framework improves the score-to-sequence mapping
(generator) to be consistent with the sequence-to-score mapping (proxy function), which is typically
more accurate."
INTRODUCTION,0.03773584905660377,"When training the score-conditioned generator, we assign high rank-based weights [46] to high-
scoring sequences. Sequences that are highly ranked among the training dataset are more frequently
sampled to train the generator. This leads to shifting the training distribution towards an accurate
generation of high-scoring samples. Compared with the value-based weighting scheme previously
proposed by Kumar and Levine [32], the rank-based weighting scheme is more robust to the change
of training dataset from bootstrapping."
INTRODUCTION,0.04150943396226415,"To further boost the performance of our algorithm, we propose two post-processing processes after
the training: filtering and diversity aggregation (DA). The filtering process aims to filter samples
from generators using the proxy function to gather samples with cross-agreement between the proxy
and generator. On the other hand, DA collects sub-samples from multiple generators and combines
them into complete samples. DA enables diverse decision-making with reduced variance in gener-
ating quality, as it collects samples from multiple bootstrapped generators."
