Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.005291005291005291,"We explore a new perspective on video understanding by casting the video recog-
nition problem as an image recognition task. Our approach rearranges input
video frames into super images, which allow for training an image classiﬁer di-
rectly to fulﬁll the task of action recognition, in exactly the same way as image
classiﬁcation. With such a simple idea, we show that transformer-based image
classiﬁers alone can sufﬁce for action recognition. In particular, our approach
demonstrates strong and promising performance against SOTA methods on several
public datasets including Kinetics400, Moments In Time, Something-Something
V2 (SSV2), Jester and Diving48. We also experiment with the prevalent ResNet
image classiﬁers in computer vision to further validate our idea. The results on
both Kinetics400 and SSV2 are comparable to some of the best-performed CNN
approaches based on spatio-temporal modeling. Our source codes and models are
available at https://github.com/IBM/sifar-pytorch."
INTRODUCTION,0.010582010582010581,"1
INTRODUCTION"
INTRODUCTION,0.015873015873015872,"103
104
FLOPs (G) 76 78 80 82 84"
INTRODUCTION,0.021164021164021163,Top-1 Accuracy (%)
INTRODUCTION,0.026455026455026454,"I3D
ip-CSN
SlowFast
X3D
TPN101
VTN
VidTr
TimeSformer
ViViT
MViT-B
SIFAR"
INTRODUCTION,0.031746031746031744,"Figure 1: Comparison of our proposed SI-
FAR (red) with SOTA approaches for action
recognition on Kinetics400 dataset."
INTRODUCTION,0.037037037037037035,"The recent advances in convolutional neural networks
(CNNs) (He et al., 2016; Tan & Le, 2019), along with the
availability of large-scale video benchmark datasets (Kay
et al., 2017; Monfort et al., 2019; Damen et al., 2020), have
signiﬁcantly improved action recognition, one of the fun-
damental problems of video understanding. Many existing
approaches for action recognition naturally extend or bor-
row ideas from image recognition. At the core of these
approaches is spatio-temporal modeling, which regards
time as an additional dimension and jointly models it with
space by extending image models (i.e., 3D CNNs) (Tran
et al., 2015; Carreira et al., 2017; Feichtenhofer, 2020) or
fuses temporal information with spatial information pro-
cessed separately by 2D CNN models (Lin et al., 2019;
Fan et al., 2019). CNN-based approaches demonstrate
strong capabilities in learning saptio-temporal feature rep-
resentations from video data."
INTRODUCTION,0.042328042328042326,"Videos present long-range pixel interactions in both space and time. It’s known in approaches like
non-local networks (Wang et al., 2018) that modeling such relationships helps action recognition.
The recently emerging Vision Transformers (ViTs) naturally own the strength of capturing long-range
dependencies in data, making them very suitable for video understanding. Several approaches (Berta-
sius et al., 2021a; Li et al., 2021; Arnab et al., 2021) have applied ViTs for action recognition and
shown better performance than their CNN counterparts. However, these approaches are still following
the conventional paradigm of video action recognition, and perform temporal modeling in a similar
way to the CNN-based approaches using dedicated self-attention modules."
INTRODUCTION,0.047619047619047616,"In this work, we explore a different perspective for action recognition by casting the problem as an
image recognition task. We ask if it is possible to model temporal information with ViT directly"
INTRODUCTION,0.05291005291005291,∗Equal contribution.
INTRODUCTION,0.0582010582010582,Published as a conference paper at ICLR 2022
INTRODUCTION,0.06349206349206349,"without using dedicated temporal modules. In other words, can an image classiﬁer alone sufﬁce
for action recognition? To this end, we ﬁrst propose a simple idea to turn a 3D video into a 2D
image. Given a sequence of input video frames, we rearrange them into a super image according to
a pre-deﬁned spatial layout, as illustrated in Fig. 2. The super image encodes 3D spatio-temporal
patterns in a video into 2D spatial image patterns. We then train an image classiﬁer to fulﬁll the task
of action recognition, in exactly the same way as image classiﬁcation. Without surprise, based on
the concept of super images, any image classiﬁer can be re-purposed for action recognition. For
convenience, we dub our approach SIFAR, short for Super Image for Action Recognition."
