Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0007451564828614009,"The pioneering work of Oono & Suzuki [ICLR, 2020] and Cai & Wang
1"
ABSTRACT,0.0014903129657228018,"[arXiv:2006.13318] analyze the smoothness of graph convolutional network (GCN)
2"
ABSTRACT,0.0022354694485842027,"features. Their results reveal an intricate empirical correlation between node clas-
3"
ABSTRACT,0.0029806259314456036,"sification accuracy and the ratio of smooth to non-smooth feature components.
4"
ABSTRACT,0.0037257824143070045,"However, the optimal ratio that favors node classification is unknown, and the
5"
ABSTRACT,0.004470938897168405,"non-smooth features of deep GCN with ReLU or leaky ReLU activation function
6"
ABSTRACT,0.005216095380029807,"diminish. In this paper, we propose a new strategy to let GCN learn node features
7"
ABSTRACT,0.005961251862891207,"with a desired smoothness to enhance node classification. Our approach has three
8"
ABSTRACT,0.0067064083457526085,"key steps: (1) We establish a geometric relationship between the input and output
9"
ABSTRACT,0.007451564828614009,"of ReLU or leaky ReLU. (2) Building on our geometric insights, we augment the
10"
ABSTRACT,0.00819672131147541,"message-passing process of graph convolutional layers (GCLs) with a learnable
11"
ABSTRACT,0.00894187779433681,"term to modulate the smoothness of node features with computational efficiency.
12"
ABSTRACT,0.009687034277198211,"(3) We investigate the achievable ratio between smooth and non-smooth feature
13"
ABSTRACT,0.010432190760059613,"components for GCNs with the augmented message passing scheme. Our extensive
14"
ABSTRACT,0.011177347242921014,"numerical results show that the augmented message passing remarkably improves
15"
ABSTRACT,0.011922503725782414,"node classification for GCN and some related models.
16"
INTRODUCTION,0.012667660208643815,"1
Introduction
17"
INTRODUCTION,0.013412816691505217,"Let G = (V, E) be an undirected graph with V = {vi}n
i=1 and E be the set of nodes and edges, resp.
18"
INTRODUCTION,0.014157973174366617,"Let A ∈Rn×n be the adjacency matrix of the graph with Aij = 1(i,j)∈E, where 1 is the indicator
19"
INTRODUCTION,0.014903129657228018,"function. Furthermore, let G be the following (augmented) normalized adjacency matrix
20"
INTRODUCTION,0.01564828614008942,G := (D + I)−1
INTRODUCTION,0.01639344262295082,2 (I + A)(D + I)−1
INTRODUCTION,0.01713859910581222,"2 = ˜
D−1"
INTRODUCTION,0.01788375558867362,"2 ˜
A ˜
D−1"
INTRODUCTION,0.018628912071535022,"2 ,
(1)"
INTRODUCTION,0.019374068554396422,"where I is the identity matrix, D is the degree matrix with Dii = Pn
j=1 Aij, and ˜
A := A + I and
21"
INTRODUCTION,0.020119225037257823,"˜D := D + I. Starting from the initial node features H0 := [(h0
1)⊤, . . . , (h0
n)⊤]⊤∈Rd×n with
22"
INTRODUCTION,0.020864381520119227,"h0
i ∈Rd being the ith node feature vector, the graph convolutional network (GCN) [20] learns node
23"
INTRODUCTION,0.021609538002980627,"representations using the following graph convolutional layer (GCL) transformation
24"
INTRODUCTION,0.022354694485842028,"Hl = σ(W lHl−1G),
(2)"
INTRODUCTION,0.023099850968703428,"where σ is the activation function, e.g. ReLU [25], and W l ∈Rd×d is learnable. GCL smooths
25"
INTRODUCTION,0.02384500745156483,"feature vectors of the neighboring nodes. The smoothness of features helps node classification; see
26"
INTRODUCTION,0.02459016393442623,"e.g. [22, 31, 5], resonating with the idea of classical semi-supervised learning approaches [41, 38].
27"
INTRODUCTION,0.02533532041728763,"Accurate node classification requires a balance between smooth and non-smooth components of GCN
28"
INTRODUCTION,0.02608047690014903,"features [27]. Besides graph convolutional networks (GCNs) stacking GCLs, many other graph neural
29"
INTRODUCTION,0.026825633383010434,"networks (GNNs) have been developed using different mechanisms, including spectral methods [3, 9],
30"
INTRODUCTION,0.027570789865871834,"spatial methods [12, 30], sampling methods [13, 36], and the attention mechanism [30]. Many other
31"
INTRODUCTION,0.028315946348733235,"GNN models can be found in recent surveys or monographs; see, e.g. [15, 1, 33, 39, 14].
32"
INTRODUCTION,0.029061102831594635,"Deep neural networks usually outperform shallow architectures, and a remarkable example is convo-
33"
INTRODUCTION,0.029806259314456036,"lutional neural networks [21, 16]. However, this does not carry to GCNs; deep GCNs tend to perform
34"
INTRODUCTION,0.030551415797317436,"significantly worse than shallow models [5]. In particular, the node feature vectors learned by deep
35"
INTRODUCTION,0.03129657228017884,"GCNs tend to be identical over each connected component of the graph; this phenomenon is referred
36"
INTRODUCTION,0.03204172876304024,"to as over-smoothing [22, 26, 27, 4, 5, 32], which not only occurs for GCN but also for many other
37"
INTRODUCTION,0.03278688524590164,"GNNs, e.g., GraphSage [13] and MPNN [12]. Intuitively, each GCL smooths neighboring node
38"
