Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0006978367062107466,"We consider the well-studied problem of completing a rank-r, µ-incoherent matrix
M ∈Rd×d from incomplete observations. We focus on this problem in the semi-
random setting where each entry is independently revealed with probability at
least p =
poly(r,µ,log d)"
ABSTRACT,0.0013956734124214933,"d
. Whereas multiple nearly-linear time algorithms have
been established in the more specialized fully-random setting where each entry is
revealed with probablity exactly p, the only known nearly-linear time algorithm in
the semi-random setting is due to [17], whose sample complexity has a polynomial
dependence on the inverse accuracy and condition number and thus cannot achieve
high-accuracy recovery. Our main result is the first high-accuracy nearly-linear
time algorithm for solving semi-random matrix completion, and an extension to the
noisy observation setting. Our result builds upon the recent short-flat decomposition
framework of [42, 43] and leverages fast algorithms for flow problems on graphs
to solve adaptive reweighting subproblems efficiently."
INTRODUCTION,0.00209351011863224,"1
Introduction"
INTRODUCTION,0.0027913468248429866,"How can we ensure learning algorithms do not overfit to generative assumptions on their input
data? Since worst-case statistical inference problems are often intractable (i.e., without distributional
assumptions), to develop efficient algorithms, we often introduce a generative model as a proxy for
average-case, real-world behavior. However, if these algorithms are to be useful practically, we must
ensure they do not depend too strongly on any artificial properties of the generative model. Ideally,
they should require only what is statistically and algorithmically necessary, and no more."
INTRODUCTION,0.0034891835310537334,"In this paper, we consider this question in the context of matrix completion, one of the most
fundamental and well-studied linear inverse problems. In matrix completion, the goal is to recover
a symmetric rank-r matrix M ∈Rd×d where r ≪d,6 given a small (typically sublinear) number
of entries revealed independently and at random. In a seminal line of work [13, 11, 12, 61], it was
shown that under natural structural assumptions on M, one can fully recover M given ≈dr randomly
revealed entries in polynomial time, via semidefinite programming (SDP). Subsequently, there has
been extensive work attempting to improve upon statistical and computational guarantees for matrix
completion. In an oversimplification of the literature (see Section 1.3 for a more detailed and nuanced
discussion), this has resulted in two categories of matrix completion algorithms."
INTRODUCTION,0.00418702023726448,"• SDP-based algorithms achieve the nearly-optimal sample complexity, but are based on solving
SDPs, which requires time Ω(d3.5) even with state of the art solvers [39, 34]."
INTRODUCTION,0.004884856943475227,"• First-order iterative methods require a slightly higher sample complexity, namely, they require
m ≈pd2 revealed entries for an observation probability p = Ω(poly(r, log d)) · 1"
INTRODUCTION,0.005582693649685973,"d. However,"
INTRODUCTION,0.00628053035589672,"∗MIT, kelner@mit.edu.
†Microsoft Research, jerrl@microsoft.com.
‡MIT, cliu568@mit.edu.
§Stanford University, sidford@stanford.edu.
¶University of Texas at Austin, kjtian@cs.utexas.edu.
6Our results also hold for asymmetric, rectangular matrices. See the discussion at the end of Appendix A."
INTRODUCTION,0.006978367062107467,"they use faster optimization primitives and can be implemented in time eO(m · poly(r, log d)).
Throughout the introduction, we will somewhat informally refer to such algorithms as fast.7"
INTRODUCTION,0.007676203768318213,"Because matrix completion is particularly interesting to study when the target rank r is substantially
smaller than the dimension d (as information-theoretically, we require ≳dr observations), it may
appear that fast algorithms are able to nearly match the statistical guarantees of the SDP-based
methods, while offering substantially lower runtimes. In light of this, naïvely one might expect that
first-order iterative methods ought to be always preferred over the alternative. However, it has been
noted that in many real-world situations, these first-order iterative methods actually fail to perform
reliably, see e.g. [66, 70, 26, 68]. An oft-cited reason for this failure is exactly the tendency for these
sorts of methods to demonstrate the type of generative overfitting described above [66, 70, 4]. Indeed,
in real-world applications, the distribution of revealed entries is usually very far from uniformly
random [4], which can cause iterative methods that rely too heavily on this assumption to fail
dramatically. This begs the following natural question:"
INTRODUCTION,0.00837404047452896,Can we design fast algorithms for matrix completion that are robust to generative overfitting?
INTRODUCTION,0.009071877180739707,"In light of this discussion, we consider a semi-random variant of matrix completion, introduced
in [17]. Recall that in standard matrix completion, we assume every entry (i, j) ∈[d] × [d] is
revealed independently with probability p. In the p-semi-random model (Definition 2), we only know
p ∈(0, 1) such that every entry is revealed independently with an unknown probability pij ≥p.
Given that real-world data is unlikely to be generated exactly uniformly, it is reasonable to believe
that the semi-random model is a more faithful model of matrix completion in practice."
INTRODUCTION,0.009769713886950453,"In this model, the algorithm is given strictly more information than in the standard (uniform) matrix
completion setup. This is because the semi-random model is equivalent to the setting where we are
first given a standard matrix completion instance, and then additional (but potentially adversarially
chosen) entries are revealed.8 It is straightforward to show that the SDP-based approaches generalize
to succeed in the semi-random setting, since the adversary’s revealed entries just translate to additional
constraints in the convex program satisfied by the ground truth. However, as demonstrated in [17],
Appendix A, previously known first-order iterative methods can fail to converge in this semi-random
setting. We view this as strong theoretical evidence that such algorithms exhibit large amounts of
generative overfitting. We can now more concretely rephrase the previous question:"
INTRODUCTION,0.0104675505931612,Can we design fast algorithms for semi-random matrix completion?
INTRODUCTION,0.011165387299371946,"This paper focuses on the theoretical complexity of the problem; the relationship of the techniques
in this work to efficient matrix completion in practice is an interesting direction for future research.
Precisely, we seek to design an algorithm for semi-random matrix completion which works for
the same (or qualitatively similar) p as in the standard setting, and which runs in time eO(m ·
poly(r, log d))? Here m denotes the total number of revealed entries, a proxy for the input size; note
that in the semi-random setting, it could be that m ≫pd2."
