Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.004219409282700422,"We propose a novel prediction interval (PI) method for uncertainty quantiﬁcation,
which addresses three major issues with the state-of-the-art PI methods. First,
existing PI methods require retraining of neural networks (NNs) for every given
conﬁdence level and suffer from the crossing issue in calculating multiple PIs.
Second, they usually rely on customized loss functions with extra sensitive hyper-
parameters for which ﬁne tuning is required to achieve a well-calibrated PI. Third,
they usually underestimate uncertainties of out-of-distribution (OOD) samples
leading to over-conﬁdent PIs. Our PI3NN method calculates PIs from linear com-
binations of three NNs, each of which is independently trained using the standard
mean squared error loss. The coefﬁcients of the linear combinations are computed
using root-ﬁnding algorithms to ensure tight PIs for a given conﬁdence level. We
theoretically prove that PI3NN can calculate PIs for a series of conﬁdence levels
without retraining NNs and it completely avoids the crossing issue. Additionally,
PI3NN does not introduce any unusual hyperparameters resulting in a stable per-
formance. Furthermore, we address OOD identiﬁcation challenge by introducing
an initialization scheme which provides reasonably larger PIs of the OOD samples
than those of the in-distribution samples. Benchmark and real-world experiments
show that our method outperforms several state-of-the-art approaches with respect
to predictive uncertainty quality, robustness, and OOD samples identiﬁcation."
INTRODUCTION,0.008438818565400843,"1
INTRODUCTION"
INTRODUCTION,0.012658227848101266,"Neural networks (NNs) are widely used in prediction tasks due to their unrivaled performance in
modeling complex functions. Although NNs provide accurate predictions, quantifying the uncertainty
of their predictions is a challenge. Uncertainty quantiﬁcation (UQ) is crucial for many real-world ap-
plications such as self-driving cars and autonomous experimental and operational controls. Moreover,
effectively quantiﬁed uncertainties are useful for interpreting conﬁdence, capturing out-of-distribution
(OOD) data, and realizing when the model is likely to fail."
INTRODUCTION,0.016877637130801686,"A diverse set of UQ approaches have been developed for NNs, ranging from fully Bayesian NNs
[1], to assumption-based variational inference [2; 3], and to empirical ensemble approaches [4; 5; 6].
These methods require either high computational demands or strong assumptions or large memory
costs. Another set of UQ methods is to calculate prediction intervals (PIs), which provides a lower
and upper bound for an NN’s output such that the value of the prediction falls between the bounds
for some target conﬁdence level γ (e.g., 95%) of the unseen data. The most common techniques
to construct the PI are the delta method (also known as analytical method) [7; 8], methods that
directly predict the variance (e.g., maximum likelihood methods and ensemble methods) [9; 10] and
quantile regression methods [11; 12]. Most recent PI methods are developed on the high-quality
principle—a PI should be as narrow as possible, whilst capturing a speciﬁed portion of data. Khosravi
et al. [13] developed the Lower Upper Bound Estimation method by incorporating the high-quality
principle directly into the NN loss function for the ﬁrst time. Inspired by [13], the Quality-Driven
(QD) prediction interval approach in [14] deﬁnes a loss function that can generate a high-quality PI"
INTRODUCTION,0.02109704641350211,∗Corresponding author.
INTRODUCTION,0.02531645569620253,Published as a conference paper at ICLR 2022
INTRODUCTION,0.029535864978902954,"and is able to optimize the loss using stochastic gradient descent as well. Built on QD, the Prediction
Intervals with speciﬁc Value prEdictioN (PIVEN) method in [15] adds an extra term in the loss to
enable the calculation of point estimates and the PI method in [16] further integrates a penalty function
to the loss to improve the training stability of QD. The Simultaneous Quantile Regression (SQR)
method [17] proposes a loss function to learn all quantiles of a target variable with one NN. Existing
PI methods suffer from one or more of the following limitations: (1) Requirement of NNs retraining
for every given conﬁdence level γ and suffering from the crossing issue [18] when calculating PIs for
differnt γ; (2) Requirement of hyper-parameter ﬁne tuning; (3) Lack of OOD identiﬁcation capability
resulting in unreasonably narrow PIs for OOD samples (See Section 2.1 for details)."
INTRODUCTION,0.03375527426160337,"To address these limitations, we develop PI3NN (prediction interval based on three neural networks)—
a novel method for calculating PIs. We ﬁrst lay out the theoretical foundation of the PI3NN in Section
3.1 by proving Lemma 1 that connects the ground-truth upper and lower bounds of a PI to a family of
models that are easy to approximate. Another advantage of the model family introduced in Lemma 1
is that it makes the NN training independent of the target conﬁdence level, which makes it possible to
calculate multiple PIs for a series of conﬁdence levels without retraining NNs. On the basis of the
theoretical foundation, we describe the main PI3NN algorithm in Section 3.2. Different from existing
PI methods [14; 15; 16; 17] that design complicated loss functions to obtain a well-calibrated PI by
ﬁne-tuning their loss hyper-parameters, our method simply uses the standard mean squared error
(MSE) loss for training. Additionally, we theoretically prove that PI3NN has a non-crossing property
in Section 3.2.1. Moreover, we address the OOD identiﬁcation challenge by proposing a simple yet
effective initialization scheme in Section 3.3, which provides larger PIs of the OOD samples than
those of the in-distribution (InD) samples."
INTRODUCTION,0.0379746835443038,The main contributions of this work are summarized as follows:
INTRODUCTION,0.04219409282700422,"1. Our PI3NN method can calculate PIs for a series of conﬁdence levels without retraining NNs;
and the calculated PIs completely avoid the crossing issue as proved in Section 3.2.1."
INTRODUCTION,0.046413502109704644,"2. The theoretical foundation in Section 3.1 enables PI3NN to use the standard MSE loss to train
three NNs without introducing extra hyper-parameters that need to be ﬁne-tuned for a good PI."
INTRODUCTION,0.05063291139240506,"3. We develop a simple yet effective initialization scheme and a conﬁdence score in Section 3.3 to
identify OOD samples and reasonably quantify their uncertainty."
RELATED WORK,0.05485232067510549,"1.1
RELATED WORK"
RELATED WORK,0.05907172995780591,"Non-PI approaches for UQ. Early and recent work was nicely summarized and reviewed in these three
survey papers [19; 20; 21]. The non-PI approaches use a distribution to quantify uncertainty, which
can be further divided into Bayesian [1] and non-Bayesian methods. Bayesian methods—including
Markov chain Monte Carlo [22] and Hamiltonian Monte Carlo [23]—place priors on NN weights and
then infer a posterior distribution from the training data. Non-Bayesian methods includes evidential
regression [6] that places priors directly over the likelihood function and some ensemble learning
methods that do not use priors. For example, the DER method proposed in [6] placed evidential
priors over the Gaussian likelihood function and training the NN to infer the hyperparameters of the
evidential distribution. Gal and Ghahramani [3] proposed using Monte Carlo dropout to estimate
predictive uncertainty by using Dropout (which can be interpreted as ensemble model combination) at
test time. Deep ensembles [4] employed a combination of ensembles of NNs learning and adversarial
training to quantify uncertainty with a Gaussian distributional assumption on the data. Pearce et
al. [5] proposed an anchored ensembling by using the randomized MAP sampling to increase the
diversity of NN training in the ensemble."
BACKGROUND,0.06329113924050633,"2
BACKGROUND"
BACKGROUND,0.06751054852320675,"We are interested in building PIs for the output of the regression problem y = f(x) + ε from a
training set Dtrain = {(xi, yi)}N
i=1, where x ∈Rd, y ∈R, and ε is the random noise. We do not
impose distributional assumption on the noise ε. Since the output of f(x) is polluted by the noise,
the output y of the regression model y = f(x) + ε is also a random variable. For a given conﬁdence
level γ ∈(0, 1), the ground-truth 100γ% PI, denoted by [Ltrue
γ
(x), U true
γ
(x)], is deﬁned by"
BACKGROUND,0.07172995780590717,"P[Ltrue
γ
(x) ≤y ≤U true
γ
(x)] = γ.
(1)"
BACKGROUND,0.0759493670886076,Published as a conference paper at ICLR 2022
BACKGROUND,0.08016877637130802,"Note that Ltrue
γ
(x) and U true
γ
(x) are not unique for a ﬁxed γ in the deﬁnition of Eq. (1), because
the probability of y outside the PI, i.e., P[y > U true
γ
(x) or y < Ltrue
γ
(x)], may be split in any way
between the two tails. In this work, we aim to approximate the PI that satisﬁes"
BACKGROUND,0.08438818565400844,"P[y > U true
γ
(x)] = (1 −γ)/2
and
P[y < Ltrue
γ
(x)] = (1 −γ)/2,
(2)"
BACKGROUND,0.08860759493670886,which is unique because the probability outside the PI is equally split between the two tails.
MOTIVATION,0.09282700421940929,"2.1
MOTIVATION"
MOTIVATION,0.0970464135021097,"Recent effort on PI methods, e.g., QD, SQR and PIVEN, tend to exploit the NNs to learn the upper
and lower bounds in Eq. (2). Despite their promising performance, these methods suffer from some
unsatisfactory drawbacks. This effort is motivated by their following limitations:"
MOTIVATION,0.10126582278481013,"• Requirement of retraining NNs for every given γ and the crossing issue when calculating multiple
PIs. Existing PI methods usually incorporate γ into their loss functions for training NNs, so that
each NN can only predict PI for a speciﬁc γ, which is not convenient for users. On the other
hand, even multiple NNs can be trained for PIs with multiple γ values, the approximate PIs often
encounter the crossing issue, e.g., the upper bounds for different γ values may cross each other,
which is not reasonable. To alleviate this issue, a non-crossing constraint is usually added to the
loss as a regularization to encourage non-crossing PIs. However, the non-crossing constraint may
deteriorate the quality of the approximate PI, because due to the trade-off between the original
loss and the non-crossing constraint."
MOTIVATION,0.10548523206751055,"• Requiring hyper-parameter ﬁne tuning. Recently developed PI methods [14; 15; 16] tend to
design complicated loss functions to obtain a well-calibrated PI. Although these work has achieved
promising results, their performance is sensitive to the unusual hyperparameters introduced into
their customized loss functions. Thus, hyperparameter ﬁne tuning is usually required for each
speciﬁc problem to achieve satisfactory upper and lower bounds."
MOTIVATION,0.10970464135021098,"• Lack of OOD identiﬁcation capability. OOD identiﬁcation is a critical metric to evaluate the
performance of an UQ method. It has been received signiﬁcant attention in recent UQ method
development in the machine learning community. However, the OOD identiﬁcation has not been
deeply studied for PI methods in solving the regression problem. Even though there are some
promising empirical results on OOD-aware PIs [15], the underlying mechanism is still not clear,
making it difﬁcult to extend the occasional success to a general setting."
MOTIVATION,0.11392405063291139,"3
THE PI3NN METHOD"
MOTIVATION,0.11814345991561181,"The main contribution is presented in this section. Section 3.1 shows a theoretical justiﬁcation of our
method, where Lemma 1 plays a critical role to connect the ground-truth upper and lower bounds to
Eq. (5) and Eq. (6) that are easier to approximate. Section 3.2 introduces the main PI3NN algorithm
inspired by Lemma 1. Section 3.3 describes how to turn on the OOD identiﬁcation capability in the
PI3NN method. The features of our methods are illustrated using a simple example in Section 3.4."
THEORETICAL JUSTIFICATION,0.12236286919831224,"3.1
THEORETICAL JUSTIFICATION"
THEORETICAL JUSTIFICATION,0.12658227848101267,"To proceed, we ﬁrst rewrite Eq. (2) to an equivalent form"
THEORETICAL JUSTIFICATION,0.1308016877637131,"E

1y>U true
γ
(x)

−(1 −γ)/2 = 0
and
E

1y<Ltrue
γ
(x)

−(1 −γ)/2 = 0,
(3)"
THEORETICAL JUSTIFICATION,0.1350210970464135,"where 1(·) is the indicator function, deﬁned by"
