Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.001996007984031936,"In recent years, methods based on convolutional kernels have achieved state-of-the-
1"
ABSTRACT,0.003992015968063872,"art performance in video frame interpolation task. However, due to the inherent
2"
ABSTRACT,0.005988023952095809,"limitations of their convolutional kernel size, it seems that their performances
3"
ABSTRACT,0.007984031936127744,"have reached a plateau. On the other hand, Transformers are gradually replac-
4"
ABSTRACT,0.00998003992015968,"ing convolutional neural networks as a new backbone structure in image tasks,
5"
ABSTRACT,0.011976047904191617,"thanks to their ability to establish global correlations. However, in video tasks, the
6"
ABSTRACT,0.013972055888223553,"computational complexity and memory requirements of Transformer will become
7"
ABSTRACT,0.015968063872255488,"more challenging. To address this issue, we employ two different Transformers,
8"
ABSTRACT,0.017964071856287425,"SGuTA and SCubA, in VFI task. SGuTA utilizes the spatial information of each
9"
ABSTRACT,0.01996007984031936,"video frame to guide the generation of temporal vector at each pixel position.
10"
ABSTRACT,0.021956087824351298,"Meanwhile, SCubA introduces local attention into the VFI task, which can be
11"
ABSTRACT,0.023952095808383235,"viewed as a counterpart of 3D convolution in local attention Transformers. Ad-
12"
ABSTRACT,0.02594810379241517,"ditionally, we analyze and compare different embedding strategies and propose
13"
ABSTRACT,0.027944111776447105,"a more balanced embedding strategy in terms of parameter count, computational
14"
ABSTRACT,0.029940119760479042,"complexity, and memory requirements. Extensive quantitative and qualitative
15"
ABSTRACT,0.031936127744510975,"experiments demonstrate that our models exhibit high proficiency in handling
16"
ABSTRACT,0.033932135728542916,"large motions and providing precise motion estimation, resulting in new state-of-
17"
ABSTRACT,0.03592814371257485,"the-art results in various benchmark tests. The source code can be obtained at
18"
ABSTRACT,0.03792415169660679,"https://github.com/esthen-bit/SGuTA-SCubA.
19"
INTRODUCTION,0.03992015968063872,"1
Introduction
20"
INTRODUCTION,0.041916167664670656,"Video frame interpolation (VFI) is the process of reconstructing uncaptured intermediate frames
21"
INTRODUCTION,0.043912175648702596,"during the exposure time by synthesizing adjacent frames, which can enhance its visual quality and
22"
INTRODUCTION,0.04590818363273453,"smoothness of motion. As a fundamental problem in computer vision, it requires an understanding of
23"
INTRODUCTION,0.04790419161676647,"both spatially and temporally consistence within the video frames, breaking the limitations of video
24"
INTRODUCTION,0.0499001996007984,"sampling rate and lighting conditions. Its applications span across diverse domains, including virtual
25"
INTRODUCTION,0.05189620758483034,"reality [1], video compression [2, 3, 4], and slow-motion generation [5, 6].
26"
INTRODUCTION,0.05389221556886228,"The majority of state-of-the-art techniques for VFI rely on convolutional neural networks (CNNs),
27"
INTRODUCTION,0.05588822355289421,"particularly those based on kernels [7, 8, 9, 10, 11, 12, 13, 14], which have gained increasing
28"
INTRODUCTION,0.05788423153692615,"popularity in recent years. Nevertheless, due to the inherent constraint imposed by the kernel
29"
INTRODUCTION,0.059880239520958084,"size, convolutional kernels seem to have reached their performance ceiling, even after undergoing
30"
INTRODUCTION,0.06187624750499002,"transformations such as 2D kernels, separable kernels, deformable kernels, and 3D kernels. It appears
31"
INTRODUCTION,0.06387225548902195,"that there is a limited potential for further improvement of VFI methods based on CNNs and their
32"
INTRODUCTION,0.0658682634730539,"associated kernels. Meanwhile, Transformers [15] have recently demonstrated its great potential
33"
INTRODUCTION,0.06786427145708583,"in various image tasks such as image classification [16, 17, 18], object detection [19, 20], spectral
34"
INTRODUCTION,0.06986027944111776,"reconstruction [21], and image restoration [22, 23, 24], due to their ability to capture long-range
35"
