Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0016207455429497568,"In consequential domains, it is often impossible to compel individuals to take treat-
ment, so that optimal treatment assignments are merely suggestions when humans
make the final treatment decisions. On the other hand, there can be different hetero-
geneity in both the actual response to treatment and final treatment decisions given
recommendations. For example, in social services, a persistent puzzle is the gap in
take-up of beneficial services among those who may benefit from them the most.
When decision-makers have equity- for fairness-minded preferences over both ac-
cess and average outcomes, the optimal decision rule changes due to these differing
heterogeneity patterns. We study identification and improved/robust estimation
under potential violations of positivity. We consider fairness constraints such as
demographic parity in treatment take-up, and other constraints, via constrained opti-
mization. We develop a two-stage, online learning-based algorithm for solving over
parametrized policy classes under general constraints to obtain variance-sensitive
regret bounds. Our framework can be extended to handle algorithmic recommenda-
tions under an often-reasonable covariate-conditional exclusion restriction, using
our robustness checks for lack of positivity in the recommendation."
INTRODUCTION,0.0032414910858995136,"1
Introduction"
INTRODUCTION,0.004862236628849271,"The intersection of causal inference and machine learning for heterogeneous treatment effect estima-
tion can improve public health, increase revenue, and improve outcomes by personalizing treatment
decisions, such as medications, e-commerce platform interactions, and social interventions, to those
who benefit from it the most [4, 30, 35, 49]. But, in many important settings, we do not have direct
control over treatment, and can only optimize over encouragements, or recommendations for treat-
ment. For example, in e-commerce, companies can rarely compel users to sign up for certain services,
rather nudge or encourage users to sign up via promotions and offers. When we are interested
in optimizing the effects of signing up – or other voluntary actions beyond a platform’s control –
on important final outcomes such as revenue, we therefore need to consider fairness-constrained
optimal encouragement designs. Often human expert oversight is required in the loop in important
settings where ensuring fairness in machine learning [6] is also of interest: doctors prescribe treat-
ment from recommendations [31], managers and workers combine their expertise to act based on
decision support [8], and in the social sector, caseworkers assign to beneficial programs based on
recommendations from risk scores that support triage [14, 19, 48]."
INTRODUCTION,0.006482982171799027,The human in the loop requires new methodology for optimal encouragement designs because
INTRODUCTION,0.008103727714748784,"when the human in the loop makes the final prescription, algorithmic recommenda-
tions do not have direct causal effects on outcomes; they change the probability of
treatment assignment."
INTRODUCTION,0.009724473257698542,"On the other hand, this is analogous to the well-understood notion of non-compliance/non-adherence
in randomized controlled trials in the real world [22, 21]. For example, patients who are prescribed
treatment may not actually take medication. A common strategy is to conduct an intention-to-treat
analysis: under assumptions of no unobserved confounders affecting treatment take-up and outcome,
we may simply view encouragement as treatment. But, in the case of prediction-informed decisions in
social settings, if we are concerned about access to the intervention in addition to utility of the policy
over the population, finer-grained analysis is warranted. If an outcome-optimal policy results in wide
disparities in access, for example in marginalized populations not taking up incentives for healthy food
due to lack of access in food deserts, or administrative burden that screens out individuals applying for
social services that could benefit the most, this could be a serious concern for decision-makers. We
ultimately may seek optimal decision rules that improve disparities in treatment access. In contrast,
previous work in algorithmic accountability primarily focuses on auditing recommendations, but not
both the access and efficacy achieved under the final decision rule. Therefore, previous methods can
fall short in mitigating potential disparities."
INTRODUCTION,0.011345218800648298,"Our contributions are as follows: we characterize optimal and resource fairness-constrained optimal
decision rules, develop statistically improved estimators and robustness checks for the setting of
algorithmic recommendations with sufficiently randomized decisions. We also develop methodology
for optimizing over a constrained policy class with less conservative out-of-sample fairness constraint
satisfaction by a two-stage procedure, and we provide sample complexity bounds. We assess improved
recommendation rules in a stylized case study of optimizing recommendation of supervised release
in the PSA-DMF pretrial risk-assessment tool while reducing surveillance disparities."
RELATED WORK,0.012965964343598054,"2
Related Work"
RELATED WORK,0.014586709886547812,"In the main text, we briefly highlight the most relevant methodological and substantive work and
defer additional discussion to the appendix."
