Section,Section Appearance Order,Paragraph
UNIVERSITY OF ALBERTA,0.0,"1University of Alberta
2Huawei Noah’s Ark Lab
†equal advising
{zichen2,mj7,daes}@ualberta.ca {jun.jin1,jun.luo1}@huawei.com"
ABSTRACT,0.005405405405405406,Abstract
ABSTRACT,0.010810810810810811,"Cross-Entropy Method (CEM) is commonly used for planning in model-based
reinforcement learning (MBRL) where a centralized approach is typically utilized
to update the sampling distribution based on only the top-k operations’ results on
samples. In this paper, we show that such a centralized approach makes CEM
vulnerable to local optima, thus impairing its sample efﬁciency. To tackle this
issue, we propose Decentralized CEM (DecentCEM), a simple but effective
improvement over classical CEM, by using an ensemble of CEM instances running
independently from one another, and each performing a local improvement of its
own sampling distribution. We provide both theoretical and empirical analysis to
demonstrate the effectiveness of this simple decentralized approach. We empirically
show that, compared to the classical centralized approach using either a single or
even a mixture of Gaussian distributions, our DecentCEM ﬁnds the global optimum
much more consistently thus improves the sample efﬁciency. Furthermore, we
plug in our DecentCEM in the planning problem of MBRL, and evaluate our
approach in several continuous control environments, with comparison to the state-
of-art CEM based MBRL approaches (PETS and POPLIN). Results show sample
efﬁciency improvement by simply replacing the classical CEM module with our
DecentCEM module, while only sacriﬁcing a reasonable amount of computational
cost. Lastly, we conduct ablation studies for more in-depth analysis. Code is
available at https://github.com/vincentzhang/decentCEM."
INTRODUCTION,0.016216216216216217,"1
Introduction"
INTRODUCTION,0.021621621621621623,"Model-based reinforcement learning (MBRL) uses a model as a proxy of the environment for planning
actions in multiple steps. This paper studies planning in MBRL with a speciﬁc focus on the Cross-
Entropy Method (CEM) [De Boer et al., 2005, Mannor et al., 2003], which is popular in MBRL due
to its ease of use and strong empirical performance [Chua et al., 2018, Hafner et al., 2019, Wang and
Ba, 2020, Zhang et al., 2021, Yang et al., 2020]. CEM is a stochastic, derivative-free optimization
method. It uses a sampling distribution to generate imaginary trajectories of environment-agent
interactions with the model. These trajectories are then ranked based on their returns computed from
the rewards given by the model. The sampling distribution is updated to increase the likelihood of
producing the top-k trajectories with higher returns. These steps are iterated and eventually yield an
improved distribution over the action sequences to guide the action execution in the real environment."
INTRODUCTION,0.02702702702702703,"Despite the strong empirical performance of CEM for planning, it is prone to two problems: (1) lower
sample efﬁciency as the dimensionality of solution space increases, and (2) the Gaussian distribution
that is commonly used for sampling may cause the optimization to get stuck in local optima of
multi-modal solution spaces commonly seen in real-world problems. Previous works addressing
these problems either add gradient-based updates of the samples to optimize the parameters of CEM,"
INTRODUCTION,0.032432432432432434,⇤Work partially done during Zichen’s internship at Huawei Noah’s Ark Lab.
INTRODUCTION,0.03783783783783784,"or adopt more expressive sampling distributions, such as using Gaussian Mixture Model [Okada and
Taniguchi, 2020] or masked auto-regressive neural network [Hakhamaneshi et al., 2020]. Nevertheless,
all CEM implementations to date are limited to a centralized formulation where the ranking step
involves all samples. As analyzed below and in Section 3, such a centralized design makes CEM
vulnerable to local optima and impairs its sample efﬁciency."
INTRODUCTION,0.043243243243243246,"We propose Decentralized CEM (DecentCEM), a simple but effective improvement over
classical CEM, to address the above problems.
Rather than ranking all samples, as in the
centralized design, our method distribute the sampling budget across an ensemble of CEM
instances.
These instances run independently from one another, and each performs a lo-
cal improvement of its own sampling distribution based on the ranking of its generated
samples.
The best action is then aggregated by taking an arg max among the solution
of the instances.
It recovers the conventional CEM when the number of instance is one."
INTRODUCTION,0.04864864864864865,"(a) Centralized CEM
(b) Decentralized CEM"
