Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0025974025974025974,"Domain adaptation is an important problem and often needed for real-world ap-
plications. In this problem, instead of i.i.d. training and testing datapoints, we
assume that the source (training) data and the target (testing) data have different
distributions. With that setting, the empirical risk minimization training proce-
dure often does not perform well, since it does not account for the change in
the distribution. A common approach in the domain adaptation literature is to
learn a representation of the input that has the same (marginal) distribution over
the source and the target domain. However, these approaches often require ad-
ditional networks and/or optimizing an adversarial (minimax) objective, which
can be very expensive or unstable in practice. To improve upon these marginal
alignment techniques, in this paper, we ﬁrst derive a generalization bound for the
target loss based on the training loss and the reverse Kullback-Leibler (KL) diver-
gence between the source and the target representation distributions. Based on this
bound, we derive an algorithm that minimizes the KL term to obtain a better gen-
eralization to the target domain. We show that with a probabilistic representation
network, the KL term can be estimated efﬁciently via minibatch samples without
any additional network or a minimax objective. This leads to a theoretically sound
alignment method which is also very efﬁcient and stable in practice. Experimental
results also suggest that our method outperforms other representation-alignment
approaches."
INTRODUCTION,0.005194805194805195,"1
INTRODUCTION"
INTRODUCTION,0.007792207792207792,"With advances in neural network architectures (He et al., 2016; Vaswani et al., 2017), machine
learning algorithms have achieved state-of-the-art performance in many tasks such as object classi-
ﬁcation, object detection and natural language processing. However, machine learning models have
been focusing mostly on the case of independent and identically distributed (i.i.d.) datapoints; and
such an assumption often does not hold in practice. When the i.i.d. assumption is violated and the
target domain has a different distribution compared to the source domain, a typical learner trained
on the source data via empirical risk minimization would not perform well at test time, since it does
not account for the distribution shift. To tackle this problem, many methods have been proposed for
domain adaptation (Zhao et al., 2019; Zhang et al., 2019; Combes et al., 2020; Tanwani, 2020) and
domain generalization (Khosla et al., 2012; Muandet et al., 2013; Ghifary et al., 2015), the goal of
which is to train a machine learning algorithm that can generalize well to the target domain."
INTRODUCTION,0.01038961038961039,"A common approach to tackle these problems is to learn a representation such that its distribution
does not change across domains. There are two types of distribution alignment: marginal alignment
(aligning the marginal distribution of the representation) and conditional alignment (aligning the
conditional distribution of the label given the representation) (Nguyen et al., 2021; Tanwani, 2020).
For domain adaptation and domain generalization problems with multiple source domains, we can
use the data and labels to align both the marginal and the conditional distributions across the source
domains, aiming to generalize to the target domain. However, in a single-source domain adaptation
problem, with only unlabeled data from the target domain, it is often only possible to align the
marginal distribution of the representation. This marginal alignment should help the classiﬁer avoid
out-of-distribution data at test time."
INTRODUCTION,0.012987012987012988,"∗Corresponding author: A. Tuan Nguyen, tuan@robots.ox.ac.uk
†University of Oxford, Oxford, United Kingdom
‡VinAI Research, Hanoi, Vietnam"
INTRODUCTION,0.015584415584415584,Published as a conference paper at ICLR 2022
INTRODUCTION,0.01818181818181818,"This paper focuses on such a single-source domain adaption problem, which is also one of the
most common settings in practice. Current marginal alignment techniques usually require addi-
tional computation (e.g., of an additional network) (Ganin et al., 2016; Li et al., 2018) and/or a
minimax objective (Ganin et al., 2016; Shen et al., 2018), leading to an expensive and/or unstable
training procedure (Goodfellow, 2016; Kodali et al., 2017). For example, DANN (Ganin et al., 2016)
employs an adversarial training procedure, with a domain discriminator that classiﬁes the domain
of the representation, and maximizes the adversarial loss of the discriminator. When the discrimina-
tor is completely fooled, the marginal distribution of the representation is aligned across domains.
MMD (Gretton et al., 2012; Li et al., 2018) utilizes maximum mean discrepancy to align the repre-
sentation distribution. This does not use a minimax objective, thus leading to a more stable training;
however, it does require additional computation of several Gaussian kernels. While more sophis-
ticated (non-marginal-alignment) methods have been proposed recently to achieve better results in
the domain adaptation problem, we argue that studying the family of plain marginal-alignment tech-
niques is still an important task, since they are the backbones that most other domain adaptation (and
domain generalization) methods are built upon."
INTRODUCTION,0.02077922077922078,"To address the above issues of existing marginal-alignment techniques, we ﬁrst derive a generaliza-
tion bound on the loss of the target domain using the training loss and a reverse Kullback–Leibler
(KL) divergence between the source and target distributions. There are existing bounds of the target
loss in the literature (Ben-David et al., 2010), however, these analyses focus mostly on the case of
binary classiﬁcation and the bounds use a total variation distance or a H-divergence between the
distributions, which are not easy to estimate in practice (for example, Ajakan et al. (2014) require
an adversarial network to estimate the H-divergence). In this paper, we show that with a proba-
bilistic representation network, we can estimate the KL divergence easily using samples, leading
to an alignment method that requires virtually no additional computation nor a minimax objective.
Therefore, our training procedure is simple and stable in practice. Moreover, the reverse KL has the
zero-forcing effect (Minka et al., 2005), which is very effective to alleviate the out-of-distribution
problem in practice. This can be explained as follows: the out-of-distribution problem arises when
the classiﬁer faces a new representation at test time that is in a (near) zero mass region of the source
representation distribution (and thus it never faced before). The reverse KL tends to force the target
representation distribution to have (near) zero mass wherever the source distribution has (near) zero
mass (this is the zero-forcing property), which helps the classiﬁer avoid out-of-distribution data. The
reverse KL also has the mode-seeking effect (Minka et al., 2005) which allows for a more ﬂexible
alignment of the representation (to one or some of the modes of the source domain). For example,
consider the classiﬁcation problem of buildings (houses, hotels, etc.) where source images are col-
lected from urban and remote areas of a country (two modes); while the target images are collected
from urban areas but from a different country. Ideally, we want to match the representation distri-
bution of the target domain to that of the ﬁrst mode of the source domain since they are both from
urban areas. The reverse KL allows this ﬂexible alignment (as it results in a relatively small value
of the reverse KL) due to its mode-seeking property. Meanwhile, other distance metrics/divergences
aim to match the whole source and target representation distribution, which might collapse the two
modes of the source domains."
INTRODUCTION,0.023376623376623377,Our contributions in this work are:
