Section,Section Appearance Order,Paragraph
HHMI JANELIA RESEARCH CAMPUS,0.0,"1 HHMI Janelia Research Campus
2 Harvard University
3 MIT
{xur,prakhyas,turagas}@janelia.hhmi.org
{albertlin,samuel}@g.harvard.edu
{lumi,shanir}@mit.edu"
ABSTRACT,0.0029069767441860465,ABSTRACT
ABSTRACT,0.005813953488372093,"The availability of both anatomical connectivity and brain-wide neural activity mea-
surements in C. elegans make the worm a promising system for learning detailed,
mechanistic models of an entire nervous system in a data-driven way. However,
one faces several challenges when constructing such a model. We often do not have
direct experimental access to important modeling details such as single-neuron
dynamics and the signs and strengths of the synaptic connectivity. Further, neural
activity can only be measured in a subset of neurons, often indirectly via calcium
imaging, and signiﬁcant trial-to-trial variability has been observed. To address
these challenges, we introduce a connectome-constrained latent variable model
(CC-LVM) of the unobserved voltage dynamics of the entire C. elegans nervous
system and the observed calcium signals. We used the framework of variational
autoencoders to ﬁt parameters of the mechanistic simulation constituting the genera-
tive model of the LVM to calcium imaging observations. A variational approximate
posterior distribution over latent voltage traces for all neurons is efﬁciently inferred
using an inference network, and constrained by a prior distribution given by the
biophysical simulation of neural dynamics. We applied this model to an experimen-
tal whole-brain dataset, and found that connectomic constraints enable our LVM
to predict the activity of neurons whose activity were withheld signiﬁcantly better
than models unconstrained by a connectome. We explored models with different
degrees of biophysical detail, and found that models with realistic conductance-
based synapses provide markedly better predictions than current-based synapses
for this system."
INTRODUCTION,0.00872093023255814,"1
INTRODUCTION"
INTRODUCTION,0.011627906976744186,"The anatomical connectivity of the entire C. elegans nervous system, including both chemical and
electrical synapses, has been known for several decades [30; 27; 31]. However, well-calibrated
and predictive connectome-constrained mechanistic models of this nervous system have yet to be
demonstrated [13; 28; 10; 7]. This is partially because whole-brain recordings are insufﬁcient to com-
pletely constrain computational models. First, the single-neuron and synapse dynamics are generally
unknown. Second, the connectome does not directly inform the signs and strengths of individual
synapses. Third, the response properties of sensory neurons are incompletely known. Further, it is
unclear what level of biophysical detail is necessary to reproduce the essential computational function
of the C. elegans nervous system."
INTRODUCTION,0.014534883720930232,"Here, we used whole-brain calcium imaging data to constrain the missing parameters in a connectome-
constrained, biophysically detailed model of the C. elegans nervous system. We started with a
simpliﬁed non-spiking passive point-neuron model of the voltage dynamics of individual neurons
in the circuit. We modeled inputs to the neurons from both electrical and chemical synapses."
INTRODUCTION,0.01744186046511628,†equal contribution
INTRODUCTION,0.020348837209302327,Published as a conference paper at ICLR 2022
INTRODUCTION,0.023255813953488372,"The chemical synapses are modeled nonlinearly, with either current-based or conductance-based
biophysics. The challenge of ﬁtting such a model to data is two-fold. First, the voltage dynamics
of the neurons are not directly observed, but rather indirectly measured via their slow calcium
dynamics. Second, there is signiﬁcant trial-to-trial variability in neural activity, suggesting strong
initial state dependence in the neural responses to the same sensory stimulus [9]. These issues can
both be addressed by treating the collective voltage signals of all neurons in the nervous system as an
unobserved latent variable whose dynamics are determined by the simpliﬁed connectome-constrained
biophysical model with unknown neuronal and synaptic parameters."
INTRODUCTION,0.02616279069767442,"Our connectome-constrained latent variable model (CC-LVM) of voltage dynamics of the C. elegans
nervous system is a large-scale latent variable model with a very high-dimensional latent space
consisting of voltage dynamics of 300 neurons over 5 minutes of time at the simulation frequency
of 160 Hz. The generative model for these latent variables is described by stochastic differential
equations modeling the nonlinear dynamics of the network activity. We developed a variational
autoencoder-based framework for inferring the unobserved voltage dynamics from the observed
calcium dynamics of only a subset of the neurons in the nervous system."
