Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0018832391713747645,"Alternative splicing (AS) of pre-mRNA splicing is a highly regulated process with
1"
ABSTRACT,0.003766478342749529,"diverse phenotypic effects ranging from changes in AS across tissues to numerous
2"
ABSTRACT,0.005649717514124294,"diseases. The ability to predict or manipulate AS has therefore been a long time
3"
ABSTRACT,0.007532956685499058,"goal in the RNA field with applications ranging from identifying novel regulatory
4"
ABSTRACT,0.009416195856873822,"mechanisms to designing therapeutic targets. Here we take advantage of generative
5"
ABSTRACT,0.011299435028248588,"model architectures to address both the prediction and design of RNA splicing
6"
ABSTRACT,0.013182674199623353,"condition-specific outcome. First, we construct a predictive model, TrASPr, which
7"
ABSTRACT,0.015065913370998116,"combines multiple transformers along with side information to predict splicing in a
8"
ABSTRACT,0.01694915254237288,"tissue specific manner. Then, we exploit TrASPr as on Oracle to produce labeled
9"
ABSTRACT,0.018832391713747645,"data for a Bayesian Optimization (BO) algorithm with a custom loss function for
10"
ABSTRACT,0.02071563088512241,"RNA splicing outcome design. We demonstrate TrASPr significantly outperforms
11"
ABSTRACT,0.022598870056497175,"recently published models and that it can identify relevant regulatory features which
12"
ABSTRACT,0.02448210922787194,"are also captured by the BO generative process.
13"
INTRODUCTION,0.026365348399246705,"1
Introduction
14"
INTRODUCTION,0.02824858757062147,"Alternative splicing (AS) occurs when multiple unique mRNA isoforms are produced from a single
15"
INTRODUCTION,0.030131826741996232,"gene, each including or excluding different pre-mRNA exonic or intronic segments. AS greatly
16"
INTRODUCTION,0.032015065913371,"increases transcriptome complexity such that a single gene can encode many mRNA isoforms, each
17"
INTRODUCTION,0.03389830508474576,"of which include a different subset of pre-mRNA segments. Over 90% of human genes undergo AS,
18"
INTRODUCTION,0.035781544256120526,"with a conservative estimate that at least 35% of human genes switch their dominant isoform across 16
19"
INTRODUCTION,0.03766478342749529,"adult tissues [32, 44, 16]. Changes in the produced isoforms can have significant phenotypic effects:
20"
INTRODUCTION,0.03954802259887006,"Defects in splicing have been associated with numerous diseases [38] while at the molecular level, AS
21"
INTRODUCTION,0.04143126177024482,"has been shown to change protein function by, for example, removing a nuclear localization signal,
22"
INTRODUCTION,0.04331450094161959,"affecting an RNA or DNA binding domain of the encoded protein, or regulating gene expression by
23"
INTRODUCTION,0.04519774011299435,"introducing a poison exon that leads to nonsense mediated decay (NMD) [40, 28].
24"
INTRODUCTION,0.047080979284369114,"Following the discovery of RNA splicing in 1977 [2, 7], decades of work has identified hundreds
25"
INTRODUCTION,0.04896421845574388,"of RNA Binding Proteins (RBPs) that regulate splicing outcome. These RBPs have been shown to
26"
INTRODUCTION,0.05084745762711865,"bind exons and proximal introns, typically up to a few hundred bases away from proximal exons, to
27"
INTRODUCTION,0.05273069679849341,"regulate splicing in a condition specific manner [12]. Consequently, in an influential 2008 review
28"
INTRODUCTION,0.054613935969868174,"article, Chris Burge and Zefeng Wang set a long-term goal for the RNA community to construct a
29"
INTRODUCTION,0.05649717514124294,"predictive ‘splicing code’ that will be able, given a genomic sequence and cellular condition, predict
30"
INTRODUCTION,0.0583804143126177,"the splicing outcome [45]. Splicing outcomes are typically measured as the ratio of isoforms that
31"
INTRODUCTION,0.060263653483992465,"include or exclude a specific RNA segment (e.g., an exon). This ratio is commonly referred to as
32"
INTRODUCTION,0.062146892655367235,"’percent spliced in’ (PSI, or Ψ ∈[0, 1]), and changes in splicing between cellular conditions or due to
33"
INTRODUCTION,0.064030131826742,"genetic mutations are expressed as dPSI (∆Ψ ∈[−1, 1]). In this work, we consider two tasks related
34"
INTRODUCTION,0.06591337099811675,"to splicing: splicing prediction, and splicing sequence design.
35"
INTRODUCTION,0.06779661016949153,"Splicing prediction.
Software to predict splicing was first introduced in 2010, formalizing splicing
36"
INTRODUCTION,0.0696798493408663,"codes as a supervised learning problem for exon e with differential inclusion/exclusion/no-change
37"
INTRODUCTION,0.07156308851224105,"in a specific cellular condition (e.g., tissue) c. Subsequent work defines the learning tasks as a
38"
INTRODUCTION,0.07344632768361582,"prediction task for Ψe,c or ∆Ψe,c,c′ using a variety of modeling approaches, including Bayesian NNs,
39"
INTRODUCTION,0.07532956685499058,"autoencoders, MLPs, CNNs, and RNNs [48, 6, 49, 25]. Importantly for the work described here, the
40"
INTRODUCTION,0.07721280602636535,"best performing tissue specific splicing prediction models to date use hand crafted expert derived
41"
INTRODUCTION,0.07909604519774012,"regulatory features from the genomic sequence of interest, such as RBP binding based on sequence
42"
INTRODUCTION,0.08097928436911488,"motifs, secondary structure, and conservation values [21]. Subsequent models used the genomic
43"
INTRODUCTION,0.08286252354048965,"sequence directly as input (e.g., CNN models) but mostly focused on predicting the effect of genetic
44"
INTRODUCTION,0.0847457627118644,"mutations [6, 50] with only moderate success in tissue specific predictions.
45"
INTRODUCTION,0.08662900188323917,"Sequence design.
Sequence design for RNA splicing is a new task, similar to ones involving the
46"
INTRODUCTION,0.08851224105461393,"design of untranslated regions (UTR) in mRNA vaccines for optimal expression [5, 26] or the design
47"
INTRODUCTION,0.0903954802259887,"of alternative polyadenylation [3]. Similar to the latter, we formulate RNA splicing design as a
48"
INTRODUCTION,0.09227871939736347,"constraint optimization problem, where we are required to generate a genomic sequence that would
49"
INTRODUCTION,0.09416195856873823,"have specific splicing outcome characteristics, such as increased exon inclusion in brain. In addition,
50"
INTRODUCTION,0.096045197740113,"the generated sequence can also be constrained such that it involves for example no more than M
51"
INTRODUCTION,0.09792843691148775,"mutations in N locations compared to the given starting sequence. Applications of such a design task
52"
INTRODUCTION,0.09981167608286252,"can vary from optimizing therapeutics for correcting splicing defects to synthetic biology.
53"
INTRODUCTION,0.1016949152542373,"This work offers several contributions. First, we propose TrASPr, a new multi-Transformer based
54"
INTRODUCTION,0.10357815442561205,"splicing code model, demonstrating it can achieve state of the art results for tissue-specific splicing
55"
INTRODUCTION,0.10546139359698682,"prediction. Second, we formulate RNA splicing design as an optimization problem involving a deep
56"
INTRODUCTION,0.10734463276836158,"generative model such that Bayesian Optimization (BO) techniques can be utilized for it. Our BO
57"
INTRODUCTION,0.10922787193973635,"algorithm for splicing (BOS), uses TrASPr as an Oracle to optimize a VAE under sequence and
58"
INTRODUCTION,0.1111111111111111,"splicing outcome constraints. We first test TrASPr on RNA splicing data from both mouse and human
59"
INTRODUCTION,0.11299435028248588,"tissues, demonstrating it achieves state-of-the-art prediction accuracy. Then we show TrASPr detects
60"
INTRODUCTION,0.11487758945386065,"condition specific regulatory elements using ENCODE data involving three RBP Knockdown (KD)
61"
INTRODUCTION,0.1167608286252354,"in two human cell lines, and data for tissue-specific regulatory elements from a mini-gene reporter
62"
INTRODUCTION,0.11864406779661017,"assay. Finally, we demonstrate BOS can effectively mutate a given sequence under a limited number
63"
INTRODUCTION,0.12052730696798493,"of mutations to achieve a pre-defined tissue specific splicing outcome.
64"
BACKGROUND,0.1224105461393597,"2
Background
65"
QUANTIFYING AS EVENTS,0.12429378531073447,"2.1
Quantifying AS events
66"
QUANTIFYING AS EVENTS,0.12617702448210924,"Splicing codes require training data in the form of quantified AS events across diverse conditions.
67"
QUANTIFYING AS EVENTS,0.128060263653484,"Such AS quantification nowadays is mostly derived from Illumina RNA sequencing reads. Each
68"
QUANTIFYING AS EVENTS,0.12994350282485875,"experiments includes millions of these ∼100bp long reads that are mapped back to the genome using
69"
QUANTIFYING AS EVENTS,0.1318267419962335,"dedicated tools (e.g., STAR). Dedicated splicing analysis algorithms are then used to first detect
70"
QUANTIFYING AS EVENTS,0.1337099811676083,"the AS events, typically from reads spanning across RNA segments, then quantify those in terms
71"
QUANTIFYING AS EVENTS,0.13559322033898305,"of Ψ or ∆Ψ as described above. Here we applied the commonly used MAJIQ algorithm [42] to
72"
QUANTIFYING AS EVENTS,0.1374764595103578,"quantify AS as it has been shown to compare well to other tools [27] and carries several additional
73"
QUANTIFYING AS EVENTS,0.1393596986817326,"benefit important for the task at hand. Specifically, MAJIQ allows for the detection of unannotated
74"
QUANTIFYING AS EVENTS,0.14124293785310735,"splice site, splice junctions, exons, and intron retention events. Furthermore, MAJIQ can capture
75"
QUANTIFYING AS EVENTS,0.1431261770244821,"complex AS events involving multiple alternative splice junctions. These characteristics are key for
76"
QUANTIFYING AS EVENTS,0.14500941619585686,"creating a high-quality train and test samples where such variations are controlled (see details below).
77"
QUANTIFYING AS EVENTS,0.14689265536723164,"Specifically, we only
78"
TRANSFORMER MODELING OF RNA SEQUENCE,0.1487758945386064,"2.2
Transformer modeling of RNA sequence
79"
TRANSFORMER MODELING OF RNA SEQUENCE,0.15065913370998116,"In this work we adapt BERT [9] model to RNA sequences. BERT is a bi-directional transformer-
80"
TRANSFORMER MODELING OF RNA SEQUENCE,0.15254237288135594,"based model, which learns contextual relations of tokens in a text [43]. The BERT model can
81"
TRANSFORMER MODELING OF RNA SEQUENCE,0.1544256120527307,"be pre-trained on large unlabeled datasets of tokenized text using masked token prediction. Here
82"
TRANSFORMER MODELING OF RNA SEQUENCE,0.15630885122410546,"we considered different tokenizing strategies of RNA sequences which are composed of 4 types
83"
TRANSFORMER MODELING OF RNA SEQUENCE,0.15819209039548024,"of ribonucleotide bases (‘A’,‘C’,‘G’,‘U’). We settled on overlapping k-mers of length 6 such that
84"
TRANSFORMER MODELING OF RNA SEQUENCE,0.160075329566855,"the sequence “AUUGGCU” is represented by a string containing two tokens, AUUGGC and UUGGCU.
85"
TRANSFORMER MODELING OF RNA SEQUENCE,0.16195856873822975,"During pre-training all k-mers that include a specific nucleotide are masked as in for example the
86"
TRANSFORMER MODELING OF RNA SEQUENCE,0.1638418079096045,"DNABERT model [22]. However, we found the DNABERT architecture to be unstable and opted to
87"
TRANSFORMER MODELING OF RNA SEQUENCE,0.1657250470809793,"pre-train a lighter BERT model with only six layers as describe below. In addition to all possible
88"
TRANSFORMER MODELING OF RNA SEQUENCE,0.16760828625235405,"6-mer combinations of ribonucleotide bases, we include 5 special tokens to represent classification
89"
TRANSFORMER MODELING OF RNA SEQUENCE,0.1694915254237288,"([CLS]), padding ([PAD]), separation ([SEP]), mask ([MASK]) and unknown ([UNK]). Finally, we
90"
TRANSFORMER MODELING OF RNA SEQUENCE,0.1713747645951036,"extend the vocabulary with additional tokens to capture additional features and information such as
91"
TRANSFORMER MODELING OF RNA SEQUENCE,0.17325800376647835,"the tissue type, species and length tokens.
92"
NOTATION,0.1751412429378531,"2.3
Notation
93"
NOTATION,0.17702448210922786,"We measure splicing across c ∈[1, . . . , C] conditions for events e ∈[1, . . . , E]. Each AS event e
94"
NOTATION,0.17890772128060264,"has a sequence Se comprised of 4 different regions, each centered around the respective splice site
95"
NOTATION,0.1807909604519774,"Se = {S1
e, S2
e, S3
e, S4
e, }. Similarly each event has a set of features associated with it such as exon
96"
NOTATION,0.18267419962335216,"length, conservation etc. denoted Fe. Splicing quantification for event e in condition c is denoted
97"
NOTATION,0.18455743879472694,"Ψe,c ∈[0, 1] and differential splicing as ∆Ψe,c,c′ ∈[−1, 1] accordingly. However we frequently
98"
NOTATION,0.1864406779661017,"drop the event e or condition c index for brevity.
99"
RELATED WORK,0.18832391713747645,"3
Related work
100"
RELATED WORK,0.1902071563088512,"The first splicing code model used boosted decision trees, learned from over 1000 putative regulatory
101"
RELATED WORK,0.192090395480226,"featured derived from the literature [1]. While that first model had only ∼3700 exon skipping AS
102"
RELATED WORK,0.19397363465160075,"events to learn from, subsequent models took advantage of more samples from RNA-Seq data that had
103"
RELATED WORK,0.1958568738229755,"became available to train Bayesian and deep learning models [48, 47, 4, 6, 50]. The best performance
104"
RELATED WORK,0.1977401129943503,"on tissue specific splicing prediction was achived in [21] using a similar set of pre-defined regulatory
105"
RELATED WORK,0.19962335216572505,"features that were first condensed using an AutoEncoder, then combined in a MLP. Subsequent works
106"
RELATED WORK,0.2015065913370998,"aimed to learn a code directly from the genomic sequence using a variety of architectures. MT-Splice
107"
RELATED WORK,0.2033898305084746,"for example used a CNN based architecture with 64 length-9 filters while the more recent Pangolin
108"
RELATED WORK,0.20527306967984935,"[50] employed a ResNet architecture originally introduced in the SpliceAI model for detecting cryptic
109"
RELATED WORK,0.2071563088512241,"splice site [20]. Both MT-Splice and Pangolin focused on predicting mutations that affect splicing
110"
RELATED WORK,0.20903954802259886,"outcome and reported moderate accuracy for tissue-specific splicing prediction.
111"
RELATED WORK,0.21092278719397364,"The RNA splicing design task is new and possibly the only directly related work is Deep Exploration
112"
RELATED WORK,0.2128060263653484,"Networks (DEN) by [29]. DEN involves a VAE which generates genomic sequence, the generated
113"
RELATED WORK,0.21468926553672316,"sequence is then evaluated by a prediction model for the desired task (e.g., splicing outcome Ψ)
114"
RELATED WORK,0.21657250470809794,"which is combined, via a hyper parameter λ, with a second target function that penalizes generated
115"
RELATED WORK,0.2184557438794727,"sequences too close to previously generated ones. While similar in spirit, DEN is quite different
116"
RELATED WORK,0.22033898305084745,"than the work presented here. First, DEN models the genomic sequence as one long position weight
117"
RELATED WORK,0.2222222222222222,"matrix (PWM) that is later collapsed into a specific sequence. The VAE itself is based on a feed
118"
RELATED WORK,0.224105461393597,"forward network and the prediction models are either a CNN or a linear model of k-mer counts as
119"
RELATED WORK,0.22598870056497175,"in [34]. The splicing task in that work is also different, involving alternative 5’ splice site selection
120"
RELATED WORK,0.2278719397363465,"with two relatively short regions downstream of each 5’ splice site. Finally, the data used for training
121"
RELATED WORK,0.2297551789077213,"and testing the DEN for the above task is distinctly different, based on a large pool of approximately
122"
RELATED WORK,0.23163841807909605,"13,000 synthetic sequences tested in cell lines.
123"
DATA,0.2335216572504708,"4
Data
124"
DATA,0.23540489642184556,"To pretrain the basic BERT RNA model described above, we extract 1.5 million sequences around
125"
DATA,0.23728813559322035,"splice sites from the GENCODE human pre-mRNA transcripts database. Each sequence was cut
126"
DATA,0.2391713747645951,"to be 400 bases long and centered around the splice site. These sequences are then converted into
127"
DATA,0.24105461393596986,"6-mers tokens and fed as input to the BERT model.
128"
DATA,0.24293785310734464,"Similar to previous work, we focus on predicting the inclusion levels of cassette exons. To evaluate
129"
DATA,0.2448210922787194,"performance we use two main datasets. The first is from the mouse genome project (MGP)[23] and
130"
DATA,0.24670433145009416,"involves six mouse tissues (Heart, Spleen, Thymus, Lung, Liver and Hippocampus) with 4-6 replicates
131"
DATA,0.24858757062146894,"each. We also used the same train/test data split used in [21] so that the results can be compared
132"
DATA,0.2504708097928437,"directly to their model. The second dataset is GTEx[8] from which we select six representative
133"
DATA,0.2523540489642185,"tissues/conditions: Heart (Atrial Appendage), Brain (Cerebellum), Lung, Liver, Spleen, and EBV
134"
DATA,0.2542372881355932,"transformed lymphocytes. Note that some conditions are shared between the datasets. This ensures
135"
DATA,0.256120527306968,"that our model sees sequences from different species but similar tissues. For all tissues and tissue
136"
DATA,0.2580037664783427,"pairs in these datasets, we processed the RNA-Seq using MAJIQ (see Section 2.1) to detect cassette
137"
DATA,0.2598870056497175,"events with high-confidence quantification for their Ψe,c, ∆Ψe, c, c′. In total, we collect E=11346
138"
DATA,0.2617702448210923,"and E=18278 events from the MGP and GTEx datasets.
139"
DATA,0.263653483992467,"Test set filtering.
The high number of events in our data is partially due to the fact the cassette
140"
DATA,0.2655367231638418,"exons extracted from MAJIQ’s splice graphs may be overlapping (e.g., different splice sites used to
141"
DATA,0.2674199623352166,"define the skipped exon). This may be useful for training on diverse exon/intron definitions but care
142"
DATA,0.2693032015065913,"must be taken to avoid information leakage to the test data. This is especially important for large
143"
DATA,0.2711864406779661,"models that can easily memorize genomic sequences [36]. We handle this issue in two ways. First,
144"
DATA,0.2730696798493409,"we fully hide two chromosomes (8, 14 for GTEx and 4, 11 for MGP) for testing, and discard test
145"
DATA,0.2749529190207156,"exons that are too similar to training exons. Sequence similarity was assessed using BLAT [24] with
146"
DATA,0.2768361581920904,"filters for percent identify, difference in length, and the estimated similarity p-value. We consider two
147"
DATA,0.2787193973634652,"filter settings. First, we denote a set of ‘Permissive’ filters as used in [21], These settings included
148"
DATA,0.2806026365348399,"maxLenDiff=5, minPval=0.0001 and minIdentity=95. Because we are using significantly more
149"
DATA,0.2824858757062147,"complex models, we introduce a second set of filters we denote ‘Strict’ with maxLenDiff=100,
150"
DATA,0.2843691148775895,"minPval=0.001 and minIdentity=80. This accounts for short exons with high similarity but that
151"
DATA,0.2862523540489642,"diverge enough relative to their short length to not achieve a significant p-value.
152"
DATA,0.288135593220339,"Test data for mutations and knockdown analysis.
To evaluate the capability of TrASPr and BOS
153"
DATA,0.2900188323917137,"to predict or suggest mutations, we curated two other sets of experimental data. The first one is the
154"
DATA,0.2919020715630885,"RBP Knockdown (KD) experiments from ENCODE [19]. ENCODE data involves two types of cell
155"
DATA,0.2937853107344633,"lines (K562, HepG2) in which various RBP were knocked down, followed by RNA-Seq experiments
156"
DATA,0.295668549905838,"to measure the KD effect on the transcriptome. Since the ENCODE RNA-Seq data has been shown
157"
DATA,0.2975517890772128,"to exhibit strong batch effects we first performed batch correction using MOCCASIN [39]. Here, we
158"
DATA,0.2994350282485876,"focused on three well studied RBPs (TIA1, PTBP1, QKI) for which there is relatively better sequence
159"
DATA,0.3013182674199623,"motif definitions (i.e., which sequences these RBP are likely to bind) and better experimental binding
160"
DATA,0.3032015065913371,"assays (eCLIP) which indicate regions where these RBPs were found to bind the RNA sequences.
161"
DATA,0.3050847457627119,"To assess whether the splicing code is learning direct regulation by these RBPs we searched for
162"
DATA,0.3069679849340866,"occurrences of these RBPs sequence motifs. Then we filtered those motif locations to be in AS events
163"
