Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.001567398119122257,"Circuits based on sum-product structure have become a ubiquitous representation
to compactly encode knowledge, from Boolean functions to probability distribu-
tions. By imposing constraints on the structure of such circuits, certain inference
queries become tractable, such as model counting and most probable configuration.
Recent works have explored analyzing probabilistic and causal inference queries
as compositions of basic operators to derive tractability conditions. In this paper,
we take an algebraic perspective for compositional inference, and show that a large
class of queries—including marginal MAP, probabilistic answer set programming
inference, and causal backdoor adjustment—correspond to a combination of basic
operators over semirings: aggregation, product, and elementwise mapping. Using
this framework, we uncover simple and general sufficient conditions for tractable
composition of these operators, in terms of circuit properties (e.g., marginal deter-
minism, compatibility) and conditions on the elementwise mappings. Applying
our analysis, we derive novel tractability conditions for many such compositional
queries. Our results unify tractability conditions for existing problems on circuits,
while providing a blueprint for analysing novel compositional inference queries."
INTRODUCTION,0.003134796238244514,"1
Introduction"
INTRODUCTION,0.004702194357366771,"Circuit-based representations, such as Boolean circuits, decision diagrams, and arithmetic circuits,
are of central importance in many areas of AI and machine learning. For example, a primary means
of performing inference in many models, from Bayesian networks [16, 9] to probabilistic programs
[20, 24, 26, 43], is to convert them into equivalent circuits; this is commonly known as knowledge
compilation. Inference via knowledge compilation has also been used for many applications in
neuro-symbolic AI, such as constrained generation [2, 54] and neural logic programming [34, 28].
Circuits can also be learned as probabilistic generative models directly from data [25, 41, 40, 32], in
which context they are known as probabilistic circuits [11]. Compared with neural generative models,
probabilistic circuits enjoy tractable evaluation of inference queries such as marginal probabilities,
which has been used for tasks such as fair machine learning [12] and causal reasoning [53, 50, 49]."
INTRODUCTION,0.006269592476489028,"The key feature of circuits is that they enable one to precisely characterize tractability conditions
(structural properties of the circuit) under which a given inference query can be computed exactly
and efficiently. One can then enforce these circuit properties when compiling or learning a model
to enable tractable inference. For many basic inference queries, such as computing a marginal
probability, tractability conditions are well understood [48, 8]. However, for more complex queries,
the situation is less clear, and the exercise of deriving algorithms and tractability conditions for a
given query has usually been carried out in an instance-specific manner requiring significant effort."
INTRODUCTION,0.007836990595611285,"maxX
P"
INTRODUCTION,0.009404388714733543,"Y ∼e p(X, Y )"
INTRODUCTION,0.0109717868338558,"p(X, Y )"
INTRODUCTION,0.012539184952978056,[[Y ∼e]]
INTRODUCTION,0.014106583072100314,"⊗
⊕Y
τid
⊕X"
INTRODUCTION,0.01567398119122257,"P
X ω(X) P
Y ∼q
ϕ(X,Y )
P
Y ϕ(X,Y )"
INTRODUCTION,0.017241379310344827,"ϕ(X, Y )"
INTRODUCTION,0.018808777429467086,[[Y ∼q]]
INTRODUCTION,0.02037617554858934,"[[·]]
⊕Y
τ−1
⊗
⊗
⊕Y ω(X) ⊗
⊕X"
INTRODUCTION,0.0219435736677116,"Figure 1: Example applications of our compositional inference framework for (Left) MMAP and
(Right) Success Probability in Prob. Logic Programing under the Stable Model semantics (MaxEnt)."
INTRODUCTION,0.023510971786833857,"In Figure 1, we illustrate two such queries. The marginal MAP (MMAP) [13] query takes a
probabilistic circuit p and some evidence e and asks for the most likely assignment of a subset
of variables. The success probability inference in probabilistic logic programming [6, 45] takes a
circuit representation ϕ of a logic program, a weight function ω and some query q, and computes
the probability of the query under the program’s semantics (MaxEnt, in the example). At first
glance, these seem like very different queries, involving different types of input circuits (logical and
probabilistic), and different types of computations. However, they share similar algebraic structure:
logical and probabilistic circuits can be interpreted as circuits defined over different semirings, while
maximization and summation can be viewed as aggregation over different semirings. In this paper,
inspired by the compositional atlas for probabilistic circuits [48], we take a compositional approach
to algebraic inference problems, breaking them down into a series of basic operators: aggregation,
product, and elementwise mapping. For example, the MMAP and probabilistic logic programming
queries involve multiple interleaved aggregations and products, along with one elementwise mapping
each. Given a circuit algorithm (and associated tractability condition) for each basic operator, we can
reuse these algorithms to construct algorithms for arbitrary compositions. The key challenge is then
to check if each intermediate circuit satisfies the requisite tractability conditions."
