Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0010964912280701754,"We propose a new notion of multiclass calibration called top-label calibration. A
classiﬁer is said to be top-label calibrated if the reported probability for the pre-
dicted class label—the top-label—is calibrated, conditioned on the top-label. This
conditioning is essential for practical utility of the calibration property, since the
top-label is always reported and we must condition on what is reported. How-
ever, the popular notion of conﬁdence calibration erroneously skips this condi-
tioning. Furthermore, we outline a multiclass-to-binary (M2B) reduction frame-
work that uniﬁes conﬁdence, top-label, and class-wise calibration, among others.
As its name suggests, M2B works by reducing multiclass calibration to differ-
ent binary calibration problems; various types of multiclass calibration can then
be achieved using simple binary calibration routines. We instantiate the M2B
framework with the well-studied histogram binning (HB) binary calibrator, and
prove that the overall procedure is multiclass calibrated without making any as-
sumptions on the underlying data distribution. In an empirical evaluation with
four deep net architectures on CIFAR-10 and CIFAR-100, we ﬁnd that the M2B
+ HB procedure achieves lower top-label and class-wise calibration error than
other approaches such as temperature scaling. Code for this work is available at
https://github.com/aigen/df-posthoc-calibration."
INTRODUCTION,0.0021929824561403508,"1
INTRODUCTION"
INTRODUCTION,0.003289473684210526,"Machine learning models often make probabilistic predictions. The ideal prediction is the true con-
ditional distribution of the output given the input. However, nature never reveals true probability
distributions, making it infeasible to achieve this ideal in most situations. Instead, there is signiﬁ-
cant interest towards designing models that are calibrated, which is often feasible. We motivate the
deﬁnition of calibration using a standard example of predicting the probability of rain. Suppose a
meteorologist claims that the probability of rain on a particular day is 0.7. Regardless of whether it
rains on that day or not, we cannot know if 0.7 was the underlying probability of rain. However, we
can test if the meteorologist is calibrated in the long run, by checking if on the D days when 0.7 was
predicted, it indeed rained on around 0.7D days (and the same is true for other probabilities)."
INTRODUCTION,0.0043859649122807015,"This example is readily converted to a formal binary calibration setting. Denote a random (feature,
label)-pair as pX, Y q P X ˆ t0, 1u, where X is the feature space. A probabilistic predictor h : X Ñ
r0, 1s is said to be calibrated if for every prediction q P r0, 1s, PrpY “ 1 | hpXq “ qq “ q (almost
surely). Arguably, if an ML classiﬁcation model produces such calibrated scores for the classes,
downstream users of the model can reliably use its predictions for a broader set of tasks."
INTRODUCTION,0.005482456140350877,"Our focus in this paper is calibration for multiclass classiﬁcation, with L ě 3 classes and Y P
rLs :“ t1, 2, . . . , L ě 3u. We assume all (training and test) data is drawn i.i.d. from a ﬁxed
distribution P, and denote a general point from this distribution as pX, Y q „ P. Consider a typical
multiclass predictor, h : X Ñ ∆L´1, whose range ∆L´1 is the probability simplex in RL. A
natural notion of calibration for h, called canonical calibration is the following: for every l P rLs,
PpY “ l | hpXq “ qq “ ql (ql denotes the l-th component of q). However, canonical calibration
becomes infeasible to achieve or verify once L is even 4 or 5 (Vaicenavicius et al., 2019). Thus,
there is interest in studying statistically feasible relaxations of canonical notion, such as conﬁdence
calibration (Guo et al., 2017) and class-wise calibration (Kull et al., 2017)."
INTRODUCTION,0.006578947368421052,Published as a conference paper at ICLR 2022
INTRODUCTION,0.007675438596491228,"In particular, the notion of conﬁdence calibration (Guo et al., 2017) has been popular recently.
A model is conﬁdence calibrated if the following is true: “when the reported conﬁdence for the
predicted class is q P r0, 1s, the accuracy is also q”. In any practical setting, the conﬁdence q is
never reported alone; it is always reported along with the actual class prediction l P rLs. One
may expect that if a model is conﬁdence calibrated, the following also holds: “when the class l is
predicted with conﬁdence q, the probability of the actual class being l is also q”? Unfortunately, this
expectation is rarely met—there exist conﬁdence calibrated classiﬁer for whom the latter statement
is grossly violated for all classes (Example 1). On the other hand, our proposed notion of top-label
calibration enforces the latter statement. It is philosophically more coherent, because it requires
conditioning on all relevant reported quantities (both the predicted top label and our conﬁdence in
it). In Section 2, we argue further that top-label calibration is a simple and practically meaningful
replacement of conﬁdence calibration."
INTRODUCTION,0.008771929824561403,"In Section 3, we unify top-label, conﬁdence, and a number of other popular notions of multiclass
calibration into the framework of multiclass-to-binary (M2B) reductions. The M2B framework re-
lies on the simple observation that each of these notions internally veriﬁes binary calibration claims.
As a consequence, each M2B notion of calibration can be achieved by solving a number of binary
calibration problems. With the M2B framework at our disposal, all of the rich literature on binary
calibration can now be used for multiclass calibration. We illustrate this by instantiating the M2B
framework with the binary calibration algorithm of histogram binning or HB (Zadrozny and Elkan,
2001; Gupta and Ramdas, 2021). The M2B + HB procedure achieves state-of-the-art results with
respect to standard notions of calibration error (Section 4). Further, we show that our procedure is
provably calibrated for arbitrary data-generating distributions. The formal theorems are delayed to
Appendices B, C (due to space limitations), but an informal result is presented in Section 4."
MODIFYING CONFIDENCE CALIBRATION TO TOP-LABEL CALIBRATION,0.009868421052631578,"2
MODIFYING CONFIDENCE CALIBRATION TO TOP-LABEL CALIBRATION"
