Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.001953125,"Post-training quantization (PTQ) has emerged as a promising technique for mit-
1"
ABSTRACT,0.00390625,"igating memory consumption and computational costs in large language models
2"
ABSTRACT,0.005859375,"(LLMs). However, a systematic examination of various quantization schemes,
3"
ABSTRACT,0.0078125,"model families, and quantization bit precision has been absent from the literature.
4"
ABSTRACT,0.009765625,"In this paper, we conduct a comprehensive analysis of these factors by investigating
5"
ABSTRACT,0.01171875,"the effects of PTQ on weight-only, activation-only, and weight-and-activation quan-
6"
ABSTRACT,0.013671875,"tization using diverse methods such as round-to-nearest (RTN), GPTQ, ZeroQuant,
7"
ABSTRACT,0.015625,"and their variants. We apply these methods to two distinct model families with
8"
ABSTRACT,0.017578125,"parameters ranging from 125M to 176B. Our contributions include: (1) a sensitivity
9"
ABSTRACT,0.01953125,"analysis revealing that activation quantization is generally more susceptible to
10"
ABSTRACT,0.021484375,"weight quantization, with smaller models often outperforming larger models in
11"
ABSTRACT,0.0234375,"terms of activation quantization; (2) an evaluation and comparison of existing PTQ
12"
ABSTRACT,0.025390625,"methods to optimize model size reduction while minimizing the impact on accuracy,
13"
ABSTRACT,0.02734375,"revealing that none of the current methods can achieve the original model quality
14"
ABSTRACT,0.029296875,"for quantization with either INT4-weight or INT4-weight-and-INT8-activation;
15"
ABSTRACT,0.03125,"(3) based on these insights, we propose an optimized method called Low-Rank
16"
ABSTRACT,0.033203125,"Compensation (LoRC), which employs low-rank matrices to enhance model quality
17"
ABSTRACT,0.03515625,"recovery with a minimal increase in model size.
18"
INTRODUCTION,0.037109375,"1
Introduction
19"
INTRODUCTION,0.0390625,"Large language models (LLMs) like Codex [15] and ChatGPT [24] have demonstrated breakthrough
20"
INTRODUCTION,0.041015625,"performance across various benchmarks, such as natural language understanding and generation, and
21"
INTRODUCTION,0.04296875,"are now integrated into everyday applications. However, efficiently serving LLMs has become a
22"
INTRODUCTION,0.044921875,"pressing concern due to their significant memory consumption and computational demands. Unlike
23"
INTRODUCTION,0.046875,"classification or diffusion models, LLMs present unique challenges, as they involve two distinct
24"
INTRODUCTION,0.048828125,"phases: prompt and generation. The prompt phase is primarily compute-bound, while the generation
25"
INTRODUCTION,0.05078125,"phase, with low batch size and KV cache, is mainly memory-bound [26].
26"
INTRODUCTION,0.052734375,"As the progression of hardware bandwidth lags behind that of computational demand [14], the resource
27"
INTRODUCTION,0.0546875,"demands of extra-large models such as MT-NLG-530B [30]—which necessitates the deployment of
28"
INTRODUCTION,0.056640625,"multiple nodes for operation—escalate, adding to the complexities of cross-node communication.
29"
INTRODUCTION,0.05859375,"This has emphasized the urgency to curtail both the size and computational expense of Large Language
30"
INTRODUCTION,0.060546875,"Models (LLMs). An increasingly effective solution to these issues is post-training quantization (PTQ).
31"
INTRODUCTION,0.0625,"This method aids in the reduction of training prerequisites while simultaneously lowering the bit
32"
INTRODUCTION,0.064453125,"precision of weights and activations to either INT4 or INT8.
33"
INTRODUCTION,0.06640625,"While the effectiveness of post-training quantization (PTQ) has been underscored in a number of
34"
INTRODUCTION,0.068359375,"recent studies [36, 12, 35, 7], a comprehensive, systematic investigation into several key dimensions
35"
