Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0025380710659898475,"Conventional notions of generalization often fail to describe the ability of learned
models to capture meaningful information from dynamical data. A neural network
that learns complex dynamics with a small test error may still fail to reproduce
its physical behavior, including associated statistical moments and Lyapunov ex-
ponents. To address this gap, we propose an ergodic theoretic approach to gener-
alization of complex dynamical models learned from time series data. Our main
contribution is to define and analyze generalization of a broad suite of neural repre-
sentations of classes of ergodic systems, including chaotic systems, in a way that
captures emulating underlying invariant, physical measures. Our results provide
theoretical justification for why regression methods for generators of dynamical
systems (Neural ODEs) fail to generalize, and why their statistical accuracy im-
proves upon adding Jacobian information during training. We verify our results
on a number of ergodic chaotic systems and neural network parameterizations,
including MLPs, ResNets, Fourier Neural layers, and RNNs."
INTRODUCTION,0.005076142131979695,"1
Introduction"
INTRODUCTION,0.007614213197969543,"Learning a dynamical system from time series data is a pervasive challenge across scientific domains.
Such data come from expensive experiments and high-fidelity numerical models that simulate the
underlying nonlinear, often chaotic, processes. The learning challenge is to train on available
data to produce output models that i) provably preserve known symmetries and invariances (e.g.,
conservation principles); and ii) are inexpensive surrogates for use in downstream computations
such as optimization and uncertainty quantification. The field of physics-guided machine learning
[vdGSB+20, FO22, LK22, KKLL21, RPK19, KKL+21] has emerged in response, rapidly integrating
neural networks into data-driven modeling and prediction workflows for a wide variety of complex
dynamics, from geophysical fluid flows to phase transitions in materials (see [KMA+21, CCC+19]
for surveys). Yet rigorous generalization analyses of neural parameterizations in these applications,
wherein the underlying dynamics can exhibit chaotic behavior, have been underexplored."
INTRODUCTION,0.01015228426395939,∗Corresponding author
INTRODUCTION,0.012690355329949238,"Figure 1: A random orbit on the x-z plane obtained from RK4 integration of the Lorenz vector field
([Lor63] (first column), Neural ODE, ‘MSE_MLP’, trained with mean-squared loss (second column)
and Neural ODE, ‘JAC_MLP’, trained with Jacobian loss (third column). The last column shows the
empirical PDF of the orbit generated by the true (gray), ‘MSE_MLP’ (red) and ‘JAC_MLP’ (blue)
models. Experimental settings and additional results are in Appendices B and C respectively. Gist: A
model trained well with MSE can produce atypical orbits but when Jacobian information is added to
the training, it reproduces the long-term/statistical behavior accurately."
INTRODUCTION,0.015228426395939087,"Here we investigate data-driven neural parameterizations of chaotic ODEs/PDEs and maps (discrete-
time dynamical systems) motivated by the following observation: a neural representation that is
learned well, i.e., with a small generalization error, can still produce unphysical long-term or ensemble
behavior. Figure 1 (left) shows the classical Lorenz ’63 chaotic attractor [Lor63] plotted using a long
random trajectory/orbit (time integration of the Lorenz equation vector field starting from a random
initial condition, which is indicated by a ‘+’ sign). The second column shows an orbit from a neural
network model, ‘MSE_MLP’, which minimizes the mean-squared error in the represented vector
field at 10,000 training points and shows high accuracy (< 5% average relative error) over 8000 test
points on the attractor. Surprisingly, Figure 1(column 2) shows that the learned ‘MSE_MLP’ Neural
ODE [CRBD18] model produces an atypical orbit – an orbit different from almost every orbit of
the true system – for the same randomly chosen initial condition. As a result, the learned empirical
distribution is not close to the physical distribution – that of almost every true orbit, as shown in
Figure 1 (column 4). On the other hand, the ‘JAC_MLP’ model, which is obtained by minimizing the
mean-squared error in the vector field and its first derivative (Jacobian matrix), reproduces the Lorenz
’63 attractor and the physical distribution on the attractor (Figure 1, column 4). The ‘JAC_MLP’ also
captures all the Lyapunov exponents (LEs) – measures of asymptotic stability to perturbations, which
are invariants in ergodic systems – accurately, while the ‘MSE_MLP’ only obtains the leading LE
accurately."
INTRODUCTION,0.017766497461928935,"Naturally, we ask about the wider applicability of these observations. For any ground truth dynamical
system, how can we quantify the probability of success, including obtaining sample complexity results,
of learning its physical or typical behavior? That is, how do we redefine and extend generalization
analyses to neural representations of complex dynamical systems? To answer these questions, we
start with a deceivingly simple supervised learning setup: given m samples from a time series,
{(xt, xt+1)}t, 0 ≤t ≤(m −1), how can we learn a model, Fnn, such that, i) xt+1 ≈Fnn(xt), for
all time t, and ii) the underlying distribution of the states xt and other dynamical invariants such
as Lyapunov exponents are reproduced by orbits of Fnn? It is widely accepted that learning such
an Fnn involves matching orbits of Fnn with xt over large t during training. However, small errors
propagate over orbits, by definition, in a chaotic system, leading to training instabilities. In response,
a vast literature has been dedicated to developing sophisticated training models based on RNNs
[PLH+17, PWF+18, RM21], operator learning [LLSK+22] and regularizations [LG22, FJNO20]."
INTRODUCTION,0.02030456852791878,"We focus instead on the empirical risk minimization (ERM) for Fnn that does not explicitly use the
temporal correlations/dynamical structure in the data, avoiding training instabilities. Thus, we attempt
to characterize when an elementary regression problem Fnn can still lead to learning a physical
representation, leading to a practical theory of learning chaotic systems from data. Our specific
contributions are as follows:"
INTRODUCTION,0.02284263959390863,"• Motivated by extensive empirical results, we develop useful notions of generalization that
characterize a model’s ability to reproduce dynamical invariants."
