Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.004807692307692308,"The rapid development of video processing technology makes it easy for people
to forge videos without leaving visual artifacts. The spread of forged videos may
lead to moral and legal consequences and pose a potential threat to people’s lives
and social stability. So it is signiﬁcant to identify deepfake video information.
Although the previous detection methods have achieved high accuracy, the gen-
eralization is poor when facing unprecedented data in the real scene. There are
three fundamental reasons. The ﬁrst is that capturing the general clue of artifacts
is difﬁcult. The second is that selecting the appropriate model is challenging in
speciﬁc feature extraction. The third is that exploiting fully and effectively the
extracted features is hard. We ﬁnd that the high-frequency information in the
image and the texture in the shallow layer of the model expose the subtle arti-
facts. The optical ﬂow of the real video has variations while the optical ﬂow of
the deepfake video has rarely variations. Furthermore, consecutive frames in the
real video have temporal consistency. In this paper, we propose a dual-branch
video forgery detection model named ENST, which integrates parallelly and in-
teractively EfﬁcientNet-B5 and Swin Transformer. Speciﬁcally, EfﬁcientNet-B5
extracts the artifacts information of high frequency and texture in the shallow layer
of the model. Swin Transformer captures the subtle discrepancies between opti-
cal ﬂows. To extract more robust face features, we design a new loss function
for EfﬁcientNet-B5. In addition, we also introduce the attention mechanism into
EfﬁcientNet-B5 to enhance the extracted features. We conduct test experiments
on FaceForensics++ and Celeb-DF (v2) datasets, and comprehensive results show
that ENST has higher accuracy and generalization, which is superior to the most
advanced methods.
Index Terms: deepfakes, video forgery detection, high frequency, texture, optical
ﬂow, EfﬁcientNet, Swin Transformer"
INTRODUCTION,0.009615384615384616,"1
INTRODUCTION"
INTRODUCTION,0.014423076923076924,"Video synthesis techniques based on deep learning Karras et al. (2017; 2018); Thies et al. (2019)
have reduced the threshold for people to manipulate videos, and the high-quality deepfake videos
that are indistinguishable to the human eye are increasingly available Deepfakes (2020); Faceswap
(2019); Fakeapp (2020). Although this technology has been applied to Cineﬂex, Crytek, and driver-
less technology, which has had a positive effect on society. Inevitably, it is illegally abused by some
malicious users to forge indistinguishable false information, which seriously affects the level of
public trust in the government and society, causes irreparable social problems, and can even pose a
serious threat to politics."
INTRODUCTION,0.019230769230769232,"Many deepfake detection methods Wang et al. (2019); Kim et al. (2021); Jeon et al. (2020) have been
proposed to address this problem and signiﬁcant progress has been made. Previous works explore
forgery patterns based on manual features Ferrara et al. (2012); Pan et al. (2012); Cozzolino et al.
(2015) and then classify them by zooming in on the subtle differences between the real and forged
images. While most of the recent learning-based approaches Cozzolino et al. (2017); Chollet (2017a)
deﬁne the problem as a binary classiﬁcation of an image or video with a process of ﬁrst extracting"
INTRODUCTION,0.02403846153846154,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.028846153846153848,"the global features of the image using a neural network and then feeding them to a classiﬁer to
distinguish between genuine and faked images."
INTRODUCTION,0.03365384615384615,"However, with the increasing reﬁnement of deep generative methods, the generated forged videos
are becoming increasingly difﬁcult to discriminate, especially some low-quality ones with only a
few subtle visual artifacts. Most existing detection methods still focus on speciﬁc artifacts, leading
to signiﬁcant challenges in the generalization and effectiveness of detection systems in realistic
scenarios. This creates an urgent need to discover subtle cues that are more critical for detection,
and then to extract and incorporate appropriate modules with efﬁcient backbone networks to enhance
these artifact features and combine them effectively for forgery detection."
INTRODUCTION,0.038461538461538464,"After systematic analysis, we ﬁnd three fundamental reasons for the low generalization of the model.
The ﬁrst is the difﬁculty of capturing general artifact cues and the limitations of the dataset in terms
of quantity and quality. The second is the limitations of selecting a suitable network model for
speciﬁc feature extraction. The third is the limitations of fully and effectively utilizing the extracted
features. In terms of feature cues, we ﬁnd that although the generated videos are realistic with few
artifacts in the texture, the frequency domain, especially at high frequency, still reveals signiﬁcant
differences, even for low-quality videos, and many forgery methods are designed to generate videos
that are slightly defective to human vision, with few methods targeting the frequency domain. In
addition, it is found that texture information located at the shallow level of the detection network
rather than the higher-level semantic information is particularly critical for detection. To eliminate
the effect of luminance in RGB on texture feature extraction, we convert the images from RGB
to YCbCr and remove the luminance (Y) channel, and combine Cb and Cr channels with high
frequencies. In addition, we ﬁnd a characteristic that the optical ﬂow of the real video changes
signiﬁcantly while the optical ﬂow of the deepfake video has little change, and coupled with the
temporal consistency of the continuous frames of the real video, we choose the high frequency,
texture, and optical ﬂow as the feature cues for video forgery detection."
INTRODUCTION,0.04326923076923077,"For features such as high frequency and texture, which require attention to local details, we choose
EfﬁcientNet-B5 Tan & Le (2019), a CNN class network that is superior in local feature extrac-
tion, as one of the backbone networks, which has higher accuracy and performance compared with
other CNNs. For features such as optical ﬂow, which reﬂect the inter-frame temporality, we choose
Swin Transformer Liu et al. (2021), a Transformer class network that is superior in global repre-
sentation, as another backbone network, which applies to all scales of images, simple and ﬂexible
in computation, and shows excellent performance compared with other Transformers. In addition,
we introduce the attention mechanism and a new loss function for EfﬁcientNet-B5 to extract more
robust face features."
