Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0010395010395010396,"Agent behavior simulation empowers robotics, gaming, movies, and VR appli-
1"
ABSTRACT,0.002079002079002079,"cations, but building such simulators often requires laborious effort of manually
2"
ABSTRACT,0.0031185031185031187,"crafting the agent’s decision process and motion patterns. Recent advances in
3"
ABSTRACT,0.004158004158004158,"visual tracking and motion capture have enabled learning agent behavior from
4"
ABSTRACT,0.005197505197505198,"real-world data, but these methods are limited to a few scenarios due to the de-
5"
ABSTRACT,0.006237006237006237,"pendence on specialized sensors (e.g., synchronized multi-camera systems). In a
6"
ABSTRACT,0.007276507276507277,"step towards scalable and realistic behavior simulators, we present Agent-to-Sim
7"
ABSTRACT,0.008316008316008316,"(ATS), a framework for learning simulatable 3D agents in a 3D environment from
8"
ABSTRACT,0.009355509355509356,"casually-captured monocular videos. To deal with partial views, our framework
9"
ABSTRACT,0.010395010395010396,"fuses observations in a canonical space for both the agent and the scene, resulting
10"
ABSTRACT,0.011434511434511435,"in a dense 4D spatiotemporal reconstruction. We then learn an interactive behavior
11"
ABSTRACT,0.012474012474012475,"generator by querying paired data of agents’ perception and actions from the 4D
12"
ABSTRACT,0.013513513513513514,"reconstruction. ATS enables real-to-sim transfer of agents in their familiar envi-
13"
ABSTRACT,0.014553014553014554,"ronments given longitudinal video recordings captured with a smartphone over a
14"
ABSTRACT,0.015592515592515593,"month. We show results on pets (e.g., cat, dog, bunny) and a person, and analyse
15"
ABSTRACT,0.016632016632016633,"how the observer’s motion and 3D scene affect an agent’s behavior.
16"
INTRODUCTION,0.017671517671517672,"1
Introduction
17"
INTRODUCTION,0.018711018711018712,Plausible paths
INTRODUCTION,0.01975051975051975,"Past Tajectory
Consider the scene of the cat in the living room: where will the cat go
18"
INTRODUCTION,0.02079002079002079,"and how will it move? Since we have seen cats interact with the en-
19"
INTRODUCTION,0.02182952182952183,"vironment and other people many times, we know that cats like to go
20"
INTRODUCTION,0.02286902286902287,"to the couch, often move slowly, and follow humans around, but run
21"
INTRODUCTION,0.02390852390852391,"away if people come too close. Such a predictive model of a phys-
22"
INTRODUCTION,0.02494802494802495,"ical agent is what enables plausible behavior simulation, which is
23"
INTRODUCTION,0.02598752598752599,"essential for embodied intelligence, immersive virtual environments
24"
INTRODUCTION,0.02702702702702703,"and robot planning in safety-critical scenarios [9, 31, 41, 45, 54].
25"
INTRODUCTION,0.028066528066528068,"The key challenge with behavior simulation is how to generate plausible and interactive behavior
26"
INTRODUCTION,0.029106029106029108,"(with respect to the scene and other agents). On one hand, prior works [2, 6, 46] utilize trajectory
27"
INTRODUCTION,0.030145530145530147,"computed by path-planning algorithms or hand-designed logic from game simulators [13, 58]. While
28"
INTRODUCTION,0.031185031185031187,"these approaches benefit from high-quality trajectory data paired with perfect object and scene
29"
INTRODUCTION,0.032224532224532226,"geometries, it is laborious to manually craft simulators that suit the needs of each type of application,
30"
INTRODUCTION,0.033264033264033266,"and the data distribution is fundamentally different from the real world, leading to unnatural motion
31"
INTRODUCTION,0.034303534303534305,"and interactions. On the other hand, vision-based motion capture enables learning plausible behavior
32"
INTRODUCTION,0.035343035343035345,"directly from data for certain scenarios, such as autonomous driving [9], human body motion [21, 36],
33"
INTRODUCTION,0.036382536382536385,"and interaction with objects/scenes [14, 24]. However, due to the dependence on specialized sensor
34"
