Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.003257328990228013,"Financial transactions are increasingly being handled by automated programs called
smart contracts. However, one challenge in the adaptation of smart contracts is the
presence of vulnerabilities, which can cause significant monetary loss. In 2024,
$247.88 M was lost in 20 smart contract exploits. According to a recent study, ac-
counting bugs (i.e., incorrect implementations of domain-specific financial models)
are the most prevalent type of vulnerability, and are one of the most difficult to find,
requiring substantial human efforts. While Large Language Models (LLMs) have
shown promise in identifying these bugs, they often suffer from lack of generaliza-
tion of vulnerability types, hallucinations, and problems with representing smart
contracts in limited token context space. This paper proposes a hybrid system com-
bining LLMs and rule-based reasoning to detect accounting error vulnerabilities in
smart contracts. In particular, it utilizes the understanding capabilities of LLMs
to annotate the financial meaning of variables in smart contracts, and employs
rule-based reasoning to propagate the information throughout a contract’s logic
and to validate potential vulnerabilities. To remedy hallucinations, we propose a
feedback loop where validation is performed by providing the reasoning trace of
vulnerabilities to the LLM for iterative self-reflection. We achieve 75.6% accuracy
on the labelling of financial meanings against human annotations. Furthermore, we
achieve a recall of 90.5% from running on 23 real-world smart contract projects
containing 21 accounting error vulnerabilities. Finally, we apply the automated
technique on 8 recent projects, finding 4 known and 2 unknown bugs."
INTRODUCTION,0.006514657980456026,"1
Introduction"
INTRODUCTION,0.009771986970684038,"Blockchains are public, append-only ledgers that record data in a secure manner and provide a
foundation for many financial applications. Two such applications are tokens and smart contracts.
Tokens are cryptocurrencies (e.g., Bitcoin Nakamoto [2008], WETH WETH [2024]). Smart contracts
are programs that perform a service once deployed to the blockchain, typically financial in nature.
Example services include banking, marketplaces, and loaning. With the digitization of finance, smart
contracts have seen increasing usage for financial transactions. For example, the Ethereum blockchain
has over 40 million smart contracts deployed Bitkan [2024]. Smart contracts are implemented in a
Java-like language known as Solidity [2023] They are similar to traditional software applications in
that they are composed of functions, and not all functions can be invoked (due to function modifiers).
Entry functions are those that can be directly invoked by users, which are defined as any entities (e.g.,
humans) interacting with the smart contract."
INTRODUCTION,0.013029315960912053,"accounting bugs so far. There are many existing vulnerability detection techniques for smart contracts,
including fuzzers Wüstholz and Christakis [2020]; Choi et al. [2021] , program analysis Wang
et al. [2019]; Huang et al. [2022] , verification Jiao et al. [2020]; Tan et al. [2022] , and symbolic
execution Consensys [2024]; Bose et al. [2022]. However, we find that most cannot handle accounting
bugs. Recently, Zhang [2024] proposed a program analysis based technique that relies on a type
system. In particular, it relies on manual annotation of initial types of variables, which include
the currency unit, scaling factor, and correspondence to some functionality in a bank. With such
knowledge, it performs type checking to detect accounting bugs. However, the annotation is extensive,
in many cases requiring deep understanding of the code and even external documentation. Hence,
there is a need to develop an automated technique for detecting accounting bugs in smart contracts."
INTRODUCTION,0.016286644951140065,"According to Zhang et al. [2023], the reason that accounting bugs are difficult to identify is due to the
necessity to first understand the complex business logic of smart contracts. We hypothesize that LLMs
like GPT can be used to perform the analysis, citing their capability to easily comprehend code. For
example, Sun et al. [2024] propose an LLM based technique that performs analysis of smart contracts,
through utilizing context from past vulnerabilities as well as techniques such as Chain-of-thought
(COT) to improve the reasoning capability of the LLM. However, the approach does not focus on
accounting bugs, and the analysis is function-level as opposed to file-level. Furthermore, a significant
concern with LLM-based techniques is the generation of hallucinations. Hence, a naive approach
focused on detecting accounting bugs providing high-level descriptions and few-shot examples of
accounting bugs does not suffice, due to the observations that:"
INTRODUCTION,0.019543973941368076,"Challenge 1:
The code of smart contracts provided for analysis is often too large or too costly
to fit in the limited token context space. While it is possible to filter non-relevant functions (i.e.,
functions which cannot be invoked by the public), the remaining code usually retains the same issues.
Furthermore, reducing the scope of the analysis to function-level can miss accounting bugs that
spread across multiple functions or even files."
INTRODUCTION,0.02280130293159609,"Challenge 2: Most warnings produced by the method are often hallucinations from the model, and
there is no existing technique to validate the warnings without human analysis."
INTRODUCTION,0.026058631921824105,"While the naive approach fails, we are able to develop 4 key insights. First, the task of detecting
accounting bugs can be split into two subtasks: assigning financial meanings to variables and
checking the correctness of operations. For example, there is an accounting bug in the operation
Z = X + Y , where X has a financial meaning of a balance (i.e., an amount of some currency) and Y
has a financial meaning of price (i.e., an exchange rate between two currencies), the reasoning being
that such an operation does not result in meaningful output, hence is a violation of all business models.
Second, LLMs such as GPT can easily assign financial meanings to variables through semantic
analysis. However, prompting LLMs to annotate all variables is infeasible due to monetary cost
and risks of misclassifications due to hallucinations. Hence our third insight: rule-based reasoning
allows for propagation of financial meaning, efficient checking of operation correctness, and
function-level analysis with file-level scope. Rule-based systems Hayes-Roth [1985] are an
approach to artificial intelligence that operates on a set of predefined rules. In our context, inferences
rule are utilized for the propagation, taking advantage of the deterministic results of financial meaning
operations. Furthermore, the rules substantially reduce the workload on LLMs to only annotating
entry variables (i.e., parameters of entry functions and global variables), as all other variables can be
assigned financial meanings from the propagation. Finally, inference rules can be enhanced to enable
propagation through function invocations, reducing the analysis to function-level while maintaining
file-level scope for detection. Fourth, while hallucinations are still an issue, a reasoning trace can
be prompted to the LLM to detect hallucinations in annotations. Furthermore, the trace can be
integrated with an iterative feedback loop to automatically remedy hallucinations."
INTRODUCTION,0.029315960912052116,"Based on the insights, we develop ABAUDITOR , a hybrid LLM and rule-based reasoning system to
automatically detect accounting errors. It utilises the understanding capabilities of LLM (specifically,
GPT 3.5-turbo OpenAI [2024]) to provide financial meaning annotations for entry variables and
rule-based reasoning to propagate meanings to other variables and to discover potential vulnerabilities.
Furthermore, our technique reduces hallucinations by implementing an iterative feedback loop where
reasoning traces of potential bugs are provided to the LLM for self-reflection. In sum, we make the
following contributions."
