Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.001321003963011889,"Learning with noisy labels is a common problem in weakly supervised learning,
1"
ABSTRACT,0.002642007926023778,"where the transition matrix approach is a prevalent method for dealing with label
2"
ABSTRACT,0.003963011889035667,"noise. It estimates the transition probabilities from a clean label distribution to a
3"
ABSTRACT,0.005284015852047556,"noisy label distribution and has garnered continuous attention. However, existing
4"
ABSTRACT,0.0066050198150594455,"transition matrix methods predominantly focus on class-dependent noise, making
5"
ABSTRACT,0.007926023778071334,"it challenging to incorporate feature information for learning instance-dependent
6"
ABSTRACT,0.009247027741083224,"label noise. This paper proposes the idea of using diffusion models for estimating
7"
ABSTRACT,0.010568031704095112,"transition matrix in the context of instance-dependent label noise. Specifically, we
8"
ABSTRACT,0.011889035667107,"first estimate grouped transition matrices through clustering. Then, we introduce
9"
ABSTRACT,0.013210039630118891,"a process of adding noise and denoising with the transition matrix, incorporating
10"
ABSTRACT,0.01453104359313078,"features extracted by unsupervised pre-trained models. The proposed method
11"
ABSTRACT,0.015852047556142668,"enables the estimation of instance-dependent transition matrix and extends the
12"
ABSTRACT,0.017173051519154558,"application of transition matrix method to a broader range of noisy label data.
13"
ABSTRACT,0.018494055482166448,"Experimental results demonstrate the significant effectiveness of our approach on
14"
ABSTRACT,0.019815059445178335,"both synthetic and real-world datasets with instance-dependent noise. The code
15"
ABSTRACT,0.021136063408190225,"will be open sourced upon acceptance of the paper.
16"
INTRODUCTION,0.022457067371202115,"1
Introduction
17"
INTRODUCTION,0.023778071334214,"For classification problems with given labels, deep neural networks have demonstrated significant
18"
INTRODUCTION,0.02509907529722589,"improvements compared to traditional methods in recent years [25]. The efficacy of deep neural
19"
INTRODUCTION,0.026420079260237782,"networks heavily relies on the accuracy of the labels. Directly incorporating polluted erroneous labels
20"
INTRODUCTION,0.02774108322324967,"into network learning can result in the network fitting the noise, potentially severely impacting the
21"
INTRODUCTION,0.02906208718626156,"predictive performance of the network [8]. However, in reality, obtaining accurate annotated data can
22"
INTRODUCTION,0.03038309114927345,"be prohibitively expensive, and a substantial amount of data comes from the Internet or is annotated
23"
INTRODUCTION,0.031704095112285335,"by non-expert annotators, inevitably containing noisy labels. Therefore, researching and promoting
24"
INTRODUCTION,0.03302509907529723,"methods to mitigate the damage to models and make them more robust in the face of label noise data
25"
INTRODUCTION,0.034346103038309116,"is a highly worthwhile problem to investigate, known as the problem of learning with noisy labels
26"
INTRODUCTION,0.035667107001321,"[23, 10, 34, 1].
27"
INTRODUCTION,0.036988110964332896,"Different approaches have been proposed to address the problem of label noise. One category
28"
INTRODUCTION,0.03830911492734478,"[31, 22] involves the design of specialized loss functions or network structures to enhance the model’s
29"
INTRODUCTION,0.03963011889035667,"robustness against noisy labels. Another major category focuses on sample selection [2, 10, 14],
30"
INTRODUCTION,0.04095112285336856,"where samples are partitioned into a set of clean samples and a set of contaminated noisy samples
31"
INTRODUCTION,0.04227212681638045,"based on the magnitude of the loss or the similarity of extracted features. The labels of the noisy
32"
INTRODUCTION,0.043593130779392336,"samples are then modified or their weights are reduced, followed by learning using semi-supervised
33"
INTRODUCTION,0.04491413474240423,"methods. Sample selection methods are currently mainstream and have achieved promising results.
34"
INTRODUCTION,0.046235138705416116,"However, the selection process relies heavily on intuition and lacks theoretical support. Additionally,
35"
INTRODUCTION,0.047556142668428,"the sample selection procedure is often complex and computationally intensive. In contrast, another
36"
INTRODUCTION,0.0488771466314399,Figure 1: Diffusion Model for Transition Matrix.
INTRODUCTION,0.05019815059445178,"significant category of methods is the transition matrix method [34, 17, 12, 42], which estimates the
37"
INTRODUCTION,0.05151915455746367,"transition probabilities from the clean label distribution to the noisy label distribution. This class
38"
INTRODUCTION,0.052840158520475564,"of methods reveals the generation process of noisy labels and exhibits statistical consistency, often
39"
INTRODUCTION,0.05416116248348745,"accompanied by theoretical analyses as methodological support. As a result, they have garnered
40"
INTRODUCTION,0.05548216644649934,"continuous attention and occupy an important position in various algorithms for learning with noisy
41"
INTRODUCTION,0.05680317040951123,"labels.
42"
INTRODUCTION,0.05812417437252312,"In transition matrix methods, accurate estimation of the transition matrix is crucial. If an accurate
43"
INTRODUCTION,0.059445178335535004,"estimation of the transition matrix can be obtained, along with the observed data for estimating the
44"
INTRODUCTION,0.0607661822985469,"posterior distribution of the noisy labels, it is possible to infer the distribution of clean labels for
45"
INTRODUCTION,0.062087186261558784,"neural network learning. Previous transition matrix methods [34, 17, 39] have mainly focused on
46"
INTRODUCTION,0.06340819022457067,"class-dependent label noise, where a single transition matrix is estimated for all samples, which is
47"
INTRODUCTION,0.06472919418758256,"typically straightforward. However, for instance-dependent label noise and complex real-world data,
48"
INTRODUCTION,0.06605019815059446,"the label transition probabilities for each sample are not entirely identical. The transition matrix often
49"
INTRODUCTION,0.06737120211360634,"depends on the specific features of individual samples, requiring the estimation of a separate transition
50"
INTRODUCTION,0.06869220607661823,"matrix for each sample. However, in most cases, a single observed label corresponds to each sample
51"
INTRODUCTION,0.07001321003963012,"in the dataset, making it an identifiability problem to estimate a separate transition matrix for each
52"
INTRODUCTION,0.071334214002642,"sample [20]. Although some methods [33, 41, 15] have utilized separate small networks to generate
53"
INTRODUCTION,0.0726552179656539,"the transition matrix or divided the data into groups to transform it into a grouped class-dependent
54"
INTRODUCTION,0.07397622192866579,"scenario, there still exist significant estimation errors and a lack of incorporating features effectively
55"
INTRODUCTION,0.07529722589167767,"into the estimation of the transition matrix.
56"
INTRODUCTION,0.07661822985468957,"To better incorporate the feature information of images into the estimation of the transition matrix,
57"
INTRODUCTION,0.07793923381770146,"this work employs conditional diffusion models. The diffusion model originates from generative
58"
INTRODUCTION,0.07926023778071334,"models and has been widely applied in various computer vision tasks in recent years [36, 7], showing
59"
INTRODUCTION,0.08058124174372523,"remarkable results. The proposed method revolves around the core idea of replacing image samples in
60"
INTRODUCTION,0.08190224570673713,"the original diffusion process with a transition matrix. The matrix undergoes a process of adding noise
61"
INTRODUCTION,0.083223249669749,"and denoising, where the denoising step incorporates the sample features extracted by a pre-trained
62"
INTRODUCTION,0.0845442536327609,"model as conditions. This generates a feature-dependent transition matrix. The constructed diffusion
63"
INTRODUCTION,0.08586525759577279,"module is illustrated in Figure 1. Additionally, considering the assumption that instance-dependent
64"
INTRODUCTION,0.08718626155878467,"label noise is usually correlated with features [6], clustering methods are utilized at the feature level
65"
INTRODUCTION,0.08850726552179657,"to group samples. Preliminary estimations of the transition matrices are obtained for each group,
66"
INTRODUCTION,0.08982826948480846,"which are then incorporated into the diffusion module for learning. The overall framework of the
67"
INTRODUCTION,0.09114927344782034,"method is depicted in Figure 2.
68"
INTRODUCTION,0.09247027741083223,"The subsequent sections are organized as follows. Section 2 presents an in-depth review of the
69"
INTRODUCTION,0.09379128137384413,"relevant works. In Section 3, we introduce our proposed model framework. Section 4 outlines
70"
INTRODUCTION,0.095112285336856,"the experimental analysis conducted on diverse synthetic and real-world noisy datasets, along with
71"
INTRODUCTION,0.0964332892998679,"comparisons against other existing methods. Finally, we provide concluding in Section 5. The
72"
INTRODUCTION,0.0977542932628798,"primary contributions of this paper can be summarized as follows:
73"
INTRODUCTION,0.09907529722589167,"• We propose a method that utilizes diffusion models to add noise and denoise on the transition
74"
INTRODUCTION,0.10039630118890357,"matrix, incorporating image features extracted through pre-trained encoder.
75"
INTRODUCTION,0.10171730515191546,"• By combining the transition matrix-based diffusion model with feature-based clustering, we
76"
INTRODUCTION,0.10303830911492734,"establish a framework capable of addressing instance-dependent label noise problems.
77"
INTRODUCTION,0.10435931307793923,Figure 2: The overall framework of DTM.
INTRODUCTION,0.10568031704095113,"• Our method demonstrates significant improvements over other transition matrix methods on
78"
INTRODUCTION,0.10700132100396301,"both synthetic and real-world noisy datasets, and it achieves comparable performance to
79"
INTRODUCTION,0.1083223249669749,"state-of-the-art methods.
80"
RELATED WORKS,0.1096433289299868,"2
Related Works
81"
TRANSITION MATRIX METHODS,0.11096433289299867,"2.1
Transition Matrix Methods
82"
TRANSITION MATRIX METHODS,0.11228533685601057,"Most previous methods for estimating transition matrix in the presence of label noise have primarily
83"
TRANSITION MATRIX METHODS,0.11360634081902246,"focused on class-dependent noise scenarios, simplifying the estimation process. Methods such as
84"
TRANSITION MATRIX METHODS,0.11492734478203434,"[24, 34] assume the existence of anchor points to identify the transition matrix.
[17] and [39]
85"
TRANSITION MATRIX METHODS,0.11624834874504623,"introduce different regularization techniques to relax the anchor point assumption. Additionally,
86"
TRANSITION MATRIX METHODS,0.11756935270805813,"[26, 38] apply techniques such as meta-learning to estimate the transition matrix, but these approaches
87"
TRANSITION MATRIX METHODS,0.11889035667107001,"may require more clean data and computational resources. While these methods are effective for
88"
TRANSITION MATRIX METHODS,0.1202113606340819,"handling class-dependent label noise, they are not suitable for instance-dependent noise or real-world
89"
TRANSITION MATRIX METHODS,0.1215323645970938,"noisy data.
90"
TRANSITION MATRIX METHODS,0.12285336856010567,"However, estimating an individual transition matrix for each sample without additional assumptions
91"
TRANSITION MATRIX METHODS,0.12417437252311757,"or multiple noisy labels is infeasible [20]. To approximate the estimation of the instance-dependent
92"
TRANSITION MATRIX METHODS,0.12549537648612946,"transition matrix, [9] utilize an adaptation layer that estimates the transition matrix based on the
93"
TRANSITION MATRIX METHODS,0.12681638044914134,"output of each sample. [37] employs a separate network to estimate the transition matrix based on
94"
TRANSITION MATRIX METHODS,0.12813738441215325,"Bayesian labels. Some methods, such as [33, 30, 41], employ clustering to learn part-dependent
95"
TRANSITION MATRIX METHODS,0.12945838837516513,"or group-dependent matrices, which can be viewed as a compromise between instance-dependent
96"
TRANSITION MATRIX METHODS,0.130779392338177,"and class-dependent methods. Other approaches, including [6, 12], utilize the similarity in the
97"
TRANSITION MATRIX METHODS,0.13210039630118892,"feature space to aid in learning the transition matrix. Although these instance-dependent transition
98"
TRANSITION MATRIX METHODS,0.1334214002642008,"matrix methods achieve identifiability through specialized treatments, they have not effectively
99"
TRANSITION MATRIX METHODS,0.13474240422721268,"utilized feature information in the learning process, resulting in errors in estimating feature-dependent
100"
TRANSITION MATRIX METHODS,0.13606340819022458,"transition matrices.
101"
DIFFUSION MODELS,0.13738441215323646,"2.2
Diffusion Models
102"
DIFFUSION MODELS,0.13870541611624834,"Diffusion models, as generative models, have played a significant role in computer vision [36, 7].
103"
DIFFUSION MODELS,0.14002642007926025,"Prominent examples include DDPM [11], DDIM [27], score matching methods [28], and methods
104"
DIFFUSION MODELS,0.14134742404227213,"based on stochastic differential equations [29]. Diffusion models and their variants have been applied
105"
DIFFUSION MODELS,0.142668428005284,"to various computer vision tasks such as image generation, image-to-image translation, text-to-image
106"
DIFFUSION MODELS,0.14398943196829592,"generation, among others. However, their application to the problem of label noise is relatively novel.
107"
DIFFUSION MODELS,0.1453104359313078,"To the best of our knowledge, only one existing work [3] has utilized diffusion models for addressing
108"
DIFFUSION MODELS,0.14663143989431968,"this problem. However, this work treats labels as the output of the diffusion model, which limits
109"
DIFFUSION MODELS,0.14795244385733158,"their expressive power due to the low dimension of the labels. Moreover, it overly relies on directly
110"
DIFFUSION MODELS,0.14927344782034346,"incorporating image features as conditions in the label generation process, which depends heavily on
111"
DIFFUSION MODELS,0.15059445178335534,"pre-trained models and may not be as reasonable as incorporating them into the transition matrix that
112"
DIFFUSION MODELS,0.15191545574636725,"reveals the process of noise generation. Experimental results also support this perspective.
113"
METHOD,0.15323645970937913,"3
Method
114"
METHOD,0.154557463672391,"In this section, we present the definitions of symbols and introduce our method of using Diffusion
115"
METHOD,0.15587846763540292,"models to construct the Transition Matrix (DTM).
116"
PRELIMINARIES,0.1571994715984148,"3.1
Preliminaries
117"
PRELIMINARIES,0.15852047556142668,"Let X ⊂Rd be the input image space, Y = {1, 2, · · · , C} be the label space, where C is the number
118"
PRELIMINARIES,0.15984147952443858,"of classes. Random variables (X, Y ), (X, ˜Y ) ∈X × Y denote the underlying data distributions
119"
PRELIMINARIES,0.16116248348745046,"with true and noisy labels respectively. In general, we can not observe the latent true data samples
120"
