Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0027247956403269754,"The word mover’s distance (WMD) is a fundamental technique for measuring
the similarity of two documents. As the crux of WMD, it can take advantage of
the underlying geometry of the word space by employing an optimal transport
formulation. The original study on WMD reported that WMD outperforms classical
baselines such as bag-of-words (BOW) and TF-IDF by signiﬁcant margins in
various datasets. In this paper, we point out that the evaluation in the original
study could be misleading. We re-evaluate the performances of WMD and the
classical baselines and ﬁnd that the classical baselines are competitive with WMD
if we employ an appropriate preprocessing, i.e., L1 normalization. In addition, We
introduce an analogy between WMD and L1-normalized BOW and ﬁnd that not
only the performance of WMD but also the distance values resemble those of BOW
in high dimensional spaces."
INTRODUCTION,0.005449591280653951,"1
INTRODUCTION Obama"
INTRODUCTION,0.008174386920980926,speaks media
INTRODUCTION,0.010899182561307902,Illinois
INTRODUCTION,0.013623978201634877,President
INTRODUCTION,0.01634877384196185,greets press
INTRODUCTION,0.01907356948228883,Chicago
INTRODUCTION,0.021798365122615803,"Obama speaks to the media in Illinois
vs The president greets the press in Chicago Obama"
INTRODUCTION,0.02452316076294278,speaks media
INTRODUCTION,0.027247956403269755,Illinois band gave
INTRODUCTION,0.02997275204359673,"concert
Japan"
INTRODUCTION,0.0326975476839237,"Obama speaks to the media in Illinois
vs The band gave a concert in Japan"
INTRODUCTION,0.035422343324250684,"Figure 1: Neither pair of texts
has common words. WMD
can choose a similar sen-
tence appropriately, whereas
the BOW distance cannot dis-
tinguish these cases."
INTRODUCTION,0.03814713896457766,"The optimal transport (OT) distance is an effective tool for comparing
probabilistic distributions. Applications of OT include image pro-
cessing (Ni et al., 2009; Rabin et al., 2011; De Goes et al., 2012),
natural language processing (NLP) (Kusner et al., 2015; Rolet et al.,
2016), biology (Schiebinger et al., 2019; Lozupone & Knight, 2005;
Evans & Matsen, 2012), and generative models (Arjovsky et al., 2017;
Salimans et al., 2018)."
INTRODUCTION,0.04087193460490463,"A prominent application of OT is the word mover’s distance (WMD)
(Kusner et al., 2015) for document comparison. WMD regards a doc-
ument as a probabilistic distribution of words, deﬁnes the underlying
word geometry using pre-trained word embeddings, and computes
the distance using the optimal transport distance between two word
distributions (i.e., documents). WMD is preferable because it takes
the underlying geometry into account. For example, bag-of-words
(BOW) will conclude that two documents are dissimilar if they have
no common words, whereas WMD will determine that they are similar
if the words are semantically similar (even if they are not exactly the
same), as illustrated in Figure 1."
INTRODUCTION,0.043596730245231606,"WMD has been widely used in NLP owing to this preferred property.
For example, Kusner et al. (2015) and others (Huang et al., 2016; Li
et al., 2019) used WMD for document classiﬁcation, Wu et al. (2018)
used WMD for computing document embeddings, Xu et al. (2018)
used WMD for topic modeling, Kilickaya et al. (2017) and others
(Clark et al., 2019; Zhao et al., 2019; 2020; Wang et al., 2020a; Gao
et al., 2020; Lu et al., 2019; Chen et al., 2020b) used WMD for evaluating text generation. Many
extensions have been proposed including supervised (Huang et al., 2016; Takezawa et al., 2021) and
fast (Le et al., 2019; Backurs et al., 2020; Genevay et al., 2016; Dong et al., 2020; Sato et al., 2020b)
variants. WMD is one of the fundamental tools used in NLP, and understanding the deep mechanism
of WMD is crucial for further applications."
INTRODUCTION,0.04632152588555858,"The most fundamental application of WMD is document classiﬁcation. The original study on WMD
(Kusner et al., 2015) conducted extensive experiments using kNN classiﬁers. Figure 2 shows the"
INTRODUCTION,0.04904632152588556,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.051771117166212535,"bbcsport
twitter
recipe
ohsumed
classic
reuters
amazon
20news
0 10 20 30 40 50 60 70"
INTRODUCTION,0.05449591280653951,"kNN classification error 21 22 4.6 44 33
29 59 53 43 61 63 44 36 35 2.8 14 29 3.5 28 42 7.4 58
54 27 BOW BOW BOW BOW BOW BOW BOW"
INTRODUCTION,0.05722070844686648,TF-IDF
INTRODUCTION,0.05994550408719346,TF-IDF
INTRODUCTION,0.06267029972752043,TF-IDF
INTRODUCTION,0.0653950953678474,TF-IDF
INTRODUCTION,0.0681198910081744,TF-IDF
INTRODUCTION,0.07084468664850137,TF-IDF
INTRODUCTION,0.07356948228882834,TF-IDF
INTRODUCTION,0.07629427792915532,TF-IDF WMD WMD WMD WMD
INTRODUCTION,0.07901907356948229,↓ better
INTRODUCTION,0.08174386920980926,"Figure 2: kNN classiﬁcation errors reported in the original WMD paper (Figure 3 in (Kusner et al.,
2015)). Lower is better. WMD outperformed the naive baselines by signiﬁcant margins."
INTRODUCTION,0.08446866485013624,"classiﬁcation errors reported in (Kusner et al., 2015). This ﬁgure clearly shows that WMD is superior
to classical baselines, BOW and TF-IDF1"
