Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0017241379310344827,"In this work, we explore combining automatic hyperparameter tuning and opti-
1"
ABSTRACT,0.0034482758620689655,"mization for federated learning (FL) in an online, one-shot procedure. We apply
2"
ABSTRACT,0.005172413793103448,"a principled approach on a method for adaptive client learning rate, number of
3"
ABSTRACT,0.006896551724137931,"local steps, and batch size. In our federated learning applications, our primary
4"
ABSTRACT,0.008620689655172414,"motivations are minimizing communication budget as well as local computational
5"
ABSTRACT,0.010344827586206896,"resources in the training pipeline. Conventionally, hyperparameter tuning meth-
6"
ABSTRACT,0.01206896551724138,"ods involve at least some degree of trial-and-error, which is known to be sample
7"
ABSTRACT,0.013793103448275862,"inefﬁcient. In order to address our motivations, we propose FATHOM (Federated
8"
ABSTRACT,0.015517241379310345,"AuTomatic Hyperparameter OptiMization) as a one-shot online procedure. We
9"
ABSTRACT,0.017241379310344827,"investigate the challenges and solutions of deriving analytical gradients with respect
10"
ABSTRACT,0.01896551724137931,"to the hyperparameters of interest. Our approach is inspired by the fact that we
11"
ABSTRACT,0.020689655172413793,"have full knowledge of all components involved in our training process, and this
12"
ABSTRACT,0.022413793103448276,"fact can be exploited in our algorithm impactfully. We show that FATHOM is
13"
ABSTRACT,0.02413793103448276,"more communication efﬁcient than Federated Averaging (FedAvg) with optimized,
14"
ABSTRACT,0.02586206896551724,"static valued hyperparameters, and is also more computationally efﬁcient overall.
15"
ABSTRACT,0.027586206896551724,"As a communication efﬁcient, one-shot online procedure, FATHOM solves the
16"
ABSTRACT,0.029310344827586206,"bottleneck of costly communication and limited local computation, by eliminat-
17"
ABSTRACT,0.03103448275862069,"ing a potentially wasteful tuning process, and by optimizing the hyperparamters
18"
ABSTRACT,0.032758620689655175,"adaptively throughout the training procedure without trial-and-error. We show
19"
ABSTRACT,0.034482758620689655,"our numerical results through extensive empirical experiments with the Federated
20"
ABSTRACT,0.03620689655172414,"EMNIST-62 (FEMNIST) and Federated Stack Overﬂow (FSO) datasets, using
21"
ABSTRACT,0.03793103448275862,"FedJAX as our baseline framework.
22"
INTRODUCTION,0.039655172413793106,"1
Introduction
23"
INTRODUCTION,0.041379310344827586,"Federated learning (FL) for on-device applications has its obvious social implications, due to its
24"
INTRODUCTION,0.04310344827586207,"inherent privacy-protection feature. It opens up a broad range of opportunities to allow a massive
25"
INTRODUCTION,0.04482758620689655,"number of devices to collaborate in developing a shared model by retaining private data on the
26"
INTRODUCTION,0.04655172413793104,"devices. The ubiquity of machine learning (ML) on consumer data, coupled with the growth of privacy
27"
INTRODUCTION,0.04827586206896552,"concerns, has pushed researchers and developers to look for new ways to protect and beneﬁt end-users.
28"
INTRODUCTION,0.05,"In order for FL to deliver its promise in deployed applications, there are still many open challenges
29"
INTRODUCTION,0.05172413793103448,"remained to be solved. We are especially interested in the overall communication efﬁciency of the FL
30"
