Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0008130081300813008,"Searching through chemical space is an exceptionally challenging problem
1"
ABSTRACT,0.0016260162601626016,"because the number of possible molecules grows combinatorially with the
2"
ABSTRACT,0.0024390243902439024,"number of atoms. Large, autoregressive models trained on databases of chem-
3"
ABSTRACT,0.0032520325203252032,"ical compounds have yielded powerful generators, but we still lack robust
4"
ABSTRACT,0.0040650406504065045,"strategies for generating molecules with desired properties. This molecular
5"
ABSTRACT,0.004878048780487805,"search problem closely resembles the “alignment” problem for large lan-
6"
ABSTRACT,0.005691056910569106,"guage models, though for many chemical tasks we have a specific and easily
7"
ABSTRACT,0.0065040650406504065,"evaluable reward function. Here, we introduce an algorithm called energy
8"
ABSTRACT,0.007317073170731708,"rank alignment (ERA) that leverages an explicit reward function to produce
9"
ABSTRACT,0.008130081300813009,"a gradient-based objective that we use to optimize autoregressive policies.
10"
ABSTRACT,0.00894308943089431,"We show theoretically that this algorithm is closely related to proximal pol-
11"
ABSTRACT,0.00975609756097561,"icy optimization (PPO) and direct preference optimization (DPO), but has a
12"
ABSTRACT,0.01056910569105691,"minimizer that converges to an ideal Gibbs-Boltzmann distribution with the
13"
ABSTRACT,0.011382113821138212,"reward playing the role of an energy function. Furthermore, this algorithm is
14"
ABSTRACT,0.012195121951219513,"highly scalable, does not require reinforcement learning, and performs well
15"
ABSTRACT,0.013008130081300813,"relative to DPO when the number of preference observations per pairing is
16"
ABSTRACT,0.013821138211382113,"small. We deploy this approach to align molecular transformers to generate
17"
ABSTRACT,0.014634146341463415,"molecules with externally specified properties and find that it does so robustly,
18"
ABSTRACT,0.015447154471544716,"searching through diverse parts of chemical space. While our focus here is on
19"
ABSTRACT,0.016260162601626018,"chemical search, we also obtain excellent results on an AI supervised task for
20"
ABSTRACT,0.01707317073170732,"LLM alignment, showing that the method is scalable and general.
21"
INTRODUCTION,0.01788617886178862,"1
Introduction
22"
INTRODUCTION,0.01869918699186992,"Large language models (LLMs) are trained on large corpora of text to autoregressively generate
23"
INTRODUCTION,0.01951219512195122,"outputs. These models strongly reflect the distribution of the data on which they are trained [21],
24"
INTRODUCTION,0.02032520325203252,"and controlling the outputs to reflect externally imposed preferences is an increasingly important
25"
INTRODUCTION,0.02113821138211382,"challenge for deployment. The aforementioned task, often called “alignment”, requires either careful
26"
INTRODUCTION,0.02195121951219512,"curation of training data or large sets of human preference data—both options are labor-intensive [9].
27"
INTRODUCTION,0.022764227642276424,"Reinforcement learning from human feedback (RLHF), a family of algorithms that employs these
28"
INTRODUCTION,0.023577235772357725,"human preference datasets, has been widely employed to align instruction and chat models [21, 5],
29"
INTRODUCTION,0.024390243902439025,"but it is both expensive to acquire the training data and difficult to carry out in practice [9]. Recent
30"
INTRODUCTION,0.025203252032520326,"algorithmic developments, such as direct preference optimization (DPO) [25], simplify the alignment
31"
INTRODUCTION,0.026016260162601626,"framework by making the reward function implicit, but still require human preference data. While
32"
INTRODUCTION,0.026829268292682926,"these algorithms succeed in constraining outputs, many “alignment”-like tasks require evaluation that
33"
INTRODUCTION,0.027642276422764227,"would be difficult for human evaluators.
34"
INTRODUCTION,0.028455284552845527,"Generative sampling problems seeking to optimize a reward are common in chemistry, where
35"
INTRODUCTION,0.02926829268292683,"comparing small molecules using a particular functional assay or computationally accessible property
36"
INTRODUCTION,0.03008130081300813,"is often far easier than searching chemical space to identify novel compounds. Recent efforts to build
37"
INTRODUCTION,0.030894308943089432,"large, domain-specific models for chemistry [10] have shown promising performance on both property
38"
INTRODUCTION,0.03170731707317073,"prediction and reaction prediction tasks. Nevertheless, just as with LLMs, leveraging these models
39"
INTRODUCTION,0.032520325203252036,"for molecule optimization requires first guiding “unaligned” models to favor important properties
40"
INTRODUCTION,0.03333333333333333,"like synthetic accessibility or solubility. Here, we seek to productively search chemical space using
41"
INTRODUCTION,0.03414634146341464,"transformers by introducing a new preference optimization algorithm, which we call energy rank
42"
INTRODUCTION,0.034959349593495934,"alignment.
43"
INTRODUCTION,0.03577235772357724,"Our contribution:
We formulate a generic alignment algorithm that we call Energy Rank Alignment
44"
INTRODUCTION,0.036585365853658534,"or ERA that leverages an explicit reward function to guide autoregressive sampling while targeting
45"
INTRODUCTION,0.03739837398373984,"specific properties or preferences. Unlike reward maximization in RL-based algorithms, the policy
46"
INTRODUCTION,0.038211382113821135,"that minimizes our objective is designed to sample fluctuations around a maximal reward value to
47"
INTRODUCTION,0.03902439024390244,"promote sample diversity. Our algorithm enables direct gradient-based optimization of a policy to
48"
INTRODUCTION,0.03983739837398374,"match the ideal preference distribution and converges asymptotically to an optimal distribution with
49"
INTRODUCTION,0.04065040650406504,"tuneable entropy and controllable regularization, which we show theoretically. The minimizers of our
50"
INTRODUCTION,0.041463414634146344,"objective are closely related to the minimizer of PPO and DPO, but we have more direct control over
51"
INTRODUCTION,0.04227642276422764,"the influence of the regularization relative to fluctuations around the maximum reward. In numerical
52"
INTRODUCTION,0.043089430894308944,"experiments, we demonstrate that this algorithm successfully aligns a molecule transformer model to
53"
INTRODUCTION,0.04390243902439024,"identify a highly diverse set of chemicals with properties favored by our choice of reward. Finally, we
54"
INTRODUCTION,0.044715447154471545,"also show that we obtain competitive performance with ERA on benchmark LLM alignment tasks,
55"
INTRODUCTION,0.04552845528455285,"but emphasize that the chemical applications are the main focus of this paper.
56"
INTRODUCTION,0.046341463414634146,"Target 
Property"
INTRODUCTION,0.04715447154471545,"Generated 
Molecules"
INTRODUCTION,0.04796747967479675,High Ring Count
INTRODUCTION,0.04878048780487805,"High 
Polarizability"
INTRODUCTION,0.04959349593495935,High Drug-
INTRODUCTION,0.05040650406504065,likeness
INTRODUCTION,0.05121951219512195,"High 
Hydrophobicity y|x"
INTRODUCTION,0.05203252032520325,º?(y|x) 10°2 10°1 100 101 102 ∞
INTRODUCTION,0.052845528455284556,Z°1e°ØU ºref
INTRODUCTION,0.05365853658536585,"Figure 1: Energy rank alignment (ERA) enables targeting low-energy, high-reward regions with
controllable fluctuations. Optimal policy approaches Boltzmann distribution with low regularization
(γ →0) and reference policy with high regularization (γ →∞) (left). Aligned models can be used
to sample molecules with desired chemical properties (right)."
RELATED WORK,0.05447154471544716,"1.1
Related Work
57"
