Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0008116883116883117,"Deep Learning in Image Registration (DLIR) methods have been tremendously
1"
ABSTRACT,0.0016233766233766235,"successful in image registration due to their speed and ability to incorporate weak
2"
ABSTRACT,0.002435064935064935,"label supervision at training time. However, DLIR methods forego many of the
3"
ABSTRACT,0.003246753246753247,"benefits of classical optimization-based methods. The functional nature of deep
4"
ABSTRACT,0.004058441558441558,"networks do not guarantee that the predicted transformation is a local minima
5"
ABSTRACT,0.00487012987012987,"of the registration objective, the representation of the transformation (displace-
6"
ABSTRACT,0.005681818181818182,"ment/velocity field/affine) is fixed, and the networks are not robust to domain shift.
7"
ABSTRACT,0.006493506493506494,"Our method aims to bridge this gap between classical and learning methods by
8"
ABSTRACT,0.007305194805194805,"incorporating optimization as a layer in a deep network. A deep network is trained
9"
ABSTRACT,0.008116883116883116,"to predict multi-scale dense feature images that are registered using a black box
10"
ABSTRACT,0.008928571428571428,"iterative optimization solver. This optimal warp is then used to minimize image and
11"
ABSTRACT,0.00974025974025974,"label alignment errors. By implicitly differentiating end-to-end through an iterative
12"
ABSTRACT,0.010551948051948052,"optimization solver, our learned features are registration and label-aware, and the
13"
ABSTRACT,0.011363636363636364,"warp functions are guaranteed to be local minima of the registration objective
14"
ABSTRACT,0.012175324675324676,"in the feature space. Our framework shows excellent performance on in-domain
15"
ABSTRACT,0.012987012987012988,"datasets, and is agnostic to domain shift such as anisotropy and varying inten-
16"
ABSTRACT,0.013798701298701298,"sity profiles. For the first time, our method allows switching between arbitrary
17"
ABSTRACT,0.01461038961038961,"transformation representations (free-form to diffeomorphic) at test time with zero
18"
ABSTRACT,0.015422077922077922,"retraining. End-to-end feature learning also facilitates interpretability of features,
19"
ABSTRACT,0.016233766233766232,"and out-of-the-box promptability using additional label-fidelity terms at inference.
20"
INTRODUCTION,0.017045454545454544,"1
Introduction
21"
INTRODUCTION,0.017857142857142856,"Deformable Image Registration (DIR) refers to the local, non-linear alignment of images by estimating
22"
INTRODUCTION,0.018668831168831168,"a dense displacement field. Many workflows in medical image analysis require images to be in a
23"
INTRODUCTION,0.01948051948051948,"common coordinate system for comparison, analysis, and visualization, including comparing inter-
24"
INTRODUCTION,0.020292207792207792,"subject data in neuroimaging [53, 104, 97, 38, 89, 94], biomechanics and dynamics of anatomical
25"
INTRODUCTION,0.021103896103896104,"structures including myocardial motions, airflow and pulmonary function in lung imaging, organ
26"
INTRODUCTION,0.021915584415584416,"motion tracking in radiation therapy [78, 77, 11, 70, 29, 105, 50, 18, 71, 84], and life sciences
27"
INTRODUCTION,0.022727272727272728,"research [112, 104, 99, 80, 98, 72, 17].
28"
INTRODUCTION,0.02353896103896104,"Classical DIR methods are based on solving a variational optimization problem, where a similarity
29"
INTRODUCTION,0.024350649350649352,"metric is optimized to find the best transformation that aligns the images. However, these methods are
30"
INTRODUCTION,0.025162337662337664,"typically slow, and cannot leverage learning to incorporate a training set containing weak supervision
31"
INTRODUCTION,0.025974025974025976,"such as anatomical landmarks or expert annotations. The quality of the registration is therefore
32"
INTRODUCTION,0.026785714285714284,"limited by the fidelity of the intensity image. Deep Learning for Image Registration (DLIR) is an
33"
INTRODUCTION,0.027597402597402596,"interesting paradigm to overcome these challenges. DLIR methods take a pair of images as input
34"
INTRODUCTION,0.028409090909090908,"to a neural network and output a warp field that aligns the images, and their associated anatomical
35"
INTRODUCTION,0.02922077922077922,"landmarks. The neural network parameters are trained to minimize the alignment loss over image
36"
INTRODUCTION,0.030032467532467532,"pairs and landmarks in a training set. A benefit of this method is the ability to incorporate weak
37"
INTRODUCTION,0.030844155844155844,"supervision like anatomical landmarks or expert annotations during training, which performs better
38"
INTRODUCTION,0.03165584415584415,"landmark alignment without access to landmarks at inference time.
39"
INTRODUCTION,0.032467532467532464,"Motivation. However, DLIR methods face several limitations. First, the prediction paradigm of
40"
INTRODUCTION,0.033279220779220776,"deep learning implies the feature learning and amortized optimization steps are fused; transformations
41"
INTRODUCTION,0.03409090909090909,"predicted at test-time may not even be a local minima of the alignment loss between the fixed and
42"
INTRODUCTION,0.0349025974025974,"moving image. The end-to-end prediction also implies that the representation of the transforma-
43"
INTRODUCTION,0.03571428571428571,"tion is fixed (as a design choice of the network), and the model cannot switch between different
44"
INTRODUCTION,0.036525974025974024,"representations like free-form, stationary velocity, geodesic, LDDMM, B-Splines, or affine at test
45"
INTRODUCTION,0.037337662337662336,"time without additional finetuning, in sharp contrast to the flexibility of classical methods. Typical
46"
INTRODUCTION,0.03814935064935065,"registration workflows require a practitioner to try different parameterizations of the transformation
47"
INTRODUCTION,0.03896103896103896,"(free-form, stationary velocity, geodesic, LDDMM, B-Splines, affine) to determine the representation
48"
INTRODUCTION,0.03977272727272727,"most suitable for their application and additional retraining becomes expensive. Moreover, design
49"
