Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0049261083743842365,"Offline meta-reinforcement learning (OMRL) utilizes pre-collected offline datasets
to enhance the agent’s generalization ability on unseen tasks. However, the context
shift problem arises due to the distribution discrepancy between the contexts used
for training (from the behavior policy) and testing (from the exploration policy).
The context shift problem leads to incorrect task inference and further deteriorates
the generalization ability of the meta-policy. Existing OMRL methods either
overlook this problem or attempt to mitigate it with additional information. In this
paper, we propose a novel approach called Context Shift Reduction for OMRL
(CSRO) to address the context shift problem with only offline datasets. The key
insight of CSRO is to minimize the influence of policy in context during both the
meta-training and meta-test phases. During meta-training, we design a max-min
mutual information representation learning mechanism to diminish the impact of
the behavior policy on task representation. In the meta-test phase, we introduce the
non-prior context collection strategy to reduce the effect of the exploration policy.
Experimental results demonstrate that CSRO significantly reduces the context shift
and improves the generalization ability, surpassing previous methods across various
challenging domains."
INTRODUCTION,0.009852216748768473,"1
Introduction"
INTRODUCTION,0.014778325123152709,"Meta-Reinforcement Learning (RL) has made significant strides in enhancing agents’ generalization
capabilities for unseen tasks. Meta-RL methods [6, 5, 27] leverage vast amounts of trajectories
gathered across a task set during the meta-training phase to learn the shared structures of tasks.
During meta-testing, these meta-RL methods exhibit swift adaptation to new tasks with a limited
number of trials. Context-based meta-RL methods [27, 39, 7] have emerged as the most popular
approaches, showcasing remarkable performance and rapid task adaptation. These methods first
acquire task information by learning a task representation from the context (i.e., the set of transitions)
and subsequently condition the policy on the task representation to execute appropriate actions."
INTRODUCTION,0.019704433497536946,∗Corresponding Author.
INTRODUCTION,0.024630541871921183,"Due to the requirement of a vast number of trajectories sampled from a task set, data collection in
meta-RL can be both expensive and time-consuming. Offline RL [17, 32, 14] presents a potential
solution to mitigate the cost of data collection. These methods only utilize large datasets that
were previously collected by some policies (referred to as the behavior policy), without any online
interaction with the environment during the training phase."
INTRODUCTION,0.029556650246305417,"By combining meta-RL and offline RL, offline meta-reinforcement learning (OMRL) [18, 20, 37]
amalgamates the benefits of generalization ability on unseen tasks and training without requiring
interaction with the environment. During meta-training, both the acquisition of task representation
and the training of the policy utilize pre-collected offline trajectories obtained from the task-dependent
behavior policy."
INTRODUCTION,0.034482758620689655,"However, OMRL faces a context shift problem: a distribution discrepancy arises between the context
obtained from the behavior policy during meta-training and the context collected from the exploration
policy during meta-testing [26]. Given that the task representation is learned from the context, this
context shift problem hinders the accurate inference of task information by the task representation.
Consequently, this leads to a decline in performance when adapting to unseen tasks. As shown in
Table 1, we compared the test results of FOCAL [20] and OffPearl [27] in two different environments
and found that context shift significantly reduced testing performance."
INTRODUCTION,0.03940886699507389,"Existing OMRL methods primarily aim to incorporate the benefits of offline RL into meta-RL, but
they do not fully address the context shift problem. Some approaches [20, 21, 19] utilize pre-
collected offline datasets from the test tasks to acquire task representation, disregarding the context
shift problem. However, this approach is impractical as obtaining pre-collected offline datasets for
new and unseen tasks is extremely challenging. Other methods attempt to mitigate the context shift
problem but require additional information beyond the use of offline datasets alone. For instance, [4]
assumes that the reward functions of all tasks are known, [26] requires the collection of a substantial
volume of online data post offline training."
INTRODUCTION,0.04433497536945813,"In this paper, we introduce a novel approach called Context Shift Reduction for OMRL (CSRO)
to address the context shift problem using only offline datasets. The key insight of CSRO is to
minimize the impact of the policy in context during both the meta-training and meta-test phases.
Firstly, the context is collected from the task-dependent behavior policy, as depicted in Figure 1 left.
When encoding the context into the task representation during meta-training, the task representation
tends to embed the characteristics of the behavior policy. This incorrect task inference during the
meta-test phase stems from the disparity between the behavior policy and the exploration policy.
Hence, our objective is to reduce the influence of the behavior policy on task representation during
the meta-training phase. To achieve this, we design a max-min mutual information representation
learning mechanism that minimizes the mutual information between the task representation and the
behavior policy, while maximizing the mutual information between the task representation and the
task information. During the meta-test, the current exploration policy of OMRL [27, 4, 26] conditions
on an initial task representation. The collected context corresponds to the policy of the initial task
representation, which significantly differs from the behavior policy, as shown in Figure 1 middle.
This context leads to incorrect task inference and control, as depicted in Figure 1 right. Therefore, we
propose the non-prior context collection strategy to reduce the impact of the exploration strategy. In
practice, the agent initially explores the task independently and randomly at each step, then the agent
proceeds to explore based on the context. Through random exploration, the agent initially gains a
preliminary understanding of the task and gradually enhances the accuracy of task recognition during
subsequent exploratory steps."
INTRODUCTION,0.04926108374384237,"Experimentally, we compare the proposed CSRO with previous OMRL algorithms. For a fair
comparison, we use the same offline backbone algorithm and the same offline data for environments
including Point-Robot and MuJoCo physics simulator [29] with reward or dynamic function changes.
Experimental results demonstrate that the proposed CSRO can effectively mitigate the context shift
problem and enhance the generalization capabilities, outperforming prior methods on a range of
challenging domains."
RELATED WORKS,0.054187192118226604,"2
Related Works"
RELATED WORKS,0.059113300492610835,"Meta Reinforcement Learning.
Meta-RL leverages training task sets sampled from the task
distribution to learn and generalize to new tasks. Gradient-based meta-RL [6, 33] methods seek"
RELATED WORKS,0.06403940886699508,"Table 1: Context shift leads to testing performance decline. Context A refers to the use of offline data
collected by behavior policy as the context during testing, with no context shift problem. Context B,
on the other hand, involves using a trained meta-policy to explore and collect context based on an
initial task representation, resulting in a context shift problem."
