Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.004132231404958678,"Unsupervised image Anomaly Detection (UAD) aims to learn robust and discrimi-
native representations of normal samples. While separate solutions per class endow
expensive computation and limited generalizability, this paper focuses on build-
ing a unified framework for multiple classes. Under such a challenging setting,
popular reconstruction-based networks with continuous latent representation as-
sumption always suffer from the ""identical shortcut"" issue, where both normal and
abnormal samples can be well recovered and difficult to distinguish. To address
this pivotal issue, we propose a hierarchical vector quantized prototype-oriented
Transformer under a probabilistic framework. First, instead of learning the con-
tinuous representations, we preserve the typical normal patterns as discrete iconic
prototypes, and confirm the importance of Vector Quantization in preventing the
model from falling into the shortcut. The vector quantized iconic prototypes are
integrated into the Transformer for reconstruction, such that the abnormal data
point is flipped to a normal data point. Second, we investigate an exquisite hi-
erarchical framework to relieve the codebook collapse issue and replenish frail
normal patterns. Third, a prototype-oriented optimal transport method is proposed
to better regulate the prototypes and hierarchically evaluate the abnormal score.
By evaluating on MVTec-AD and VisA datasets, our model surpasses the state-of-
the-art alternatives and possesses good interpretability. The code is available at
https://github.com/RuiyingLu/HVQ-Trans."
INTRODUCTION,0.008264462809917356,"1
Introduction"
INTRODUCTION,0.012396694214876033,"Anomaly detection is an essential task with increasingly wide applications in various areas, such as
video surveillance [1], industrial inspection [2], and medical image analysis [3]. Due to the scarcity
of anomalous samples, the unsupervised anomaly detection [4–7] methods gain wide attention by
modeling the distribution of normal data only, and then identify the samples deviates from the normal
profile as anomalies. Common approaches follow the one-for-one scheme [8, 9] by training separate
models for different classes of objects, which is time-memory-consuming for real application and
uncongenial to the object class with large intra-class diversity. Recently, a newly emerging one-for-all
scheme [10] tries to use a unified model to detect anomalies from all the different object classes
without any fine-tuning. Modeling high-dimensional data is notoriously challenging, and the problem
becomes even more difficult to capture the multi-class distribution in a unified model precisely."
INTRODUCTION,0.01652892561983471,"†Equal Contribution
* Corresponding Author"
INTRODUCTION,0.02066115702479339,"Under the unsupervised setting, a powerful approach to modeling data distribution follows the deep
autoencoding frameworks, reckoning that a well-trained model with normal data will always recon-
struct normal patterns regardless of the defects present in the input data. Thus, it is generally assumed
that the reconstruction error will be larger for the anomalous input, making them distinguishable from
the normal samples. However, this assumption may not always hold that sometimes the abnormal
inputs can also be well reconstructed, which is named as ""identical shortcut"" issue [9–11]. Intuitively,
compared to working extremely hard to learn the joint distribution, returning a direct copy of the
input disregarding its content appears as a far easier solution. This phenomenon has been observed in
existing researches [4, 9]. Furthermore, under the unified case, the ""identical shortcut"" issue becomes
even more severe as the distribution of multi-class data is more complex [10]. This motivates us to
enhance the discriminability of model encountering normal and anomalous samples."
INTRODUCTION,0.024793388429752067,"Learning representations with continuous features have been the focus of many previous works [12–
14]. However, these methods lack a reliable mechanism to encourage the model to induce large
reconstruction error on the anomalies, restricting the performances by the under-designed represen-
tation of the latent space. In recent researches, a branch of approaches [8, 9, 15] investigate the
memory-augmented networks for mitigating the ""identical shortcut"" issue of AEs. Those approaches
augment the deep autoencoder with a memory module to record the normal patterns in the normal
training data, manifesting in different forms such as the memory set in the latent space [9], the fixed
Transformer value matrix in the attention layer [10], or neighborhood-aware patch-level memory
bank [8]. This kind of method hopes to obtain low reconstruction error for normal samples and
highlight the reconstruction error if the input is not similar to normal data, that is, an anomaly. The
most relevant items in the memory are retrieved and weighted averaging all the related memory
content are aggregated into the decoder for reconstruction. However, the discrete memory items are
recombined and weighted averaged, falling into an unknown continuous latent space which might be
distorted. Intuitively, some anomalous regions can not be reconstructed by the discrete latent memory
but could be decoded from the unknown latent space. To intrinsically mitigate the problems, we aim
to learn a representative and discriminative discrete latent space for anomaly detection."
INTRODUCTION,0.028925619834710745,"hazelnut
(anomaly)"
INTRODUCTION,0.03305785123966942,"hazelnut
(normal)"
INTRODUCTION,0.0371900826446281,reconstruct
