Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.001597444089456869,"Learning efﬁciently a causal model of the environment is a key challenge of
model-based RL agents operating in POMDPs. We consider here a scenario
where the learning agent has the ability to collect online experiences through direct
interactions with the environment (interventional data), but also has access to a large
collection of ofﬂine experiences, obtained by observing another agent interacting
with the environment (observational data). A key ingredient, which makes this
situation non-trivial, is that we allow the observed agent to act based on privileged
information, hidden from the learning agent. We then ask the following questions:
can the online and ofﬂine experiences be safely combined for learning a causal
transition model ? And can we expect the ofﬂine experiences to improve the agent’s
performances ? To answer these, ﬁrst we bridge the ﬁelds of reinforcement learning
and causality, by importing ideas from the well-established causal framework
of do-calculus, and expressing model-based reinforcement learning as a causal
inference problem. Second, we propose a general yet simple methodology for
safely leveraging ofﬂine data during learning. In a nutshell, our method relies on
learning a latent-based causal transition model that explains both the interventional
and observational regimes, and then inferring the standard POMDP transition
model via deconfounding using the recovered latent variable. We prove our method
is correct and efﬁcient in the sense that it attains better generalization guarantees
due to the ofﬂine data (in the asymptotic case), and we assess its effectiveness
empirically on a series of synthetic toy problems."
INTRODUCTION,0.003194888178913738,"1
INTRODUCTION"
INTRODUCTION,0.004792332268370607,"As human beings, a key ingredient in our learning process is experimentation: we perform actions
in our environment and we measure their outcomes. Another ingredient, maybe less understood, is
observation: we observe the behaviour of others acting and evolving in the environment, be it people,
animals, or even plants. It is well-known that observation alone is not sufﬁcient to infer how our
environment works, or more precisely to predict the outcome of our actions, especially when the
behaviours we observe depend on hidden information1. And yet a whole ﬁeld of science, astronomy,
heavily relies on the observation of celestial bodies in the sky, on which experimentation is virtually
impossible. So which role exactly does observation play during learning ? And in particular, how do
we combine observation and experimentation ?"
INTRODUCTION,0.006389776357827476,"In the context of reinforcement learning (RL), a related question is the combination of ofﬂine data,
resulting from observations, with online data resulting from experimentation, in order to improve the
performance of a learning agent. In the Markov Decision Process (MDP) setting, where the agent
observes the entire state of the environment, the answer is straightforward and practical solutions exist,
leading to the fastly growing ﬁeld of ofﬂine reinforcement learning [17; 18] where large databases of
demonstrations can be efﬁciently leveraged. In the more general Partially-Observable MDP (POMDP)
setting however, the question turns out to be much more challenging. A typical example is in the
context of medicine, where ofﬂine data is collected from physicians who may rely on information
absent from their patient’s medical records, such as their wealthiness or their lifestyle. Suppose that
wealthy patients in general get prescribed speciﬁc treatments by their physicians, because they can"
INTRODUCTION,0.007987220447284345,"1Simply put, correlation does not imply causation. Or, citing Pearl [24], “behind every causal conclusion
there must lie some causal assumption that is not testable in observational studies”."
INTRODUCTION,0.009584664536741214,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.011182108626198083,"afford it, while being less at risk to develop severe conditions regardless of their treatment, because
they can also afford a healthier lifestyle. This creates a spurious correlation called confounding, and
will cause a naive recommender system to wrongly infer that a treatment has positive health effects. A
second example is in the context of autonomous driving, where ofﬂine data is collected from human
drivers who have a wider ﬁeld of vision than the camera on which the robot driver relies. Suppose
human drivers push the brakes when they see a person waiting to cross the street, and only when the
person walks in front of the car it enters the camera’s ﬁeld of vision. Then, again, a naive robot might
wrongly infer from its observations that whenever brakes are pushed, a person appears in front of
the car. Suppose now that the robot’s objective is to avoid collisions with pedestrians, they it might
get regrettably reluctant to push the brakes. Of course, in both those situations, the learning agent
will eventually infer the right causal effects of its actions if it collects enough online data from its
own interactions. However, in both those situations also, performing many interventions for the sole
purpose of seeing what happens is not really realistic, while collecting ofﬂine data by observing the
behaviour of human agents is much more affordable."
INTRODUCTION,0.012779552715654952,"In this paper we study the question of combining ofﬂine and online data under the Partially-Observable
Markov Decision Process (POMDP) setting, by importing tools and ideas from the well-established
ﬁeld of causality [23] into the model-based RL framework. Our contribution is three-fold:"
WE FORMALIZE MODEL-BASED RL AS A CAUSAL INFERENCE PROBLEM USING THE FRAMEWORK OF DO-,0.01437699680511182,"1. We formalize model-based RL as a causal inference problem using the framework of do-
calculus [25], which allows us to reason formally about online and ofﬂine scenarios in an
intuitive manner (Section 3)."
WE FORMALIZE MODEL-BASED RL AS A CAUSAL INFERENCE PROBLEM USING THE FRAMEWORK OF DO-,0.01597444089456869,"2. We present a generic method for combining ofﬂine and online data in model-based RL
(Section 4), with a formal proof of correctness even when the ofﬂine policy relies on
privileged hidden information (confounding variable), and a proof of efﬁciency in the
asymptotic case (with respect to using online data only)."
WE FORMALIZE MODEL-BASED RL AS A CAUSAL INFERENCE PROBLEM USING THE FRAMEWORK OF DO-,0.01757188498402556,"3. We propose a practical implementation of our method, and illustrate its effectiveness on
three experiments with synthetic toy problems (Section 6)."
WE FORMALIZE MODEL-BASED RL AS A CAUSAL INFERENCE PROBLEM USING THE FRAMEWORK OF DO-,0.019169329073482427,"While our proposed method can be formulated outside of the framework of do-calculus, in this paper
we hope to demonstrate that it offers a principled and intuitive tool to reason about model-based RL.
By relating common concepts from RL and causality, we wish that our contribution will ultimately
help to bridge the gap between the two communities."
BACKGROUND,0.020766773162939296,"2
BACKGROUND"
NOTATION,0.022364217252396165,"2.1
NOTATION"
NOTATION,0.023961661341853034,"In this paper, upper-case letters in italics denote random variables (e.g. X, Y ), while their lower-case
counterpart denote their value (e.g. x, y) and their calligraphic counterpart their domain (e.g., x ∈X).
We consider only discrete random variables. To keep our notation uncluttered, with a slight abuse
of notations and use p(x) to denote sometimes the event probability p(X = x), and sometimes
the whole probability distribution of X, which should be clear from the context. In the context of
sequential models we also distinguish random variables with a temporal index t, which might be ﬁxed
(e.g., o0, o1 ), or undeﬁned (e.g., p(st+1|st, at) denotes at the same time the distributions p(s1|s0, a0)
and p(s2|s1, a1)). We also adopt a compact notation for sequences of contiguous variables (e.g.,
s0→T = (s0, . . . , sT ) ∈ST +1 ), and for summations over sets (P"
NOTATION,0.025559105431309903,"x∈X ⇐⇒PX
x ). We assume the
reader is familiar with the concepts of conditional independence (X ⊥⊥Y | Z) and probabilistic
graphical models based on directed acyclic graphs (DAGs), which can be found in most introductory
textbooks, e.g. Pearl [22]; Studeny [29]; Koller and Friedman [15]. In the following we will use
do-calculus to derive formal solutions to model-based RL in various POMDP settings. We refer the
reader to Pearl [25] for a thorough introduction, and give a description of rules R1, R2 and R3 used
in our derivations in the appendix (Section A.1)."
PARTIALLY-OBSERVABLE MARKOV DECISION PROCESS,0.027156549520766772,"2.2
PARTIALLY-OBSERVABLE MARKOV DECISION PROCESS"
PARTIALLY-OBSERVABLE MARKOV DECISION PROCESS,0.02875399361022364,"We consider Partially-Observable Markov Decision Processes (POMDPs) of the form M =
(S, O, A, pinit, pobs, ptrans, r), with hidden states s ∈S, observations o ∈O, actions a ∈A, ini-"
PARTIALLY-OBSERVABLE MARKOV DECISION PROCESS,0.03035143769968051,Under review as a conference paper at ICLR 2022
