Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.003205128205128205,"Recently, positional encoding of input coordinates has been found crucial to en-
able learning of high-frequency functions with multilayer perceptrons taking low-
dimensional coordinate values. In this setting, sinusoids are typically used as a ba-
sis for the encoding, which is commonly referred to as “Fourier Features”. How-
ever, using sinusoids as a basis assumes that the input coordinates lie on Euclidean
space. In this work, we generalize positional encoding with Fourier features to
non-Euclidean manifolds. We find appropriate bases for positional encoding on
manifolds through generalizations of Fourier series. By ensuring the encodings lie
on a hypersphere and that the appropriate shifts on the manifold preserve inner-
products between encodings, our model approximates convolutions on the mani-
fold, according to the neural tangent kernel (NTK) assumptions. We demonstrate
our method on various tasks on different manifolds: 1) learning panoramas on the
sphere, 2) learning probability distributions on the rotation manifold, 3) learning
neural radiance fields on the product of cube and sphere, and 4) learning light
fields represented as the product of spheres."
INTRODUCTION,0.00641025641025641,"1
INTRODUCTION"
INTRODUCTION,0.009615384615384616,"Recent breakthroughs on learning representations of 3D shapes (Mescheder et al., 2019; Park et al.,
2019; Sitzmann et al., 2019) or scenes (Mildenhall et al., 2020) employ the so-called “coordinate-
based” networks, which take low-dimensional coordinates as inputs and approximate a continuous
function. These are sometimes called “implicit models”, when the approximated function implicitly
represents the desired output; a typical example is using a signed distance function to represent a 3D
shape (Park et al., 2019)."
INTRODUCTION,0.01282051282051282,"Perhaps the most important recent advancement in this line of research is NeRF (Mildenhall et al.,
2020). One of the reasons for NeRF’s impressive performance is the positional encoding of input
coordinates using sinusoidals of various frequencies, a technique that has been widely adopted (Liu
et al., 2020; Schwarz et al., 2020; Yariv et al., 2020) and studied (Tancik et al., 2020; Zheng et al.,
2021). The sinusoidals typically used for positional encoding are elements of orthonormal bases for
functions on Euclidean spaces. Our key observation is that, to generalize this idea to non-Euclidean
manifolds, we should use orthonormal basis functions on the manifold."
INTRODUCTION,0.016025641025641024,"Figure 1 (middle) illustrates the evaluation of the Euclidean basis functions on spherical coordinates,
which break orthogonality, results in uneven frequency distribution and singularities near the poles.
The spherical harmonics are orthonormal basis functions for the sphere and do not exhibit these
undesired properties."
INTRODUCTION,0.019230769230769232,"NeRF (Mildenhall et al., 2020) and subsequent works avoid the problem just described by
parametrizing the view direction as a unit vector in R3 instead of two angles.
We ar-
gue that this overparametrization unnecessarily increases the dimensionality of the problem,
since the number of basis functions for a fixed bandwidth b grows exponentially with the
number of dimensions d.
Another relevant example is IPDF (Murphy et al., 2021), which
takes inputs on the 3-dimensional manifold SO(3) in the form of a flattened rotation ma-
trix (a vector in R9), and applies positional encoding by sparsely sampling the space of
O(b9) basis elements.
We show that our approach improve results for both NeRF and IPDF."
INTRODUCTION,0.022435897435897436,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.02564102564102564,"Figure 1: On Euclidean spaces, sinusoids form
an orthonormal basis (left) and are used for po-
sitional encoding in coordinate-based MLPs. The
same functions, when applied to other manifold,
are distorted and not orthogonal. We propose to
use orthonormal basis functions for the underlying
manifold for positional encoding. For the sphere,
we use the spherical harmonics basis (right)."
INTRODUCTION,0.028846153846153848,"Our basic idea is to find an orthonormal ba-
sis for the space of functions on the manifold
of interest, and introduce principled methods
for choosing a subset of the (possibly infinite)
basis elements on which the input coordinates
are evaluated. We describe mathematical tech-
niques to obtain bases for large classes of man-
ifolds and show experiments on a variety of
them."
INTRODUCTION,0.03205128205128205,Our main contributions are:
INTRODUCTION,0.035256410256410256,"• We introduce a principled way to apply po-
sitional encoding for coordinate-based learning
of high-frequency functions on manifolds."
INTRODUCTION,0.038461538461538464,"• We prove that our approach is shift-invariant
under the light of the neural tangent kernel
(NTK) theory (Jacot et al., 2018; Tancik et al.,
2020) and for the appropriate “shift” on the
manifold, which implies a manifold convolu-
tional behavior."
INTRODUCTION,0.041666666666666664,"• Our experiments show the advantages of the
proposed methodology on different applications and manifolds: 1) learning panoramas on the
sphere, 2) learning probability distributions on the rotation manifold, 3) learning neural radiance
fields on the product of cube and sphere, and 4) learning light fields represented as the product of
spheres."
RELATED WORK,0.04487179487179487,"2
RELATED WORK"
RELATED WORK,0.04807692307692308,"The idea of positional encoding using a Fourier basis appeared as early as Rahimi & Recht (2008).
They introduced the so-called random Fourier features to accelerate training of kernel methods.
The idea is to approximate a shift-invariant kernel with random directions sampled from its Fourier
transform, on which the inputs are evaluated. More recently, positional encoding has become popu-
lar for sequence modeling in natural language processing and often appears in attention layers and
transformers as a way to encode the order of the input tokens. Gehring et al. (2017) use a learned
embedding while Vaswani et al. (2017) use the Fourier basis for encoding input token positions.
Alternative approaches were introduced by Xu et al. (2019); Wang et al. (2020)."
RELATED WORK,0.05128205128205128,"Rahaman et al. (2019) demonstrated that neural networks tend to learn low frequencies more easily
than high frequencies, a property called “spectral bias”. It also shows, for a simple task of ap-
proximating an 1D function, that projecting the input coordinate into a basis of sinusoids facilitates
learning high frequencies. NeRF (Mildenhall et al., 2020) reproduced this finding in the challenging
task of photorealistic novel view synthesis from a collection of images. They showed that positional
encoding is crucial to achieving photorealism, and significantly outperformed the previous state of
the art, which included other coordinate-based MLPs (Sitzmann et al., 2019). Concurrently, Zhong
et al. (2020) demonstrated the usefulness of Fourier encoding for reconstruction of 3D protein com-
plexes."
RELATED WORK,0.05448717948717949,"Tancik et al. (2020) conducted an in-depth study of positional encoding for coordinate-based MLPs.
They show that, under the Neural Tangent Kernel (NTK) theory (Jacot et al., 2018), the positional
encoding using a sinusoidal basis results in a stationary kernel, which in turn can be interpreted
as a convolutional (shift-invariant) reconstruction filter, desirable for signals on Euclidean spaces.
The theory also explains the “spectral bias” (Rahaman et al., 2019) of these models via the rapidly
decaying NTK eigenvalues for MLPs. In practice, Tancik et al. (2020) propose randomly sampling
the frequencies of the Fourier basis elements for the encoding, and show that it outperforms previ-
ous coordinate-based MLPs with no positional encoding (Mescheder et al., 2019), or axis-aligned
positional encoding (Mildenhall et al., 2020)."
RELATED WORK,0.057692307692307696,Under review as a conference paper at ICLR 2022
RELATED WORK,0.060897435897435896,"While groundbreaking results and insightful theoretical developments have been demonstrated, most
of the attention so far has been focused on coordinate-based MLPs for functions on Euclidean spaces.
In this paper, we focus on the non-Euclidean case."
RELATED WORK,0.0641025641025641,"One alternative to Fourier features was introduced by Sitzmann et al. (2020), who use the sine
function as the MLP nonlinearity. Major differences are that the sinusoidal is applied on every
layer, and the frequencies are defined by the network MLP weights. Zheng et al. (2021) studied the
trade-off between memorization and generalization in positional encoding, showing the former is
related to the rank of the embedding matrix and the latter is related to the distance preservation of
the embedding. They also propose another alternative to Fourier features that consists of sampling
a Gaussian at fixed offsets from the input."
BACKGROUND,0.0673076923076923,"3
BACKGROUND"
BACKGROUND,0.07051282051282051,"NeRF (Mildenhall et al., 2020) recently demonstrated the importance of positional encoding for
coordinate-based learning of high frequency functions. For a coordinate x = [x1, x2, x3] ∈R3, the
following map was applied before the multilayer perceptron (MLP),"
BACKGROUND,0.07371794871794872,"xi 7→{sin(20πxi), cos(20πxi), sin(21πxi), cos(21πxi), · · · , sin(2Lπxi), cos(2Lπxi)}.
(1)"
BACKGROUND,0.07692307692307693,"Recall that {sin(m⊤x)} ∪{cos(n⊤x)} with m, n ∈Z3 form an orthonormal basis for functions
defined on a compact subset of R3. So Eq. (1) corresponds to evaluating basis functions of different
frequencies at input coordinates; we will refer to this method as “Euclidean encoding”. In the
particular case of Eq. (1), only axis-aligned, powers-of-two frequencies are used, so the basis for
bandwidth 2L is only sparsely sampled. Tancik et al. (2020) found it better to randomly sample
the frequency space, which results in basis elements that are not axis aligned, but it is still a sparse
sample of the complete basis."
BACKGROUND,0.08012820512820513,"In NeRF (Mildenhall et al., 2020), a subset of the input encodes the view direction. A direction can
be associated with a point on the surface of the unit sphere, a non-Euclidean manifold. In order
to apply the Euclidean encoding to such input, (Mildenhall et al., 2020) represent the direction as
a 3D unit vector instead, which increases the input dimensionality from 2D to 3D, and causes the
positional encoding to sample from a set of O(b3) basis functions, instead of the minimal O(b2)
for a bandwidth b. In IPDF (Murphy et al., 2021), the input coordinates are flattened 3 × 3 rotation
matrices, which correspond to points on the 3D rotation manifold SO(3). The Euclidean encoding
then corresponds to sampling basis functions on R9. This results in sampling from a space of O(b9)
basis functions instead of O(b3)."
BACKGROUND,0.08333333333333333,"Our key observation is that positional encoding of input coordinates should reflect the geometry
of the underlying manifold. We propose to use the appropriate orthonormal basis functions on the
manifold to implement this idea. While for many applications the Euclidean manifold is the correct
one, for others it is not, as exemplified above. In the following sections we will show how the
appropriate basis can be found for different types of manifolds, how to actually choose a subset of
the basis to use in the encoding, and demonstrate experimentally the benefits of using them."
METHOD,0.08653846153846154,"4
METHOD"
OVERVIEW,0.08974358974358974,"4.1
OVERVIEW"
OVERVIEW,0.09294871794871795,"We consider a neural network that takes as inputs points on an n-dimensional manifold M. We
assume there exists an orthonormal basis B = {bi : M →R} for the space of scalar functions on
the manifold L2(M). Our goal is to apply the map γ : M →Rk to positionally encode x ∈M
before feeding it to the network, where k is the encoding dimension and"
OVERVIEW,0.09615384615384616,"γ(x) = {bj(x) | bj ∈B′ ⊂B}.
(2)"
