Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0036496350364963502,"Target Propagation (TP) algorithms compute targets instead of gradients along
neural networks and propagate them backward in a way that is similar yet differ-
ent than gradient back-propagation (BP). The idea was ﬁrst presented as a pertur-
bative alternative to back-propagation that may improve gradient evaluation accu-
racy when training multi-layer neural networks (Le Cun et al., 1989). However,
TP may have remained more of a template algorithm with many variations than
a well-identiﬁed algorithm. Revisiting insights of Le Cun et al. (1989) and more
recently of Lee et al. (2015), we present a simple version of target propagation
based on a regularized inversion of network layers, easily implementable in a dif-
ferentiable programming framework. We compare its computational complexity
to the one of BP and delineate the regimes in which TP can be attractive compared
to BP. We show how our TP can be used to train recurrent neural networks with
long sequences on various sequence modeling problems. The experimental results
underscore the importance of regularization in TP in practice."
INTRODUCTION,0.0072992700729927005,"1
INTRODUCTION"
INTRODUCTION,0.010948905109489052,"Target propagation algorithms can be seen as perturbative learning alternatives to the gradient back-
propagation algorithm, where virtual targets are propagated backward instead of gradients (Le Cun,
1986; Le Cun et al., 1989; Rohwer, 1990; Mirowski & LeCun, 2009; Bengio, 2014; Goodfellow
et al., 2016). A high-level summary is presented in Fig. 1: while gradient back-propagation con-
siders storing intermediate gradients in a forward pass, target propagation algorithms proceed by
computing and storing approximate inverses. The approximate inverses are then passed on back-
ward along the graph of computations to ﬁnally yield a weight update for stochastic learning."
INTRODUCTION,0.014598540145985401,"Target propagation aims to take advantage of the availability of approximate inverses to compute
better descent directions for the objective at hand. Bengio et al. (2013); Bengio (2020) argued that
the approach could be relevant for problems involving multiple compositions such as the training of
Recurrent Neural Networks (RNNs), which generally suffer from the phenomenon of exploding or
vanishing gradients (Hochreiter, 1998; Bengio et al., 1994; ?). Recently, empirical results indeed
showed the potential advantages of target propagation over classical gradient back-propagation for
training RNNs on several tasks (Manchev & Spratling, 2020). However, these recent investigations
remain built on multiple approximations, which hinder the analysis of the core idea of TP, i.e., using
layer inverses."
INTRODUCTION,0.01824817518248175,"On the theoretical side, difference target propagation, a modern variant of target propagation, was
related to an approximate Gauss-Newton method, suggesting interesting venues to explain the ben-
eﬁts of target propagation (Bengio, 2020; Meulemans et al., 2020). Previous works have considered
approximating inverses by adding multiple reverse layers (Manchev & Spratling, 2020; Meulemans
et al., 2020; Bengio, 2020). However, it is unclear whether such reverse layers actually learn layer
inverses during the training process. Even if they were, the additional cost of computational com-
plexity of learning approximate inverses should be carefully accounted for."
INTRODUCTION,0.021897810218978103,"In this work, we propose a simple target propagation approach, revisiting the original insights
of Le Cun et al. (1989) on the critical importance of the good conditioning of layer inverses. We
deﬁne regularized inverses through a variational formulation and we obtain approximate inverses
via these regularized inverses. In this spirit, we can also interpret the difference target propagation
formula (Lee et al., 2015) as a ﬁnite difference approximation of a linearized regularized inverse.
We propose a smoother formula that can directly be integrated into a differentiable programming
framework."
INTRODUCTION,0.025547445255474453,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.029197080291970802,"GUadienW Back-PUoSagaWion
TaUgeW PUoSagaWion"
INTRODUCTION,0.032846715328467155,FoUZaUd PaVV
INTRODUCTION,0.0364963503649635,BackZaUd PaVV
INTRODUCTION,0.040145985401459854,"Fig. 1: Our implementation of target propagation uses linearization of gradient inverses instead of gradients in
a backward pass akin to gradient back-propagation."
INTRODUCTION,0.043795620437956206,"We detail the computational complexity of the proposed target propagation and compare it to the
one of gradient back-propagation, showing that the additional cost of computing inverses can be
effectively amortized for very long sequences. Following the benchmark of Manchev & Spratling
(2020), we observe that the proposed target propagation can perform better than classical gradient-
based methods on several tasks involving RNNs."
INTRODUCTION,0.04744525547445255,"Related work.
Many variations of back-propagation algorithms have been explored; see Werbos
(1994); Goodfellow et al. (2016) for an extensive bibliography. Closer to target propagation, pe-
nalized formulations of the training problem have been considered to decouple the optimization of
the weights in a distributed way or using an ADMM approach (Carreira-Perpinan & Wang, 2014;
Taylor et al., 2016; Gotmare et al., 2018). Rather than modifying the backward operations in the
layers, one can also modify the weight updates for deep forward networks by using a regularized
inverse (Frerix et al., 2018). Wiseman et al. (2017) recast target propagation as an ADMM-like algo-
rithm for language modeling and reported disappointing experimental results. Recently, in a careful
experimental benchmark evaluation, Manchev & Spratling (2020) explored further target propaga-
tion to train RNNs, mapping a sequence to a single ﬁnal output, in an attempt to understand the ben-
eﬁts of target propagation to capture long-range dependencies, and obtained promising experimental
results. Another line of research has considered synthetic gradients that approximate gradients us-
ing an additional layer instead of using back-propagated gradients (Jaderberg et al., 2017; Czarnecki
et al., 2017) to speed up the training of deep neural networks. Recently, Ahmad et al. (2020); Dalm
et al. (2021) considered using analytical inverses to implement target propagation and blend it with
what they called a gradient-adjusted incremental formula. Yet, an additional orthogonality penalty
is critical for their approach to work. Recently, Meulemans et al. (2020) considered using as many
reverse layers as forwarding operations. We focus here on the optimization gains of using target
propagation that cannot be obtained by adding a prohibitive number of reverse layers. Finally, we
do not discuss the biological plausibility of TP since we are unable to comment on this. We refer
the interested reader to, e.g., (Bengio, 2020)."
INTRODUCTION,0.051094890510948905,"Notations.
For f : Rp ⇥Rq ! Rd, we denote @xf(x, y) = !"
INTRODUCTION,0.05474452554744526,"@f j(x, y)/@xi """
INTRODUCTION,0.058394160583941604,"i,j 2 Rd⇥p."
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.06204379562043796,"2
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES"
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.06569343065693431,"While target propagation was initially developed for multi-layer neural networks, we focus on its
implementation for recurrent neural networks, as we shall follow the benchmark of Manchev &
Spratling (2020) in the experiments. Recurrent Neural Networks (RNNs) are also a canonical family
of neural networks in which interesting phenomena arise in back-propagation algorithms."
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.06934306569343066,"Problem setting.
A simple RNN parameterized by ✓= (Whh, Wxh, bh, Why, by) maps a se-
quence of inputs x1:⌧= (x1, . . . , x⌧) to an output ˆy = g✓(x1:⌧) by computing hidden states ht 2 Rp
corresponding to the inputs xt."
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.072992700729927,"Formally, the output ˆy and the hidden states ht are computed as an output operation following
transition operations deﬁned as"
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.07664233576642336,"ˆy = c✓(h⌧) := s(Whyh⌧+ by),
ht = f✓,t(ht−1) := a(Wxhxt + Whhht−1 + bh)
for t 2 {1, . . . , ⌧},"
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.08029197080291971,Under review as a conference paper at ICLR 2022
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.08394160583941605,"where s is, e.g., the soft-max function for classiﬁcation tasks, a is a non-linear operation such as
the hyperbolic tangent function, and the initial hidden state is generally ﬁxed as h0 = 0. Given
samples of sequence-output pairs (x1:⌧, y), the RNN is trained to minimize the error `(y, g✓(x1:⌧))
of predicting ˆy = g✓(x1:⌧) instead of y."
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.08759124087591241,"As one considers longer sequences, RNNs face the challenge of exploding/vanishing gradients
@g✓(x1:⌧)/@ht (Bengio & Frasconi, 1995); see Appendix A for more discussion. We acknowl-
edge that speciﬁc parameterization-based strategies have been proposed to address this issue of ex-
ploding/vanishing gradients, such as orthonormal parameterizations of the weights (Arjovsky et al.,
2016; Helfrich et al., 2018; Lezcano-Casado & Martınez-Rubio, 2019). The focus here is to simplify
and understand target propagation as a backpropagation-type algorithm using RNNs as a workbench.
Indeed, training RNNs is an optimization problem involving multiple compositions for which ap-
proximate inverses can easily be available. The framework could also be potentially applied to, e.g.,
time-series or control models (Roulet et al., 2019)."
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.09124087591240876,"Given the parameters Whh, Wxh, bh of the transition operations, we can get approximate inverses
of f✓,t(ht−1) for all t 2 {1, . . . , ⌧}, that yield optimization surrogates that can be better perform-
ing than the ones corresponding to regular gradients. We present below a simple version of target
propagation based on regularized inverses and inverse linearizations."
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.0948905109489051,"Back-propagating targets.
The idea of target propagation is to compute virtual targets vt for each
layer t = ⌧, . . . , 1 such that if the layers were able to match their corresponding target at time t, i.e.,
f✓,t(ht−1) ⇡vt, the objective would decrease. The ﬁnal target v⌧is computed as a gradient step on
the loss w.r.t. h⌧. The targets are then back-propagated using an approximate inverse1 f −1"
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.09854014598540146,"✓,t of f✓,t
at each time step."
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.10218978102189781,"Formally, consider an RNN that computed ⌧states h1, . . . , h⌧from a sequence x1, . . . , x⌧with
associated output y. For a given stepsize γh > 0, we propose to back-propagate targets by computing"
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.10583941605839416,"v⌧= h⌧−γh@h`(y, c✓(h⌧)),
(1)"
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.10948905109489052,vt−1 = ht−1 + @hf −1
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.11313868613138686,"✓,t (ht)"
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.11678832116788321,">(vt −ht),
for t 2 {⌧, . . . , 1}.
(2)"
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.12043795620437957,"The update rule (2) blends two ideas: i) regularized inversion; ii) linear approximation. We shall
describe below that our update (2) allows us to interpret the “magic formula” of difference target
propagation in Eq. 15 of Lee et al. (2015) as 0th-order ﬁnite difference approximation, while ours is
a 1st-order linear approximation. We shall also show that (2) puts in practice an insight from Bengio
(2020) suggesting to use the inverse of the gradients in the spirit of a Gauss-Newton method."
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.12408759124087591,"Once all targets are computed, the parameters of the transition operations are updated such that the
outputs of f✓,t at each time step move closer to the given target. Formally, the update consists of a
gradient step with stepsize γ✓on the squared error between the targets and the current outputs, i.e.,
for ✓h 2 {Whh, Wxh, bh}, ✓next"
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.12773722627737227,"h
= ✓h −γ✓ ⌧
X t=1"
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.13138686131386862,"@✓hkf✓,t(ht−1) −vtk2"
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.13503649635036497,"2/2.
(3)"
TARGET PROPAGATION WITH LINEARIZED REGULARIZED INVERSES,0.1386861313868613,"As for the parameters ✓y = (Why, by) of the output operation, they are updated by a simple gradient
step on the loss with a stepsize γ✓."
REGULARIZED INVERSION,0.14233576642335766,"2.1
REGULARIZED INVERSION"
REGULARIZED INVERSION,0.145985401459854,"To explore further the original idea of Le Cun et al. (1989), we consider using the variational deﬁni-
tion of the inverse, f −1"
REGULARIZED INVERSION,0.14963503649635038,"✓,t (vt) = argmin"
REGULARIZED INVERSION,0.15328467153284672,"vt−12Rp kf✓,t(vt−1) −vtk2"
REGULARIZED INVERSION,0.15693430656934307,2 = argmin
REGULARIZED INVERSION,0.16058394160583941,vt−12Rp ka(Wxhxt + Whhvt−1 + bh) −vtk2
REGULARIZED INVERSION,0.16423357664233576,"2.
(4)"
REGULARIZED INVERSION,0.1678832116788321,"As long as vt belongs to the image f✓,t(Rp) of f✓,t, this deﬁnition recovers exactly the inverse
of vt by f✓,t. More generally, if vt 62 f✓,t(Rp), Eq. (4) computes the best approximation of the"
REGULARIZED INVERSION,0.17153284671532848,"1In the following, to ease the presentation, we abuse notations and denote approximate inverses by f −1 ✓,t ."
REGULARIZED INVERSION,0.17518248175182483,Under review as a conference paper at ICLR 2022
REGULARIZED INVERSION,0.17883211678832117,"inverse in the sense of the Euclidean projection. When one considers an activation function a and
✓h = (Whh, Wxh, bh), the solution of (4) can easily be computed."
REGULARIZED INVERSION,0.18248175182481752,"Formally, for the sigmoid, the hyperbolic tangent or the ReLU, their inverse can be obtained analyt-
ically for any vt 2 a(Rp). So for vt 2 a(Rp) and Whh full rank, we get f −1"
REGULARIZED INVERSION,0.18613138686131386,"✓,t (vt) = (W >"
REGULARIZED INVERSION,0.1897810218978102,hhWhh)−1W >
REGULARIZED INVERSION,0.19343065693430658,hh(a−1(vt) −Wxhxt −bh).
REGULARIZED INVERSION,0.19708029197080293,"If vt 62 a(Rp), the minimizer of (4) is obtained by ﬁrst projecting vt onto a(Rp), before inverting
the linear operation. To account for non-invertible matrices Whh, we also add a regularization in
the computation of the inverse. Overall we consider approximating the inverse of the layer by a
regularized inverse of the form f −1"
REGULARIZED INVERSION,0.20072992700729927,"✓,t (vt) = (W >"
REGULARIZED INVERSION,0.20437956204379562,hhWhh + r I)−1W >
REGULARIZED INVERSION,0.20802919708029197,"hh(a−1(⇡(vt)) −Wxhxt −bh),"
REGULARIZED INVERSION,0.2116788321167883,with r > 0 and ⇡a projection onto a(Rp).
REGULARIZED INVERSION,0.21532846715328466,"Regularized inversion vs.
parameterized inversion.
Bengio (2014); Manchev & Spratling
(2020) parameterize the inverse as a reverse layer such that f −1"
REGULARIZED INVERSION,0.21897810218978103,"✓,t (vt) =  ✓0,t(vt) := a(Wxhxt + V vt + c),"
REGULARIZED INVERSION,0.22262773722627738,"and learn the parameters ✓0 = (V, c) for this reverse layer to approximate the inverse of the forward
computations. The parameterized layer needs to be learned to get a good approximation which in-
volves numerically solving an optimization problem for each layer. These optimization problems
come with a computational cost that can be better controlled by using regularized inversions pre-
sented earlier."
REGULARIZED INVERSION,0.22627737226277372,"However, the approach based on parameterized inverses may lack theoretical grounding, as pointed
out by Bengio (2020), as we do not know how close the learned inverse is to the actual inverse
throughout the training process. In contrast, the regularized inversion (4) is less ad hoc and clearly
deﬁned and, as we shall show in the experiments, leads to competitive performance on real datasets."
REGULARIZED INVERSION,0.22992700729927007,"In any case, the analytic formulation of the inverse gives simple insights on an approach with pa-
rameterized inverses. Namely, the analytical formula suggests parameterizing the reverse layer s.t.
(i) the reverse activation is deﬁned as the inverse of the activation and not any activation, (ii) the
layer uses a non-linear operation followed by a linear one instead of the usual scheme, i.e., a linear
operation followed by a non-linear one."
LINEARIZED INVERSION,0.23357664233576642,"2.2
LINEARIZED INVERSION"
LINEARIZED INVERSION,0.23722627737226276,"Earlier instances of target propagation used direct inverses of the network layers such that the target
propagation update formula would read vt−1 = f −1"
LINEARIZED INVERSION,0.24087591240875914,"✓,t (vt) in (2). Yet, we are unaware of a success-
ful implementation of TP using directly the inverses. To circumvent this issue, Lee et al. (2015)
proposed the difference target propagation formula that back-propagates the targets as"
LINEARIZED INVERSION,0.24452554744525548,vt−1 = ht−1 + f −1
LINEARIZED INVERSION,0.24817518248175183,"✓,t (vt) −f −1"
LINEARIZED INVERSION,0.2518248175182482,"✓,t (ht)."
LINEARIZED INVERSION,0.25547445255474455,"If the inverses were exact, the difference target propagation formula would reduce to vt−1 =
f −1"
LINEARIZED INVERSION,0.2591240875912409,"✓,t (vt). Lee et al. (2015) introduced the difference target propagation formula to mitigate the
approximation error of the inverses by parameterized layers. In practice, difference-type target prop-
agation appears to be the only known successful implementation of target propagation we are aware
of. The difference target propagation formula can naturally be interpreted as an approximation of
the linearization used in (2), as f −1"
