Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0038910505836575876,"Despite their ability to represent highly expressive functions, deep learning models
trained with SGD seem to ﬁnd simple solutions that generalize surprisingly well.
Spectral bias – the tendency of neural networks to prioritize learning low frequency
functions – is one possible explanation for this phenomenon, but so far spectral
bias has primarily been observed in theoretical models and simpliﬁed experiments.
In this work, we propose methodologies for measuring spectral bias in modern
image classiﬁcation networks. We ﬁnd that these networks indeed exhibit spectral
bias, and that interventions that improve generalization sometimes increase and
sometimes decrease the frequencies of the learned function. For example, we
experimentally show that larger models learn high frequencies more readily than
smaller ones, but many forms of regularization, both explicit and implicit, inhibit
the learning of high frequencies. We also explore the connections between function
frequency and image frequency and ﬁnd that spectral bias is sensitive to the low
frequencies prevalent in natural images. Our work enables measuring and ultimately
inﬂuencing the spectral behavior of neural networks used for image classiﬁcation,
and is a step towards understanding why deep models generalize well."
INTRODUCTION,0.007782101167315175,"1
INTRODUCTION"
INTRODUCTION,0.011673151750972763,"Two fundamental questions in machine learning are why overparameterized models generalize and
how to make them more robust to distribution shift. Resolving both of these questions requires
understanding how complex our models should be."
INTRODUCTION,0.01556420233463035,"For instance, it is thought that overparameterized models generalize well because there are implicit
regularizers that constrain the complexity of the learned functions. However, the precise nature of
these implicit regularizers, and their importance in practice, remains unclear. As for how to achieve
robustness, no consensus has emerged regarding function complexity. On the one hand, Cranko
et al. (2018) and Leino et al. (2021) argue that Lipschitz smoothness of the learned function offers a
guarantee of robustness; on the other, Shah et al. (2020) and Madry et al. (2019) argue that simplicity
can be harmful and a robust model must actually be more complex than its non-robust counterpart."
INTRODUCTION,0.019455252918287938,"One window into function complexity is spectral bias – the tendency of neural networks to learn
low frequency (simple and smooth) functions early in training, gradually increasing the frequency
(complexity) of the learned function as training proceeds. Foundational work in this area has shown
theoretical evidence of spectral bias by analyzing convergence rates of neural networks towards
functions of different frequencies and showing that they converge to low frequency functions at a
faster rate (Basri et al., 2019; Rahaman et al., 2019)."
INTRODUCTION,0.023346303501945526,"In practice, spectral bias is difﬁcult to measure: the most direct method involves taking a Fourier
transform with respect to the input, which is expensive to compute due to the high dimensionality
of images. Early experimental work focused on low-dimensional synthetic data (Basri et al., 2019;
2020) or used proxy measurements of spectral bias by inserting label noise of various frequencies
during training (Rahaman et al., 2019). However, the label noise method is limited to binary classiﬁca-
tion/regression and involves modifying the training data, making it difﬁcult to disentangle how other
changes to the training data (such as data augmentation) affect the spectral content of the learned
function. Thus, it remains an open question as to whether modern neural networks exhibit spectral
bias and what role it plays in generalization."
INTRODUCTION,0.027237354085603113,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.0311284046692607,"In this work, we investigate model complexity through the lens of spectral bias, by introducing
experimental methods to study the frequency decomposition of the functions learned by modern
image classiﬁcation networks. We ﬁnd that neither simplicity nor complexity is purely beneﬁcial or
detrimental to performance."
INTRODUCTION,0.03501945525291829,"Contributions.
We extend the label noise procedure of Rahaman et al. (2019) to enable measur-
ing spectral bias in multi-class classiﬁcation and apply this technique to understand the function
frequencies present in high-accuracy models on CIFAR-10 (Krizhevsky et al.). We also introduce a
second method for measuring the smoothness of a learned function via linear interpolation between
test examples. This offers a proxy measurement of spectral bias without the need to modify training
labels, allowing us to probe the effects of the training data on the learned function frequencies."
INTRODUCTION,0.038910505836575876,"Using these experimental methods, we ﬁnd that increasing the model size decreases spectral bias;
larger models learn high frequencies faster. However, we observe that more accurate models are not
always higher frequency. Several forms of explicit and implicit regularization, including weight decay,
increasing the dataset size, and applying Mixup (Zhang et al., 2018) data augmentation, increase
spectral bias and produce a lower-frequency learned function. Our experiments show that these
common training interventions affect the frequency content of the learned function in different ways,
helping us to understand their mechanism and offering a tool to aid design of improved training
methods in the future."
INTRODUCTION,0.042801556420233464,"This perspective allows us to shed light on the mechanism behind self-distillation, in which a student
model is trained to ﬁt the predictions of a teacher model. Using our linear interpolation methodology,
we observe that self-distillation produces a student model whose learned function is smoother than
that of its teacher. This suggests that the teacher model acts as a sort of low-pass ﬁlter on the target
function, perhaps making it more accessible to the spectrally-biased student."
INTRODUCTION,0.04669260700389105,"Finally, we explore the relationship between image frequency and function frequency. By further
extending the label noise methodology of Rahaman et al. (2019) to study spectral bias in directions of
interest through the input space, we ﬁnd that models are most sensitive to the low image frequencies
common in natural images."
RELATED WORK,0.05058365758754864,"2
RELATED WORK"
RELATED WORK,0.054474708171206226,"Implicit bias. A common belief is that some form of implicit bias imposed by the training procedure
may account for the generalization ability of overparameterized neural networks, and accordingly,
much research has been directed towards understanding these implicit biases (Soudry et al., 2018;
Zhang et al., 2017; Keskar et al., 2017; Gunasekar et al., 2019; 2020; Hardt et al., 2016; Hoffer
et al., 2018; Belkin et al., 2018; Neyshabur et al., 2018; 2015; 2017; Mania et al., 2019; Gunasekar
et al., 2019; Nakkiran et al., 2019). One of the most well-known forms of implicit bias comes from
the optimization algorithm itself, which typically guides networks to solutions that generalize well
(Soudry et al., 2018; Keskar et al., 2017; Wilson et al., 2017)."
RELATED WORK,0.058365758754863814,"Spectral bias. Spectral bias is a form of implicit bias, with much recent attention including theoretical
and experimental approaches (Oymak et al., 2019; Xu et al., 2019; Rahaman et al., 2019; Basri et al.,
2019; Zhang et al., 2021); we describe some of these prior results here. Basri et al. (2019) studied
spectral bias using a linear model of SGD training dynamics to show that models learn low frequency
(simple) functions early in training and then gradually learn higher frequencies as training proceeds,
assuming training data that is distributed uniformly on the hypersphere. Basri et al. (2020) extended
the analysis to consider nonuniformly spaced training data, and found that learning is faster where
samples are denser; if sampling is nonuniform, then during training, the learned function will be
higher frequency in regions with denser samples."
RELATED WORK,0.0622568093385214,"Rahaman et al. (2019) used a more direct analysis to show the same spectral bias toward low frequency
functions and also suggested that when training data lie on a manifold (as natural images are believed
to), increasing the complexity of the manifold makes it easier for models to ﬁt high frequency
functions. Additionally, Rahaman et al. (2019) posited that high frequency components of the learned
function are most sensitive to perturbations in the model parameters, connecting back to the idea of
ﬂat optimization minima (Neyshabur et al., 2017) or smooth loss landscape Mehmeti-G¨opel et al.
(2021). They proposed experimental methods to study spectral bias in image classiﬁcation, but"
RELATED WORK,0.06614785992217899,Under review as a conference paper at ICLR 2022
RELATED WORK,0.07003891050583658,"focused on a binary subset of the relatively simple MNIST dataset (Deng, 2012), with mean square
error loss."
RELATED WORK,0.07392996108949416,"Our label smoothing experiments are a direct extension of Rahaman et al. (2019) to multiclass
classiﬁcation with the more common cross-entropy loss. Our linear interpolation experiments are
somewhat similar to the recently-proposed experimental methods in Zhang et al. (2021), except that
we sample along paths between images rather than in regions surrounding each image; this allows for
a more global measurement of spectral bias."
RELATED WORK,0.07782101167315175,"Model sensitivity to image frequency. While we focus on function frequency in this work, prior
research aimed to understand model sensitivity to image frequencies. Jo & Bengio (2017) found that
CNNs are sensitive to Fourier statistics of the training data, even those irrelevant to human viewers.
Ortiz-Jimenez et al. (2020b) studied the image frequency bias induced by using a convolutional archi-
tecture, and Ortiz-Jimenez et al. (2020a) argued that models are sensitive primarily to discriminative
Fourier directions in the training data. They posit that adversarial training induces large margins in
orthogonal directions, thereby improving robustness. Yin et al. (2020) introduced a procedure to
measure the sensitivity of trained models to Fourier image perturbations, and showed that adversarial
training and Gaussian data augmentation increase robustness to high frequency perturbations but
increase sensitivity to low frequency perturbations. Our work adds to this line of research a study of
the interplay between two notions of frequency: the function frequency involved in spectral bias, and
the image frequencies present in the data."
METHODOLOGY,0.08171206225680934,"3
METHODOLOGY"
