Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0033783783783783786,"Electroencephalography (EEG) is a prominent non-invasive neuroimaging tech-
nique providing insights into brain function. Unfortunately, EEG data exhibit a
high degree of noise and variability across subjects hampering generalizable signal
extraction. Therefore, a key aim in EEG analysis is to extract the underlying neural
activation (content) as well as to account for the individual subject variability (style).
We hypothesize that the ability to convert EEG signals between tasks and subjects
requires the extraction of latent representations accounting for content and style.
Inspired by recent advancements in voice conversion technologies, we propose a
novel contrastive split-latent permutation autoencoder (CSLP-AE) framework that
directly optimizes for EEG conversion. Importantly, the latent representations are
guided using contrastive learning to promote the latent splits to explicitly represent
subject (style) and task (content). We contrast CSLP-AE to conventional super-
vised, unsupervised (AE), and self-supervised (contrastive learning) training and
find that the proposed approach provides favorable generalizable characterizations
of subject and task. Importantly, the procedure also enables zero-shot conversion
between unseen subjects. While the present work only considers conversion of
EEG, the proposed CSLP-AE provides a general framework for signal conversion
and extraction of content (task activation) and style (subject variability) components
of general interest for the modeling and analysis of biological signals."
INTRODUCTION,0.006756756756756757,"1
Introduction"
INTRODUCTION,0.010135135135135136,"Electroencephalography (EEG) is a non-invasive method for recording brain activity, commonly used
in neuroscience research to analyze event-related potentials (ERPs) and gain insights into cognitive
processes and brain function [28]. However, EEG signals are often noisy, contain artifacts, and exhibit
high sensitivity to subject variability [13, 43], making it challenging to analyze and interpret the data.
In particular, the inherent subject variability is well known to confound recovery of the task content
of the signal, and a study by Gibson et al. [17] demonstrated that across-subject variation in EEG
variability and signal strength was more significant than across-task variation. A major challenge
modeling EEG data is thus to remove the intrinsic subject variability in order to recover generalizable
patterns of the underlying neural patterns of activation."
INTRODUCTION,0.013513513513513514,"Supervised methods explicitly classifying tasks can potentially filter subject variability and recover
generalizable patterns of neural activity. However, explicitly disentangling subject and task content
in EEG signals is valuable not only for classifying task content but also for characterizing the subject
variability which ultimately can provide biomarkers of individual variability. As such, rather than"
INTRODUCTION,0.016891891891891893,"focusing only on the experimental effects and considering inter-subject variability as noise it should
be treated as an important signal enabling the understanding of individual differences [24, 55]."
INTRODUCTION,0.02027027027027027,"Deep learning-based feature learning has become prevalent in EEG data analysis. As such, auto-
encoders have shown promise in learning transferable and feature-rich representations [36, 60, 70] and
have been applied to various downstream tasks, including brain-computer interfacing (BCI) [35, 44,
78], clinical epilepsy and dementia detection [19, 38, 77], sleep stage classification [34, 63], emotion
recognition [26, 61], affective state detection [53, 74] and monitoring mental workload/fatigue
[75, 76] with promising results. For a systematic review on deep learning-based EEG analysis, see
e.g. Roy et al. [52]."
INTRODUCTION,0.02364864864864865,"The task of disentangling content (signal) from style (individual variability) is a well-known aim in
voice conversion technologies. A study on speech representation learning achieved promising results
in disentangling speaker and speech content using speaker-conditioned auto-encoders [9], while Chou
et al. [10] proposed using instance normalization to enforce speaker and content separation in the
latent space. In Qian et al. [48] zero-shot voice conversion was proposed using a simple autoencoder
conditioned on a pretrained speaker embedding model and exploring bottleneck constriction to obtain
content and style disentanglement with good results. Wu and Lee [71] and Wu et al. [72] disregarded
the pretrained speaker embedding model by generating content latents based on a combination of
instance normalization and vector quantization of an encoded signal, while the speaker latents were
generated based on the difference between content codes and the encoded input signal."
INTRODUCTION,0.02702702702702703,"Disentangling subject and task content has been shown to enhance model generalization in emotional
recognition and speech processing tasks [4, 50, 57]. Bollens et al. [4] used two explicit latent spaces
in a factorized hierarchical variational autoencoder (FHVAE) to model high-level and low-level
features of EEG data and found that the model was able to disentangle subject and task content.
They also found that high-level features were more subject-specific and low-level features were
more task-specific. Rayatdoost et al. [50] and Özdenizci et al. [42] explored adversarial training to
promote latent representations that were subject invariant. Recently, self-supervised learning has
gained substantial attention due to its strong performance in representation learning enabling deep
learning models to efficiently extract compact representations useful for downstream tasks. This
includes the use of (pre-)training on auxiliary tasks [62] as well as contrastive learning methodologies
guiding the latent representations [25]. Shen et al. [57] used contrastive learning between EEG
signal representations of the same task and different subjects to learn subject-invariant representations
and found that the learned representations were more robust to subject variability and improved
generalizability. For a survey of self-supervised learning in the context of medical imaging, see also
[58]."
INTRODUCTION,0.030405405405405407,"Inspired by recent advances in voice conversion, we propose a novel contrastive split-latent permuta-
tion autoencoder (CSLP-AE) framework that directly optimizes for EEG conversion. In particular, we
hypothesize that the auxiliary task of optimizing EEG signal conversion between tasks and subjects
requires the learning of latent representations explicitly accounting for content and style. We further
use contrastive learning to guide the latent splits to respectively represent subject (style) and task
(content). The evaluation of the proposed method is conducted on a recent, standardized ERP dataset,
ERP Core [28], which includes data from the same subjects across a wide range of standardized
paradigms making it especially suitable for signal conversion across multiple tasks and subjects. We
contrast CSLP-AE to conventional supervised, unsupervised (AE [23]), and self-supervised training
(contrastive learning [7, 41, 49, 59, 69])."
METHODOLOGY,0.033783783783783786,"2
Methodology"
METHODOLOGY,0.037162162162162164,"The aim of this paper is to develop a modeling framework for performing generalizable (i.e., zero-
shot) conversion of EEG data considering unseen subjects. The procedure should enable conversion
of EEG from one subject to another as well as one task to another task. In this context, “tasks” refer to
the specific ERP components present in the EEG data, such as face or car perception, word judgement
of related or unrelated word pairs, perception of standard or deviant auditory stimuli, etc. [28]."
METHODOLOGY,0.04054054054054054,"The standard autoencoder (AE) model consists of an encoder, denoted as Eθ(X) : X →Z, and a
decoder, denoted as Dϕ(Z) : Z →X. The encoder maps the input data to a latent space, while the
decoder reconstructs the input from the latent space. The encoder and decoder are parameterized by
θ and ϕ respectively."
METHODOLOGY,0.04391891891891892,"To enable the model to perform conversion, it needs to be conditioned on the target subject and/or task.
The latent space appears to be the suitable place for conditioning, as it is a compact representation
often referred to as the bottleneck of the model. However, since the latent space is shared across
subject and task representations, partitioning it into specific subject and task streams is non-trivial."
METHODOLOGY,0.0472972972972973,"To address this challenge, a split-latent space is explored, which explicitly divides the latent space
into subject and task disentangled representations. This is achieved by introducing a split in the model
design within the encoder. The split-latents can be obtained by encoding the input data as follows:
Eθ(X) = (z(S), z(T )), where z(S) represents the subject latent and z(T ) represents the task latent,
such that Eθ(X) : X →(S, T ). Note that the (S) and (T ) denominations are not inherent from
the model architecture but are necessary distinctions for use in the model loss functions. These
split-latents can then be joined and decoded using a similar split within the decoder. By feeding
the split-latents into the decoder, the input can be reconstructed as ˆ
X = Dϕ(z(S), z(T )), such that
Dϕ(z(S), z(T )) : (S, T ) →X. The concept of split-latent space has been explored by researchers
within speech [48] and in the EEG domain [4] using separate encoders for each latent space. We
presently employ a shared encoder to reduce the number of parameters used. However, separate
encoders - or even pre-trained encoders, specifically, on subjects - could help kick-start the training
process or work as conditioning with frozen weights. We leave this to further studies."
METHODOLOGY,0.05067567567567568,"While voice conversion [48, 68] and other voice synthesis problems [40, 56] based on autoencoders
generally use models with expansive receptive fields, e.g. as in WaveNet [40], other studies have
found similar performance in voice conversion using simpler architectures, such as CNNs [10, 27, 33].
Voice conversion is usually done over a large number of samples with exceptionally high sampling
rate compared to EEG data. ERP Core uses a sampling frequency of 256 Hz (downsampled from
1024 Hz) over an epoch window of 1 second, which only yields a time resolution of 256 samples.
Therefore, a large receptive field is unnecessary, and strided convolution to reduce time-resolution is
used instead. The proposed EEG auto-encoder model with split latent space is illustrated in Figure 1."
METHODOLOGY,0.05405405405405406,EEG Auto-encoder with Split Latent Space
METHODOLOGY,0.057432432432432436,ConvBlock
METHODOLOGY,0.060810810810810814,ConvBlock
METHODOLOGY,0.06418918918918919,TransposedConv x4
