Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0018083182640144665,"Deep neural networks (DNNs) are proved to be vulnerable against backdoor at-
tacks. A backdoor is often embedded in the target DNNs through injecting a back-
door trigger into training examples, which can cause the target DNNs misclassify
an input attached with the backdoor trigger. Existing backdoor detection meth-
ods often require the access to the original poisoned training data, the parameters
of the target DNNs, or the predictive conﬁdence for each given input, which are
impractical in many real-world applications, e.g., on-device deployed DNNs. We
address the black-box hard-label backdoor detection problem where the DNN is
fully black-box and only its ﬁnal output label is accessible. We approach this prob-
lem from the optimization perspective and show that the objective of backdoor de-
tection is bounded by an adversarial objective. Further theoretical and empirical
studies reveal that this adversarial objective leads to a solution with highly skewed
distribution; a singularity is often observed in the adversarial map of a backdoor-
infected example, which we call the adversarial singularity phenomenon. Based
on this observation, we propose the adversarial extreme value analysis (AEVA)
to detect backdoors in black-box neural networks. AEVA is based on an extreme
value analysis of the adversarial map, computed from the monte-carlo gradient es-
timation. Evidenced by extensive experiments across multiple popular tasks and
backdoor attacks, our approach is shown effective in detecting backdoor attacks
under the black-box hard-label scenarios."
INTRODUCTION,0.003616636528028933,"1
INTRODUCTION"
INTRODUCTION,0.0054249547920434,"Deep Neural Networks (DNNs) have pervasively been used in a wide range of applications such
as facial recognition (Masi et al., 2018), object detection (Szegedy et al., 2013; Li et al., 2022), au-
tonomous driving (Okuyama et al., 2018), and home assistants (Singh et al., 2020; Zhai et al., 2021).
In the meanwhile, DNNs become increasingly complex. Training state-of-the-art models requires
enormous data and expensive computation. To address this problem, vendors and developers start to
provide pre-trained DNN models. Similar to softwares shared on GitHub, pre-trained DNN models
are being published and shared on online venues like the BigML model market, ONNX zoo and
Caffe model zoo."
INTRODUCTION,0.007233273056057866,"Since the dawn of software distribution, there has been an ongoing war between publishers sneaking
malicious code and backdoors in their software and security personnel detecting them. Recent stud-
ies show that DNN models can contain similar backdoors, which are induced due to contaminated
training data. Sometimes models containing backdoors can perform better than the regular models
under untampered test inputs. However, under inputs tampered with a speciﬁc pattern (called trojan
trigger) models containing backdoors can suffer from signiﬁcant accuracy loss."
INTRODUCTION,0.009041591320072333,"There has been a signiﬁcant amount of recent work on detecting the backdoor triggers. However,
those solutions require access to the original poisoned training data (Chen et al., 2019a; Tran et al.,
2018; Huang et al., 2022), the parameters of the trained model (Chen et al., 2019b; Guo et al., 2020;
Liu et al., 2019; Wang et al., 2019; 2020; Dong et al., 2021; Kolouri et al., 2020), or the predicted
conﬁdence score of each class (Dong et al., 2021). Unfortunately, it is costly and often impractical
for the defender to access the original poisoned training dataset. In situations when DNNs are"
INTRODUCTION,0.0108499095840868,Published as a conference paper at ICLR 2022
INTRODUCTION,0.012658227848101266,"Cloud Server
Smart Phone
Edge Device"
INTRODUCTION,0.014466546112115732,"Input 
W/ Trigger"
INTRODUCTION,0.0162748643761302,"Input 
W/O Trigger"
