Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0011402508551881414,"Open-vocabulary semantic segmentation seeks to label each pixel in an image
1"
ABSTRACT,0.002280501710376283,"with arbitrary text descriptions. Vision-language foundation models, especially
2"
ABSTRACT,0.0034207525655644243,"CLIP, have recently emerged as powerful tools for acquiring open-vocabulary
3"
ABSTRACT,0.004561003420752566,"capabilities. However, fine-tuning CLIP to equip it with pixel-level prediction
4"
ABSTRACT,0.005701254275940707,"ability often suffers three issues: 1) high computational cost, 2) misalignment
5"
ABSTRACT,0.0068415051311288486,"between the two inherent modalities of CLIP, and 3) degraded generalization ability
6"
ABSTRACT,0.00798175598631699,"on unseen categories. To address these issues, we propose H-CLIP, a symmetrical
7"
ABSTRACT,0.009122006841505131,"parameter-efficient fine-tuning (PEFT) strategy conducted in hyperspherical space
8"
ABSTRACT,0.010262257696693273,"for both of the two CLIP modalities. Specifically, the PEFT strategy is achieved
9"
ABSTRACT,0.011402508551881414,"by a series of efficient block-diagonal learnable transformation matrices and a
10"
ABSTRACT,0.012542759407069556,"dual cross-relation communication module among all learnable matrices. Since
11"
ABSTRACT,0.013683010262257697,"the PEFT strategy is conducted symmetrically to the two CLIP modalities, the
12"
ABSTRACT,0.014823261117445839,"misalignment between them is mitigated. Furthermore, we apply an additional
13"
ABSTRACT,0.01596351197263398,"constraint to PEFT on the CLIP text encoder according to the hyperspherical energy
14"
ABSTRACT,0.01710376282782212,"principle, i.e., minimizing hyperspherical energy during fine-tuning preserves the
15"
ABSTRACT,0.018244013683010263,"intrinsic structure of the original parameter space, to prevent the destruction of
16"
ABSTRACT,0.019384264538198404,"the generalization ability offered by the CLIP text encoder. Extensive evaluations
17"
ABSTRACT,0.020524515393386546,"across various benchmarks show that H-CLIP achieves new SOTA open-vocabulary
18"
ABSTRACT,0.021664766248574687,"semantic segmentation results while only requiring updating approximately 4% of
19"
ABSTRACT,0.02280501710376283,"the total parameters of CLIP.
20"
INTRODUCTION,0.02394526795895097,"1
Introduction
21"
INTRODUCTION,0.02508551881413911,"The aim of open-vocabulary semantic segmentation is to create a segmentation model capable of
22"
INTRODUCTION,0.026225769669327253,"labeling each pixel in an image with categories that are not limited to a specific closed set according to
23"
INTRODUCTION,0.027366020524515394,"text descriptions. Vision-language foundation models [43, 5, 34, 39, 11, 17, 26, 21, 27, 13, 18, 29, 10,
24"
